,Name,Team,Threat per fixture,Threat per game,Team games,Played,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
1,Dominic Calvert-Lewin,Everton,84.07829875747363,84.07829875747363,6,6,0.0,63.23375105857849,48.9572674036026,116.2355661392212,261.072039604187,14.971168339252472
2,Harry Kane,Spurs,79.82355977098148,79.82355977098148,6,6,21.890489757061005,73.69688153266905,148.17478656768802,150.78225135803225,68.55264902114868,15.844300389289856
3,Jamie Vardy,Leicester,75.68148672580719,90.81778407096863,6,5,66.1608099937439,0.0,30.21993935108185,196.5582609176636,8.916142582893373,152.23376750946042
4,Callum Wilson,Newcastle,74.49521906673908,74.49521906673908,6,6,5.567648261785507,65.42117595672607,166.164243221283,76.11688375473021,42.12281405925751,91.57854914665222
5,Neal Maupay,Brighton,72.50584910313289,72.50584910313289,6,6,40.66617488861085,42.351856827735894,88.18138837814331,89.46897983551025,141.72009229660034,32.64660239219665
6,Mohamed Salah,Liverpool,70.7078218460083,70.7078218460083,6,6,89.26401138305664,38.13213109970093,58.26098322868347,21.80656492710113,22.80056774616241,193.9826726913452
7,Wilfried Zaha,Crystal Palace,67.68702889482181,67.68702889482181,6,6,123.64554405212402,76.11688375473021,6.430080533027649,12.526135146617891,95.44007182121277,91.96345806121826
8,Sadio Mane,Liverpool,65.54126739501953,78.64952087402344,6,5,36.6234302520752,112.67566680908205,0.0,128.20674180984494,83.37636590003967,32.365399599075324
9,Ollie Watkins,Aston Villa,58.39700907468797,58.39700907468797,5,5,34.39847528934479,6.298719346523285,182.82116651535037,57.30635523796082,11.16032898426056,
10,Bruno Miguel Borges Fernandes,Man Utd,54.11333754658699,54.11333754658699,5,5,9.443335980176926,96.01434469223022,76.11688375473021,76.11688375473021,12.875239551067352,
11,Jorge Luiz Frello Filho,Chelsea,51.97448769273857,62.36938523128629,6,5,1.4690064825117588,0.0,158.14415216445926,0.0,76.11688375473021,76.11688375473021
