,Teams,Creativity av,Matches,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
1,Aston Villa,151.351037658751,5,102.14469842612743,79.27658706903458,295.6977631896734,199.10911228507757,80.52702732384205,
2,Spurs,148.75752258424959,6,79.78203240782022,172.14528247714043,201.5560407191515,190.09016081690788,166.67721495032308,82.29440413415432
3,Liverpool,146.35473163798451,6,164.6628674119711,190.9272387623787,127.60418653488158,174.91774577647448,91.35893303900957,128.65741830319166
4,Everton,133.21709494727352,6,21.583406627178192,132.46243009343743,232.20882155001163,127.77639757841824,212.7938911318779,72.47762270271778
5,West Ham,109.04407010724147,6,23.165163677185774,68.72347220778465,201.2473687529564,155.08938264101744,142.7364682778716,63.30256508663297
6,Man City,104.8635557666421,5,77.68052779138088,104.99130841344595,114.3527265638113,110.02383287996054,117.2693831846118,
7,Leeds,103.88616643225153,6,208.35385788232088,54.514698684215546,147.6188663393259,142.81957671046257,53.726231306791306,16.28376767039299
8,Brighton,99.34592861682177,6,49.162191059440374,74.17681450024247,30.649692192673683,207.12355002760887,98.39797206223012,136.56535185873508
9,Crystal Palace,91.6578334911416,6,264.6043609827757,0.0,10.324854403734207,36.615283228456974,98.83390078321099,139.56860154867172
10,Arsenal,81.83687808923423,6,60.10015532374382,62.452049273997545,66.71310849487782,66.82920344173908,128.17488461732864,106.75186738371849
11,Newcastle,71.48907825661202,6,19.058087095618248,86.74957677721977,109.62546542286873,14.494589902460575,50.46849111095071,148.5382592305541
12,Chelsea,67.79224485314141,6,13.461105339229107,93.93945187330246,91.52754917740822,147.90027202107012,8.979473263025284,50.94561744481325
13,Southampton,67.58578202376763,6,72.53771908581257,71.58352732658386,47.71608654409647,67.29486733675003,30.822948180139065,115.55954366922379
14,Man Utd,67.37646166235209,5,57.469638623297215,135.03378108143806,11.22665349394083,68.8799163326621,64.27231878042221,
15,Burnley,66.60038501024246,5,81.95622749626638,66.8605424463749,41.693295538425446,13.135961815714836,129.35589775443077,
16,Sheffield Utd,66.42140066251159,6,57.56978057324886,84.87846422940493,8.276744186878204,148.56230542063713,7.453618571162224,91.78749099373817
17,Leicester,59.30958309521278,6,68.09411216527224,39.65250328183174,38.79064470529556,58.370426297187805,75.68478286266327,75.26502925902605
18,Wolves,57.1149906453987,6,67.04442203044891,51.71824768185615,27.383780106902122,26.505452580749992,72.7677259594202,97.2703155130148
19,Fulham,51.9063055049628,6,66.93285461515188,33.237871155142784,86.62728257477283,47.711561899632215,66.91112071275711,10.017142072319984
20,West Brom,35.96699250241121,6,14.020236395299435,63.86643834412098,11.340136267244814,82.6215960085392,21.66905403137207,22.284493967890736
