,Name,Team,Threat per fixture adj,Threat per game adj,Team games,Played,Threat GW5 adj,Threat GW4 adj*,Threat GW4 adj,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj
237,Isaac Hayden,Newcastle,0.8363030495990753,0.8363030495990753,5,5,0.0,,2.9659881999012505,0.0,1.2155270480941254,0.0
238,Sean Longstaff,Newcastle,0.8315366085016207,2.0788415212540516,5,2,0.0,,4.157683042508103,0.0,0.0,0.0
239,Ryan Bertrand,Southampton,0.8113947625300268,0.8113947625300268,5,5,0.0,,4.056973812650134,0.0,0.0,0.0
240,Denis Odoi,Fulham,0.7963326617545444,1.3272211029242407,5,3,0.0,,0.0,0.0,1.7269634531646674,2.254699855608055
241,John Fleck,Sheffield Utd,0.7858481374666371,1.3097468957777285,5,3,0.0,,0.0,0.0,0.0,3.9292406873331855
242,Matt Ritchie,Newcastle,0.765702473442089,3.828512367210445,5,1,0.0,,0.0,3.828512367210445,0.0,0.0
243,Conor Gallagher,West Brom,0.7018421956818395,3.5092109784091976,5,1,3.5092109784091976,,0.0,0.0,,
244,John Egan,Sheffield Utd,0.7002442354621341,0.8753052943276677,5,4,0.0,,0.0,0.0,0.0,3.5012211773106707
245,Dara O'Shea,West Brom,0.6931257812990483,0.8664072266238104,5,4,0.0,,3.4656289064952417,0.0,0.0,0.0
246,Fabio Henrique Tavares,Liverpool,0.6751829638578054,0.6751829638578054,5,5,3.375914819289027,,0.0,0.0,0.0,0.0
247,Ryan Fraser,Newcastle,0.672765941298576,1.12127656883096,5,3,0.0,,3.36382970649288,0.0,0.0,0.0
248,Ruben Loftus-Cheek,Fulham,0.6713913054440435,1.6784782636101085,5,2,3.356956527220217,,0.0,0.0,0.0,0.0
249,Benjamin Mendy,Man City,0.6483290100865323,0.8644386801153764,4,3,0.0,,0.0,0.0,2.5933160403461293,
250,Harrison Reed,Fulham,0.6393741051298352,1.598435262824588,5,2,0.0,,0.0,0.0,3.196870525649176,0.0
251,Dwight McNeil,Burnley,0.622188380546422,0.622188380546422,4,4,2.488753522185688,,0.0,0.0,0.0,
252,Javier Manquillo,Newcastle,0.6124334817699612,0.7655418522124514,5,4,0.0,,3.0621674088498056,0.0,0.0,0.0
253,Johann Berg Gudmundsson,Burnley,0.5985008784335845,1.197001756867169,4,2,2.394003513734338,,0.0,0.0,0.0,
254,N'Golo Kante,Chelsea,0.59736796509385,0.59736796509385,5,5,0.0,,2.98683982546925,0.0,0.0,0.0
255,Marvelous Nakamba,Aston Villa,0.5958430195407174,1.1916860390814348,4,2,0.0,,2.3833720781628696,0.0,0.0,
256,Mario Lemina,Fulham,0.5873766404364437,1.4684416010911092,5,2,2.9368832021822184,,0.0,0.0,0.0,0.0
257,Adam Lallana,Brighton,0.5787260662152524,0.5787260662152524,5,5,2.893630331076262,,0.0,0.0,0.0,0.0
258,Pierre-Emile Højbjerg,Spurs,0.513304342952047,0.513304342952047,5,5,0.0,,0.8368966056584931,1.7296251091017418,0.0,0.0
259,Pascal Groß,Brighton,0.505627745578621,0.6320346819732763,5,4,0.0,,0.0,2.528138727893105,0.0,0.0
260,Nathan Tella,Southampton,0.5030490355519175,0.8384150592531959,5,3,0.0,,0.0,0.0,2.5152451777595877,0.0
261,Sergio Reguilon,Spurs,0.4962453178545069,1.2406132946362671,5,2,0.0,,2.4812265892725343,0.0,,
262,Aymeric Laporte,Man City,0.48016247658886185,1.9206499063554474,4,1,0.0,,1.9206499063554474,0.0,0.0,
263,Kieran Tierney,Arsenal,0.47649029812471533,0.5956128726558941,5,4,2.3824514906235765,,0.0,0.0,0.0,0.0
264,Nemanja Matic,Man Utd,0.47125240695813886,0.6283365426108518,4,3,0.0,,0.0,1.8850096278325554,0.0,
265,Jannik Vestergaard,Southampton,0.4602981299362253,0.5753726624202816,5,4,2.3014906496811265,,0.0,0.0,0.0,0.0
266,Ashley Westwood,Burnley,0.46010382164635877,0.46010382164635877,4,4,0.0,,1.840415286585435,0.0,0.0,
267,Reece James,Chelsea,0.44844142423106553,0.5605517802888319,5,4,0.0,,0.0,0.0,0.0,2.2422071211553276
268,Mamadou Sakho,Crystal Palace,0.44382181688355554,0.7397030281392593,5,3,0.0,,2.2191090844177777,0.0,0.0,0.0
269,Ethan Ampadu,Sheffield Utd,0.4427320933983525,1.1068302334958813,5,2,0.0,,0.0,0.0,2.2136604669917626,0.0
270,Matt Phillips,West Brom,0.42915622514350815,0.7152603752391803,5,3,0.0,,0.0,2.1457811257175408,0.0,0.0
271,Allan Marques Loureiro,Everton,0.4246563604371888,0.530820450546486,5,4,0.0,,0.0,1.2510769847750487,0.8722048174108951,0.0
272,Timothy Fosu-Mensah,Man Utd,0.3437943811942935,1.375177524777174,4,1,0.0,,0.0,0.0,1.375177524777174,
273,James McCarthy,Crystal Palace,0.33917636531630674,0.4239704566453834,5,4,0.0,,0.0,1.6958818265815336,0.0,0.0
274,Nampalys Mendy,Leicester,0.3287126533175323,0.3287126533175323,5,5,0.0,,1.6435632665876616,0.0,0.0,0.0
275,Fabian Schar,Newcastle,0.3003779020653359,0.7509447551633397,5,2,1.5018895103266794,,0.0,0.0,0.0,0.0
276,Michy Batshuayi,Crystal Palace,0.2990808298319555,0.4984680497199258,5,3,0.0,,0.0,0.0,1.4954041491597774,0.0
277,Moise Kean,Everton,0.27968797150422386,0.6992199287605597,5,2,0.0,,0.0,0.0,1.3984398575211194,0.0
278,Manuel Lanzini,West Ham,0.20215791041706618,1.010789552085331,5,1,1.010789552085331,,0.0,0.0,0.0,0.0
279,Jamaal Lascelles,Newcastle,0.19647424353026186,0.24559280441282733,5,4,0.0,,0.0,0.0,0.9823712176513093,0.0
280,Conor Townsend,West Brom,0.1939064282085104,0.32317738034751736,5,3,0.969532141042552,,0.0,0.0,0.0,0.0
281,Maxime Le Marchand,Fulham,0.17058598082224655,0.42646495205561635,5,2,0.0,,0.8529299041112327,0.0,0.0,0.0
282,Mateo Kovacic,Chelsea,0.08689012205769746,0.14481687009616243,5,3,0.0,,0.0,0.4344506102884873,0.0,0.0
283,Roberto Jimenez Gago,West Ham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
284,Said Benrahma,West Ham,0.0,0.0,5,0,,,,,,
285,Darren Randolph,West Ham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
286,Rolando Aarons,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
287,Craig Dawson,West Ham,0.0,0.0,5,0,0.0,,,,,
288,Ben Johnson,West Ham,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
289,Issa Diop,West Ham,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
290,Lukasz Fabianski,West Ham,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
291,John Ruddy,Wolves,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
292,Jack Wilshere,West Ham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
