,Name,Team,Creativity per fixture,Creativity per game,Team games,Played,Creativity GW6,Creativity GW5,Creativity GW4,Creativity GW3,Creativity GW2,Creativity GW1
1,Harry Kane,Spurs,60.0108802318573,60.0108802318573,6,6,38.75686228275299,35.393458604812615,47.05809950828552,70.60986161231996,134.85976457595822,33.387234807014465
2,Jack Grealish,Aston Villa,47.96455219388008,47.96455219388008,5,5,10.54227575659752,65.49324989318848,127.92054414749146,21.160970628261566,14.705720543861391,
3,James Rodriguez,Everton,45.96473500132561,45.96473500132561,6,6,6.971462070941925,67.19037294387817,57.39136934280396,69.29886937141417,50.48613548278809,24.45020079612732
4,Mohamed Salah,Liverpool,32.042221228281655,32.042221228281655,6,6,8.665524423122406,32.38884508609772,67.01305508613585,37.63395249843597,23.297663033008572,23.254287242889404
5,Mahmoud Ahmed Ibrahim Hassan,Aston Villa,31.27349242568016,31.27349242568016,5,5,28.989040851593018,0.0,119.81420516967772,0.0,7.564216107130051,
6,Heung-Min Son,Spurs,28.763076414664585,28.763076414664585,6,6,0.0,15.893219411373137,72.50531911849977,40.43219685554504,12.914624810218813,30.83309829235077
7,Kevin De Bruyne,Man City,28.381294906139374,35.47661863267422,5,4,32.98438489437103,0.0,19.200854003429416,48.296841979026794,41.424393653869636,
8,Arthur Masuaku,West Ham,28.186047325531646,33.82325679063798,6,5,0.0,10.81910878419876,0.0,104.39226627349855,53.90490889549256,0.0
9,Wilfried Zaha,Crystal Palace,27.754859750469524,27.754859750469524,6,6,124.00823831558228,0.0,2.0112819969654083,0.0,40.50963819026947,0.0
10,Bruno Miguel Borges Fernandes,Man Utd,26.865868233144283,26.865868233144283,5,5,12.857414782047274,48.87646734714508,2.1867660805583,60.00801920890808,10.400673747062683,
11,Leandro Trossard,Brighton,26.570814847946167,26.570814847946167,6,6,0.0,11.3747701048851,10.63513457775116,14.871929585933685,71.91234827041627,50.630706548690796
12,John McGinn,Aston Villa,26.529977023601532,26.529977023601532,5,5,0.0,7.484617829322815,25.11587738990784,81.4350187778473,18.614371120929718,
13,Jack Harrison,Leeds,26.41370842854182,31.696450114250183,6,5,80.66012859344481,19.922265410423282,0.0,57.89985656738281,0.0,0.0
14,Andros Townsend,Crystal Palace,26.11117201546828,26.11117201546828,6,6,33.330988883972175,0.0,1.88349187374115,22.471180558204647,12.234576791524887,86.74679398536682
15,Trent Alexander-Arnold,Liverpool,25.500623509287834,25.500623509287834,6,6,33.43532681465149,8.634794503450394,5.130632966756822,89.03732299804688,9.670674055814745,7.0949897170066825
16,Ashley Westwood,Burnley,22.207295149564747,22.207295149564747,5,5,65.2577579021454,33.48792791366577,0.0,5.247282236814499,7.043507695198059,
17,Andrew Robertson,Liverpool,21.731646234790485,21.731646234790485,6,6,5.660213157534598,67.72518754005432,8.835341036319733,6.237837299704553,0.0,41.93129837512971
18,Allan Saint-Maximin,Newcastle,20.774471821884315,24.929366186261177,6,5,1.7187360674142838,62.3933732509613,60.5347216129303,0.0,0.0,0.0
19,Daniel Ceballos Fernandez,Arsenal,20.599664375185966,20.599664375185966,6,6,16.161790490150448,7.400842010974884,9.615188091993332,32.87828266620636,57.54188299179077,0.0
20,Sergio Reguilon,Spurs,20.066405087709427,40.132810175418854,4,2,0.0,51.411575078964226,28.854045271873478,0.0,,
21,Aaron Cresswell,West Ham,19.743337761610743,19.743337761610743,6,6,5.610110238194466,12.696066498756409,71.70215845108031,27.31855809688568,1.1331332847476006,0.0
22,Conor Hourihane,Aston Villa,18.383758068084713,45.959395170211785,5,2,0.0,0.0,0.0,85.20839810371398,6.710392236709595,
23,Sadio Mane,Liverpool,18.357773994406063,22.029328793287277,6,5,34.78401005268097,28.73894572257996,0.0,11.143922060728073,0.0,35.479766130447395
24,George Baldock,Sheffield Utd,18.354683679838974,18.354683679838974,6,6,7.81707838177681,34.52331125736237,4.714607819914819,0.0,0.0,63.07310461997986
25,Ryan Fredericks,West Ham,18.27385152379672,36.54770304759344,6,3,0.0,0.0,0.0,16.163872182369232,66.96012616157532,26.519110798835754
26,Willian Borges Da Silva,Arsenal,18.12245547771454,21.746946573257446,6,5,0.0,6.061810255050659,0.0,29.330578446388245,9.883633255958557,63.45871090888977
27,Pierre-Emerick Aubameyang,Arsenal,18.07822088400523,18.07822088400523,6,6,6.4724765717983255,47.98092246055603,0.0,0.0,47.58067131042481,6.4352549612522125
28,Richarlison de Andrade,Everton,17.948126963650186,21.53775235638022,6,5,0.0,1.3977247290313244,0.0,0.0,100.73870420455931,5.5523328483104715
29,Abdoulaye Doucoure,Everton,17.91952848434448,17.91952848434448,6,6,0.0,11.680063605308533,75.26630163192748,0.0,0.0,20.57080566883087
30,Lucas Digne,Everton,17.620497631529965,17.620497631529965,6,6,0.0,42.91000068187713,5.38400299847126,7.6291538774967185,44.001594185829155,5.798234045505524
31,Raheem Sterling,Man City,17.38794181495905,17.38794181495905,5,5,0.0,2.0185546949505806,43.23367774486542,0.0,41.68747663497925,
32,Roberto Firmino,Liverpool,17.383236810564995,17.383236810564995,6,6,0.0,9.538114815950395,35.09064018726349,11.967673897743225,47.70299196243286,0.0
33,Che Adams,Southampton,16.29515253007412,16.29515253007412,6,6,0.0,42.09105670452118,0.0,42.0690655708313,6.400137394666673,7.210655510425568
34,Riyad Mahrez,Man City,15.686713680624962,19.608392100781202,5,4,7.302463054656982,4.538629576563835,14.541766047477722,52.05070972442627,0.0,
35,Pablo Fornals,West Ham,14.867019327357411,14.867019327357411,6,6,1.0440516285598278,0.0,78.55612635612488,5.53302988409996,4.068908095359801,0.0
36,Reece James,Chelsea,14.582961549361544,17.499553859233853,6,5,0.0,0.0,0.0,74.28241968154906,0.0,13.215349614620207
37,Sergio Aguero,Man City,14.21438455581665,35.535961389541626,5,2,0.0,71.07192277908325,0.0,0.0,0.0,
38,Alireza Jahanbakhsh,Brighton,13.721439242362976,27.442878484725952,6,3,0.0,0.0,0.0,77.16603875160217,5.162596702575684,0.0
39,Luke Ayling,Leeds,13.315427675843239,13.315427675843239,6,6,4.0206171572208405,19.055561721324924,28.31065058708191,28.505736589431766,0.0,0.0
40,Steven Alzate,Brighton,13.281264901161194,15.937517881393433,6,5,0.0,0.0,1.1203140020370483,62.07606792449951,7.610355317592621,8.880852162837982
41,Aleksandar Mitrovic,Fulham,13.157486418883005,13.157486418883005,6,6,12.019767612218855,0.0,61.64644956588745,5.278701335191727,0.0,0.0
42,Jeff Hendrick,Newcastle,13.117202123006185,13.117202123006185,6,6,0.0,0.0,0.0,0.0,0.0,78.70321273803711
43,Solomon March,Brighton,12.765989638864994,12.765989638864994,6,6,5.45819103717804,23.86599034070969,11.355085670948027,2.3273270577192307,3.1005606055259705,30.488783121109012
44,Michy Batshuayi,Crystal Palace,12.457552552223206,18.68632882833481,6,4,74.74531531333923,0.0,0.0,0.0,0.0,0.0
45,Timothy Castagne,Leicester,12.381323458005985,12.381323458005985,6,6,1.9333051517605784,0.0,8.570705354213715,44.324490427970886,19.459439814090732,0.0
46,Serge Aurier,Spurs,12.359830737113953,37.07949221134186,6,2,0.0,59.865450859069824,14.293533563613892,0.0,0.0,0.0
47,Mason Mount,Chelsea,12.287254879872004,14.744705855846405,6,5,0.0,13.297310471534727,0.0,54.28794622421265,0.0,6.1382725834846505
48,Georginio Wijnaldum,Liverpool,12.214882113039494,12.214882113039494,6,6,51.15457773208618,0.0,0.0,4.303423687815666,0.0,17.831291258335114
49,Pierre-Emile Højbjerg,Spurs,12.146493792533875,12.146493792533875,6,6,0.0,4.523751139640809,30.09735941886902,38.25785219669342,0.0,0.0
50,Dennis Praet,Leicester,12.11781787375609,14.541381448507309,6,5,0.0,0.0,0.0,3.527886420488357,12.412182986736298,56.76683783531189
51,Daniel Castelo Podence,Wolves,11.894932513435682,14.273919016122818,6,5,12.3541958630085,0.0,0.0,0.0,28.320726752281193,30.6946724653244
52,Kalvin Phillips,Leeds,11.350181885063648,13.620218262076378,6,5,0.0,4.5551177114248285,0.0,34.78589355945587,19.798253476619717,8.961826562881472
53,Darnell Furlong,West Brom,11.044384694347778,13.253261633217335,6,5,0.0,0.733342207968235,0.0,51.51028633117676,0.0,14.02267962694168
54,Miguel Almiron,Newcastle,10.99021943906943,13.188263326883316,6,5,1.6094222664833069,0.0,0.0,5.3926028311252585,48.58430027961731,10.354991257190703
55,Ross Barkley,Aston Villa,10.332774122556051,12.39932894706726,6,5,44.174009561538696,6.298719346523285,0.0,0.0,0.0,11.523915827274324
56,Ben Osborn,Sheffield Utd,10.128827982892592,15.193241974338887,6,4,0.0,0.0,1.8349116668105123,58.93805623054504,0.0,0.0
57,Tyler Roberts,Leeds,9.766976411143938,14.650464616715908,6,4,0.0,0.0,50.772011280059814,0.0,7.829847186803818,0.0
58,Hector Bellerin,Arsenal,9.457001959284145,9.457001959284145,6,6,0.0,0.0,46.08862996101379,0.0,0.0,10.653381794691086
59,Ollie Watkins,Aston Villa,9.424083195626736,9.424083195626736,5,5,15.11257141828537,0.0,11.148229986429213,2.01678778976202,18.842826783657074,
60,Neal Maupay,Brighton,9.416333337624868,9.416333337624868,6,6,0.0,7.249096035957336,0.0,40.29716551303864,8.951738476753235,0.0
61,James McArthur,Crystal Palace,9.40129334727923,11.281552016735077,6,5,0.0,0.0,6.430080533027649,8.261279761791231,0.0,41.716399788856506
62,Andre-Frank Zambo Anguissa,Fulham,9.378472932924828,9.378472932924828,6,6,0.0,10.793858021497726,5.722904950380325,1.2782955542206764,35.05432903766632,3.4214500337839127
63,Cengiz Under,Leicester,9.306627511978151,18.613255023956302,4,2,37.226510047912605,0.0,0.0,0.0,,
64,Pedro Lomba Neto,Wolves,9.281625288228193,9.281625288228193,6,6,18.42764765024185,0.0,3.723533824086189,18.06864440441132,8.751717954874039,6.718207895755768
65,Tariq Lamptey,Brighton,9.220843265453974,9.220843265453974,6,6,0.0,15.495523810386658,5.5320873856544495,0.0,0.0,34.29744839668274
66,Jeffrey Schlupp,Crystal Palace,9.144401053587595,13.716601580381393,6,4,12.337347865104675,0.0,0.0,0.0,42.5290584564209,0.0
67,Seamus Coleman,Everton,9.107171309491,10.928605571389198,6,5,0.0,0.0,0.0,49.14083480834961,0.0,5.502193048596382
68,Timo Werner,Chelsea,9.079019135485092,9.079019135485092,6,6,0.0,44.98794376850128,0.0,0.0,7.734470814466476,1.7517002299427986
69,Mateusz Klich,Leeds,8.950360429783663,8.950360429783663,6,6,20.546534657478333,4.236764833331108,8.05027708411217,11.76842674612999,9.100159257650377,0.0
70,Adam Lallana,Brighton,8.757207356393337,8.757207356393337,6,6,42.600175738334656,0.0,2.0070705562829967,0.0,0.0,7.935997843742371
71,Dwight McNeil,Burnley,8.7069883197546,8.7069883197546,5,5,2.3645486682653427,10.647362470626833,14.66107964515686,0.0,15.861950814723967,
72,Ademola Lookman,Fulham,8.575321237246195,8.575321237246195,3,3,12.638568878173828,6.391867995262146,6.695526838302612,,,
73,Jannik Vestergaard,Southampton,8.439484238624573,10.127381086349487,6,5,0.0,0.0,0.0,0.0,0.0,50.63690543174744
74,Kai Havertz,Chelsea,8.4209060917298,8.4209060917298,6,6,5.556850880384445,0.0,16.743789613246918,12.902235984802244,0.0,15.32256007194519
75,Jonjo Shelvey,Newcastle,8.340307946006456,10.008369535207748,6,5,0.0,0.0,31.75607323646545,1.2982690706849098,0.8661670610308647,16.12133830785751
76,Matheus Pereira,West Brom,8.20520156994462,8.20520156994462,6,6,2.1994486451148987,23.431603610515594,4.0861185640096656,12.177565693855286,4.4973913580179214,2.8390815481543537
