,Teams,Creativity av adj,Matches,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
1,Liverpool,163.8236505113307,6,159.95033654511795,262.33929029996614,145.0442366116009,196.17705058581078,110.5130051172569,108.91798390823158
2,Spurs,161.3624283407224,6,105.2480432181389,220.37656983918785,150.53226907473908,166.43314756531169,212.50976004763237,113.0747802993245
3,Aston Villa,139.93744279056915,5,86.47301310889216,94.52969109710216,298.3035558563004,142.15855120882745,78.22240268172348,
4,Everton,130.1023502114937,6,27.518365750946483,133.62973560572047,285.5010342490326,114.06127088288777,144.2361462007784,75.66754857959636
5,West Ham,117.05441850306941,6,22.106470624624023,71.74816830251925,239.96809531867814,152.9948163464027,160.08449705023622,55.42446337595619
6,Man City,112.17662892164044,5,99.44488754860588,117.75183318458488,96.80800839939306,131.19281896438125,115.68559651123714,
7,Leeds,104.16659829599814,6,236.8302097467798,53.77844808807166,140.8723969252375,138.7321848520719,38.35908420679655,16.427265957031537
8,Brighton,91.28190458546369,6,33.32316045109328,66.21490269162909,42.11352214518483,154.69036727068755,86.15219290668259,165.19728204750487
9,Arsenal,83.96467864087707,6,71.66364405538918,59.59786910907425,64.80382810915937,67.41812588189062,164.08664242804053,76.2179622617084
10,Crystal Palace,83.91356458288219,6,188.92039730955165,0.0,12.489536048627006,50.310408711459345,73.81416748077018,177.94687794688488
11,Newcastle,82.59100220483698,6,18.800697284719895,64.7889816993581,144.6173452144814,15.132533942019533,62.05107244843091,190.15538264001202
12,Southampton,73.7856080613633,6,99.66882603185715,86.5915401877139,32.34296059109127,88.77503984371987,32.1795451039207,103.15573660987695
13,Man Utd,68.3058850135223,5,69.51857093768224,118.22861907448069,11.720767279073689,84.68794260568815,57.37352517068672,
14,Burnley,67.67596174421291,5,85.5633310561336,45.31947286673771,36.50450070119411,16.74806058095231,154.24444351604683,
15,Chelsea,63.912269846319624,6,10.053435876882178,119.77072200631295,81.70326271379004,100.24989507403302,9.058603538907539,62.637699867992005
16,Leicester,62.943835577128915,6,76.37019347318353,45.07193082321091,49.65892238806411,55.7027842439283,99.84297287598612,51.01620965840055
17,Sheffield Utd,58.79164206727483,6,58.077105723154965,60.60094068626312,9.282690305819166,125.76893741985904,8.472327162657379,90.54785110589528
18,Wolves,53.3159219639736,6,58.700640460672574,43.78330719725472,19.551282520132396,33.931692101737355,69.4420992987363,94.48651020530825
19,Fulham,49.93411701327941,6,59.74848724732917,32.28662758560617,85.45733410257358,54.23244535466385,56.64519360943082,11.234614180072926
20,West Brom,45.373067581178475,6,17.237898046056024,84.25227410441072,14.458422753091348,99.94382113228991,29.77387769765359,26.57211175356922
