,Teams,Threat allowed av adj,Matches,Threat allowed GW47 adj 5 - average,Threat allowed GW46 adj 5 - average,Threat allowed GW45 adj 5 - average,Threat allowed GW44 adj 5 - average,Threat allowed GW43 adj 5 - average,Threat allowed GW42 adj 5 - average,Threat allowed GW41 adj 5 - average,Threat allowed GW40 adj 5 - average,Threat allowed GW39 adj* 5 - average,Threat allowed GW39 adj 5 - average,Threat allowed GW38 adj 5 - average,Threat allowed GW37 adj 5 - average,Threat allowed GW36 adj 5 - average,Threat allowed GW35 adj 5 - average,Threat allowed GW34 adj 5 - average,Threat allowed GW33 adj 5 - average,Threat allowed GW32 adj 5 - average,Threat allowed GW31 adj 5 - average,Threat allowed GW30 adj 5 - average,Threat allowed GW29 adj 5 - average,Threat allowed GW28 adj 5 - average,Threat allowed GW27 adj 5 - average,Threat allowed GW26 adj 5 - average,Threat allowed GW25 adj 5 - average,Threat allowed GW24 adj* 5 - average,Threat allowed GW24 adj 5 - average,Threat allowed GW23 adj 5 - average,Threat allowed GW22 adj 5 - average,Threat allowed GW21 adj 5 - average,Threat allowed GW20 adj 5 - average,Threat allowed GW19 adj 5 - average,Threat allowed GW18 adj 5 - average,Threat allowed GW17 adj 5 - average,Threat allowed GW16 adj 5 - average,Threat allowed GW15 adj 5 - average,Threat allowed GW14 adj 5 - average,Threat allowed GW13 adj 5 - average,Threat allowed GW12 adj 5 - average,Threat allowed GW11 adj 5 - average,Threat allowed GW10 adj 5 - average,Threat allowed GW9 adj 5 - average,Threat allowed GW8 adj 5 - average,Threat allowed GW7 adj 5 - average,Threat allowed GW6 adj 5 - average,Threat allowed GW5 adj 5 - average,Threat allowed GW47 adj color,Threat allowed GW47 adj,Threat allowed GW46 adj color,Threat allowed GW46 adj,Threat allowed GW45 adj color,Threat allowed GW45 adj,Threat allowed GW44 adj color,Threat allowed GW44 adj,Threat allowed GW43 adj color,Threat allowed GW43 adj,Threat allowed GW42 adj color,Threat allowed GW42 adj,Threat allowed GW41 adj color,Threat allowed GW41 adj,Threat allowed GW40 adj color,Threat allowed GW40 adj,Threat allowed GW39 adj* color,Threat allowed GW39 adj*,Threat allowed GW39 adj color,Threat allowed GW39 adj,Threat allowed GW38 adj color,Threat allowed GW38 adj,Threat allowed GW37 adj color,Threat allowed GW37 adj,Threat allowed GW36 adj color,Threat allowed GW36 adj,Threat allowed GW35 adj color,Threat allowed GW35 adj,Threat allowed GW34 adj color,Threat allowed GW34 adj,Threat allowed GW33 adj color,Threat allowed GW33 adj,Threat allowed GW32 adj color,Threat allowed GW32 adj,Threat allowed GW31 adj color,Threat allowed GW31 adj,Threat allowed GW30 adj color,Threat allowed GW30 adj,Threat allowed GW29 adj color,Threat allowed GW29 adj,Threat allowed GW28 adj color,Threat allowed GW28 adj,Threat allowed GW27 adj color,Threat allowed GW27 adj,Threat allowed GW26 adj color,Threat allowed GW26 adj,Threat allowed GW25 adj color,Threat allowed GW25 adj,Threat allowed GW24 adj* color,Threat allowed GW24 adj*,Threat allowed GW24 adj color,Threat allowed GW24 adj,Threat allowed GW23 adj color,Threat allowed GW23 adj,Threat allowed GW22 adj color,Threat allowed GW22 adj,Threat allowed GW21 adj color,Threat allowed GW21 adj,Threat allowed GW20 adj color,Threat allowed GW20 adj,Threat allowed GW19 adj color,Threat allowed GW19 adj,Threat allowed GW18 adj color,Threat allowed GW18 adj,Threat allowed GW17 adj color,Threat allowed GW17 adj,Threat allowed GW16 adj color,Threat allowed GW16 adj,Threat allowed GW15 adj color,Threat allowed GW15 adj,Threat allowed GW14 adj color,Threat allowed GW14 adj,Threat allowed GW13 adj color,Threat allowed GW13 adj,Threat allowed GW12 adj color,Threat allowed GW12 adj,Threat allowed GW11 adj color,Threat allowed GW11 adj,Threat allowed GW10 adj color,Threat allowed GW10 adj,Threat allowed GW9 adj color,Threat allowed GW9 adj,Threat allowed GW8 adj color,Threat allowed GW8 adj,Threat allowed GW7 adj color,Threat allowed GW7 adj,Threat allowed GW6 adj color,Threat allowed GW6 adj,Threat allowed GW5 adj color,Threat allowed GW5 adj,Threat allowed GW4 adj color,Threat allowed GW4 adj,Threat allowed GW3 adj color,Threat allowed GW3 adj,Threat allowed GW2 adj color,Threat allowed GW2 adj,Threat allowed GW1 adj color,Threat allowed GW1 adj
1,Aston Villa,191.78679889147037,38,130.6945830468539,129.07137978974492,127.37303773840794,128.0293584319059,113.01197805901673,71.12733582582257,98.51595749310415,142.42864818107364,217.47509132734777,267.8730450825021,303.5189679816958,303.5189679816958,303.5189679816958,303.5189679816958,303.5189679816958,303.5189679816958,303.5189679816958,303.5189679816958,303.5189679816958,303.5189679816958,290.3209981606045,290.3209981606045,272.51126116024466,229.75120286161305,236.45968887325233,236.45968887325233,237.73326470514786,260.3047596081855,264.53976093225384,285.6866109064256,240.51225088018992,228.63941066588532,197.06208143590152,194.621989537509,156.09260632881472,162.3305709325201,162.0954640888287,195.91430305742725,190.56951050643346,210.64568813592547,188.08101621968325,202.75156112521546,173.5095650922783,176.22566163795906,177.8575320345007,green,86.23838272696365,green,78.57706014005377,green,95.39246487618955,pink,156.13057217448727,red,237.13443531657524,green,78.12236644141878,green,70.08534988336902,green,98.67406834367924,green,81.04367031004128,green,27.711224150604554,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,215.0654747778267,white,,red,289.6488033232164,red,473.90628407505,red,333.03343908581263,white,,red,205.9408386465735,light green,149.0756256723702,red,200.6001183214168,red,260.1059925818922,red,366.57586914400895,red,212.30871780605113,red,261.9331001875584,red,221.77512494175832,red,365.840242452751,light green,140.70406901283067,pink,152.9445167345281,green,104.04645403763948,red,209.57466544979576,pink,173.1933264092796,pink,171.8938920313576,pink,151.76898251607116,red,273.14064888063217,red,182.8507026948267,red,273.5742145567395,green,59.07053245014669,red,225.12170704373202,light green,126.9306687159466,red,196.43118542323054,red,281.7335665394477
2,Norwich,191.4921555684044,38,225.18162162999312,208.0685706188345,205.7502278540892,175.60194466065758,123.88033633724217,135.76884312621164,140.497515864077,176.54852277333035,194.12557932301087,194.12557932301087,187.54476589287762,187.54476589287762,187.54476589287762,187.54476589287762,187.54476589287762,187.54476589287762,187.54476589287762,187.54476589287762,187.54476589287762,187.54476589287762,210.24112905465586,198.28037113287627,176.48459960371756,186.98146885268662,197.25869780689376,197.25869780689376,161.93522933750768,184.66846151905924,151.7755496146902,127.22001997476328,126.2279662595814,153.89918887567444,134.10866109457015,145.6028486680146,189.73210140609498,225.653620847342,198.77207543021416,281.4801767274356,308.38914412082727,299.9423469315519,250.05352861874312,282.7017919695626,210.6735214054417,180.78374534726362,160.59265811142205,red,189.09814592691566,red,199.73245667187297,red,216.89071269964228,red,438.91983372155437,green,81.2669591299803,green,103.5328908711227,red,188.14074284814617,green,66.14929673248444,white,,red,180.31179210447726,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,140.70949307482763,light green,127.17625456044959,red,368.39577739441273,pink,154.0345794808873,light green,147.40772495381097,white,,red,254.19130888371862,green,67.37246495155156,red,259.41691974861925,red,206.5189257257327,red,198.79386972484667,green,77.57396653678812,red,181.03862585930952,green,94.95236022677385,green,83.7412775260982,red,193.8336011489373,red,215.9300796172533,green,82.08598695378804,pink,152.42329809399604,red,304.3875412165003,red,373.4411983551724,green,81.52235253161406,red,495.6264934398955,red,286.96813506095424,red,262.1535552701235,light green,123.99710679112837,red,244.76366928571136,light green,135.48514061929112,light green,137.5192547700638,pink,161.19811909091553
3,West Ham,187.48122007156144,38,106.0594485214529,126.62385812436806,132.74081747879404,156.79337472571115,160.05761337847133,170.24241405867048,142.41302447172237,156.366152203132,130.7928906758084,130.7928906758084,156.17618036865525,156.17618036865525,156.17618036865525,156.17618036865525,156.17618036865525,156.17618036865525,156.17618036865525,156.17618036865525,156.17618036865525,156.17618036865525,160.40803681482018,197.82077510359835,200.94826722396888,225.28017753617695,196.08615533292155,205.45291330873624,219.5110902596502,195.8027947172095,186.33430157635354,205.24788654746948,197.3784747563352,177.5492875873385,177.5492875873385,214.69773961710052,234.10603179180026,227.25334309392048,234.70974022959768,252.19393744645987,255.24892607080523,218.79792352796977,222.66414451275296,210.37835337994937,196.0166722356872,195.19493415194512,207.70192339074407,green,119.51415419562052,green,81.44953062620293,light green,124.2895617746905,green,89.70388225472973,green,115.3401137560208,red,222.33620221019623,green,112.0343273983329,red,244.552348009276,white,,green,106.02507551853076,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,166.26411715701644,green,83.18925427545567,red,181.79996605538116,green,116.68604037265797,red,232.94152398276486,red,187.42339938784122,red,270.2529457193467,red,197.4374266572337,red,238.34559193369833,green,86.97141296648785,red,234.25718926691465,red,340.54383047391656,white,,green,78.89594894503013,red,191.0031262294186,red,181.53933782206752,red,194.91013031124334,red,241.39789462893293,red,264.63820909384026,red,288.04458710291726,light green,147.2758943326685,red,232.19211598962949,red,328.81888071324363,red,279.91315221556727,green,105.78957438873977,pink,166.6069992565845,pink,170.76316032561184,red,257.0104749919327,red,275.80446179685674,pink,168.32452058273455
4,Newcastle,182.30639988224087,38,176.25879399447012,214.41273486458422,226.67385710398102,212.2698969443772,155.56809893356757,127.48731524320881,94.67275516656926,118.60751259929802,153.8802404175507,153.8802404175507,211.30498105042335,211.30498105042335,211.30498105042335,211.30498105042335,211.30498105042335,211.30498105042335,211.30498105042335,211.30498105042335,211.30498105042335,211.30498105042335,246.0967000429353,261.77181315112574,247.38877408943046,230.23554557820134,217.5632394351138,217.5632394351138,209.14420262492462,211.27018605958096,201.2936423851571,191.24906904009327,158.72910615526612,151.9608593934976,184.6259266851031,199.55577869522475,197.773908784819,210.62816315566974,217.32919243611605,169.42983093888142,155.5670075868284,148.47840455695018,152.25978906436114,144.2601672355791,155.68595035323744,184.46789814859648,180.25322481484045,green,40.95920568967664,green,98.1271531304848,red,217.85538602083005,red,350.59023337738336,pink,173.76199175397574,red,231.7289100402472,pink,159.4327643274687,light green,145.83558522281098,white,,green,67.08124332333522,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,33.35807330218186,green,67.65610965704948,red,279.10655149111267,red,322.19922431407434,red,354.20494648769846,white,,red,207.3166682647415,light green,146.03167519800164,red,207.19135618263618,red,236.43308175792902,red,290.8434157722606,pink,165.2214842137958,pink,156.66159237128315,pink,157.3086378105171,red,186.21021503260965,light green,128.24360134812494,light green,131.38025040495316,red,319.9869288293108,red,231.95789786112516,pink,177.30086548058097,red,192.51487320237865,pink,164.88539680718458,green,80.49012134313784,pink,162.6437811008599,light green,141.85785033118992,red,211.42179573943335,light green,124.8872876632745,light green,137.61903693142946,red,306.55352007765515,light green,120.78448366240966
5,Bournemouth,173.47231081559462,38,127.05062245490373,135.3345396022826,159.0309652557923,164.52577068194768,159.98378440272194,176.83942524034563,162.27583713972544,163.54556084768632,199.27442779188488,199.27442779188488,208.64972926086352,208.64972926086352,208.64972926086352,208.64972926086352,208.64972926086352,208.64972926086352,208.64972926086352,208.64972926086352,208.64972926086352,208.64972926086352,229.19553449780037,251.70355405755708,236.50087442511784,237.91338308715817,227.83778334761965,227.83778334761965,210.91860699234357,162.56126848172974,138.76339616927237,131.67363026203586,119.50575939398634,153.38756172040007,175.65788104579818,217.5246532607513,183.83980527000512,186.76321915420047,133.72616062462603,134.75344088901312,92.73057803275091,123.81160965531903,139.29554264197358,167.70629513658383,174.415602851298,184.8164422839813,190.37231112391925,pink,176.45423506061502,red,214.68667601116718,green,43.75221055946659,light green,148.06436754891715,green,52.29562309435274,red,217.87382079750938,red,333.16880427871564,green,71.22623769024354,white,,light green,125.35443615278822,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,136.5738272824714,light green,145.0558802944085,red,339.5174228185199,red,249.8705724112364,pink,172.23094349768135,white,,red,239.30285346715576,red,257.5959780931921,red,263.5040246563236,red,256.93311572143796,light green,121.85294479998879,pink,154.70697169077528,green,15.809285540123003,light green,144.5146630940368,red,221.48428618525543,green,61.01359045974117,red,324.11598332284393,light green,127.16088216711356,red,353.8485241688025,green,53.06004623152436,green,75.630659880718,green,58.930690674971785,light green,132.297283489049,light green,143.73420988749146,red,208.46520434436485,pink,153.05032481399073,red,200.98445314802322,pink,165.8438220626197,red,195.73840705090817,red,236.24454854405448
6,Brighton,154.12987344707227,38,202.54490269147487,186.31247166530244,178.64837150326406,142.49432812905533,97.61984035043233,78.00248010425906,131.10773761829546,150.05828486572483,147.29496793790855,147.29496793790855,161.2852207697893,161.2852207697893,161.2852207697893,161.2852207697893,161.2852207697893,161.2852207697893,161.2852207697893,161.2852207697893,161.2852207697893,161.2852207697893,189.59756457545475,144.74718600071566,146.6692876851017,164.16273250261864,147.38466605045932,147.38466605045932,123.4851004337017,138.26712392569857,112.77081174340617,126.7805580137668,135.27694850086172,132.78577868393828,156.3715125608062,201.41872085832424,176.9525371508665,177.56663339699213,231.52195677073308,179.39552571239167,179.8181899175796,199.24859812137498,185.69784453077062,136.12465170980238,165.69632289350417,127.06908373093445,109.37580866873502,pink,160.89271309441727,light green,138.52545833369498,red,225.96936693900602,red,298.73644684765014,red,188.60052824260595,green,79.73055796355499,green,100.20495752350313,green,45.199150067962464,white,,green,74.36400795453508,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,90.51372701173959,red,345.25684553373696,red,194.95769376065013,green,31.382565428881076,light green,144.3152721139388,white,,red,232.07544604006668,light green,121.00495266004168,red,204.56820218258036,green,118.84978951646569,green,60.42493985314224,green,112.57761795627856,red,194.91507012002592,green,77.08664127111847,red,188.89852086826875,green,102.90689228861696,green,100.12176887166123,red,312.84373950436554,red,302.3226827587086,green,66.56760233098018,green,105.97737351924518,red,369.8983857403661,green,52.211584212658344,red,304.43600378464834,pink,163.71964334995693,green,38.22360556622356,light green,122.0324216355247,red,200.06994013116739,green,111.29980797179964,green,75.25326803895986
7,Arsenal,153.22602766592686,38,193.10636995768658,123.2560052754504,114.14270489110766,95.90796361367016,71.60929463848201,83.3078416344675,99.71017715833827,150.3127775277173,170.87874454369867,204.73759925407057,223.30617726230736,223.30617726230736,223.30617726230736,223.30617726230736,223.30617726230736,223.30617726230736,223.30617726230736,223.30617726230736,223.30617726230736,223.30617726230736,215.31470778946382,215.31470778946382,170.31783572408486,147.3737557004585,119.40731533287676,119.40731533287676,108.78850073031114,90.57804614696921,98.39923623418743,98.07284373660566,112.14449228901626,98.43969323081855,147.85779634713876,154.36632017619405,173.0299155388889,194.24588479417838,191.4731484456336,148.73432080663738,143.06750850492512,153.56986634715514,160.68907287510928,183.8807628616655,207.57277600019256,219.4705500639189,190.13479645752975,red,447.39096917725436,green,68.07414304055646,pink,162.28450939737755,red,198.41939979201345,green,89.36282838123108,green,98.1391457660735,green,22.507641118842717,green,71.11080301019,green,76.9260549160728,light green,147.85556336115843,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,180.15082338542737,white,,red,275.52064296573786,pink,173.94063809009685,red,246.22032846793235,white,,red,240.69845340234232,light green,140.1934760212096,green,50.53628263884315,green,59.22023797196522,green,106.38812663002354,red,187.60438038951423,green,49.14120310449993,green,89.6422330749342,green,57.58827548405641,pink,176.7463693920766,green,119.08038509852558,red,296.2317186861011,light green,122.18485222021066,pink,150.90625229753047,red,282.8262156685241,green,105.21670335580161,green,82.53758049112004,green,93.85079071164922,red,203.4180415086806,red,318.4222483082948,red,221.17515328858278,red,200.99764618375528,pink,153.33966103028092,green,56.73927347673495
8,Watford,152.46037771025223,38,184.90740094988013,182.9570915415822,161.97754747861882,166.7779024934194,140.5265187691318,134.44283876184826,97.73049099920937,113.62724864444684,107.89248993620917,107.89248993620917,148.96012373583594,148.96012373583594,148.96012373583594,148.96012373583594,148.96012373583594,148.96012373583594,148.96012373583594,148.96012373583594,148.96012373583594,148.96012373583594,147.83101379465262,183.42086121504116,149.70152135372678,156.78490502457163,111.43372322126814,111.43372322126814,133.48215902090143,120.2767102343083,135.9088916555212,118.05406543010292,144.34737430096214,133.82361064007586,172.5726589293798,167.37770536289582,191.83037344540656,172.76465611050355,154.60459963085404,98.81074545557507,103.82294968584247,142.8688600530498,142.60166919920454,154.26853279810365,224.85477520422646,218.49701999120344,167.91395142228743,red,208.16574084778958,red,232.680542658639,green,92.03533045791977,red,225.12638973573533,pink,166.52900104931692,red,198.41419380629995,light green,127.78282234382206,green,116.03710553192276,white,,green,93.86947111429728,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,136.1106010128993,green,14.852454993105342,red,207.26661057000942,green,87.36331199073457,red,299.207640112431,white,,light green,130.46505130698282,red,192.801692095048,green,38.669911263437484,light green,122.78023034495885,green,72.45173109591354,red,240.70723030514932,light green,126.77444816208234,green,116.83081836950196,green,33.50609921786748,red,203.91827545020953,red,188.08841200071802,red,320.51968960860205,green,90.85605053708191,pink,155.76943963042126,green,108.58968877569444,green,97.28812960247056,green,41.55041873220711,green,115.91707168841891,red,350.99899146645794,green,107.25373450646812,pink,155.622447596966,red,394.4816307628212,green,84.12829562330406,green,98.08364862187759
9,Southampton,148.44455996535356,38,101.48059650038462,104.53551031571097,98.65026878868937,132.25641308102215,126.53384325737792,209.4661446720175,234.78149177063796,237.79543978955667,208.13763546763772,208.13763546763772,244.73665746508587,244.73665746508587,244.73665746508587,244.73665746508587,244.73665746508587,244.73665746508587,244.73665746508587,244.73665746508587,244.73665746508587,244.73665746508587,169.47747322566326,151.34704038253108,154.0543089947915,158.11381378300933,106.73750956834104,106.73750956834104,97.5132491040509,75.97959311246746,82.0054801284559,91.76475682579812,113.74927101798787,112.81913711288355,125.46886844731034,148.04213020674842,150.26146240695456,202.55824292785437,208.94423114044588,205.04554912067255,188.5079464270711,184.23235103022867,149.7433427665777,163.56926419465427,156.02045604473594,151.9916545782866,140.59155291035236,pink,165.6872134130604,green,70.36753011318379,green,78.04860763217623,light green,124.41368376663983,green,68.88594757686279,red,180.96178248969215,green,40.94132247807591,red,246.0793290938401,white,,green,95.80083464841869,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,483.5474546500606,red,307.53851798279436,green,56.01106257266959,green,97.7903074842453,red,278.7959446356595,white,,green,107.2515334529476,red,216.8863537671334,green,69.54740563397176,green,118.08783142533437,green,21.914423562317953,green,61.13023113149705,green,109.21807380921614,green,99.67684071391398,pink,166.88421491204542,light green,131.83699452326672,green,56.47956160597547,pink,172.46673048135014,red,212.5431495111044,pink,177.9808759130761,red,393.3208971277657,green,88.40950266893311,pink,152.9733203824835,light green,129.8551360430971,pink,156.6028989288639,red,220.87585580951088,pink,157.539109809316,green,115.22927963289179,green,109.71112871085056,green,99.60239058919257
10,Crystal Palace,145.49226556140437,38,146.77187276261787,179.34803274958162,156.80003635233078,162.8129806156772,131.32695378211423,103.61214178142738,105.24243855908644,102.26243548884575,121.97258637246095,121.97258637246095,133.6544663765913,133.6544663765913,133.6544663765913,133.6544663765913,133.6544663765913,133.6544663765913,133.6544663765913,133.6544663765913,133.6544663765913,133.6544663765913,145.20869405790177,130.450939884863,161.57105706369822,154.8007695307302,162.72816388071539,162.72816388071539,158.68313671496273,153.764878992088,176.19363746835978,160.93471054069045,140.8225055698724,166.01531323342857,169.37620343275242,158.66030466423481,140.93759959241842,166.16990504464496,165.93333217450305,168.5449942272569,141.64033982663778,159.12602437772202,148.52214731301842,113.18869805802422,123.64002232517494,146.3367070947508,136.42861187519046,green,33.85841524658135,pink,152.16579175868796,pink,157.61546980364741,red,201.3119402362795,red,188.90774676789314,red,196.73921518140008,green,39.425809772433674,red,187.68019112037965,white,,green,43.88180606846468,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,50.33368676445879,red,204.89069906969542,green,24.52579442123029,red,286.23094553845567,green,102.29120608911626,white,,green,108.10482517101121,light green,131.10192820450158,red,180.12638031540638,red,252.37950787361572,light green,141.92817783904204,green,87.879689342248,green,106.51063959012785,red,292.2701726967654,pink,176.0848732352689,green,41.367152984951716,red,213.843727660029,light green,123.31509058674706,red,238.69067885417738,green,87.471347876187,pink,167.5286802460844,red,212.66086330931944,light green,136.37340085051628,green,104.16740685108174,pink,174.8997706316083,green,114.50929492256643,green,35.99361703434841,red,188.6300221862698,red,217.6508306989612,light green,125.35929453380645
