,Team,xG adjusted,xG,xA adjusted,xA,Opponent xG adjusted,Opponent xG
1,Liverpool,229.59234655659012,223.837007349357,123.72873483277958,120.58065480086952,115.86227759939172,126.24471416929737
2,Spurs,203.7333446008422,203.14562576822937,143.07776303967134,140.83983674645424,144.62861453675816,113.65768011892214
3,Aston Villa,185.2721102613808,182.9041034515415,158.25526518008783,157.01861011662655,117.40481015949827,121.31628034902471
4,Chelsea,161.50285912291923,167.82544344314374,88.94561487737838,95.50157222547568,119.64704891828038,100.7127778721042
5,Everton,158.84718109295991,167.48911684844643,111.65508450235473,112.32658511726186,130.77466545948877,128.53361398447305
6,Leicester,158.2074842119161,173.56451663654298,66.29034256934256,70.2641127165407,137.00444259841925,116.6064735269174
7,Man City,153.19347221151082,155.04174140681113,106.15493783387306,108.2432022318244,122.59652862261571,130.59739721938968
8,West Ham,151.10977154163012,145.33221528399736,99.68594329720052,95.46220505144447,119.68057719933306,123.89105595648289
9,Leeds,149.068257673232,148.11139325611293,110.20335118222607,107.91127351112664,164.52417415304228,178.17525293212384
10,Brighton,141.42042369460472,138.23139810701832,99.17988419609836,95.16484786290675,111.60167618933008,113.31123126437888
11,Man Utd,129.30097655855727,120.11522887540715,79.36177422101493,74.17607707902789,142.20925578952762,152.2297976405493
12,Southampton,128.13400416304293,117.7897876361385,73.86970280870612,70.0240672333166,101.41949899004679,114.35579765820876
13,Newcastle,123.7774216254488,112.58400283986703,68.7644257603194,63.31958983791992,144.45251849527858,146.30710448836908
14,Arsenal,120.70592275974711,123.34563075564802,71.79752200569732,71.48456739960238,98.03702465563914,122.45655757142231
15,Crystal Palace,112.09549538215477,119.87577951513231,80.48129844364138,87.89850437315181,148.15195031771097,143.94250334007666
16,Fulham,101.81437619479165,113.72149807866663,54.29137018283234,59.4927919912152,192.84883865765738,169.63560422882438
17,Sheffield Utd,97.59157276772528,100.00473712570965,64.82363322909453,67.38892835564911,155.73893218034803,166.84267454547808
18,Wolves,79.53160930317875,86.81402651127428,59.935605179659355,64.17603351874277,137.57792803755407,141.1183797987178
19,Burnley,77.94403627523731,73.08867935623441,61.26560492259015,56.278838376913754,130.88393879587073,115.39460505758014
20,West Brom,60.058382331172275,51.38565395027399,46.20391788520163,39.26777814049274,183.7793392304543,197.42662537028082
