,Teams,xG av,Matches,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Liverpool,255.5523297406341,38,586.2780937924981,,195.32231613993645,372.42869064211845,,229.51814904808998,187.4331360682845,102.44537182152271,305.5498292669654,445.7746420055628,251.77178718149662,321.1492631584406,,,225.76705124229193,132.87051022052765,,370.30204832553864,316.66774302721024,314.73358292132616,54.20519821345806,366.27026442438364,153.344395942986,714.1677495092154,168.4505481272936,98.29011783003807,197.14232590049505,137.5847702845931,180.11632729321718,280.4560087621212,76.62784494459629,156.00444450974464,334.5673630014062,276.7194274812937,228.60977193340662,251.02945175021887,,113.0516268312931,414.2618512734771,282.7014960348606,274.296455271542,85.61209281906486,379.47270050644875,129.99408263713119
2,Man City,237.58906945586205,38,232.31813088059425,270.3312613070011,315.21784272044897,453.47883496433496,,93.20629350841045,,190.5073344707489,474.7345346957445,226.38142183423042,395.0004421174526,122.0088541507721,,,137.28852942585945,264.3340304493904,198.7698300741613,253.76563407480717,277.97084152698517,159.93234515190125,210.78546224161983,184.75624322891235,255.45168183743954,224.22886360436678,229.43794541060925,,241.6462805122137,223.35288729518652,100.19838809967041,290.7291682437062,179.62161097675562,319.4251266308129,239.9493221193552,454.5946378260851,96.25086225569248,85.80711856484413,,98.38928142562509,133.9844509959221,435.86689978837967,204.04714047908783,384.8036468029022,122.52765595912933,247.28380367159843
3,Newcastle,227.92209815479032,38,371.44128754734993,228.25574586167932,245.1626406982541,449.61178340017796,,293.47745925188065,,55.12900836765766,314.82995860278606,120.70054188370705,269.6554644033313,382.1555897593498,,,56.84347376227379,341.69174768030643,21.73725664615631,,238.6979129165411,51.137541048228734,243.06556656956673,334.46037396788597,123.63824248313905,91.09741449356079,294.8900748044253,143.00498329102993,484.42595712840557,161.36847864836454,132.52442162483928,291.9508866965771,215.22680334746838,30.614113248884678,124.79890994727612,266.00510496646166,373.33578765392303,197.8648750111461,,332.79087394475937,515.2742426842451,153.5685896873474,90.47598242759705,162.2070075944066,25.7153594866395,432.2082683444023
4,Arsenal,224.7056322674708,38,355.3740080446005,,173.10430444777012,392.51582995057106,,151.46911293268204,345.95338329672813,166.17889255285263,198.6112646292895,416.5177457034588,119.4279182702303,51.14019885659218,,,159.3694433569908,248.54600206017494,259.33633986860514,,221.61154057830572,399.892745539546,298.60766008496284,139.1431823372841,352.2682948037982,172.87787962704897,292.1625904738903,85.16812026500702,276.97650268673897,171.66661322116852,259.12518724799156,333.4497757256031,182.69874937832355,263.19417133927345,53.6382763646543,303.4955278970301,105.79050434753299,38.76033127307892,,413.6611446738243,234.29027255624533,82.50224441289902,190.97251668572426,323.96909035742283,221.08465246856213,84.26200784742832
5,Chelsea,215.39460467787362,38,159.77148548699915,154.46058847010136,241.06838330626488,426.95084270089865,245.32809033989906,156.40063490718603,,160.3428639471531,386.4370694383979,52.17893738299608,348.0479998514056,446.64268121123314,,,178.76178044825792,215.22965915501118,,,183.76053348183632,126.94797180593014,235.96699303016067,47.797218710184104,207.38973207771778,157.46336951851845,273.00490103662014,176.5407331287861,329.6473724767566,88.55115547776222,236.6188134998083,166.30425415933132,96.80607840418816,348.08384738862514,405.8654643595219,173.22804499417543,172.3452653735876,197.56641164422035,,203.80886085331437,119.71634309738874,141.8224237859249,228.44156799837947,341.41877107322216,161.0194854438305,193.25834829360247
6,Spurs,194.09867273766156,38,319.6750517934561,184.28465388715267,300.23761354386806,117.20535787753761,127.41706147789955,260.457837022841,,,73.75958254560828,161.97783667594194,139.4230742007494,253.87054905295372,214.5636172965169,,225.3813073039055,270.48362642526627,,,160.29034946113825,211.53219640254974,92.2371368855238,349.4751773774624,131.22441489249468,215.61971921473742,207.18250386416912,157.89756551384926,162.53426745533943,440.11781848967075,161.68287508189678,43.30766825005412,225.0499825924635,43.23146305978298,95.91076169162989,99.28910136222838,166.30626674741507,237.9469431936741,,220.20170101895928,221.16573359817266,215.90849701315165,240.27003087103367,227.9087908565998,255.30841797590256,145.4130120575428
7,Aston Villa,182.9848748362182,38,59.88464578986168,,271.9135669991374,6.4405523240566245,,61.225697956979275,,294.0355055965483,92.92217772454023,116.82551056146622,118.64306665956974,128.27099598944187,91.1274479702115,,125.77159833163023,208.58612041920424,373.91989454627037,,157.29709714651108,306.27268105745316,321.4027615264058,144.4853900000453,134.35003142803907,293.21220740675926,183.63686092197895,121.86119826510549,146.63977436721325,62.9145503975451,229.18215095996857,89.5109798759222,239.7551128640771,288.8641953468323,133.11553681269288,341.9739916920662,234.14296302944422,181.61833994090557,,192.27273352444172,114.2713477835059,231.84947334229946,61.5502517670393,308.6499057710171,324.3360038846731,160.69292379543185
8,Brentford,172.4757219689261,38,170.15716657042503,,192.72221066057682,85.57136915624142,,95.81710621714592,,378.09019330888987,109.07079996541142,144.44008544087407,42.32984967529774,319.53810080885887,125.12346096336842,,73.32389345392585,254.07983902841806,135.95766741782427,50.37994645535946,193.91139820218086,184.90833872929215,86.57408654689789,164.66623526066542,194.2185327410698,128.73080596327782,260.0210838019848,,79.6812042593956,64.90908898413181,122.90229257196187,342.8580064326525,191.42290353775024,144.95395738631487,188.71246045455337,248.13745319843292,318.26823875308037,102.50928215682508,,175.86193345487118,175.8198320865631,63.367834314703934,307.1845126338303,94.90013513714075,352.00681667774916,190.94931241124868
9,Bournemouth,170.39020625188164,38,219.7344926185906,,107.23707117140292,46.944607608020306,,258.5173696279526,241.51257723569867,212.70528128370643,262.2605899348855,61.610835045576096,131.14798720926046,140.31751975417137,,287.4501956626773,392.6573734730482,143.61564964056015,92.67502091825008,,208.0984815955162,261.00046709179884,118.94981302320959,113.48653640598059,83.45854226499796,158.22890531271696,207.91142899543047,189.06680904328823,,197.41969183087346,188.09950752183795,254.93724159896374,318.17016899585724,281.4658757299185,64.31273967027664,110.37377659231424,101.86383854597806,98.17315880209208,,64.4442830234766,162.05671178177,132.5152499601245,211.28614358603954,48.56339208781719,151.53363272547722,151.0248702019453
10,Everton,165.94034548677308,38,70.79315930604935,,182.41116292774677,122.95852284878492,,121.48136086761951,194.11485064774752,47.3233450204134,121.7913370579481,65.98444702103734,169.83353421092033,93.3779975399375,,,182.3210220783949,312.0745236054063,28.66547480225563,,264.0297472476959,19.207193516194824,325.8812677115202,286.9820389896631,103.6643210798502,53.22263464331627,123.52949809283018,198.38490281254053,236.5018531680107,131.10931795090437,295.8109349012375,62.378928530961275,255.29579585418105,180.1395071670413,62.28194050490856,73.38134683668613,9.377251891419291,362.3016834259033,,417.3563338816166,251.49727147072554,28.316981345415115,326.0428277775645,194.7610579431057,72.14647848159075,259.0012753382325
