,Teams,Threat av,Matches,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
1,Liverpool,252.5596068551143,6,265.53993951529264,252.76610162109137,165.70484042167664,280.37091232836246,234.62197482585904,316.3538724184036
2,Spurs,206.4581397920847,6,81.43992014229298,177.6020236313343,330.17044477164745,332.7577270567417,234.4843193888664,82.29440376162529
3,Everton,196.74366327623525,6,28.705432824790474,135.99792970344424,234.1650126501918,227.18924637883902,427.61159744113684,126.7927606590092
4,Aston Villa,167.38417064771056,5,154.10015136003494,87.37762244418263,311.69424820691347,203.22180166840553,80.52702955901623,
5,West Ham,165.33517964805165,6,26.407769601792097,158.27867593616247,203.22747360914946,309.8528914153576,206.46867286413908,87.77559446170926
6,Chelsea,155.12789761802802,6,21.990608517080545,198.7078694626689,251.4334158971906,239.28571022115648,92.28727892041205,127.06250268965957
7,Leeds,153.79889042427143,6,238.46892900764942,108.33213608711958,256.6618546843529,146.64131421595812,145.7077842205763,26.981324329972267
8,Brighton,152.36456609951952,6,54.68069119378925,109.35028679668903,120.3390771523118,297.78816401958466,187.65969965606928,144.36947777867317
9,Man City,147.43236899375916,5,89.24563145264983,154.09909896552563,141.53252635151148,144.63312169536948,207.65146650373936,
10,Leicester,145.06988894815245,6,73.61716106534004,67.15950481593609,45.6021586433053,286.7210805416107,98.73648025095463,298.582948371768
11,Man Utd,128.3265709504485,5,64.84272675588727,221.72902077436447,87.34353706240653,157.58275259286162,110.13481756672263,
12,Crystal Palace,124.76006445164482,6,286.7823727428913,76.11688375473021,10.324854403734207,44.311497174203396,191.45617708563805,139.56860154867172
13,Arsenal,124.65346989532311,6,74.66747350990772,83.83222110569477,66.71310849487782,117.8171444684267,132.90194496512413,271.98892682790756
14,Southampton,123.90041093652447,6,74.15100820362568,142.38150101155043,94.90786418318748,70.66316157579422,235.03156080842018,126.26736983656883
15,Sheffield Utd,108.99574641759197,6,139.7875364869833,166.36329758912325,14.499417319893837,153.27766481786966,84.97092444449662,95.07563784718513
16,Newcastle,103.33316495331626,6,25.368521735072136,86.74957752227783,195.62900941818955,94.27263196557759,52.067840937525034,165.91140814125538
17,Fulham,93.61755017501612,6,107.47905820608139,135.61140075325966,96.93931266665459,53.53976786136627,155.5031105875969,12.632650975137949
18,Burnley,87.63866897672415,5,95.04502303898335,112.14596815407275,43.88487059623003,34.71356853842735,152.40391455590725,
19,Wolves,83.61360936736067,6,76.26251354813576,61.81912124156952,91.01026672869921,38.515184074640274,72.7677259594202,161.30684465169907
20,West Brom,47.12752876803279,6,29.56538423895836,78.99831160902977,16.24864973127842,91.11851248890162,31.53465948998928,35.29965505003929
