,Teams,Threat allowed av,Matches,Threat allowed GW47 5 - average,Threat allowed GW46 5 - average,Threat allowed GW45 5 - average,Threat allowed GW44 5 - average,Threat allowed GW43 5 - average,Threat allowed GW42 5 - average,Threat allowed GW41 5 - average,Threat allowed GW40 5 - average,Threat allowed GW39* 5 - average,Threat allowed GW39 5 - average,Threat allowed GW38 5 - average,Threat allowed GW37 5 - average,Threat allowed GW36 5 - average,Threat allowed GW35 5 - average,Threat allowed GW34 5 - average,Threat allowed GW33 5 - average,Threat allowed GW32 5 - average,Threat allowed GW31 5 - average,Threat allowed GW30 5 - average,Threat allowed GW29 5 - average,Threat allowed GW28 5 - average,Threat allowed GW27 5 - average,Threat allowed GW26 5 - average,Threat allowed GW25 5 - average,Threat allowed GW24* 5 - average,Threat allowed GW24 5 - average,Threat allowed GW23 5 - average,Threat allowed GW22 5 - average,Threat allowed GW21 5 - average,Threat allowed GW20 5 - average,Threat allowed GW19 5 - average,Threat allowed GW18 5 - average,Threat allowed GW17 5 - average,Threat allowed GW16 5 - average,Threat allowed GW15 5 - average,Threat allowed GW14 5 - average,Threat allowed GW13 5 - average,Threat allowed GW12 5 - average,Threat allowed GW11 5 - average,Threat allowed GW10 5 - average,Threat allowed GW9 5 - average,Threat allowed GW8 5 - average,Threat allowed GW7 5 - average,Threat allowed GW6 5 - average,Threat allowed GW5 5 - average,Threat allowed GW47 color,Threat allowed GW47,Threat allowed GW46 color,Threat allowed GW46,Threat allowed GW45 color,Threat allowed GW45,Threat allowed GW44 color,Threat allowed GW44,Threat allowed GW43 color,Threat allowed GW43,Threat allowed GW42 color,Threat allowed GW42,Threat allowed GW41 color,Threat allowed GW41,Threat allowed GW40 color,Threat allowed GW40,Threat allowed GW39* color,Threat allowed GW39*,Threat allowed GW39 color,Threat allowed GW39,Threat allowed GW38 color,Threat allowed GW38,Threat allowed GW37 color,Threat allowed GW37,Threat allowed GW36 color,Threat allowed GW36,Threat allowed GW35 color,Threat allowed GW35,Threat allowed GW34 color,Threat allowed GW34,Threat allowed GW33 color,Threat allowed GW33,Threat allowed GW32 color,Threat allowed GW32,Threat allowed GW31 color,Threat allowed GW31,Threat allowed GW30 color,Threat allowed GW30,Threat allowed GW29 color,Threat allowed GW29,Threat allowed GW28 color,Threat allowed GW28,Threat allowed GW27 color,Threat allowed GW27,Threat allowed GW26 color,Threat allowed GW26,Threat allowed GW25 color,Threat allowed GW25,Threat allowed GW24* color,Threat allowed GW24*,Threat allowed GW24 color,Threat allowed GW24,Threat allowed GW23 color,Threat allowed GW23,Threat allowed GW22 color,Threat allowed GW22,Threat allowed GW21 color,Threat allowed GW21,Threat allowed GW20 color,Threat allowed GW20,Threat allowed GW19 color,Threat allowed GW19,Threat allowed GW18 color,Threat allowed GW18,Threat allowed GW17 color,Threat allowed GW17,Threat allowed GW16 color,Threat allowed GW16,Threat allowed GW15 color,Threat allowed GW15,Threat allowed GW14 color,Threat allowed GW14,Threat allowed GW13 color,Threat allowed GW13,Threat allowed GW12 color,Threat allowed GW12,Threat allowed GW11 color,Threat allowed GW11,Threat allowed GW10 color,Threat allowed GW10,Threat allowed GW9 color,Threat allowed GW9,Threat allowed GW8 color,Threat allowed GW8,Threat allowed GW7 color,Threat allowed GW7,Threat allowed GW6 color,Threat allowed GW6,Threat allowed GW5 color,Threat allowed GW5,Threat allowed GW4 color,Threat allowed GW4,Threat allowed GW3 color,Threat allowed GW3,Threat allowed GW2 color,Threat allowed GW2,Threat allowed GW1 color,Threat allowed GW1
1,Norwich,192.83495647587665,38,263.07469952851534,209.6018162742257,208.43509692698717,160.50946705043316,118.67777489125729,128.13131626695395,138.60114496201277,177.26441252976656,206.901090182364,206.901090182364,188.9590009301901,188.9590009301901,188.9590009301901,188.9590009301901,188.9590009301901,188.9590009301901,188.9590009301901,188.9590009301901,188.9590009301901,188.9590009301901,211.59324683248997,194.22845005989075,182.95705921947956,166.20134450495243,182.86579851061106,182.86579851061106,149.35789983719587,174.53891459852457,133.14943371340632,121.42821783199906,125.53417732939124,152.9634198360145,132.8703147545457,138.7721737101674,177.61345483362675,227.31615904718637,200.31412668526173,267.6542185805738,276.5500923246145,271.3132578134537,227.9736266285181,258.8219728693366,213.3477995917201,195.69528322666883,192.55519930273294,red,357.669042237103,red,182.3298029601574,red,305.1193432882428,red,397.7353785187006,green,72.5199306383729,green,90.30462596565485,pink,176.4962062239647,green,65.49119390547276,white,,red,188.57691772282124,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,119.7876375168562,light green,142.65376944094896,red,369.81254406273365,red,213.6745821684599,green,98.86647146195173,white,,red,232.9588670283556,green,55.82978557795286,red,313.4555898606777,light green,129.89600859582424,red,182.18874149024487,green,65.41937366127968,red,181.73485938459635,green,106.50818543508649,green,71.28992918878794,red,202.71853897720575,red,202.56558619439602,green,81.26933397725224,light green,136.01748021319509,red,265.49633480608463,red,451.2320600450039,green,67.55542438477278,red,417.96979345381266,red,180.49684893339872,red,239.31216225028038,red,234.53390412032604,red,221.79715558886528,red,190.5989270657301,green,92.23426710814238,red,223.61174263060093
2,Aston Villa,190.9676813410203,38,126.20758952572942,132.2523338906467,131.58056743443012,125.92803591862321,129.08973397687078,76.50161556899548,103.07541232556105,149.58957888185978,223.21766199544072,255.61060884967446,287.6473815739155,287.6473815739155,287.6473815739155,287.6473815739155,287.6473815739155,287.6473815739155,287.6473815739155,287.6473815739155,287.6473815739155,287.6473815739155,265.4052220284939,265.4052220284939,280.7049607485533,241.329324003309,251.55813973397017,251.55813973397017,243.83169695734978,272.6139282807708,234.48899820446968,269.0730922855437,243.23724132031202,251.169556081295,210.3384469076991,214.65462367981672,180.63219372183084,206.06964569538832,195.58435391634703,218.97347202524543,210.28113424777985,213.55926357209682,159.2392131127417,161.08303474262357,148.87068315409124,148.0423614848405,148.35407477803528,green,78.14651597291231,green,73.71371453627944,green,94.44342907518148,green,98.20280671119689,red,286.53148133307695,green,108.3702377974987,green,70.35488225519657,green,66.18077149614692,green,114.01129700243473,green,23.590889293700457,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,241.23922158032656,white,,red,302.92571503669024,red,434.3211870640516,red,275.97603127360344,white,,red,183.77475291490555,light green,130.02842385321856,red,379.4244086369872,red,237.4430033378303,red,327.1201099269092,light green,145.1425390318036,red,273.93958047032356,red,188.79975825548172,red,410.3634737432003,red,197.94085510075092,red,184.80411283671856,green,69.78403460234404,red,210.3806421160698,red,240.2513239532709,red,325.1281149685383,light green,132.3776539415121,red,186.72962514683604,pink,166.91895322874188,red,256.6419705748558,green,53.527862671762705,light green,141.5967620909214,light green,125.6678672041744,pink,162.77734488248825,red,258.20053704082966
3,West Ham,181.18805856394926,38,95.3463688492775,105.01293860375881,116.85143046081066,139.49406499043107,148.51561365649104,158.65222040563822,146.22850503772497,165.14485258609056,164.46092657744884,164.46092657744884,183.81013853475451,183.81013853475451,183.81013853475451,183.81013853475451,183.81013853475451,183.81013853475451,183.81013853475451,183.81013853475451,183.81013853475451,183.81013853475451,204.6136376261711,247.84175738692284,236.49832513183355,232.9385207593441,206.71692743897438,207.27203011512756,189.48237847536802,166.8902200087905,162.14522767812014,184.17854364961386,186.46468803286552,187.87253957241774,187.87253957241774,219.68612955883145,222.48818779364228,211.11622674390674,202.253182772547,199.37038246542215,197.4456467293203,184.37258461490273,187.39751869812608,164.7691741399467,169.2746781744063,170.99640395492315,209.10648994147778,green,100.7882084697485,green,98.4161352738738,green,110.91186990961432,green,61.32508059963584,green,105.29054999351501,light green,149.12105724215508,pink,157.60859455913302,red,224.12504255771637,white,,green,106.43282392993571,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,155.9735837392509,green,87.00248040258884,red,252.19033230096102,red,220.70541251450777,red,203.17888371646404,red,259.9910791963339,red,303.14307920634747,red,195.4731710255146,red,202.9063906520605,green,72.07091711461544,red,262.7665925770998,red,214.19482100754976,white,,green,82.51237869262695,pink,179.18142899870872,red,182.23749697208405,red,274.19731449335814,red,221.23407870531082,red,241.58032862469554,red,193.19172017276287,light green,125.3776917234063,red,229.8820946365595,red,206.82007716968656,red,231.95664994418624,light green,127.8264096006751,light green,140.50236213952303,green,116.7403718456626,red,229.3475973419845,red,240.56527884677052,red,318.37683953344816
4,Newcastle,178.77688108894387,38,196.7164497077465,227.34993712976575,236.65556838735938,221.32105506956577,170.17145242542028,111.41657516360283,81.77173094823956,90.45860124751925,126.31299186497927,126.31299186497927,163.32125201821327,163.32125201821327,163.32125201821327,163.32125201821327,163.32125201821327,163.32125201821327,163.32125201821327,163.32125201821327,163.32125201821327,163.32125201821327,197.39464942365885,226.12953443080187,232.6167518272996,225.20672108978033,234.36702895909548,234.36702895909548,233.24389830231667,211.86412576586008,198.98696511983871,184.8946487903595,149.13972694426775,158.91177747398615,193.17444078624249,202.89744697511196,196.08120050281286,212.89719324558973,209.58922147750854,175.07057137787342,173.1146403774619,165.7283152639866,185.73352970182896,161.63080841302872,167.4041946604848,172.83104069530964,170.74623122811317,green,56.81802872568369,green,85.58957241475582,red,199.65806119143963,red,312.85506039857864,red,328.66152580827475,red,209.9854658357799,light green,132.11772870272398,light green,122.98549460247159,white,,green,57.1070471778512,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,34.88713949918747,green,61.761244758963585,pink,175.55208019912243,red,302.25744768977165,red,242.14834794402122,white,,red,205.25412652641535,red,205.4356697946787,red,207.98816718161106,red,265.20729400217533,red,287.94988729059696,red,199.6384732425213,green,98.53680711239576,light green,143.60236395150423,red,194.74571235477924,green,109.17527806013823,red,248.49872589111328,red,269.85012367367744,red,192.2173948958516,pink,160.66447999328375,red,193.25524177402258,red,231.95886705070734,green,97.25687317550182,red,182.43773989379406,light green,123.73285442590714,red,293.2813139632344,green,111.44526060670614,light green,126.12380441278219,red,209.5719700679183,green,113.30880708992481
5,Bournemouth,169.08318205785594,38,139.1985153220594,156.91051272675395,156.69633073732257,154.44536842405796,136.99762430042028,165.3027987666428,153.46364073455334,170.7593933865428,199.00291012600064,199.00291012600064,212.28288063779473,212.28288063779473,212.28288063779473,212.28288063779473,212.28288063779473,212.28288063779473,212.28288063779473,212.28288063779473,212.28288063779473,212.28288063779473,216.13771257922053,210.54566211998463,195.58704119175673,199.60843812674284,191.81620318442583,191.81620318442583,179.09706454724073,146.76289349794388,140.39475943893194,155.27778580784798,141.6962457448244,172.07845291122794,194.72207067534328,201.52705373242497,152.90165988728404,158.7244668789208,107.37337626516819,106.66520319879055,85.24939522147179,116.03098250925541,132.83845864236355,169.86989814788103,207.78503455221653,214.74941790103912,211.3688024505973,pink,174.6987359598279,red,224.52747635543346,green,82.75496922433376,pink,166.08399283140898,green,47.92740223929287,red,263.2587229833007,red,223.45656640827656,green,71.50015765801072,white,,green,78.8452722132206,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,189.45327457040548,red,204.06293282285333,red,309.93532966822386,red,212.71774135529995,light green,145.24512477219105,white,,red,208.72743427753448,pink,176.1026805266738,red,235.14222502708435,red,232.82472603023052,green,106.283950060606,light green,145.131741091609,green,14.431825280189512,red,203.30155473202467,red,307.2398578748107,green,38.37624974548817,red,297.04277692362666,light green,127.64991410076618,red,237.32647001743317,green,64.11288864910603,green,67.49028470367193,green,40.287323854863644,light green,124.10904876887797,light green,130.24743013083935,red,218.02082508802414,pink,151.52766536921263,red,225.44452138245106,red,313.68473079055553,pink,165.06934687495232,red,201.11774783581498
6,Watford,160.6952594078489,38,196.72446442767978,213.49346186965704,152.20092371106148,156.7063806951046,147.56659453734756,141.91958172246814,90.21484658122063,113.57520999386907,107.63005008921027,107.63005008921027,145.81752823665738,145.81752823665738,145.81752823665738,145.81752823665738,145.81752823665738,145.81752823665738,145.81752823665738,145.81752823665738,145.81752823665738,145.81752823665738,150.70004926994443,181.9188436679542,138.2394020818174,147.64968244358897,100.62344485893846,100.62344485893846,119.60216583684087,114.89926939830184,140.90353276580572,120.46797435730696,153.99511106312275,152.353735268116,180.23578748106956,160.24512648582458,199.85713064670563,172.1071343868971,150.59747651219368,99.15337489917874,110.00339781865478,198.95563771948218,201.08165772631764,204.1245336085558,268.5434368252754,261.9291291758418,146.26028575003147,red,195.28180323541162,red,440.1028176769614,green,83.39952807873487,pink,150.99243810400367,green,113.84573504328728,red,279.12679044529796,light green,133.6401268839836,green,105.92681299895048,white,,green,105.29350731521845,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,85.61067096889019,green,20.603114739060402,red,250.4419439472258,green,76.20101347565651,red,296.230898052454,white,,green,110.02327613532543,pink,176.6970867291093,green,32.04473601654172,light green,123.25241528451443,green,61.09971012920141,red,204.9168810248375,pink,153.18260453641415,pink,162.06605285406113,green,21.074623242020607,red,228.73539365828037,red,196.71000204980373,red,292.592865601182,green,62.11274787783623,red,219.13464404642582,green,89.98541235923767,green,89.1617126762867,green,35.3723575361073,green,116.36286247521639,red,663.8958435505629,green,100.61551239341499,green,104.37609208747745,red,357.46687361970544,green,83.29132422804834,green,85.55162642151117
7,Brighton,160.41803901622953,38,260.55572770535946,242.082281075418,247.71614961326122,210.59067007154226,111.53414756059647,77.38171689212322,109.9121730774641,118.89043189585209,114.35139432549477,114.35139432549477,126.55390452593565,126.55390452593565,126.55390452593565,126.55390452593565,126.55390452593565,126.55390452593565,126.55390452593565,126.55390452593565,126.55390452593565,126.55390452593565,146.84450086206198,123.82174398750067,131.13439176231623,158.97274184972048,142.83245868980885,142.83245868980885,125.00431381165981,137.7819251269102,106.97249559685588,111.4581904001534,120.751221049577,127.89390444755554,164.89065412431955,228.25327778235078,199.42992446944118,201.10698910430074,235.71774140000343,175.1043724641204,187.69998650997877,200.55972093716264,186.55375262722373,170.329062435776,202.60713363066316,137.1230032108724,128.59232829883695,light green,146.87415938824415,green,92.90912859141827,red,236.32734287530184,red,565.0440320372581,red,261.6239756345749,green,54.506926238536835,light green,121.07847128063439,green,50.69994516670704,white,,green,69.76141948252916,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,90.86182229220867,red,217.15920716524124,pink,165.96976537257433,green,28.004757314920425,light green,130.77397048473358,white,,red,192.3148039728403,green,102.04542279243469,red,202.53300424665213,pink,167.19650775194168,green,50.07255468517542,green,103.17407958209515,pink,165.93347936868668,green,48.48585659638047,red,189.62498176842928,green,96.53770793229342,light green,138.88749657198787,red,350.91722775250673,red,365.2989748865366,green,45.508215203881264,green,104.92303110659122,red,311.94125805050135,green,47.85038307309151,red,428.2770451158285,green,109.8068873398006,green,34.89318955689669,red,230.81780709326267,red,209.2407390475273,green,100.85639301687479,green,67.15351277962327
8,Crystal Palace,153.27967711920408,38,161.95042427629232,199.8809021897614,176.52883399277925,190.5086806602776,163.82750041782856,119.66007575392723,111.26596461981535,107.35772917047143,111.96493083611131,111.96493083611131,122.10853174328804,122.10853174328804,122.10853174328804,122.10853174328804,122.10853174328804,122.10853174328804,122.10853174328804,122.10853174328804,122.10853174328804,122.10853174328804,135.73733631521463,149.58937982097268,180.09506091475487,157.92569935321808,170.19613461568952,170.19613461568952,163.51087184622884,128.20376612246037,145.3936286829412,142.31278570368886,119.48198419064283,142.59753316640854,162.52236867323518,178.694387935102,166.89127624034882,191.46727833896875,232.87229876965284,223.37556932121515,170.46069495379925,185.95182921737432,175.50873424857855,101.13220077008009,122.00138187035918,144.81653925031424,134.52448539435863,green,31.030242890119553,pink,152.75098690763116,red,190.4480637051165,pink,169.76959705352783,red,265.75323082506657,red,220.68263245746493,green,35.99064592272043,red,260.34729704260826,white,,green,36.363695841282606,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,44.91610750555992,pink,178.71207678690553,green,16.449468676000834,red,283.38330537080765,green,87.08170037716627,white,,green,113.06013036519289,red,247.9722943156958,pink,168.97787414491177,pink,172.5364975631237,light green,148.43387668952346,green,79.6338165178895,green,71.43676569685339,red,254.92718694731593,pink,157.132282666862,green,34.27986912429333,red,195.21156139671803,pink,171.06094323098662,red,335.78728325664997,green,98.11672419309616,pink,157.15987961739302,red,402.2366635501385,light green,123.57729598879813,green,71.21291141957045,pink,175.57239551097155,green,104.94440477341413,green,30.35399615764618,red,227.9232014901936,red,185.2886983193457,light green,124.11212623119354
9,Arsenal,152.936662471314,38,192.76951104402542,132.62546107172966,124.22127779573202,94.07159972935915,71.12195184454322,107.00645184144378,119.9525429867208,171.43103370442986,179.88938143476844,211.42335809767246,223.21353748440742,223.21353748440742,223.21353748440742,223.21353748440742,223.21353748440742,223.21353748440742,223.21353748440742,223.21353748440742,223.21353748440742,223.21353748440742,214.43380223587155,214.43380223587155,166.23514007776976,157.21397660672665,142.19365460798144,142.19365460798144,105.56385600939393,91.42464868724346,118.9780985750258,115.10377639904618,116.00340187549591,101.1924422904849,153.4240559488535,146.92433822900057,166.78472135215998,171.53031289577484,173.1631537154317,124.88042155280709,120.14957604929805,124.16139656677842,145.41294675320387,168.0386107414961,210.12348366901278,215.43918846175075,188.741061873734,red,399.23681654036045,green,57.408019714057446,red,225.1187678426504,red,181.8455507978797,green,100.2384003251791,green,98.51656667888165,green,15.387103334069252,green,74.37037751078606,green,67.09731137380004,red,279.6609003096819,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,163.24702240526676,white,,red,272.7795569226146,green,116.66211616247892,red,224.76719468832016,white,,red,338.6117972433567,green,119.3483461625874,green,31.78624613210559,green,71.55629880726337,light green,149.66558469459414,pink,155.46280425041914,green,48.65230955183506,pink,169.55349557101727,green,52.1846879273653,pink,154.16371207684278,green,81.40800632536411,red,309.81037784367794,light green,137.05490697175264,pink,151.48660354316235,pink,177.8916697949171,green,89.57221042364836,green,68.39671703055501,green,113.40067945420742,pink,171.5457061305642,red,284.14942072704434,red,202.70053036510944,red,278.8210816681385,light green,139.97920341789722,green,38.05507319048047
10,Southampton,150.48019579415651,38,97.19406183809042,137.43967831134796,133.08426970615983,165.63874581828713,148.67137022316456,199.89437447860837,187.17481607571244,189.31488724425435,160.9990947879851,160.9990947879851,225.24881105870008,225.24881105870008,225.24881105870008,225.24881105870008,225.24881105870008,225.24881105870008,225.24881105870008,225.24881105870008,225.24881105870008,225.24881105870008,173.87746945023537,161.68520867824554,167.84048568457365,171.63132030516863,97.03970611095428,97.03970611095428,100.74738003313541,75.62436178326607,78.08688376098871,78.82795166224241,94.09699510782957,86.97763118892908,100.91501966118813,124.9359368532896,169.87832725048065,240.0902545452118,247.76005931198597,258.441818356514,240.1577796600759,198.78405446186662,148.15318251028657,168.47444085404277,145.53553810343146,152.17179872095585,144.40207032486796,light green,141.05146303772926,green,58.31171711906791,green,68.07643696665764,pink,150.33007357269526,green,68.20061849430203,red,342.279545404017,green,36.53467409312725,red,230.84881752729416,white,,green,65.49319559708238,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,324.3156397715211,red,278.68175338953733,green,47.23502993583679,green,89.26985524594785,red,386.74177695065737,white,,green,67.4589317291975,red,217.72044952958822,green,78.01141496747732,green,108.22402834892273,green,13.783705979585648,green,85.99730134010315,green,92.10535828024149,green,90.32402485609055,green,111.92936785519123,green,90.12892320752144,green,50.4004817456007,pink,161.79230064153668,red,210.42861081659794,red,336.64131984114647,red,441.18855968117714,green,88.74950557947157,red,215.20109586417675,green,119.00841733440757,light green,129.77269385010004,red,188.0341999232769,red,190.35579729825258,green,100.50658211112022,pink,152.1897204220295,green,90.92405186966062
