,Teams,xG av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Liverpool,248.05876549073562,38,296.94756440965364,,98.05658426315432,191.6631113373762,129.65728402052108,229.90413697606377,,155.71472244699845,,214.67360314178865,279.38579860133103,,178.86955151240937,,144.74481486393066,284.08017926310265,,222.22667851713246,,,405.8230383802137,210.55960831438566,,253.55693122558273,223.02898249727085,,196.90449343040157,,382.95896773847113,,279.5029335768359,247.7956070400804,,191.97086425065214,293.0753851045047,274.301298581382,227.27741940957546,256.3036912481779,252.45312946457247,450.43119751691,146.42550164353852,159.30214546298444,384.684402084787,292.20631211490183,204.0573560670023,250.5293736755939,395.8566951255486,340.2057972367294,325.6931960126478,235.96535464428592,119.4393774474558
2,Man City,243.9813534776149,38,339.61161522014936,,217.19880019616232,326.12897606212385,382.03333138317055,229.494502065607,,294.77110273279635,,174.0762982181742,223.52651644239677,,148.3333846836899,,,269.5688233268149,,287.38331095525933,,174.6477857196485,,286.7196321910515,,357.4133035621748,219.2249863716494,,134.19738300968012,,140.8788461928758,,225.06640037195427,111.58864451513102,316.9208685125806,306.4468461661856,276.311393707332,280.68088733021295,322.3174813846926,103.06939758885585,278.125310424887,244.2086754740564,199.97839861485818,86.98012331638584,417.2438814433412,202.96990388537495,173.17917111555755,264.4213989557518,100.60344771871351,225.89185225401846,506.5033055650536,162.91773823134116,260.6577072396574
3,Spurs,184.29781272912888,38,289.0266214791538,,214.48260399945644,391.22928905110336,163.12610581232525,134.23973043380428,,58.619684610383786,,66.76797708080971,99.9778372083012,,303.1893860175388,256.5057320930343,234.6916356580848,154.25879303235294,,301.2445397371053,,200.54860896598592,61.812845647559364,430.3848930859837,,77.91597437702141,143.19015939072864,,51.37340972130932,,348.7859378993948,,155.53031402737915,230.83673864271802,370.9206656868812,464.4541488045516,,,134.380719626927,229.07848120371227,,181.58973364154252,71.83771252872808,110.00042874123197,67.58181466661065,130.2799567771668,181.18334263235323,110.9160416428396,110.2513858816549,10.19312381516641,73.61745833941181,160.72351097796516,228.56954076861712
4,Chelsea,177.4764019071682,38,207.79558494627338,,131.56857074355548,111.80649444893461,169.42329054372524,112.06180335998472,234.7033924693386,236.22391628075786,,67.19481596595257,399.8478257605059,,141.29609915577905,,,89.9726285664851,142.22875571213808,204.3703787291889,,,,147.7511073589385,,,,,129.3857482964415,65.38916182680136,135.55064260808828,,232.70007403372287,86.95167157867984,286.10437584376126,73.80306894920386,286.9906887866836,209.25255564278464,137.78702657289526,72.87173764915104,222.80368079787704,210.02051401723958,268.84113637749437,200.5658890172961,207.26228991015986,27.188953371431804,343.46410142255695,41.74177221097807,322.05270715246223,123.84779469994902,95.22906370291325,412.0534512842724,156.00050267798838
5,Arsenal,164.3905393342242,38,393.115179903408,,41.42638606940929,47.92987132508913,207.2926209858049,96.97587366936408,,244.13851026981413,292.67910006499665,110.91463383575568,273.3387706610188,,138.2463603049266,115.84014004584664,88.6926312837281,238.43019663522006,,80.3007621329494,,,233.28453332909413,172.23503430776168,,,147.24307332346987,,122.1970371582154,,,,179.89400269132287,,195.67236394854635,281.02426283294295,285.4892507794648,171.45807744737897,94.7234746097004,113.5982296477539,260.32514619217994,44.49457074607911,119.26972279380222,89.54456743561714,390.89280612893776,240.4834174322324,41.49196357518726,178.75541179184066,98.2534819110417,181.5065878385183,25.10604190891871,98.44448397899329,112.13191570418797
6,Man Utd,151.05093021527568,38,102.95002670624756,,,,106.10363132106927,201.637766515327,96.62543471083804,231.12322038075013,18.29873655192404,111.2953484973641,68.30401568873665,,75.26532233749614,,,125.94650532218469,,77.76153682897652,,193.0097540782742,,199.09917973302274,313.2872589172686,250.31511927754616,164.48572037531633,,176.80373419333714,225.57747394104533,136.99596839150377,,71.4605440651546,164.20846690710988,148.35103420691212,,,140.0508537506316,114.38018691691364,210.0225336746218,88.01849941028601,133.3271650206395,163.26025896224562,171.73075279785417,225.08186301329673,83.21647760429073,94.03975063229254,194.80124936539016,227.89776437012372,234.8772230778825,89.45540838278326,185.81936353842312,125.05019871539655
7,West Ham,148.2204182319526,38,30.619263378189576,,216.83251527601837,,224.0924742578138,51.145749518651044,,62.08853680507952,,249.73961690002824,26.813048223999424,,145.82224783584388,80.9532824402289,,160.29121344080642,,223.6938694730598,,150.8134657771774,,71.25333626362506,,60.49297254078301,80.47020683784122,,22.61310699193241,,179.29088004340366,193.04988436053216,294.827899894921,228.0398488870425,126.31399060758875,,38.34496734415142,89.3413883665051,315.1910253659578,130.60966252043076,36.918674479529145,40.5598141878505,208.00572167715242,303.4515650462641,215.0123473146363,182.1083074839341,151.60308683635895,151.4795592237363,158.799543461293,59.5979812837908,191.44752072391688,185.61355100266067,295.03376674146483
8,Brentford,144.46774863690968,38,64.33299030578442,,162.88657901325334,,303.63649828021266,64.73684092259079,,168.49964828603763,,169.8278355266465,186.53313225214993,,382.35203686549863,140.26164811217072,,162.6541369050814,,148.22578869468242,,41.530485854420604,,72.50485299340998,,259.64452712659624,99.15295630150803,,69.02707937279843,197.6996392603739,62.52820937136331,51.05839023485013,51.91153993530156,51.333956169540876,125.6707003291192,,,147.98132450184292,91.33103877201036,27.895005496956326,107.34704665606459,103.58873871830862,189.72439888834475,76.5287014982084,94.82260813186528,254.08786693592407,138.20726145017275,500.4606265442868,216.51657856908054,83.11669524034265,114.61617193370037,93.87364855084589,213.6672642012215
9,Leeds,140.21367101840636,38,161.8545641559101,,253.16155264111336,78.21604368575817,78.84852379250805,237.11802514332203,,49.15488228273839,,,71.59102626213577,,124.00875145943039,267.7541387355602,,221.50243346519136,19.62606396133135,174.50956618314208,,234.56225237557513,23.49806581964997,165.75596476472552,,21.742048374979618,257.92206905511205,,96.14697214143749,,235.00855465087903,,182.81817530403316,,,148.70169635915872,48.8984061832307,270.44744690734717,162.3434908251419,260.58063229234307,99.1717857347623,181.66551903308428,168.48576432470924,77.99951736874407,159.2469770374215,36.65666901940091,126.09901676369653,121.03339039936431,123.13203835188341,108.3231592821039,139.769493396163,86.7711585494063,53.99366261694662
10,Leicester,138.40481670149495,38,290.7272167738895,6.530243653466874,181.69059746077377,171.9901634441549,132.51331108006187,33.91223779695951,,23.834624407287606,72.43052987291786,45.46743534124717,115.54438468779453,,102.25796493689344,140.037542262986,,62.137545283028345,,27.342319628996115,,161.2762170483135,,144.1270093807036,,141.45067304027094,90.46723488269699,,229.5088335967404,,241.26712289479633,,,102.2434595910402,526.097644263818,,,172.91026567614603,99.39209461110076,120.27428917325594,193.30935445783132,78.04078378225569,60.549657063506515,232.77095339344544,109.797868873087,291.1737774704959,137.09411631361704,193.2458502834212,142.78917475964295,171.97360347177434,85.01933092765576,66.08502453057659,62.10257854016067
