,Team,xG adjusted,xG,xA adjusted,xA,Opponent xG adjusted,Opponent xG
1,Liverpool,248.05876549073562,251.03376097241906,172.06575936854804,174.91918678003313,92.45775719599128,87.11218514822815
2,Man City,243.9813534776149,253.31987731501852,171.57479251815016,178.11475672366979,69.85605395309773,67.28100849952745
3,Spurs,184.29781272912888,181.55007772637825,141.99370351489392,138.43154849631614,120.99312157734938,116.9002926736874
4,Chelsea,177.4764019071682,185.5324151533607,130.45625490217796,135.5492640899396,95.29736965231669,92.56091669790055
5,Arsenal,164.3905393342242,169.86283518030848,100.56924019015445,105.17858729795798,121.57790802978336,127.79548974021485
6,Man Utd,151.05093021527568,152.01069016597773,114.02427752373136,116.66228078844908,154.03405317947713,152.22177836357764
7,West Ham,148.2204182319526,147.99432127589458,102.26148564159438,101.87995206613682,143.93354435911988,143.83934381123828
8,Brentford,144.46774863690968,140.08132178753027,103.79166696148515,100.67562116064916,137.7647378704926,132.0435195891677
9,Leeds,140.21367101840636,136.59192485073092,96.66442439652477,94.48340203809111,182.3253328542844,189.94388950645532
10,Leicester,138.40481670149495,132.75557220178214,96.57218735289052,91.77795364031275,179.2772294314105,178.1152227305268
11,Brighton,134.41448716800392,135.1415966208534,93.11664149135815,93.24287711152513,129.05160030800334,126.97478917451869
12,Crystal Palace,132.55799865013077,131.7577333728734,92.36823236005536,88.70917715524372,108.58897188647597,110.04395896421843
13,Southampton,128.28095288113255,127.49218906422979,87.67972475582697,88.75437438193904,176.49379134020327,176.0193087944859
14,Everton,118.31361510102029,117.66051258646736,81.28719393010638,80.44883537498352,163.50456012772156,161.4070090281434
15,Burnley,114.95403726824038,110.27699238865783,87.10004206988731,82.90235897967298,163.4104417979567,161.81580743654385
16,Aston Villa,114.6001595555882,113.9854053317226,87.29006489761892,87.96080692034019,142.22944931234832,142.96872358475076
17,Newcastle,109.93166977013593,111.95358075936765,72.28727726004253,72.36163960279603,165.2181999636925,172.0973201610736
18,Wolves,106.97232471478371,105.02490067217303,75.7148736526945,72.42007457013978,154.1412679365548,155.57147126742885
19,Watford,105.44698105518518,104.69248087733592,84.84454086791087,83.74562875465735,180.18604955261776,180.9136388529288
20,Norwich,86.24393629653086,83.56043190058125,64.80857216574168,62.96263631727351,211.93717987476555,216.65294617904644
