,Teams,Opponent xG av adj,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,69.85605395309773,38,31.443691139361242,,98.57614925685614,56.71060903222667,128.54007037222468,116.7970938435285,,58.88845743578673,,12.557966518920852,74.87980189409134,,7.753123379038769,,,52.02523787190943,,34.41780715957605,,94.73961193234838,,159.49720326436974,,61.741784054060545,47.62312926910776,,138.97572800524068,,49.15574418568655,,71.25425588970748,24.655680695216702,266.6282061704686,22.502931516161983,24.08586075364678,10.503899947302097,95.96789401285226,97.9546279913879,16.783925423853884,32.80333937466974,72.26014735463883,115.27727406641252,125.14761842699595,142.73298250102692,54.69059083827174,15.137131312556422,55.6851679508928,87.15684987815138,9.944257772869609,4.328153836500753,84.70604588979482
2,Liverpool,92.45775719599128,38,153.816171623878,,13.782335553625998,196.5439811218883,78.27191103409842,14.900478698733057,,52.23099626848008,,10.48638700836994,76.8667800263225,,104.05593961355962,,45.48498739862858,67.34264692176328,,131.67033441596476,,,14.986009330665393,115.9102961918991,,152.2253603212329,59.36322207983334,,178.482436239996,,38.884334344068506,,109.25859999437881,67.0906014291618,,222.85650499419333,26.661294450910585,17.8345303208686,13.104007620274729,62.96116017025942,120.04857620063811,22.818524610218628,122.4360014790803,161.61766671502772,128.98680285520376,41.75764862311386,59.55322645003008,311.2207837747931,70.70226399124218,69.08363812528226,44.712466131179596,90.54538925164199,244.84047806716205
3,Chelsea,95.29736965231669,38,79.53030911721149,,4.553069440330632,53.002757754153365,233.9432038468173,137.30238137939185,58.83624897303473,38.83238109113561,,159.485421113901,64.05661177614776,,252.64506775042747,,,31.89943461845301,167.13295143233927,112.19193259613945,,,,68.49114308599502,,,,,26.192056523753973,79.99546352323645,51.47592555770604,,103.05804148178609,84.17662957923551,60.1402883413735,44.25113924715334,77.12812699938335,183.26752208600192,197.13168715735185,136.97342594363897,53.595395053427154,54.412228179234695,88.39574892560924,20.35980787599795,46.282567622207345,167.89251832642887,173.1324231584746,96.6173177616434,56.21021743543555,149.66636026184983,120.08926874386373,53.64393966034386,35.30903336741893
4,Crystal Palace,108.58897188647597,38,74.52784078447073,99.94330142465073,102.44649665982085,,35.27525322642689,73.7583553432806,,39.601153982740044,,99.45378169958138,95.77723417743546,,89.56153819167798,,,117.10261684407487,,97.8824962826824,,33.6195052936603,237.4729084934339,87.63491156887657,,203.96946090885973,51.298474361441656,,86.31568085101509,,233.3372675936667,,219.22482591112697,102.82390368963917,224.82820731889538,,70.9142470135511,163.79091878811963,82.80239094803875,209.9342581062928,57.63796577863802,136.71679087881571,34.996468616329054,37.78478508035955,98.66916912358145,155.7948052109013,113.64027181413435,69.50948460813414,173.52900161860336,6.17841486426637,142.35440206566614,73.74450638479284,92.52783617840508
5,Spurs,120.99312157734938,38,53.8672342786267,,82.60163709405971,32.985532001555995,60.378231161264466,29.862027317833608,,140.61587903866157,,76.10010193695689,188.67229797676893,,69.51477132313593,63.944767127357686,112.25063105037492,96.85623634308573,,25.597117850991417,,200.7468302600564,212.87729014903093,132.31337893293215,,271.1342407884411,196.659519985639,,81.52339218543335,,212.4520787426622,,41.92499422887878,40.04549296624717,19.57241189608695,89.39614388435815,,,192.02273440111864,23.27886591243312,,155.4758992297138,74.13131566212809,132.0655490822512,169.83764047730062,83.40171326838346,136.25212504528469,123.0201999942489,202.9190192525461,362.73160879919766,82.3290103109346,208.09419666213833,120.28650332115787
6,Arsenal,121.57790802978336,38,133.47930052030364,,217.39716691749305,275.39144692824044,73.77072784037738,44.165181822628405,,194.30544724613242,46.2840652792363,117.97438500728896,63.78878643350737,,153.33936666983357,39.250573090337696,73.68624216614866,59.815930126304586,,179.02271094266948,,,152.75104810504982,66.1458150065795,,,88.3118660619601,,51.00740861123246,,,,113.54210006912844,,26.688782861979604,139.1253994859984,33.111499404650075,56.966091751064745,132.47395284761484,176.5660857017557,23.946503681126522,229.30411932628212,67.91382918440029,224.07404444762545,178.99888178266966,54.02687587238158,119.37020450012291,78.07526187433442,101.70642927609529,99.90914378224356,255.5221432909093,283.8241099944281,194.92757722163122
7,Brighton,129.05160030800334,38,26.2704303692627,,235.3370069923806,,88.62854449863535,72.76249318606307,,105.1225106580633,87.2545080189129,46.69703213359254,204.32446415405434,,85.5135669370809,,164.14160396902162,143.68991935931294,,247.41323098390998,,165.2740219236458,,107.6933535856306,261.6893825601898,73.6214440161587,,,219.51497233834826,44.75107506358677,55.94124389548946,,224.5499011533635,59.5080388402677,113.91247938042004,,153.8552146926662,,156.12642153067674,112.0592615967351,92.18931938687443,139.36847747433788,29.36376895883186,80.57623905588271,209.14053189258016,200.98261383882158,31.015809442976728,150.18818849247893,136.57148292014048,75.33998623337304,190.34432567463455,56.25073106286736,256.97721543285917
8,Brentford,137.7647378704926,38,156.4649325798175,,331.34528581344324,,112.13355041782071,175.15189453920172,,42.63479019176102,,236.07702759571995,23.923142644174163,,100.56050971646685,139.2864318110578,,108.22884065597725,,136.27688855656393,,295.44868077840954,,133.88755758384013,,54.661381813117956,114.27148587476329,,30.046540453198784,195.94703219021332,201.43605291392677,180.69977237827737,144.40594673216626,58.165815979924325,100.94848793211068,,,77.56863325218065,156.93757836980055,166.61148978337363,118.98399541741202,282.2725528464003,200.40401840809133,383.0709607037399,109.20895303253945,19.350392728634684,135.2633330378713,131.77821235060793,140.88407651251396,30.80811437852336,56.202153628609615,66.54735524187956,87.16617023458984
9,Aston Villa,142.22944931234832,38,191.67007207334404,213.90666652518078,158.7185144034796,109.15595687226019,171.82561754118606,60.95566915444164,,25.668269678748075,,,78.7314660034322,,252.70323983281418,97.49935555151605,,154.8480373430086,20.54230743589383,150.80094352616317,,67.14878445356432,,251.47069938805183,,68.14802379343787,269.9631697660346,,152.20860900067296,,128.84711407996636,,52.98155749219626,,220.46809120973933,,88.47000880927622,156.22004938263458,107.03852701086925,58.170327453629625,105.6007783629436,63.450517511084236,101.88020194389011,293.1469434126576,329.0033719936063,302.4240037447249,142.67992366275067,183.2139959635413,92.79972277064975,95.43540471028705,116.97867777394265,81.5896612566599,188.35479298095603
10,West Ham,143.93354435911988,38,179.53353753657066,,123.32918059151461,,134.80901372736437,82.11888150410383,,183.13938878151677,,260.42624070879776,191.53733702556048,,80.85433724201287,203.22555985732086,,134.53715652871577,,127.33322996649564,,122.82630229827976,,120.69417162179901,,153.26039920076104,46.33966570134405,,167.2996358478354,,247.47785294006775,59.421301045417174,295.93122694595735,140.1070451509978,153.858862994067,,241.7514487715363,71.86438803561197,106.82335737161833,134.90612383012166,157.924291503835,181.62355604067915,83.900061856429,87.229929690609,53.54403587680534,105.24864315486822,141.91500724910165,127.45529044501806,215.64710249821366,78.50865200984954,184.01698443403183,71.60246765220238,217.4530180095235
