,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
174,Dominic Calvert-Lewin,Everton,Forward,4.44842273697576,9.943533176769348,38,17,105.81035489291786,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,7.160337699217387,0.0,,30.307659255950544,0.0,,0.0,,0.0,,0.0,,2.120754086336236,0.0,,11.825189666887256,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.670021080467263,8.145747323302324,0.0
175,Anthony Elanga,Man Utd,Midfielder,4.4292837585745035,8.014894420277674,38,21,0.0,,,,7.931641483865887,61.84714187138744,0.0,0.0,0.0,45.037326329452334,0.0,,0.0,,,0.0,,0.0,,36.21999784223857,,0.0,0.0,0.0,4.6250169928745395,,4.999482190972526,7.652176115039843,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,Edward Nketiah,Arsenal,Forward,4.410503166010155,7.980910490875519,38,21,14.31169036266505,,7.278431831535519,0.0,0.0,6.091013892363054,,12.721478961116325,0.0,2.8736055453887968,9.043910665020517,,44.40974191223675,0.0,0.0,0.0,,0.0,,,46.9527558137548,0.0,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,23.91649132430506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,Stuart Armstrong,Southampton,Midfielder,4.401340320011108,6.690037286416883,38,25,1.8447257078407435,,0.0,,26.846074883523865,0.0,,15.105471032593373,0.0,5.180880863325629,10.299531498730712,,2.0233008681422606,,,4.639347374214106,4.999923810396649,0.0,,28.038239286625444,,1.5060209277828864,,4.1559612254590235,15.626674393200567,,22.05666759499452,,0.0,,0.0,2.0792831722926373,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,15.937675436784533,0.0,5.553717148749163,1.3574369357659601,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,Hee-Chan Hwang,Wolves,Forward,4.281177967637873,4.994707628910853,35,30,0.0,,0.0,0.0,0.0,17.718059449083484,,12.699603475994003,,,0.0,,0.0,0.0,,0.0,35.01896779926046,0.0,,5.425234626160436,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,13.774643172836452,1.355067648943388,2.5312701632348333,1.5430006549840753,10.90186361401209,0.0,0.0,0.0,48.873518262816354,0.0,0.0,0.0,,,
179,Cedric Soares,Arsenal,Defender,4.256816455105012,7.702810728285259,38,21,37.68611847625506,,0.0,3.240348596874654,0.8992217305826996,0.0,,0.0,23.560610676130512,7.428580042406349,37.78046040859974,,0.0,12.139995983913204,0.0,0.0,,3.1976865659050318,,,0.0,15.182453587402511,,,0.0,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.6422315455588805,0.0,14.00131768036181,0.0
180,Naby Keita,Liverpool,Midfielder,4.233566744940587,6.994588535119232,38,23,9.29605574979707,,0.0,0.0,0.0,28.76556469166772,,4.642822166257393,,0.0,0.0,,0.0,,0.0,0.0,,11.904256052318598,,,0.0,3.764248996428437,,0.0,0.0,,0.0,,0.0,,0.0,6.057877101434861,,5.036059471201228,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.60198792395997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.80666415467708
181,Rayan Ait Nouri,Wolves,Defender,4.101992735905186,6.777205389756394,38,23,0.0,,1.6225605488841408,10.282659496058162,0.0,0.0,,0.0,,,0.0,,0.0,0.9164410463142398,,0.0,7.92772533964856,0.0,,0.0,9.541651701074473,2.0006873933517655,,6.220504702613488,0.0,,0.0,,42.12592068992725,,0.0,,,0.0,0.0,2.300693128893396,0.0,0.0,6.687634843476331,49.43474507168931,0.0,16.814500002465948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
182,Fabian Schar,Newcastle,Defender,4.098553468047487,6.229801271432181,38,25,0.0,,0.0,,0.0,0.0,,0.0,12.163580580549281,4.802828071149574,6.5883802381990115,,0.0,,0.0,0.0,0.0,0.0,,42.841107754037154,,28.974457183480425,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,0.0,0.0,13.137569237965263,0.0,3.3552489140137123,43.88185980641009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,Enock Mwepu,Brighton,Midfielder,4.09497158659935,8.644940016154184,38,18,0.0,,0.0,,0.0,5.82067062995558,,7.989286922678994,0.0,0.0,39.9286985411049,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,58.77549946170828,0.0,30.836270135209453,,7.6035377949985685,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.654956805119552
184,Craig Cathcart,Watford,Defender,4.026084481203986,4.935200331798434,38,31,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,80.91989951946455,0.0,,0.0,0.0,0.0,0.0,,1.4839106268294677,,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.58740013945744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,Rodrigo Hernandez,Man City,Midfielder,4.025480490363993,4.63540177678278,38,33,9.549192274226826,,2.172000384093041,0.0,6.444254934997186,1.6362631268451564,,3.6943324257999697,,0.0,0.0,,0.0,,,0.0,,9.96351238737663,,2.5134268773000286,,21.98433202678261,,0.0,3.8300288659838504,,0.0,,17.5593061174077,,1.8503635547013064,0.0,0.0,0.0,28.785038146199238,1.8182441794411899,2.0545349881994377,0.0,0.0,2.0596264207543458,7.881916932684042,8.750734533348997,0.0,0.0,0.0,0.0,0.0,0.0,13.73669348699788,6.684456970692281,0.0
186,Robert Kenedy Nunes do Nascimento,Chelsea,Defender,3.987365935402997,59.81048903104495,15,1,59.81048903104495,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,
187,Joel Veltman,Brighton,Defender,3.937979163788723,4.4012708301168075,38,34,0.0,,0.0,,3.3949414363932418,3.4231368432909752,,0.0,0.0,0.0,0.0,,0.0,,3.992213828723981,0.0,,2.753876509324937,,0.0,,0.0,23.666090742961263,45.19185349455733,,,0.0,0.0,6.525183842657314,,0.0,8.231361589646015,0.0,,2.48132737573082,,0.0,0.0,0.0,0.0,9.895241184846284,0.0,0.0,0.0,10.152789093414489,11.335756806146538,5.304690222128353,0.0,13.294745254149943,0.0,0.0
188,Ken Sema,Watford,Midfielder,3.89522763214675,8.223258334532026,38,18,8.835536895459079,,61.84123910761628,12.959598351082297,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,2.061251468912155,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.996278496447155,56.32474570205952
189,Virgil van Dijk,Liverpool,Defender,3.888324367902866,4.345774293538497,38,34,0.0,,0.0,2.6525809798703777,14.577834115205137,0.0,,0.0,,0.0,0.0,,0.0,,0.0,0.0,,0.0,,,0.0,37.465769403670826,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,2.0770653638832477,0.0,0.0,0.0,0.0,3.523600110053125,0.0,0.0,63.314963373629084,8.294406673631824,0.0,12.020763536410236,3.829342423955034
190,Mason Greenwood,Man Utd,Midfielder,3.877401153366684,8.185624657107445,38,18,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,0.0,7.059737842684012,0.0,,6.355209145061927,14.656800054572543,0.0,,,0.0,3.5557935216906524,0.0,0.0,0.0,0.0,0.0,59.711806734046846,0.0,0.0,10.07606982288165,4.758372953430352,3.900359804237363,12.951620547296988,6.80673169391571,17.508741708115938
191,Declan Rice,West Ham,Midfielder,3.8743973029672256,4.089641597576516,38,36,0.0,,0.0,,0.0,0.0,,0.0,,12.892221850183354,0.0,,2.16294405722542,0.0,,0.0,,0.0,,6.181286932655799,,4.691419876598389,,0.0,0.0,,0.0,,0.0,1.7919814511683811,26.435103403687993,0.0,0.0,,0.0,3.4814229681682427,0.0,7.225829328568036,0.0,0.0,0.0,11.083236910294918,0.0,13.084184173365456,0.0,23.036988537566113,0.0,1.9508541168841125,11.287473670526554,14.486526077687241,7.435624158174568
192,Chris Wood,Newcastle,Forward,3.8488390422056935,4.075241338806029,36,34,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,7.3129303044249685,,0.0,,6.417797312217842,0.0,0.0,57.53622219640742,,11.48202260796402,,4.975144523650236,,2.0577697429519715,0.0,,11.215094642281601,,0.0,,0.0,7.7305104768171935,,,,0.0,3.411853138867812,1.5901509137378171,,0.0,0.0,0.0,0.0,0.0,0.974441538187246,0.0,7.44271775418572,0.0,5.740061019207818,0.0,10.671489348503302
