,Teams,Opponent xG av,Matches,GW38,GW37*,GW37,GW36*,GW36,GW35,GW34*,GW34,GW33*,GW33,GW32,GW31*,GW31,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,67.28100849952745,38,24.784070625901222,,100.88039375841618,41.185700707137585,99.50992306694388,110.318139847368,,42.63198338449001,,11.735409125685692,129.98303938657045,,5.912232119590044,,,47.40018732845783,,36.17822006344795,,77.08186358213425,,200.23471768945458,,35.675471276044846,46.13048583269119,,122.5215279497206,,63.06435260921717,,83.69490988552569,23.882901994511485,244.76466290652752,17.420754302293062,22.74977285414934,7.6283871196210375,69.47544291615486,77.2083152551204,17.176254279911518,26.68939083814621,75.95613226294518,105.02910912036896,116.95034392178057,108.84265378117561,94.93680596351624,19.4201797246933,49.092254880815744,80.00997826457024,11.680477857589722,2.5008821859955788,106.34099431335926
2,Liverpool,87.11218514822815,38,111.70796640217304,,12.150559201836586,154.91692395880818,98.2635036110878,11.535278335213661,,42.49608423560858,,11.022748053073883,134.64735485613346,,75.33074021339417,,53.42644974589347,62.931646779179566,,134.7481645643711,,,14.15470726788044,66.97497498244047,,116.08117409050465,54.49543111026288,,162.615323998034,,37.665589433163404,,140.1732999831438,61.589164473116405,,279.7767512500286,20.639971271157265,14.057263731956482,9.516697935760021,51.2263398617506,105.83527926355599,26.80253041908145,125.29797656461596,151.03157330304384,135.58426070958376,30.230226088315252,104.31924443691969,301.46624501794577,64.4168233498931,65.25143906474113,57.36384987831116,69.04641296714544,141.47306522354484
3,Chelsea,92.56091669790055,38,57.575541362166405,,4.179717227816582,50.062595307826996,169.89968791604045,111.71170342713594,61.845624074339874,39.740098640322685,,187.3308166861534,56.47255145013333,,244.72645744681358,,,24.69510305672884,96.57231159508228,85.55322997272015,,,,62.40227138623596,,,,,32.88182448595762,74.75569322705269,90.17025576904416,,178.89734115451574,78.66298938170075,47.402868419885635,32.13709406554698,62.75284057483077,173.1013286858797,201.7396943643689,99.16117815300822,56.336709298193455,49.95041927322745,67.4071803689003,15.761644672602415,26.74286849796772,162.63029240071774,152.63419970870018,169.24432460218668,70.5669866874814,117.96775469556451,208.46166461706161,63.009916245937355,32.170055620372295
4,Crystal Palace,110.04395896421843,38,78.33981439471245,81.31567956879735,80.74882803484797,,25.53733065724373,65.02564530819654,,37.404403649270535,,76.99263067916036,87.92349006980658,,105.1985565572977,,,205.1283740438521,,71.08650859445333,,25.636934861540794,171.9172403216362,112.43119304999709,,197.57648166269064,29.64114621281624,,149.83445815742016,,218.05347986519337,,224.34926629066467,59.41343093290925,282.252050191164,,62.51826863735914,133.2632570527494,87.03759387135506,198.28881081193686,45.430525578558445,104.25493866205215,25.415951386094093,66.18751771748066,76.38521902263165,182.99583680927753,104.32175658643246,64.95655477046967,301.2271197512746,7.756456732749939,145.68197522312403,71.43314518034458,118.7085697427392
5,Spurs,116.9002926736874,38,31.12542014569044,,62.98881471157074,38.74464891850948,104.80991937220097,27.41333767771721,,136.20858006179333,,71.11548110842705,148.71242493391037,,53.81519962102175,65.43949358165264,104.89812009036541,101.81026980280876,,20.826278533786535,,189.61102683097124,162.331990711391,231.77302964031696,,196.90942987799644,173.37577734142542,,104.5904204249382,,195.03098409622908,,30.35137504339218,35.304258204996586,17.832421883940697,155.1818006671965,,,110.95405891537666,22.549240477383133,,146.85135930776596,60.31458061188459,138.82047962397334,173.80764186382294,64.56584352999926,107.3945891112089,144.49894148856401,260.3349169716239,330.48472069203854,59.60164610296488,151.1270192451775,210.70558037608862
6,Brighton,126.97478917451869,38,26.88450887799263,,222.28242154233158,,93.16174536943436,52.843274269253016,,92.67640337347984,152.8435131534934,58.62401882186532,239.9985432624817,,49.41121879965066,,206.06535449624062,249.4297791272402,,191.53616074472666,,130.26978969573975,,82.12278755381703,275.0743540003896,53.297850117087364,,,201.51471961289644,57.41338320076466,50.96805989742279,,182.69786518067122,76.34582705795765,110.34214040264487,,111.73632116988301,,137.64164429157972,114.67867754399776,87.07540482282639,109.8509132862091,22.732105106115338,139.8714231327176,366.35096985846764,116.1312323063612,36.43102217465639,136.83643862605095,125.37260577082634,72.97861818224192,154.86758965998888,40.72241550311446,195.96088863909245
7,Arsenal,127.79548974021485,38,108.60117562115192,,168.29907819628716,345.72975262999535,69.67852711677551,45.197555050253875,,204.24384381622076,59.38013270497322,104.00666445493697,59.61056714877487,,139.70747664570808,30.937493033707142,127.91115194559099,54.91101704537869,,129.60253283381462,,,110.93442756682634,64.07261826097965,,,64.13590237498283,,38.89627764001489,,,,198.89142531901598,,15.421240590512749,131.4078524708748,33.88548977673054,50.22152215242386,107.78320655226707,185.59714378789064,18.53830274194479,398.0465441942215,49.16585292667151,205.6999472901225,141.0877911373973,49.22387944534421,111.55135547742248,98.01662787795067,77.5573905557394,57.72923221811652,447.5975276902318,364.1320876777172,188.8179961591959
8,Brentford,132.0435195891677,38,147.78552912175655,,269.58852373063564,,98.85736256837845,184.1106191277504,,53.52423116564751,,170.90669982135296,24.482352659106255,,129.01408672332767,127.86492854356766,,82.53112928941846,,78.74314449727535,,228.72303873300552,,157.2636879980564,,49.8019777238369,200.169088691473,,21.821099147200584,205.9693930670619,349.6706686913967,159.3056034296751,113.82147110998632,101.88892083242536,94.33627687394619,,,56.15539662539958,148.2319563627243,209.16607901453972,96.80753294378519,218.52267496287823,115.79690985381603,292.11510345339775,100.2538064494729,24.825582653284073,138.425150513649,228.75237558037043,102.31611877679825,28.790156915783882,44.29881144315004,60.63128653913736,102.3849687539041
9,Aston Villa,142.96872358475076,38,335.74800714850426,163.11695333570242,144.60841743275523,189.4826466217637,131.0275724157691,35.22124048322439,,23.563468642532825,,,98.84043447673321,,183.52403864264488,114.52227905392648,,158.46765264868736,19.40278708934784,132.94668272137642,,62.750482466071844,,182.0508660748601,,52.75712534785271,254.98780608177185,,123.83968010544777,,135.43742708861828,,51.32096577435732,,282.84949548542494,,51.1195020750165,271.1806965060532,98.2613556087017,101.89682357013226,96.21285516768694,59.294455125927925,89.8179717361927,299.9993335455656,386.4457950927317,219.63341105729342,179.12210151553154,192.5850834697485,75.50353463739157,122.43883423507214,113.31223547458649,63.163034617900855,136.35844364762306
10,West Ham,143.83934381123828,38,167.77393948286772,,216.0354308784008,,77.8949810191989,96.456447429955,,234.95864383876324,,198.59098196029666,185.53401567041874,,65.784552693367,255.1318253390491,,106.04284256696701,,221.03637866675854,,89.20178096741438,,93.4359822422266,,140.69302901625633,33.54735281318426,,175.8567306213081,,233.74979197978973,34.33465603739023,269.6229016408324,101.42974499613047,135.64255610108376,,283.960101287812,54.801003728061914,137.04900592565536,126.06965899467468,276.6356039792299,131.90289344638586,145.6412112340331,68.75505577772856,67.21983011811972,85.63220165669918,137.46698992326856,120.38510628044605,226.6770888119936,69.21352483332157,167.6578501239419,65.73105715215206,168.34231559187174
