, FPL 19-20 1st part, Understat 19-20 1st part, FPL 19-20 2nd part, Understat 19-20 2nd part,FPL 20-21,Understat 20-21
Home,184,160,155,139,167,151
Away,-154,-135,-148,-127,-162,-143
