GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW19*,GW20,GW21,GW22,GW23,GW24,GW24*,GW25,GW25*,GW26,GW26*,GW27,GW27*,GW28,GW29,GW30,GW31,GW32,GW32*,GW33,GW34,GW35,GW35*,GW35**,GW36,GW37,GW38
232.0,137.0,68.0,127.0,120.0,171.0,59.0,125.0,82.0,175.0,139.0,245.0,110.0,175.0,201.0,135.0,321.0,118.0,229.0,,135.0,154.0,149.0,193.0,214.0,,98.0,,195.0,,209.0,,138.0,222.0,68.0,210.0,275.0,,213.0,192.0,175.0,64.0,,,116.0,178.0
,213.0,191.0,268.0,140.0,154.0,343.0,307.0,195.0,159.0,,169.0,329.0,273.0,327.0,137.0,216.0,,108.0,166.0,268.0,123.0,116.0,160.0,45.0,,164.0,,105.0,237.0,86.0,,171.0,119.0,174.0,94.0,120.0,,357.0,183.0,146.0,124.0,,204.0,248.0,87.0
123.0,139.0,206.0,176.0,245.0,77.0,108.0,284.0,101.0,129.0,147.0,120.0,109.0,303.0,168.0,176.0,222.0,44.0,105.0,,248.0,237.0,162.0,70.0,317.0,,351.0,,180.0,,112.0,,126.0,178.0,123.0,248.0,117.0,,199.0,170.0,103.0,,,97.0,266.0,45.0
,180.0,124.0,133.0,118.0,122.0,27.0,40.0,141.0,73.0,121.0,132.0,65.0,154.0,237.0,90.0,,105.0,112.0,83.0,133.0,25.0,23.0,281.0,195.0,89.0,60.0,,110.0,147.0,98.0,,146.0,,125.0,282.0,117.0,,177.0,136.0,178.0,,,191.0,165.0,189.0
150.0,73.0,287.0,207.0,223.0,87.0,202.0,286.0,167.0,121.0,391.0,111.0,160.0,176.0,208.0,175.0,133.0,,278.0,140.0,194.0,268.0,255.0,138.0,258.0,,118.0,,177.0,132.0,219.0,,232.0,,221.0,342.0,108.0,,210.0,177.0,123.0,267.0,,,300.0,282.0
77.0,167.0,139.0,51.0,29.0,276.0,176.0,155.0,205.0,124.0,274.0,209.0,122.0,77.0,120.0,36.0,125.0,137.0,34.0,,76.0,100.0,72.0,101.0,192.0,,51.0,,40.0,84.0,51.0,,89.0,,178.0,45.0,,,52.0,94.0,291.0,179.0,,345.0,193.0,57.0
160.0,313.0,145.0,184.0,118.0,95.0,198.0,81.0,209.0,173.0,221.0,129.0,218.0,94.0,97.0,,98.0,92.0,,,106.0,120.0,131.0,118.0,74.0,64.0,95.0,,119.0,162.0,45.0,,180.0,,164.0,57.0,188.0,,89.0,184.0,112.0,175.0,,216.0,183.0,103.0
39.0,143.0,174.0,104.0,156.0,160.0,177.0,167.0,168.0,141.0,53.0,139.0,127.0,130.0,128.0,,,175.0,115.0,143.0,119.0,154.0,128.0,176.0,193.0,78.0,164.0,,138.0,131.0,147.0,,78.0,212.0,155.0,156.0,69.0,,,132.0,209.0,,,131.0,125.0,133.0
211.0,270.0,123.0,70.0,151.0,58.0,176.0,109.0,154.0,214.0,180.0,209.0,155.0,212.0,99.0,132.0,90.0,,195.0,115.0,244.0,197.0,158.0,143.0,122.0,,195.0,,113.0,187.0,102.0,,275.0,,53.0,220.0,214.0,,150.0,269.0,339.0,166.0,,,74.0,133.0
98.0,147.0,181.0,245.0,178.0,324.0,138.0,102.0,213.0,260.0,82.0,178.0,368.0,234.0,121.0,183.0,183.0,,100.0,,136.0,205.0,221.0,224.0,143.0,,266.0,143.0,150.0,,151.0,,112.0,131.0,297.0,28.0,208.0,,90.0,133.0,269.0,,,187.0,183.0,252.0
385.0,227.0,268.0,264.0,279.0,237.0,146.0,126.0,343.0,80.0,149.0,172.0,313.0,181.0,186.0,150.0,228.0,,245.0,337.0,205.0,174.0,131.0,116.0,290.0,,183.0,,239.0,84.0,156.0,,162.0,,233.0,344.0,247.0,,274.0,,234.0,259.0,,291.0,227.0,263.0
,186.0,147.0,248.0,193.0,195.0,232.0,76.0,339.0,222.0,213.0,127.0,362.0,112.0,233.0,,224.0,276.0,180.0,468.0,290.0,190.0,227.0,167.0,256.0,227.0,242.0,,138.0,415.0,245.0,254.0,170.0,,158.0,316.0,182.0,,,273.0,177.0,,,181.0,132.0,303.0
,206.0,123.0,63.0,367.0,148.0,109.0,142.0,274.0,194.0,142.0,86.0,173.0,353.0,108.0,158.0,263.0,199.0,129.0,180.0,190.0,140.0,392.0,185.0,198.0,,218.0,,106.0,109.0,160.0,,207.0,,172.0,217.0,341.0,,155.0,,258.0,39.0,235.0,,106.0,94.0
180.0,43.0,86.0,139.0,106.0,68.0,158.0,46.0,79.0,130.0,,188.0,143.0,116.0,69.0,99.0,96.0,78.0,48.0,67.0,180.0,156.0,258.0,90.0,108.0,,103.0,,235.0,,140.0,,171.0,19.0,338.0,182.0,213.0,,124.0,44.0,191.0,,,184.0,151.0,109.0
128.0,56.0,182.0,70.0,119.0,164.0,51.0,79.0,110.0,281.0,58.0,23.0,188.0,61.0,129.0,106.0,111.0,258.0,177.0,,95.0,35.0,196.0,104.0,151.0,,66.0,,79.0,99.0,70.0,,8.0,,103.0,88.0,121.0,,103.0,115.0,68.0,,,137.0,63.0,113.0
137.0,175.0,59.0,156.0,177.0,142.0,75.0,204.0,113.0,126.0,133.0,203.0,117.0,130.0,30.0,104.0,51.0,,85.0,,147.0,309.0,14.0,212.0,82.0,,31.0,139.0,106.0,,188.0,133.0,177.0,,352.0,132.0,127.0,,,77.0,125.0,206.0,,182.0,160.0,176.0
