,Name,Team,Threat per fixture,Threat per game,Team games,Played,Threat GW47 7 - average,Threat GW46 7 - average,Threat GW45 7 - average,Threat GW44 7 - average,Threat GW43 7 - average,Threat GW42 7 - average,Threat GW41 7 - average,Threat GW40 7 - average,Threat GW39* 7 - average,Threat GW39 7 - average,Threat GW38 7 - average,Threat GW37 7 - average,Threat GW36 7 - average,Threat GW35 7 - average,Threat GW34 7 - average,Threat GW33 7 - average,Threat GW32 7 - average,Threat GW31 7 - average,Threat GW30 7 - average,Threat GW29 7 - average,Threat GW28 7 - average,Threat GW27 7 - average,Threat GW26 7 - average,Threat GW25 7 - average,Threat GW24* 7 - average,Threat GW24 7 - average,Threat GW23 7 - average,Threat GW22 7 - average,Threat GW21 7 - average,Threat GW20 7 - average,Threat GW19 7 - average,Threat GW18 7 - average,Threat GW17 7 - average,Threat GW16 7 - average,Threat GW15 7 - average,Threat GW14 7 - average,Threat GW13 7 - average,Threat GW12 7 - average,Threat GW11 7 - average,Threat GW10 7 - average,Threat GW9 7 - average,Threat GW8 7 - average,Threat GW7 7 - average,Threat GW47 color,Threat GW47,Threat GW46 color,Threat GW46,Threat GW45 color,Threat GW45,Threat GW44 color,Threat GW44,Threat GW43 color,Threat GW43,Threat GW42 color,Threat GW42,Threat GW41 color,Threat GW41,Threat GW40 color,Threat GW40,Threat GW39* color,Threat GW39*,Threat GW39 color,Threat GW39,Threat GW38 color,Threat GW38,Threat GW37 color,Threat GW37,Threat GW36 color,Threat GW36,Threat GW35 color,Threat GW35,Threat GW34 color,Threat GW34,Threat GW33 color,Threat GW33,Threat GW32 color,Threat GW32,Threat GW31 color,Threat GW31,Threat GW30 color,Threat GW30,Threat GW29 color,Threat GW29,Threat GW28 color,Threat GW28,Threat GW27 color,Threat GW27,Threat GW26 color,Threat GW26,Threat GW25 color,Threat GW25,Threat GW24* color,Threat GW24*,Threat GW24 color,Threat GW24,Threat GW23 color,Threat GW23,Threat GW22 color,Threat GW22,Threat GW21 color,Threat GW21,Threat GW20 color,Threat GW20,Threat GW19 color,Threat GW19,Threat GW18 color,Threat GW18,Threat GW17 color,Threat GW17,Threat GW16 color,Threat GW16,Threat GW15 color,Threat GW15,Threat GW14 color,Threat GW14,Threat GW13 color,Threat GW13,Threat GW12 color,Threat GW12,Threat GW11 color,Threat GW11,Threat GW10 color,Threat GW10,Threat GW9 color,Threat GW9,Threat GW8 color,Threat GW8,Threat GW7 color,Threat GW7,Threat GW6 color,Threat GW6,Threat GW5 color,Threat GW5,Threat GW4 color,Threat GW4,Threat GW3 color,Threat GW3,Threat GW2 color,Threat GW2,Threat GW1 color,Threat GW1
1,Mohamed Salah,Liverpool,56.73684210526316,63.411764705882355,38,34,66.85714285714286,72.0,64.42857142857143,59.285714285714285,53.142857142857146,50.142857142857146,56.142857142857146,62.42857142857143,59.285714285714285,59.285714285714285,71.57142857142857,71.57142857142857,71.57142857142857,71.57142857142857,71.57142857142857,71.57142857142857,71.57142857142857,71.57142857142857,71.57142857142857,71.57142857142857,73.14285714285714,73.14285714285714,70.0,62.857142857142854,52.142857142857146,63.142857142857146,63.857142857142854,56.0,56.0,43.142857142857146,45.57142857142857,47.0,47.0,42.42857142857143,29.428571428571427,42.857142857142854,48.285714285714285,53.42857142857143,57.0,60.285714285714285,56.57142857142857,60.714285714285715,52.857142857142854,light green,34.0,green,53.0,green,80.0,green,73.0,green,133.0,light green,39.0,green,56.0,green,70.0,white,,red,0.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,44.0,light green,30.0,green,112.0,green,81.0,green,100.0,light green,48.0,green,86.0,green,55.0,light green,30.0,green,90.0,light green,31.0,light green,25.0,white,,green,125.0,green,91.0,red,0.0,light green,30.0,red,0.0,light green,48.0,light green,35.0,green,93.0,red,0.0,green,94.0,green,68.0,light green,36.0,green,73.0,green,58.0,green,67.0,light green,29.0,light green,39.0
2,Raheem Sterling,Man City,48.13157894736842,55.42424242424242,38,33,59.42857142857143,50.42857142857143,35.714285714285715,44.285714285714285,32.714285714285715,25.571428571428573,20.857142857142858,20.142857142857142,25.714285714285715,33.142857142857146,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,24.0,19.142857142857142,19.142857142857142,21.714285714285715,30.285714285714285,36.142857142857146,36.142857142857146,35.714285714285715,38.285714285714285,49.857142857142854,63.142857142857146,61.42857142857143,61.714285714285715,58.42857142857143,63.0,58.142857142857146,53.57142857142857,51.142857142857146,50.285714285714285,55.0,49.857142857142854,47.285714285714285,59.57142857142857,63.142857142857146,green,78.0,green,103.0,red,4.0,green,115.0,green,50.0,light green,33.0,light green,33.0,pink,15.0,red,0.0,green,64.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,34.0,white,,red,0.0,red,0.0,light green,28.0,white,,green,54.0,green,52.0,red,0.0,red,0.0,pink,18.0,green,60.0,green,69.0,green,51.0,green,70.0,green,81.0,green,93.0,red,6.0,green,62.0,light green,46.0,green,83.0,light green,36.0,light green,49.0,green,76.0,red,0.0,green,95.0,pink,10.0,green,65.0,green,122.0,green,74.0
3,Raul Jimenez,Wolves,44.21052631578947,44.21052631578947,38,38,28.428571428571427,32.0,38.142857142857146,34.0,34.42857142857143,40.285714285714285,45.142857142857146,46.857142857142854,49.57142857142857,49.57142857142857,49.285714285714285,49.285714285714285,49.285714285714285,49.285714285714285,49.285714285714285,49.285714285714285,49.285714285714285,49.285714285714285,49.285714285714285,49.285714285714285,54.42857142857143,50.285714285714285,46.714285714285715,56.285714285714285,60.285714285714285,60.285714285714285,57.57142857142857,47.857142857142854,48.142857142857146,59.142857142857146,68.71428571428571,59.0,66.14285714285714,63.0,64.57142857142857,59.0,46.142857142857146,37.57142857142857,33.57142857142857,24.714285714285715,29.0,28.857142857142858,28.857142857142858,pink,10.0,light green,39.0,green,60.0,green,52.0,red,4.0,red,8.0,light green,26.0,light green,35.0,white,,green,82.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,31.0,green,55.0,light green,45.0,light green,42.0,light green,38.0,white,,green,54.0,green,80.0,green,67.0,light green,26.0,pink,20.0,green,109.0,green,66.0,light green,35.0,pink,12.0,green,69.0,green,103.0,green,87.0,light green,41.0,green,116.0,pink,13.0,pink,23.0,light green,30.0,pink,13.0,light green,27.0,pink,13.0,green,54.0,light green,43.0,pink,22.0,light green,30.0
4,Roberto Firmino,Liverpool,43.10526315789474,43.10526315789474,38,38,28.571428571428573,32.42857142857143,31.285714285714285,34.285714285714285,27.714285714285715,24.428571428571427,28.142857142857142,32.57142857142857,32.285714285714285,32.285714285714285,40.857142857142854,40.857142857142854,40.857142857142854,40.857142857142854,40.857142857142854,40.857142857142854,40.857142857142854,40.857142857142854,40.857142857142854,40.857142857142854,43.0,53.0,55.857142857142854,54.285714285714285,53.857142857142854,54.857142857142854,52.57142857142857,46.285714285714285,39.714285714285715,40.142857142857146,40.857142857142854,38.42857142857143,38.42857142857143,49.142857142857146,47.285714285714285,52.857142857142854,49.142857142857146,48.714285714285715,48.714285714285715,52.42857142857143,50.42857142857143,48.714285714285715,52.285714285714285,red,6.0,pink,21.0,pink,10.0,green,58.0,green,61.0,red,9.0,light green,35.0,light green,33.0,white,,pink,13.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,31.0,pink,12.0,light green,38.0,light green,35.0,green,66.0,light green,31.0,green,73.0,light green,46.0,green,82.0,green,58.0,pink,24.0,green,63.0,white,,light green,38.0,green,57.0,red,2.0,light green,36.0,green,61.0,light green,29.0,light green,46.0,green,113.0,light green,44.0,light green,41.0,pink,10.0,green,58.0,light green,29.0,green,72.0,green,99.0,light green,32.0,green,66.0
5,Gabriel Fernando de Jesus,Man City,42.63157894736842,47.64705882352941,38,34,67.14285714285714,54.142857142857146,51.714285714285715,47.285714285714285,30.142857142857142,28.857142857142858,24.142857142857142,24.428571428571427,29.857142857142858,29.571428571428573,38.285714285714285,38.285714285714285,38.285714285714285,38.285714285714285,38.285714285714285,38.285714285714285,38.285714285714285,38.285714285714285,38.285714285714285,38.285714285714285,48.857142857142854,48.857142857142854,43.714285714285715,34.0,46.142857142857146,46.142857142857146,44.285714285714285,50.0,48.285714285714285,49.285714285714285,49.285714285714285,49.57142857142857,38.857142857142854,42.142857142857146,52.714285714285715,45.0,39.142857142857146,39.142857142857146,45.857142857142854,42.0,35.142857142857146,23.714285714285715,28.285714285714285,green,91.0,light green,33.0,light green,46.0,green,139.0,light green,45.0,green,101.0,pink,15.0,red,0.0,pink,16.0,pink,15.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,19.0,white,,light green,36.0,green,68.0,pink,17.0,white,,light green,38.0,pink,14.0,green,76.0,green,93.0,red,0.0,red,0.0,green,102.0,light green,25.0,green,54.0,green,64.0,green,100.0,red,0.0,red,2.0,light green,27.0,light green,48.0,green,128.0,pink,10.0,green,59.0,red,0.0,light green,49.0,red,0.0,red,0.0,light green,48.0,light green,42.0
6,Danny Ings,Southampton,41.0,41.0,38,38,47.142857142857146,44.42857142857143,49.0,42.42857142857143,42.714285714285715,32.57142857142857,34.714285714285715,45.42857142857143,40.857142857142854,40.857142857142854,35.285714285714285,35.285714285714285,35.285714285714285,35.285714285714285,35.285714285714285,35.285714285714285,35.285714285714285,35.285714285714285,35.285714285714285,35.285714285714285,45.142857142857146,47.57142857142857,56.857142857142854,53.857142857142854,49.0,49.0,50.42857142857143,51.714285714285715,47.142857142857146,49.285714285714285,37.285714285714285,42.285714285714285,33.714285714285715,32.42857142857143,39.714285714285715,38.285714285714285,36.714285714285715,39.285714285714285,34.57142857142857,37.0,38.714285714285715,35.42857142857143,26.714285714285715,green,51.0,light green,29.0,green,80.0,pink,22.0,green,116.0,red,6.0,light green,26.0,light green,32.0,white,,green,61.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,34.0,pink,24.0,light green,45.0,pink,21.0,green,101.0,white,,red,0.0,pink,22.0,green,103.0,light green,41.0,green,110.0,red,0.0,green,67.0,pink,10.0,light green,31.0,green,71.0,green,56.0,light green,26.0,light green,35.0,red,7.0,red,1.0,green,82.0,green,61.0,light green,45.0,light green,44.0,red,2.0,pink,24.0,pink,13.0,green,59.0,red,0.0
7,Neal Maupay,Brighton,39.973684210526315,41.054054054054056,38,37,26.142857142857142,27.0,30.142857142857142,24.857142857142858,34.857142857142854,34.0,34.0,31.571428571428573,53.857142857142854,53.857142857142854,53.714285714285715,53.714285714285715,53.714285714285715,53.714285714285715,53.714285714285715,53.714285714285715,53.714285714285715,53.714285714285715,53.714285714285715,53.714285714285715,55.42857142857143,49.857142857142854,46.714285714285715,45.857142857142854,47.857142857142854,47.857142857142854,31.285714285714285,33.0,41.714285714285715,37.0,37.142857142857146,38.285714285714285,49.57142857142857,45.142857142857146,42.57142857142857,41.285714285714285,41.57142857142857,51.42857142857143,55.714285714285715,43.857142857142854,53.0,46.57142857142857,38.714285714285715,pink,14.0,light green,44.0,light green,47.0,red,2.0,green,53.0,red,6.0,pink,17.0,pink,20.0,white,,green,66.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,10.0,green,72.0,light green,47.0,red,6.0,red,0.0,white,,green,176.0,green,65.0,pink,22.0,light green,33.0,light green,25.0,red,0.0,pink,14.0,green,60.0,green,77.0,green,83.0,red,0.0,light green,26.0,red,8.0,green,93.0,light green,29.0,green,59.0,green,74.0,red,2.0,green,95.0,light green,38.0,pink,10.0,green,93.0,pink,14.0,pink,19.0
8,Jamie Vardy,Leicester,38.28947368421053,41.57142857142857,38,35,58.714285714285715,63.42857142857143,48.57142857142857,47.0,30.857142857142858,30.0,22.285714285714285,23.285714285714285,19.857142857142858,19.857142857142858,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,15.142857142857142,15.142857142857142,12.0,12.571428571428571,14.571428571428571,14.571428571428571,21.571428571428573,29.142857142857142,34.42857142857143,44.285714285714285,57.857142857142854,63.857142857142854,65.14285714285714,68.42857142857143,57.857142857142854,53.714285714285715,53.0,45.857142857142854,39.57142857142857,40.285714285714285,30.857142857142858,29.285714285714285,28.428571428571427,pink,12.0,green,145.0,light green,47.0,green,113.0,light green,28.0,green,56.0,pink,10.0,light green,45.0,white,,light green,41.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,36.0,red,0.0,pink,22.0,red,2.0,pink,17.0,white,,pink,21.0,light green,42.0,red,2.0,red,0.0,red,0.0,red,6.0,light green,31.0,green,70.0,green,95.0,light green,39.0,green,69.0,green,95.0,light green,48.0,light green,40.0,green,93.0,pink,21.0,pink,10.0,green,64.0,light green,45.0,red,4.0,light green,45.0,light green,27.0,pink,10.0,red,4.0
9,Pierre-Emerick Aubameyang,Arsenal,36.026315789473685,38.02777777777778,38,36,39.0,32.42857142857143,39.714285714285715,40.42857142857143,38.714285714285715,38.857142857142854,40.714285714285715,34.57142857142857,30.142857142857142,19.428571428571427,21.714285714285715,21.714285714285715,21.714285714285715,21.714285714285715,21.714285714285715,21.714285714285715,21.714285714285715,21.714285714285715,21.714285714285715,21.714285714285715,22.285714285714285,22.285714285714285,23.857142857142858,29.285714285714285,32.857142857142854,32.857142857142854,33.57142857142857,39.857142857142854,40.285714285714285,45.142857142857146,43.142857142857146,33.714285714285715,31.571428571428573,32.42857142857143,27.285714285714285,30.571428571428573,26.142857142857142,29.285714285714285,32.42857142857143,34.42857142857143,36.142857142857146,39.714285714285715,48.142857142857146,green,77.0,pink,24.0,red,0.0,pink,24.0,light green,39.0,light green,37.0,green,72.0,light green,31.0,green,75.0,red,5.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,12.0,white,,light green,40.0,green,50.0,light green,29.0,white,,red,0.0,red,0.0,pink,21.0,pink,16.0,green,51.0,green,88.0,green,54.0,red,5.0,light green,44.0,pink,24.0,green,50.0,light green,37.0,pink,22.0,light green,39.0,pink,11.0,red,8.0,light green,47.0,pink,19.0,green,59.0,light green,44.0,green,53.0,pink,23.0,light green,33.0,green,106.0
10,Tammy Abraham,Chelsea,34.23684210526316,38.26470588235294,38,34,19.285714285714285,29.857142857142858,25.714285714285715,25.714285714285715,18.285714285714285,20.285714285714285,20.285714285714285,18.285714285714285,11.857142857142858,11.857142857142858,18.714285714285715,18.714285714285715,18.714285714285715,18.714285714285715,18.714285714285715,18.714285714285715,18.714285714285715,18.714285714285715,18.714285714285715,18.714285714285715,30.428571428571427,35.857142857142854,43.142857142857146,45.142857142857146,49.42857142857143,49.42857142857143,53.42857142857143,50.857142857142854,48.857142857142854,43.42857142857143,34.142857142857146,35.714285714285715,41.714285714285715,32.714285714285715,36.857142857142854,32.142857142857146,43.142857142857146,43.714285714285715,48.285714285714285,46.142857142857146,52.285714285714285,44.0,42.42857142857143,pink,11.0,light green,33.0,red,0.0,green,52.0,pink,21.0,red,0.0,pink,18.0,green,85.0,white,,red,4.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,red,0.0,light green,35.0,red,0.0,red,4.0,white,,light green,40.0,green,52.0,green,82.0,light green,38.0,green,86.0,pink,14.0,light green,34.0,green,68.0,light green,34.0,green,68.0,red,0.0,pink,21.0,light green,25.0,green,76.0,red,5.0,green,63.0,light green,35.0,green,77.0,light green,25.0,green,57.0,green,61.0,light green,48.0,red,5.0,pink,24.0
