,Team,xG adjusted,xG,xA adjusted,xA,Opponent xG adjusted,Opponent xG
1,Man City,281.19568730096654,286.63157894736844,241.04043479251604,244.22894736842107,107.65691857572759,105.52631578947368
2,Chelsea,221.40964552180077,222.52631578947367,190.41797227892815,192.53421052631577,126.44294713085188,121.52631578947368
3,Liverpool,220.39730609941782,222.92105263157896,186.9694234557791,189.37368421052633,107.00326785117153,105.07894736842105
4,Leicester,177.83153974751045,184.31578947368422,164.2854601175088,167.85789473684213,132.86991683528922,134.3684210526316
5,Man Utd,176.14526311837395,176.44736842105263,163.72979724111428,164.38684210526316,133.89849039034004,134.1315789473684
6,Everton,172.4703170497765,171.05263157894737,140.55605496520948,139.8078947368421,152.79676554781372,150.28947368421052
7,Southampton,170.53568076795017,168.94736842105263,130.70931196051893,130.81052631578945,170.32716640957693,172.23684210526315
8,Wolves,163.7154671632962,161.60526315789474,141.39803699642607,138.1263157894737,137.14941036805408,134.8421052631579
9,Brighton,155.04664117556536,155.28947368421052,140.24404058821523,138.59473684210525,176.07962491560036,178.5
10,West Ham,151.4820702077423,152.28947368421052,136.66176744376986,136.8394736842105,182.30017387113446,181.78947368421052
11,Arsenal,150.02424897614685,155.44736842105263,129.61186546009662,135.04999999999998,186.9073942233973,186.6315789473684
12,Aston Villa,149.76722450309697,147.10526315789474,144.05159392577772,141.9105263157895,214.91011580310195,214.81578947368422
13,Spurs,149.2896887079133,149.57894736842104,133.69852724252013,133.07368421052632,182.1138273192688,183.92105263157896
14,Bournemouth,149.17514798042575,141.1315789473684,116.20090258955777,112.18947368421053,199.78163137721515,198.0
15,Watford,148.42861695330922,148.05263157894737,121.27200698392521,120.29210526315788,174.13854373492995,175.97368421052633
16,Norwich,137.49050117250925,134.8421052631579,124.80642905805989,122.33947368421052,223.71575047139,225.47368421052633
17,Sheffield Utd,136.78024305264324,136.47368421052633,123.53316666792735,121.25263157894737,146.6504841988353,146.68421052631578
18,Crystal Palace,136.506622453826,136.07894736842104,110.62915602555663,109.18157894736841,177.56550878322705,180.28947368421052
19,Burnley,133.93319751094262,135.0,113.48979203990261,115.03421052631579,176.32644990030965,178.18421052631578
20,Newcastle,122.07318762041685,124.26315789473684,115.44471203521044,118.12105263157896,201.45762410228812,201.73684210526315
