,Teams,Opponent xG av,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Liverpool,105.07894736842105,38,27.0,144.0,50.0,94.0,148.0,102.0,154.0,3.0,,114.0,,,,,,,,,,125.0,174.0,110.0,50.0,238.0,82.0,131.0,90.0,122.0,58.0,81.0,29.0,,75.0,48.0,137.0,107.0,154.0,252.0,84.0,131.0,60.0,46.0,149.0,103.0,70.0,60.0,88.0,178.0,125.0
2,Man City,105.52631578947368,38,65.0,14.0,205.0,28.0,89.0,75.0,181.0,309.0,7.0,23.0,,,,,,,,,,172.0,,81.0,33.0,67.0,,78.0,98.0,95.0,112.0,69.0,294.0,49.0,56.0,164.0,64.0,40.0,129.0,158.0,53.0,160.0,84.0,73.0,235.0,106.0,112.0,111.0,173.0,81.0,67.0
3,Chelsea,121.52631578947368,38,66.0,154.0,32.0,170.0,219.0,61.0,199.0,112.0,,115.0,,,,,,,,,,39.0,145.0,77.0,109.0,143.0,,54.0,50.0,166.0,224.0,80.0,89.0,63.0,246.0,219.0,165.0,104.0,182.0,31.0,146.0,158.0,27.0,107.0,92.0,122.0,170.0,64.0,115.0,113.0,190.0
4,Man Utd,134.1315789473684,38,125.0,132.0,164.0,188.0,75.0,103.0,70.0,52.0,,103.0,,,,,,,,,,77.0,203.0,106.0,237.0,238.0,,65.0,205.0,75.0,174.0,96.0,61.0,186.0,71.0,435.0,142.0,111.0,160.0,81.0,188.0,109.0,117.0,109.0,145.0,101.0,112.0,126.0,111.0,84.0,160.0
5,Leicester,134.3684210526316,38,109.0,101.0,92.0,148.0,156.0,68.0,87.0,128.0,,155.0,,,,,,,,,,20.0,181.0,240.0,156.0,145.0,,104.0,138.0,198.0,52.0,200.0,211.0,378.0,148.0,174.0,73.0,143.0,103.0,97.0,112.0,68.0,164.0,258.0,13.0,131.0,91.0,98.0,113.0,163.0,90.0
6,Wolves,134.8421052631579,38,128.0,99.0,110.0,98.0,122.0,150.0,85.0,33.0,,95.0,,,,,,,,,,66.0,220.0,101.0,145.0,148.0,,202.0,124.0,41.0,115.0,142.0,84.0,142.0,138.0,158.0,87.0,123.0,112.0,125.0,137.0,151.0,174.0,240.0,203.0,170.0,229.0,230.0,157.0,110.0,130.0
7,Sheffield Utd,146.68421052631578,38,203.0,60.0,230.0,152.0,49.0,94.0,139.0,223.0,179.0,219.0,,,,,,,,,,194.0,,126.0,109.0,161.0,,238.0,142.0,55.0,292.0,184.0,80.0,115.0,36.0,179.0,84.0,215.0,147.0,159.0,44.0,148.0,127.0,90.0,151.0,236.0,152.0,162.0,130.0,88.0,182.0
8,Everton,150.28947368421052,38,201.0,125.0,131.0,175.0,265.0,101.0,200.0,108.0,,127.0,,,,,,,,,,240.0,150.0,125.0,149.0,118.0,,154.0,160.0,113.0,184.0,246.0,33.0,71.0,220.0,212.0,151.0,230.0,199.0,62.0,52.0,94.0,114.0,126.0,257.0,29.0,169.0,184.0,143.0,114.0,179.0
9,Southampton,172.23684210526315,38,117.0,148.0,144.0,129.0,104.0,409.0,95.0,155.0,,104.0,,,,,,,,,,246.0,215.0,83.0,107.0,262.0,,68.0,126.0,123.0,155.0,55.0,128.0,215.0,165.0,202.0,101.0,70.0,219.0,341.0,447.0,392.0,45.0,157.0,135.0,90.0,214.0,276.0,180.0,163.0,160.0
10,Watford,175.97368421052633,38,202.0,374.0,106.0,110.0,121.0,301.0,123.0,112.0,,139.0,,,,,,,,,,125.0,98.0,237.0,139.0,193.0,,216.0,235.0,68.0,159.0,138.0,312.0,191.0,214.0,38.0,200.0,188.0,198.0,171.0,260.0,165.0,183.0,104.0,88.0,401.0,102.0,176.0,310.0,119.0,71.0
