,Name,Team,Creativity per fixture adj,Creativity per game adj,Team games,Played,Creativity GW47 adj 7 - average,Creativity GW46 adj 7 - average,Creativity GW45 adj 7 - average,Creativity GW44 adj 7 - average,Creativity GW43 adj 7 - average,Creativity GW42 adj 7 - average,Creativity GW41 adj 7 - average,Creativity GW40 adj 7 - average,Creativity GW39 adj* 7 - average,Creativity GW39 adj 7 - average,Creativity GW38 adj 7 - average,Creativity GW37 adj 7 - average,Creativity GW36 adj 7 - average,Creativity GW35 adj 7 - average,Creativity GW34 adj 7 - average,Creativity GW33 adj 7 - average,Creativity GW32 adj 7 - average,Creativity GW31 adj 7 - average,Creativity GW30 adj 7 - average,Creativity GW29 adj 7 - average,Creativity GW28 adj 7 - average,Creativity GW27 adj 7 - average,Creativity GW26 adj 7 - average,Creativity GW25 adj 7 - average,Creativity GW24 adj* 7 - average,Creativity GW24 adj 7 - average,Creativity GW23 adj 7 - average,Creativity GW22 adj 7 - average,Creativity GW21 adj 7 - average,Creativity GW20 adj 7 - average,Creativity GW19 adj 7 - average,Creativity GW18 adj 7 - average,Creativity GW17 adj 7 - average,Creativity GW16 adj 7 - average,Creativity GW15 adj 7 - average,Creativity GW14 adj 7 - average,Creativity GW13 adj 7 - average,Creativity GW12 adj 7 - average,Creativity GW11 adj 7 - average,Creativity GW10 adj 7 - average,Creativity GW9 adj 7 - average,Creativity GW8 adj 7 - average,Creativity GW7 adj 7 - average,Creativity GW47 adj color,Creativity GW47 adj,Creativity GW46 adj color,Creativity GW46 adj,Creativity GW45 adj color,Creativity GW45 adj,Creativity GW44 adj color,Creativity GW44 adj,Creativity GW43 adj color,Creativity GW43 adj,Creativity GW42 adj color,Creativity GW42 adj,Creativity GW41 adj color,Creativity GW41 adj,Creativity GW40 adj color,Creativity GW40 adj,Creativity GW39 adj* color,Creativity GW39 adj*,Creativity GW39 adj color,Creativity GW39 adj,Creativity GW38 adj color,Creativity GW38 adj,Creativity GW37 adj color,Creativity GW37 adj,Creativity GW36 adj color,Creativity GW36 adj,Creativity GW35 adj color,Creativity GW35 adj,Creativity GW34 adj color,Creativity GW34 adj,Creativity GW33 adj color,Creativity GW33 adj,Creativity GW32 adj color,Creativity GW32 adj,Creativity GW31 adj color,Creativity GW31 adj,Creativity GW30 adj color,Creativity GW30 adj,Creativity GW29 adj color,Creativity GW29 adj,Creativity GW28 adj color,Creativity GW28 adj,Creativity GW27 adj color,Creativity GW27 adj,Creativity GW26 adj color,Creativity GW26 adj,Creativity GW25 adj color,Creativity GW25 adj,Creativity GW24 adj* color,Creativity GW24 adj*,Creativity GW24 adj color,Creativity GW24 adj,Creativity GW23 adj color,Creativity GW23 adj,Creativity GW22 adj color,Creativity GW22 adj,Creativity GW21 adj color,Creativity GW21 adj,Creativity GW20 adj color,Creativity GW20 adj,Creativity GW19 adj color,Creativity GW19 adj,Creativity GW18 adj color,Creativity GW18 adj,Creativity GW17 adj color,Creativity GW17 adj,Creativity GW16 adj color,Creativity GW16 adj,Creativity GW15 adj color,Creativity GW15 adj,Creativity GW14 adj color,Creativity GW14 adj,Creativity GW13 adj color,Creativity GW13 adj,Creativity GW12 adj color,Creativity GW12 adj,Creativity GW11 adj color,Creativity GW11 adj,Creativity GW10 adj color,Creativity GW10 adj,Creativity GW9 adj color,Creativity GW9 adj,Creativity GW8 adj color,Creativity GW8 adj,Creativity GW7 adj color,Creativity GW7 adj,Creativity GW6 adj color,Creativity GW6 adj,Creativity GW5 adj color,Creativity GW5 adj,Creativity GW4 adj color,Creativity GW4 adj,Creativity GW3 adj color,Creativity GW3 adj,Creativity GW2 adj color,Creativity GW2 adj,Creativity GW1 adj color,Creativity GW1 adj
1,Kevin De Bruyne,Man City,51.42834985047159,55.83649412336916,38,35,59.92438037766165,51.33422589014123,42.99561506495626,47.416816015725736,39.20473118179216,34.944497435415194,43.0053837783716,36.21250407825621,39.76575434768467,50.682800886079995,50.74108576860011,50.74108576860011,50.74108576860011,50.74108576860011,50.74108576860011,50.74108576860011,50.74108576860011,50.74108576860011,50.74108576860011,50.74108576860011,55.03579772797675,55.03579772797675,51.64082333338145,42.73257940655692,52.005651104579,52.005651104579,47.09775409422697,47.50863098095014,49.25219934940328,55.63409094561531,60.17737855353126,69.4802697497925,62.73950619343524,68.712247085433,59.12168840043223,52.8986341986895,47.507829977718224,54.79388522914815,46.930135481816215,41.96965092435686,36.994060836997214,48.84614778205772,53.71025151272197,green,97.99037114845936,green,78.15401525347687,red,0.0,green,57.484593837535,green,73.66973649882598,pink,22.869090909090907,green,89.30285499624341,light green,37.85928973581637,pink,19.7837394771821,light green,30.948406655386346,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,white,,light green,43.848100274187225,green,79.29529530978574,light green,41.75269709543567,white,,green,62.73204162181557,green,96.20306524594949,light green,31.35640083302707,light green,30.06298371563649,pink,20.08327951202009,pink,16.93758782201405,green,106.66419898159026,light green,28.37676254935138,green,99.07920345301157,light green,43.561379412199074,green,74.73622488912078,green,51.88629276743178,green,82.05782619584272,green,59.478854087089374,green,70.18594879333575,light green,31.945292658006124,red,0.0,light green,37.00059534232183,green,102.88867952744128,light green,27.011577964519134,pink,24.755462184873945,light green,35.35681818181818,green,114.90990127342965,light green,34.048726114649675
2,Trent Alexander-Arnold,Liverpool,36.422920125676605,36.422920125676605,38,38,22.577412634392772,24.2277949549407,25.959028047143253,23.972545564594782,23.01709276260711,30.11392656271661,32.42226111483956,29.170583966991074,32.901812528552675,32.901812528552675,30.463800585327004,30.463800585327004,30.463800585327004,30.463800585327004,30.463800585327004,30.463800585327004,30.463800585327004,30.463800585327004,30.463800585327004,30.463800585327004,32.495900509142636,33.388443876527184,28.314626193521143,31.43270869974768,40.874779706550136,37.92527628745773,36.16865892615653,31.904755734401217,33.9906277080297,36.257181910369155,36.540791163972074,32.687715816373455,32.687715816373455,43.055310241443955,45.45644457731931,55.72718128745329,52.92846690396039,50.608573948750305,55.844312691602845,54.38555235156391,51.66465588839129,49.862068547071324,41.50991390730707,red,0.656300547873728,light green,41.40008661758336,light green,42.74249858996052,pink,14.117973711416331,light green,26.79523809523809,red,7.550189881171137,pink,24.77960099750623,pink,12.208976791709238,white,,green,53.518718263001226,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,28.837121212121207,red,7.429804097502616,green,76.47307469600463,pink,23.70853174603174,red,2.0178609625668447,light green,38.327576722640416,light green,36.452634660421545,light green,43.06182067883068,pink,13.677607669194444,light green,40.95635091496232,light green,45.53510928961748,green,68.11235801018408,white,,pink,17.681052788993565,pink,24.156313131313127,pink,13.21449833654351,light green,28.27871148459383,green,56.82223033133849,light green,47.5203740648379,light green,41.14083057699374,green,90.25421376448703,light green,40.964253482440654,green,85.10965530748138,red,8.687710800143524,light green,40.582979644867905,green,84.17054526480561,light green,30.929508196721304,green,71.20793852227861,light green,28.346142093200914,light green,26.644572829131647
3,Emiliano Buendia,Norwich,33.06863788076118,34.90578442969236,38,36,13.166487565716512,15.652071776637793,16.371993395424273,21.63930867612413,24.104952038091223,23.67561545411698,21.853376896785708,22.440645187269627,19.955060976348346,19.955060976348346,21.72513452091769,21.72513452091769,21.72513452091769,21.72513452091769,21.72513452091769,21.72513452091769,21.72513452091769,21.72513452091769,21.72513452091769,21.72513452091769,21.673468995723255,25.712914234648736,27.505033029301323,32.35743655228809,51.63680950152938,51.63680950152938,62.5108568407941,67.9192590623018,62.9312393946991,59.68969708124221,55.66899177713747,48.46396113618538,34.39186328064973,28.03022940588793,23.15916484671788,27.18244961791144,28.273323624343295,30.287714238334907,38.51961472755706,33.275019292394006,36.89476569920209,37.472312175104946,42.31447861219334,red,0.0,light green,26.285437896913304,red,0.13618449545257685,pink,11.562000579038793,pink,18.715582473455953,light green,34.49075630252101,red,0.9754512126339537,pink,17.399089476448957,white,,light green,31.324889228418638,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,37.00739146035163,light green,28.82150411280845,pink,15.71022638563622,pink,21.7350864012021,red,5.086329246021393,white,,red,0.0,light green,43.71540404040403,light green,36.64573278399058,green,57.097620785286814,light green,28.255057948204314,green,55.70191106210951,green,140.04193989071035,green,76.11833137485308,green,81.57421959095801,red,1.7295951107715812,light green,34.406824591088544,red,0.11012081947119592,red,5.266696575444891,light green,41.53725490196077,light green,31.586894251520498,light green,47.476767676767665,light green,29.89258850912654,light green,42.042942636111505,pink,14.210855117412493,green,62.88999999999999,red,4.82508685581934,green,56.925119099177124,green,51.519593008087654,green,63.787753568745295
4,Joao Filipe Iria Santos Moutinho,Wolves,32.795002262545005,32.795002262545005,38,38,20.91252605430938,24.610281074660765,24.57314546887494,18.38841871153488,25.15943891966693,26.719856940481286,29.360826306290644,35.95439821450538,35.79896996506887,35.79896996506887,35.35511749414419,35.35511749414419,35.35511749414419,35.35511749414419,35.35511749414419,35.35511749414419,35.35511749414419,35.35511749414419,35.35511749414419,35.35511749414419,37.61465200975059,34.12492591899758,36.75124413223329,46.29273383308328,39.267935226177315,39.267935226177315,44.21958711771312,44.79611882130365,48.803201745956514,51.68703658023633,52.214604466895125,38.47707177214488,42.43817230372808,37.27397586783417,34.88548738153056,31.36916856446123,24.548746749045304,21.587352956247337,29.536360518243864,22.571085594088014,23.694410232168895,29.902097404421283,31.560817664930546,red,2.4513209181463833,pink,20.4706904101591,light green,49.13426377196868,pink,11.452565225004376,red,3.610477215644061,light green,34.2294698251551,light green,25.038895014087952,light green,28.335606060606054,white,,pink,20.210741169658366,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,5.841176470588235,green,58.84970668192874,pink,14.533403361344535,green,52.71625538582059,green,71.19389837159113,white,,light green,27.247608314550458,pink,17.103773873185638,pink,21.657918079833024,light green,34.42162404665769,light green,32.91763085399448,green,119.50668329177056,pink,22.020308123249293,green,61.90917155530117,pink,21.139495798319327,light green,49.70749855240301,green,54.608467886616424,light green,36.61060606060605,pink,23.343954428518924,light green,49.74801184433164,light green,25.759796504043827,red,4.420076394194041,light green,25.093266832917703,red,6.865515178704949,pink,15.880849511020287,green,78.98700736249457,red,0.9910873752407634,light green,33.62306897060995,light green,47.873886599960755,light green,36.70430865648257
5,James Maddison,Leicester,32.22589166749572,39.502705914994756,38,31,2.579973484753733,6.9509218641054735,10.336655376891475,16.77522838051409,22.343220577392838,26.77935167821222,33.63504198712267,43.85641107491116,46.01428641960607,46.01428641960607,50.881729268193155,50.881729268193155,50.881729268193155,50.881729268193155,50.881729268193155,50.881729268193155,50.881729268193155,50.881729268193155,50.881729268193155,50.881729268193155,47.80625786884861,47.66446484456872,46.453728730927764,39.980539942535366,29.89016637604943,29.89016637604943,32.379183121523916,32.56769136490049,35.989492236641986,34.41752174553498,37.947228799172876,43.68346670335872,55.50262260086187,49.28507897735186,45.169014137566236,41.60162445178673,37.74739577029487,34.964456107092346,30.48499188628991,18.307211860075352,21.470649700619145,27.358867094598377,32.767951828613924,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,pink,18.05981439327613,light green,30.59663865546218,white,,pink,23.700134589502014,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,45.07001102535831,light green,38.97594537815125,light green,31.052917705735656,light green,47.98983216237314,green,89.60939800779556,white,,light green,45.70176606832657,green,57.77223452961157,pink,23.541711229946518,light green,37.98339420819201,pink,22.577764910248984,red,2.677510643626346,pink,18.97678304239401,green,63.12488328664798,green,59.091792233247574,light green,47.494317332136966,light green,26.979600770443,light green,47.28571428571428,light green,42.831175972927234,green,101.71087432491606,pink,19.602077922077918,light green,30.279338354748187,pink,22.52258953168044,red,0.0,light green,27.805136643296603,pink,11.474926427310182,pink,16.466414141414138,light green,41.74614280588446,green,71.49686011260285,green,60.38618266978923
6,Jack Grealish,Aston Villa,30.861727601106065,32.57626802338974,38,36,29.703187014436764,33.856558620023876,32.22193867778917,35.313229730424304,30.143555111430324,31.554468023440865,34.84746830792068,35.574964497653404,36.70128147807715,36.175057658103086,32.171682189347635,32.171682189347635,32.171682189347635,32.171682189347635,32.171682189347635,32.171682189347635,32.171682189347635,32.171682189347635,32.171682189347635,32.171682189347635,36.55614607488066,36.55614607488066,39.19717997398211,33.48587700905121,37.576707401814375,37.576707401814375,32.76356936158074,36.577203534403814,36.44187292107449,34.43743704281312,38.46416387359951,34.919942851857485,23.210858490840355,21.691728014708676,24.593459988344193,24.07245938007432,26.23612052575768,23.264877908113952,27.647773515691085,28.146099099026156,29.709740197021596,28.902579757088045,28.859899647175045,pink,11.288882455124492,light green,32.278567399887194,light green,31.16419191034845,light green,37.91208582688658,red,5.305611143810084,light green,41.737665915351855,light green,48.2353044496487,light green,40.36248369423428,pink,20.83622780424426,green,52.80322927879439,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,1.7243634939287107,white,,pink,15.18200152788388,green,64.78866790671053,green,53.32777777777777,white,,light green,48.24670255720052,pink,17.152661064425768,pink,24.77960099750623,light green,32.41561069265987,light green,33.66923882159413,pink,24.809547152194202,green,81.96359052711993,pink,14.554736275565123,light green,43.848100274187225,pink,23.83228670420095,pink,18.384559544830292,green,61.856326637098874,red,0.0,red,0.0,red,3.920822942643391,green,64.16022408963585,pink,20.185282446311852,light green,33.53018756461379,light green,41.05762831359277,light green,30.680269253039953,red,3.488279083345496,pink,14.86631062861145,green,58.510101010101,pink,19.88652167692087
7,Willian Borges Da Silva,Chelsea,29.06544186873121,30.680188639216276,38,36,34.09478144252661,43.168685966929885,50.86271600093003,47.1834401739822,42.15767172523204,33.90492895049119,33.86566643638162,29.508776984449245,21.81570599481352,21.81570599481352,20.528610182559913,20.528610182559913,20.528610182559913,20.528610182559913,20.528610182559913,20.528610182559913,20.528610182559913,20.528610182559913,20.528610182559913,20.528610182559913,17.71552590640581,18.969414128361255,30.393141183753695,31.401609791165622,40.13947629303861,40.13947629303861,44.45442197905028,40.97299973698508,41.22561355936231,39.896353557735715,31.448415950701808,34.31533787128597,32.546925781985784,31.535023177870062,33.38741370289155,34.48069939938257,35.38610986119323,34.36465068847461,28.103722783976767,21.286453743800422,16.63403471017013,11.559585785744463,5.8217226404863585,red,0.0,red,3.3075131480090154,green,76.19026610644256,light green,42.5359346968066,green,59.20894759889067,pink,24.828712427097344,light green,32.59209612044006,green,63.517331670822934,white,,green,57.165723386010036,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,50.43533531780773,red,7.355555555555555,red,1.4397481757046784,pink,24.553874828330386,red,2.093869956913435,white,,red,9.665834743372814,light green,48.156052700234795,light green,30.74374538472899,pink,16.132773109243693,green,81.40583756345177,light green,31.6131550802139,green,63.258935470024305,light green,39.87045454545454,pink,23.786097005778323,light green,32.51204214136959,red,6.827953097857556,pink,22.270274314214458,green,51.68160852430301,green,50.88005084492298,light green,32.78713631664451,light green,36.75283068092877,light green,40.165042016806716,pink,13.16582633053221,pink,15.12006010518407,red,7.85511319281811,red,3.1591675636885532,red,0.22020308123249294,red,1.2316882099490791,red,0.0
8,Lucas Digne,Everton,28.92386327975478,31.403051560876616,38,35,24.14554570535182,24.26987088997112,26.216661459843916,24.99896600985007,19.598575689787616,13.215546114321066,19.241785899053582,14.855995446872468,14.787592506950523,14.787592506950523,21.092812635122957,21.092812635122957,21.092812635122957,21.092812635122957,21.092812635122957,21.092812635122957,21.092812635122957,21.092812635122957,21.092812635122957,21.092812635122957,25.41693208801455,28.732828062364387,28.732828062364387,26.00841850655221,27.83149660186405,27.83149660186405,26.480784216629054,21.729585532343627,20.544822972173055,26.642544031005464,32.493654475183135,36.91618594702993,42.217124249722495,44.56782554259986,47.14708486051917,46.33809848114937,42.83932291572631,40.099025429670526,36.89944305126461,35.93340174917419,36.18141155949302,33.73438581851009,32.32902315311072,light green,32.01338383838383,red,2.595030498744169,pink,17.10349136346931,light green,37.80273224043716,light green,44.681207028265845,red,2.429575046501645,light green,32.39339992166079,light green,32.883660130718944,white,,pink,16.22256448785374,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,8.579623213512342,red,0.0,red,0.0,light green,44.61325353962925,red,1.692866756393001,white,,light green,32.404839551265326,green,60.359105385060786,light green,38.84845938375349,pink,23.211271820448875,red,0.0,light green,25.54238664894402,pink,14.45441342357586,pink,22.949852854620364,light green,27.100714595062794,light green,30.555121462559473,green,65.89531923227574,light green,40.95777310924368,green,56.50010695187165,green,51.5609815424238,light green,39.4047619047619,light green,45.15552982049797,pink,24.892216806970904,light green,41.4038902743142,pink,21.775690706853247,light green,34.103030303030295,light green,44.79869242779078,light green,41.14083057699374,light green,28.026349633617464,pink,15.0546781491753
9,James Ward-Prowse,Southampton,26.686871655149968,26.686871655149968,38,38,28.14536334439246,28.403486392551322,28.377999227988532,21.01167142893257,22.062279437925707,18.57364586428606,20.13914260516484,28.710021225201995,27.373244393868053,27.373244393868053,28.30768931937924,28.30768931937924,28.30768931937924,28.30768931937924,28.30768931937924,28.30768931937924,28.30768931937924,28.30768931937924,28.30768931937924,28.30768931937924,28.888727938133236,28.644505413617587,34.21205206589736,35.28413898450502,25.05305641759733,25.05305641759733,22.98509560841896,23.70625679438445,26.457248922532223,22.884584060265457,20.79903187896081,22.176342666574474,20.728638783093523,20.709494584677657,23.2846755421269,24.569563631908796,26.49680200765593,25.838176960959817,26.38085883933339,29.36814811425422,32.5200699170529,31.214814435668067,28.179572718982747,light green,29.673609616074632,light green,26.162373737373734,green,54.51764705882352,pink,23.690170688640375,light green,36.67023288390824,red,2.50932668329177,pink,23.79418274263496,light green,31.480470953186686,white,,light green,25.983963585434168,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,2.9533524654317764,light green,31.044426751592354,pink,12.249797868430722,pink,13.467803869443213,green,83.79033308289505,white,,pink,22.123033133849074,light green,32.52507806401248,red,7.020622796709752,light green,29.334869079982823,green,51.22262443438913,pink,20.97241229969684,pink,12.17275511454122,red,7.647307469600462,light green,37.57320636577093,light green,26.277567693744157,red,4.326215044115447,light green,36.62375916525662,light green,30.61358781299247,red,2.0388279301745635,red,7.513298080689382,green,55.599473067915675,light green,35.2717843222174,pink,17.816883674345398,light green,32.01338383838383,light green,34.41236096160746,pink,22.949852854620364,light green,29.576750700280105,light green,46.46268469822188,pink,14.025092305420173
10,Andrew Robertson,Liverpool,25.953792641086228,27.39567001003546,38,36,33.470529968891405,34.380138209665795,27.00672052730485,16.720144103164976,17.773341741815916,20.34819279978398,24.90318376897577,23.8593197522741,20.324773979213237,20.324773979213237,23.91918961431974,23.91918961431974,23.91918961431974,23.91918961431974,23.91918961431974,23.91918961431974,23.91918961431974,23.91918961431974,23.91918961431974,23.91918961431974,27.197740022122648,26.059623379960023,26.25045187691404,23.34483698068232,29.407442122300978,30.09328802618445,26.928742520948077,27.78758861613439,27.14138711650463,19.510541941984837,23.27167235032331,19.20264578851117,19.20264578851117,21.798006104235576,27.220172186142683,26.056422932887667,28.041535255534704,28.234985562762343,25.530311851416247,23.54127851033598,25.736474682240907,22.396469464679544,22.012829884679896,pink,24.20108270284372,green,51.613923776526626,green,72.00603496897912,pink,10.402717471569929,green,55.44481792717086,red,8.705831189513658,pink,11.919301745635908,light green,30.56834038826448,white,,red,0.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,pink,17.77510094212651,green,73.4687753329473,light green,40.590767973856195,red,4.612253628724217,red,5.826519976838448,light green,25.16090944574551,pink,22.949852854620364,red,9.808284446988123,green,74.8045748116254,pink,20.25146370023419,light green,47.05048962005483,white,,pink,10.62744130402273,red,3.009090909090909,light green,28.96177552092453,red,5.284873949579832,pink,21.38865858998686,light green,46.579376558603485,pink,18.567303687369836,light green,28.79496351409357,light green,40.964253482440654,pink,20.815530748139437,pink,19.180660208109074,pink,22.74281074058033,light green,27.646660579180796,red,4.644070299808004,light green,44.16133671742808,pink,17.584216959511075,pink,18.130053688141917
