,Name,Team,xG per fixture,xG per game,Team games,Played,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Mohamed Salah,Liverpool,56.73684210526316,63.411764705882355,38,34,34.0,53.0,80.0,73.0,133.0,39.0,56.0,70.0,,0.0,,,,,,,,,,44.0,30.0,112.0,81.0,100.0,48.0,86.0,55.0,30.0,90.0,31.0,25.0,,125.0,91.0,0.0,30.0,0.0,48.0,35.0,93.0,0.0,94.0,68.0,36.0,73.0,58.0,67.0,29.0,39.0
2,Raheem Sterling,Man City,48.13157894736842,55.42424242424242,38,33,78.0,103.0,4.0,115.0,50.0,33.0,33.0,15.0,0.0,64.0,,,,,,,,,,34.0,,0.0,0.0,28.0,,54.0,52.0,0.0,0.0,18.0,60.0,69.0,51.0,70.0,81.0,93.0,6.0,62.0,46.0,83.0,36.0,49.0,76.0,0.0,95.0,10.0,65.0,122.0,74.0
3,Raul Jimenez,Wolves,44.21052631578947,44.21052631578947,38,38,10.0,39.0,60.0,52.0,4.0,8.0,26.0,35.0,,82.0,,,,,,,,,,31.0,55.0,45.0,42.0,38.0,,54.0,80.0,67.0,26.0,20.0,109.0,66.0,35.0,12.0,69.0,103.0,87.0,41.0,116.0,13.0,23.0,30.0,13.0,27.0,13.0,54.0,43.0,22.0,30.0
4,Roberto Firmino,Liverpool,43.10526315789474,43.10526315789474,38,38,6.0,21.0,10.0,58.0,61.0,9.0,35.0,33.0,,13.0,,,,,,,,,,31.0,12.0,38.0,35.0,66.0,31.0,73.0,46.0,82.0,58.0,24.0,63.0,,38.0,57.0,2.0,36.0,61.0,29.0,46.0,113.0,44.0,41.0,10.0,58.0,29.0,72.0,99.0,32.0,66.0
5,Gabriel Fernando de Jesus,Man City,42.63157894736842,47.64705882352941,38,34,91.0,33.0,46.0,139.0,45.0,101.0,15.0,0.0,16.0,15.0,,,,,,,,,,19.0,,36.0,68.0,17.0,,38.0,14.0,76.0,93.0,0.0,0.0,102.0,25.0,54.0,64.0,100.0,0.0,2.0,27.0,48.0,128.0,10.0,59.0,0.0,49.0,0.0,0.0,48.0,42.0
6,Danny Ings,Southampton,41.0,41.0,38,38,51.0,29.0,80.0,22.0,116.0,6.0,26.0,32.0,,61.0,,,,,,,,,,34.0,24.0,45.0,21.0,101.0,,0.0,22.0,103.0,41.0,110.0,0.0,67.0,10.0,31.0,71.0,56.0,26.0,35.0,7.0,1.0,82.0,61.0,45.0,44.0,2.0,24.0,13.0,59.0,0.0
7,Neal Maupay,Brighton,39.973684210526315,41.054054054054056,38,37,14.0,44.0,47.0,2.0,53.0,6.0,17.0,20.0,,66.0,,,,,,,,,,10.0,72.0,47.0,6.0,0.0,,176.0,65.0,22.0,33.0,25.0,0.0,14.0,60.0,77.0,83.0,0.0,26.0,8.0,93.0,29.0,59.0,74.0,2.0,95.0,38.0,10.0,93.0,14.0,19.0
8,Jamie Vardy,Leicester,38.28947368421053,41.57142857142857,38,35,12.0,145.0,47.0,113.0,28.0,56.0,10.0,45.0,,41.0,,,,,,,,,,36.0,0.0,22.0,2.0,17.0,,21.0,42.0,2.0,0.0,0.0,6.0,31.0,70.0,95.0,39.0,69.0,95.0,48.0,40.0,93.0,21.0,10.0,64.0,45.0,4.0,45.0,27.0,10.0,4.0
9,Pierre-Emerick Aubameyang,Arsenal,36.026315789473685,38.02777777777778,38,36,77.0,24.0,0.0,24.0,39.0,37.0,72.0,31.0,75.0,5.0,,,,,,,,,,12.0,,40.0,50.0,29.0,,0.0,0.0,21.0,16.0,51.0,88.0,54.0,5.0,44.0,24.0,50.0,37.0,22.0,39.0,11.0,8.0,47.0,19.0,59.0,44.0,53.0,23.0,33.0,106.0
10,Tammy Abraham,Chelsea,34.23684210526316,38.26470588235294,38,34,11.0,33.0,0.0,52.0,21.0,0.0,18.0,85.0,,4.0,,,,,,,,,,0.0,0.0,35.0,0.0,4.0,,40.0,52.0,82.0,38.0,86.0,14.0,34.0,68.0,34.0,68.0,0.0,21.0,25.0,76.0,5.0,63.0,35.0,77.0,25.0,57.0,61.0,48.0,5.0,24.0
11,Anthony Martial,Man Utd,34.13157894736842,40.53125,38,32,28.0,50.0,37.0,48.0,31.0,43.0,10.0,85.0,,35.0,,,,,,,,,,85.0,24.0,41.0,41.0,12.0,,37.0,16.0,69.0,14.0,66.0,41.0,47.0,10.0,44.0,0.0,61.0,24.0,45.0,11.0,106.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,29.0,71.0
12,Dominic Calvert-Lewin,Everton,33.473684210526315,35.333333333333336,38,36,4.0,24.0,18.0,36.0,6.0,47.0,20.0,84.0,,24.0,,,,,,,,,,4.0,64.0,84.0,76.0,27.0,,26.0,76.0,97.0,26.0,107.0,51.0,22.0,14.0,92.0,10.0,28.0,4.0,20.0,7.0,19.0,0.0,0.0,57.0,0.0,64.0,8.0,18.0,2.0,6.0
13,Marcus Rashford,Man Utd,33.28947368421053,40.806451612903224,38,31,21.0,13.0,63.0,60.0,36.0,49.0,9.0,14.0,,35.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,77.0,30.0,69.0,36.0,32.0,40.0,26.0,91.0,21.0,42.0,92.0,24.0,81.0,24.0,2.0,38.0,6.0,20.0,118.0,29.0,9.0,58.0
