,Teams,xG av adj,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,281.19568730096654,38,349.3888888888888,351.7400927172124,92.78030303030302,351.3977591036414,275.6462301069658,393.00244461420925,242.5509641873278,152.52663490688607,213.62723379116818,255.39086294416242,,,,,,,,,,95.0074553659015,,295.605170387779,283.13245512449333,264.5537272857347,,268.52924291352707,373.61304918989924,240.37339213524436,202.6223078270005,207.60243989953355,103.0983606557377,465.578143360752,147.2044557247603,536.7304296645085,248.92216806970902,272.36472736759714,247.8557817236899,396.9015777610818,429.5161191749426,335.135979419331,283.65216756677853,294.5667447306791,283.0105060409735,377.1330940631074,280.39192343604105,171.5266106442577,264.96717171717165,422.02618400343385,215.76331789229874
2,Chelsea,221.40964552180077,38,157.10226385636219,226.80090157776104,207.72490662931835,171.4976677430929,161.56239964968617,283.08494093016293,179.34756803705844,484.6137157107231,,165.64192086242798,,,,,,,,,,264.2899667308702,220.66666666666663,175.46930891400768,292.4255444379046,178.5947904426165,,283.7676254935138,196.8901643621184,277.71540392851864,233.64705882352936,156.07219402143258,122.99343009931243,131.3770210330519,295.8939393939394,233.45613727893536,274.27220384662496,213.94253039953674,202.31446384039896,237.75375857539044,244.52519814565568,227.55944469059222,212.47730237411946,150.8591291061879,314.31092436974785,162.2256448785374,281.065768930523,182.78040904198062,210.66094771241825,200.76517822169993,197.41808907200314
3,Liverpool,220.39730609941782,38,133.72123662927208,209.72412299696836,296.182459108855,313.9391522670211,288.3501400560224,91.68087712850665,283.8675810473815,231.3279813165961,,139.85344072841883,,,,,,,,,,158.8131313131313,92.1671900702856,337.75607990735375,185.70459850606906,251.75217723453014,144.7526056745802,247.92701014832159,252.94192662350397,229.45986550293313,329.4560459275206,174.28532396565183,259.8862122992557,,201.26304770450122,245.7424242424242,166.28243740150586,217.8851540616246,178.08582688658586,247.7960099750623,268.10878353546485,308.64601516669046,144.36197763390228,317.7755581668624,170.36939361320415,166.14508445214375,260.87946777980693,187.62044011224336,321.0121263395375,156.62444614209318,162.95028011204477
4,Leicester,177.83153974751045,38,154.23288208750245,287.9496351409357,259.5030498744169,172.18686868686865,103.75253807106597,175.3319223471026,220.24163894239183,111.26050420168065,,130.72693285479286,,,,,,,,,,158.70807301237286,146.06804388422032,127.03466334164587,177.9674082747853,194.7438284971849,,272.2077301679212,225.701816570669,118.18899923605804,191.96791025306547,199.3762304574406,45.67518156774354,76.84812967581045,146.8020541549953,345.15153742496625,188.09630626588898,253.2778847837506,225.30252100840332,193.31669486745625,156.97255875054736,376.6673796791443,160.68483237335695,72.450288004007,153.41025306548394,176.3691515238231,138.19266235040217,151.290404040404,146.67563688554,153.88847986141184,169.3758782201405
5,Man Utd,176.14526311837395,38,134.25401488444962,128.36551823972204,182.67566778572467,123.95431627196332,135.59524684552247,214.81565656565652,149.27450980392155,251.6051309651955,,136.77607669194447,,,,,,,,,,269.7526184538653,165.1812292067939,222.89412292507845,148.44110004330875,181.6494925839188,,235.91877123024662,141.75056348610065,169.55637254901956,128.58220530174844,186.69162605228175,183.76415340464385,179.631972483924,242.26580283663102,257.20598503740644,150.27371583917582,170.26448609579808,165.85629709364906,288.3501400560224,104.48232323232321,208.45891690009333,94.50037565740043,99.26545786590137,143.65736040609136,114.70961204400693,112.08362710536622,265.20458365164245,212.05064954021307,135.00975800156127,258.75054135989603
6,Everton,172.4703170497765,38,163.8282828282828,67.69644779332614,86.28788435624156,120.2814207650273,99.93216195569136,85.48504793246529,107.1568742655699,132.12184873949576,,179.5507137490608,,,,,,,,,,53.11195322650497,250.47420051010394,212.82571912013535,187.26550868486348,181.51293554658287,,131.26010957474563,161.13969310943833,221.59383753501396,175.6528678304239,262.52021914949125,219.20011815093778,98.4318950930626,87.60427702570139,298.2440450411433,215.77585775106434,176.13141402271833,184.23657796451909,327.66218487394957,106.18142795822003,132.58543417366946,273.1181239143022,134.67803869443213,368.55735660847876,266.2726946537495,174.6944444444444,282.2931303669008,100.92600759524683,111.91730222820395,115.66399065829805
7,Southampton,170.53568076795017,38,229.03964836742014,197.2626262626262,259.60784313725486,231.9662546596037,291.8201715986692,117.62468827930172,115.67922835352172,109.07318104906936,,212.8629785247432,,,,,,,,,,103.36733629011216,142.93181818181816,196.45902241822856,118.8881996750849,374.8514901076884,,136.77725879433657,131.32767369242777,238.94751273012136,144.87466018028329,174.41395416727482,121.2042009527934,175.65747886806318,75.56268094962361,157.51213148969472,158.54621848739492,176.81052788993566,226.1273265651438,66.07249168271755,83.12144638403988,83.75479827653739,213.56088992974236,145.71741013425722,157.4724567176992,213.97979797979795,164.7280229637603,155.46674514420246,161.32773109243695,280.351114450288,135.6068527543937
8,Wolves,163.7154671632962,38,89.88176699870073,156.97255875054736,162.54246049328015,192.7114340745929,55.285432364549685,86.90383530738859,66.2567683449712,87.7651515151515,,164.78126809496234,,,,,,,,,,94.57142857142856,160.17198454714548,169.55637254901956,192.14336075205637,293.65940749460464,,206.3258201853243,121.07165775401067,129.6193582050613,149.53656348138176,124.42549461557724,461.08877805486276,181.3005368814192,224.960652453856,206.75910364145653,190.27229299363054,242.57893792608536,157.14141414141412,174.88705132916814,305.93697123519456,135.3619879989564,43.23987776928953,114.48802992518702,82.76237475699116,196.44519048314112,231.51364226938065,202.6223078270005,163.47127455324176,101.1767706494016,100.9984332158245
9,Brighton,155.04664117556536,38,143.96617929404815,100.08583355074353,138.3676088617265,43.913216957605975,233.10092662158775,74.13503734827262,86.37041396900136,157.65609087348213,,134.78962210941904,,,,,,,,,,81.00585480093676,278.144358487812,142.1625403659849,130.72693285479286,190.27229299363054,,251.5934343434343,138.67695700110252,124.43652600245139,305.05326981377215,149.61868686868684,80.08599227357274,129.75152493720844,209.2967450007298,193.92310694769708,247.40989847715733,168.5256699223641,126.86388562475516,99.94290759270159,198.18277310924364,103.51357030292418,183.3617542570133,217.76191157533262,125.28973581637071,169.81776676232712,168.11534485304975,174.08453865336654,172.9595110771581,152.03575564562823,66.7741887243906
10,West Ham,151.4820702077423,38,53.15950018375596,162.86992348440256,99.69104232092116,185.70459850606906,286.0747304681731,182.9437777198017,271.00714595062794,80.08599227357274,,116.59933645589382,,,,,,,,,,156.95896785109983,206.59052711993886,173.25068870523413,51.754862842892756,152.05602240896357,129.15051339844726,128.09557383470423,176.19331115391347,62.0550771438823,162.15656565656562,246.33764198981584,115.66399065829805,,158.54621848739495,117.94091934574166,106.78044496487118,141.63187527067993,121.47875232508224,80.80682321665928,209.1957996347508,166.98457122353784,125.53773419716335,122.08976791709237,258.280303030303,124.62016872670196,117.10498591204212,205.5228758169934,291.54927471212795,104.77030812324928,105.07805486284288
11,Arsenal,150.02424897614685,38,189.97726932854786,70.87933357834129,78.75031304783369,117.87938188582055,192.14336075205637,184.10421545667444,124.78174603174601,148.93735676088616,165.96358543417364,36.071571072319195,,,,,,,,,,129.27591198610304,,137.65102433899492,165.71588833811632,125.38989809481612,,73.5396275443915,160.21492644420522,138.6131951539921,214.6921718658034,108.94759636206149,203.94949494949492,78.18578182454911,87.82643391521195,152.94614939200926,153.91036414565824,256.9035947712418,221.96470588235292,119.47375636506068,168.14851678376266,173.49598598744709,143.2908144958737,156.30555555555554,178.91014322150284,201.85201519049366,95.92911619560338,273.55215338388894,138.6005509641873,209.9119775513218,122.23597704148186
12,Aston Villa,149.76722450309697,38,116.53039953676895,83.35673998871968,144.25827350726667,173.49598598744709,92.53972925250146,160.65063861758074,104.32572209211553,113.21184450821809,156.61216977046337,247.09203444564045,,,,,,,,,,24.633764198981584,,79.75355233002291,229.45986550293313,203.11363636363632,,203.1440107671601,69.5378151260504,148.99127182044887,132.8204105745089,129.7864513234634,100.55940709617178,206.59052711993886,40.61786867599569,214.3137485311398,224.7044174967518,136.95879929370216,198.53091573180274,153.4201795472287,132.3005259203606,250.93266832917703,294.84033613445376,196.7147525676937,128.17634027470092,161.39283699943599,97.41213086276778,98.22259524157056,157.47277184381016,207.29292929292924,77.38646444412647
13,Spurs,149.2896887079133,38,73.43745438622098,124.40050920485699,141.10461779285154,182.6754089114495,98.6313131313131,111.22202766590787,156.8301040545389,109.24724956572089,,127.08789484010201,,,,,,,,,,108.6712450155073,270.01951600312253,104.86206149848418,277.35391400220504,105.07805486284288,,159.2802287581699,221.01315986241957,192.15076383671422,148.93735676088616,140.19596171802053,165.96358543417364,85.79623213512342,169.3758782201405,169.97297297297297,175.20855405140279,168.8434343434343,172.9748118123914,179.3955866523143,57.26282612502188,200.02579514149758,166.46523104531175,81.59103641456582,129.71963330786858,153.9610262436349,123.92570427674791,135.6763959390863,128.79898252021914,127.03466334164587,228.81697905181915
