,Name,Team,xA per fixture adj,xA per game adj,Team games,Played,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Kevin De Bruyne,Man City,51.42834985047159,55.83649412336916,38,35,97.99037114845936,78.15401525347687,0.0,57.484593837535,73.66973649882598,22.869090909090907,89.30285499624341,37.85928973581637,19.7837394771821,30.948406655386346,,,,,,,,,,0.0,,43.848100274187225,79.29529530978574,41.75269709543567,,62.73204162181557,96.20306524594949,31.35640083302707,30.06298371563649,20.08327951202009,16.93758782201405,106.66419898159026,28.37676254935138,99.07920345301157,43.561379412199074,74.73622488912078,51.88629276743178,82.05782619584272,59.478854087089374,70.18594879333575,31.945292658006124,0.0,37.00059534232183,102.88867952744128,27.011577964519134,24.755462184873945,35.35681818181818,114.90990127342965,34.048726114649675
2,Trent Alexander-Arnold,Liverpool,36.422920125676605,36.422920125676605,38,38,0.656300547873728,41.40008661758336,42.74249858996052,14.117973711416331,26.79523809523809,7.550189881171137,24.77960099750623,12.208976791709238,,53.518718263001226,,,,,,,,,,28.837121212121207,7.429804097502616,76.47307469600463,23.70853174603174,2.0178609625668447,38.327576722640416,36.452634660421545,43.06182067883068,13.677607669194444,40.95635091496232,45.53510928961748,68.11235801018408,,17.681052788993565,24.156313131313127,13.21449833654351,28.27871148459383,56.82223033133849,47.5203740648379,41.14083057699374,90.25421376448703,40.964253482440654,85.10965530748138,8.687710800143524,40.582979644867905,84.17054526480561,30.929508196721304,71.20793852227861,28.346142093200914,26.644572829131647
3,Emiliano Buendia,Norwich,33.06863788076118,34.90578442969236,38,36,0.0,26.285437896913304,0.13618449545257685,11.562000579038793,18.715582473455953,34.49075630252101,0.9754512126339537,17.399089476448957,,31.324889228418638,,,,,,,,,,37.00739146035163,28.82150411280845,15.71022638563622,21.7350864012021,5.086329246021393,,0.0,43.71540404040403,36.64573278399058,57.097620785286814,28.255057948204314,55.70191106210951,140.04193989071035,76.11833137485308,81.57421959095801,1.7295951107715812,34.406824591088544,0.11012081947119592,5.266696575444891,41.53725490196077,31.586894251520498,47.476767676767665,29.89258850912654,42.042942636111505,14.210855117412493,62.88999999999999,4.82508685581934,56.925119099177124,51.519593008087654,63.787753568745295
4,Joao Filipe Iria Santos Moutinho,Wolves,32.795002262545005,32.795002262545005,38,38,2.4513209181463833,20.4706904101591,49.13426377196868,11.452565225004376,3.610477215644061,34.2294698251551,25.038895014087952,28.335606060606054,,20.210741169658366,,,,,,,,,,5.841176470588235,58.84970668192874,14.533403361344535,52.71625538582059,71.19389837159113,,27.247608314550458,17.103773873185638,21.657918079833024,34.42162404665769,32.91763085399448,119.50668329177056,22.020308123249293,61.90917155530117,21.139495798319327,49.70749855240301,54.608467886616424,36.61060606060605,23.343954428518924,49.74801184433164,25.759796504043827,4.420076394194041,25.093266832917703,6.865515178704949,15.880849511020287,78.98700736249457,0.9910873752407634,33.62306897060995,47.873886599960755,36.70430865648257
5,James Maddison,Leicester,32.22589166749572,39.502705914994756,38,31,0.0,0.0,0.0,0.0,0.0,0.0,18.05981439327613,30.59663865546218,,23.700134589502014,,,,,,,,,,45.07001102535831,38.97594537815125,31.052917705735656,47.98983216237314,89.60939800779556,,45.70176606832657,57.77223452961157,23.541711229946518,37.98339420819201,22.577764910248984,2.677510643626346,18.97678304239401,63.12488328664798,59.091792233247574,47.494317332136966,26.979600770443,47.28571428571428,42.831175972927234,101.71087432491606,19.602077922077918,30.279338354748187,22.52258953168044,0.0,27.805136643296603,11.474926427310182,16.466414141414138,41.74614280588446,71.49686011260285,60.38618266978923
6,Jack Grealish,Aston Villa,30.861727601106065,32.57626802338974,38,36,11.288882455124492,32.278567399887194,31.16419191034845,37.91208582688658,5.305611143810084,41.737665915351855,48.2353044496487,40.36248369423428,20.83622780424426,52.80322927879439,,,,,,,,,,1.7243634939287107,,15.18200152788388,64.78866790671053,53.32777777777777,,48.24670255720052,17.152661064425768,24.77960099750623,32.41561069265987,33.66923882159413,24.809547152194202,81.96359052711993,14.554736275565123,43.848100274187225,23.83228670420095,18.384559544830292,61.856326637098874,0.0,0.0,3.920822942643391,64.16022408963585,20.185282446311852,33.53018756461379,41.05762831359277,30.680269253039953,3.488279083345496,14.86631062861145,58.510101010101,19.88652167692087
7,Willian Borges Da Silva,Chelsea,29.06544186873121,30.680188639216276,38,36,0.0,3.3075131480090154,76.19026610644256,42.5359346968066,59.20894759889067,24.828712427097344,32.59209612044006,63.517331670822934,,57.165723386010036,,,,,,,,,,50.43533531780773,7.355555555555555,1.4397481757046784,24.553874828330386,2.093869956913435,,9.665834743372814,48.156052700234795,30.74374538472899,16.132773109243693,81.40583756345177,31.6131550802139,63.258935470024305,39.87045454545454,23.786097005778323,32.51204214136959,6.827953097857556,22.270274314214458,51.68160852430301,50.88005084492298,32.78713631664451,36.75283068092877,40.165042016806716,13.16582633053221,15.12006010518407,7.85511319281811,3.1591675636885532,0.22020308123249294,1.2316882099490791,0.0
8,Lucas Digne,Everton,28.92386327975478,31.403051560876616,38,35,32.01338383838383,2.595030498744169,17.10349136346931,37.80273224043716,44.681207028265845,2.429575046501645,32.39339992166079,32.883660130718944,,16.22256448785374,,,,,,,,,,8.579623213512342,0.0,0.0,44.61325353962925,1.692866756393001,,32.404839551265326,60.359105385060786,38.84845938375349,23.211271820448875,0.0,25.54238664894402,14.45441342357586,22.949852854620364,27.100714595062794,30.555121462559473,65.89531923227574,40.95777310924368,56.50010695187165,51.5609815424238,39.4047619047619,45.15552982049797,24.892216806970904,41.4038902743142,21.775690706853247,34.103030303030295,44.79869242779078,41.14083057699374,28.026349633617464,15.0546781491753
9,James Ward-Prowse,Southampton,26.686871655149968,26.686871655149968,38,38,29.673609616074632,26.162373737373734,54.51764705882352,23.690170688640375,36.67023288390824,2.50932668329177,23.79418274263496,31.480470953186686,,25.983963585434168,,,,,,,,,,2.9533524654317764,31.044426751592354,12.249797868430722,13.467803869443213,83.79033308289505,,22.123033133849074,32.52507806401248,7.020622796709752,29.334869079982823,51.22262443438913,20.97241229969684,12.17275511454122,7.647307469600462,37.57320636577093,26.277567693744157,4.326215044115447,36.62375916525662,30.61358781299247,2.0388279301745635,7.513298080689382,55.599473067915675,35.2717843222174,17.816883674345398,32.01338383838383,34.41236096160746,22.949852854620364,29.576750700280105,46.46268469822188,14.025092305420173
10,Andrew Robertson,Liverpool,25.953792641086228,27.39567001003546,38,36,24.20108270284372,51.613923776526626,72.00603496897912,10.402717471569929,55.44481792717086,8.705831189513658,11.919301745635908,30.56834038826448,,0.0,,,,,,,,,,0.0,17.77510094212651,73.4687753329473,40.590767973856195,4.612253628724217,5.826519976838448,25.16090944574551,22.949852854620364,9.808284446988123,74.8045748116254,20.25146370023419,47.05048962005483,,10.62744130402273,3.009090909090909,28.96177552092453,5.284873949579832,21.38865858998686,46.579376558603485,18.567303687369836,28.79496351409357,40.964253482440654,20.815530748139437,19.180660208109074,22.74281074058033,27.646660579180796,4.644070299808004,44.16133671742808,17.584216959511075,18.130053688141917
