,Teams,xA av,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,244.22894736842107,38,374.09999999999997,288.09999999999997,125.6,312.1,310.40000000000003,283.5,142.3,192.3,250.5,236.29999999999998,,,,,,,,,,138.89999999999998,,220.8,281.79999999999995,201.39999999999998,,227.1,352.7,277.4,223.60000000000002,218.7,64.8,283.5,179.39999999999998,292.4,224.89999999999998,294.9,137.5,165.4,283.29999999999995,323.3,300.1,237.0,255.0,316.0,276.5,208.3,266.2,318.6,196.0
2,Chelsea,192.53421052631577,38,130.39999999999998,119.0,310.90000000000003,217.3,185.29999999999998,183.40000000000003,236.2,90.1,,246.5,,,,,,,,,,192.60000000000002,290.79999999999995,154.9,155.89999999999998,91.4,,258.6,254.3,217.79999999999998,156.6,146.1,167.70000000000002,166.0,194.2,205.39999999999998,280.90000000000003,194.0,136.20000000000002,219.70000000000002,200.2,185.8,205.2,151.39999999999998,228.1,175.60000000000002,161.60000000000002,151.90000000000003,270.1,176.6,207.59999999999997
3,Liverpool,189.37368421052633,38,193.2,115.0,280.0,253.1,236.5,127.3,128.5,220.9,,130.20000000000002,,,,,,,,,,221.3,115.5,316.7,203.8,157.8,161.9,155.3,195.60000000000002,187.39999999999998,248.5,147.5,219.70000000000002,,116.3,266.2,146.20000000000002,119.2,161.7,118.10000000000001,298.0,255.1,156.0,207.79999999999998,121.30000000000001,101.7,314.1,167.09999999999997,283.3,169.1,179.3
4,Leicester,167.85789473684213,38,170.2,269.90000000000003,188.1,130.3,176.8,167.8,182.4,142.10000000000002,,178.60000000000002,,,,,,,,,,204.4,190.4,92.5,122.50000000000001,181.1,,211.9,205.9,87.39999999999999,196.7,140.2,44.199999999999996,76.6,206.8,278.49999999999994,136.3,197.1,169.8,233.1,175.6,258.29999999999995,226.6,54.1,198.20000000000002,145.0,82.0,185.3,138.4,124.29999999999998,175.89999999999998
5,Man Utd,164.38684210526316,38,81.1,167.5,188.3,83.9,190.60000000000002,228.40000000000003,156.10000000000002,219.8,,154.60000000000002,,,,,,,,,,106.6,160.1,207.50000000000003,108.60000000000001,179.1,,278.4,87.0,171.39999999999998,137.6,130.0,252.7,210.10000000000002,246.5,118.89999999999999,112.2,172.3,139.79999999999998,200.5,198.6,188.7,92.80000000000001,176.79999999999998,158.4,126.1,91.40000000000002,238.59999999999997,232.29999999999998,115.8,137.59999999999997
6,Aston Villa,141.9105263157895,38,125.5,101.80000000000001,173.5,133.2,109.0,116.1,140.5,192.39999999999998,81.8,189.6,,,,,,,,,,46.0,,71.2,209.9,210.0,,199.9,88.0,83.69999999999999,119.8,149.7,160.3,221.0,113.6,203.00000000000003,123.29999999999998,103.4,226.7,105.7,70.69999999999999,83.60000000000002,238.5,192.3,181.20000000000005,148.89999999999998,125.4,107.30000000000001,96.79999999999998,258.5,89.9
7,Everton,139.8078947368421,38,202.2,79.4,134.1,92.9,92.80000000000001,80.3,82.5,158.49999999999997,,76.8,,,,,,,,,,48.2,124.5,205.0,149.00000000000003,131.4,,192.70000000000002,148.39999999999998,164.09999999999997,98.0,225.3,252.7,81.39999999999999,58.099999999999994,129.1,111.2,159.50000000000003,196.70000000000002,233.20000000000002,118.69999999999999,111.5,176.2,129.3,154.8,184.3,140.7,188.9,152.3,119.00000000000001,114.39999999999999
8,Brighton,138.59473684210525,38,125.29999999999998,146.3,70.2,54.3,137.20000000000002,103.10000000000001,73.5,79.3,,101.6,,,,,,,,,,111.4,246.80000000000004,102.4,118.50000000000001,190.8,,186.60000000000002,124.10000000000001,86.59999999999998,160.1,197.8,111.69999999999999,136.3,166.5,123.19999999999999,210.8,164.09999999999997,119.99999999999999,97.69999999999999,221.4,86.39999999999999,228.4,180.80000000000004,115.09999999999998,216.6,155.10000000000002,73.0,163.10000000000002,204.8,75.7
9,Wolves,138.1263157894737,38,67.2,123.30000000000001,157.3,156.3,76.8,164.7,128.5,101.2,,143.2,,,,,,,,,,115.69999999999999,153.3,170.5,168.6,159.2,,144.7,83.6,90.30000000000001,182.8,93.0,292.2,175.59999999999997,187.99999999999997,132.9,187.3,141.1,191.2,167.49999999999997,212.60000000000002,193.20000000000002,44.3,65.4,102.1,152.5,116.8,61.900000000000006,161.9,80.59999999999998,101.5
10,West Ham,136.8394736842105,38,107.5,138.0,104.5,240.5,230.7,202.4,104.19999999999999,150.5,,93.9,,,,,,,,,,131.1,157.70000000000002,92.69999999999999,51.199999999999996,128.8,96.2,60.89999999999999,169.6,95.3,155.10000000000002,179.8,152.3,,156.5,111.1,106.3,101.5,147.5,101.5,218.5,177.4,102.39999999999999,127.80000000000001,188.5,86.4,173.70000000000002,206.29999999999998,196.3,100.69999999999999,54.6
11,Arsenal,135.04999999999998,38,152.3,99.5,33.7,97.10000000000001,118.1,75.70000000000002,123.0,82.4,127.20000000000002,33.5,,,,,,,,,,153.3,,143.29999999999998,207.0,154.4,,40.2,130.2,58.5,134.1,98.5,193.79999999999998,87.59999999999998,69.19999999999999,123.19999999999999,158.10000000000002,162.0,171.39999999999998,103.39999999999999,161.20000000000002,173.7,163.7,157.00000000000003,128.7,226.90000000000003,100.90000000000002,263.1,92.5,209.70000000000005,128.5
12,Spurs,133.07368421052632,38,76.8,106.79999999999998,113.8,167.89999999999998,109.89999999999999,100.5,130.3,191.8,,88.7,,,,,,,,,,111.89999999999999,139.70000000000002,94.69999999999999,223.0,50.00000000000001,,169.3,185.3,156.8,113.60000000000001,185.1,123.50000000000001,70.7,121.8,165.8,95.5,180.9,161.3,206.2,75.89999999999999,86.0,171.4,99.3,105.80000000000001,145.20000000000002,137.9,105.7,191.6,45.199999999999996,251.2
13,Southampton,130.81052631578945,38,101.10000000000002,164.0,218.7,119.0,176.60000000000002,66.0,103.79999999999998,134.70000000000002,,209.39999999999995,,,,,,,,,,89.19999999999999,129.8,236.10000000000002,129.9,167.2,,208.8,98.1,160.2,140.1,135.5,48.7,122.1,114.60000000000001,121.09999999999998,143.19999999999996,97.4,180.00000000000003,37.6,42.49999999999999,61.3,133.29999999999998,90.0,169.3,198.6,128.1,101.1,141.10000000000002,118.60000000000001,91.5
