,Teams,xG av,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,286.63157894736844,38,476.0,374.0,111.0,379.0,336.0,409.0,154.0,112.0,230.0,288.0,,,,,,,,,,77.0,,240.0,311.0,294.0,,238.0,407.0,312.0,184.0,184.0,84.0,378.0,166.0,435.0,268.0,332.0,182.0,252.0,447.0,435.0,309.0,240.0,257.0,401.0,382.0,185.0,317.0,469.0,237.0
2,Liverpool,222.92105263157896,38,163.0,154.0,334.0,338.0,311.0,119.0,181.0,252.0,,127.0,,,,,,,,,,190.0,98.0,371.0,253.0,262.0,159.0,202.0,205.0,255.0,292.0,142.0,211.0,,214.0,294.0,151.0,235.0,194.0,158.0,348.0,343.0,117.0,258.0,151.0,122.0,318.0,202.0,362.0,163.0,222.0
3,Chelsea,222.52631578947367,38,128.0,144.0,283.0,152.0,176.0,301.0,197.0,309.0,,215.0,,,,,,,,,,240.0,264.0,195.0,237.0,145.0,,320.0,240.0,299.0,252.0,176.0,128.0,146.0,354.0,212.0,356.0,235.0,129.0,259.0,260.0,245.0,259.0,157.0,339.0,103.0,229.0,162.0,287.0,163.0,160.0
4,Leicester,184.31578947368422,38,125.0,320.0,230.0,206.0,117.0,191.0,200.0,120.0,,139.0,,,,,,,,,,206.0,199.0,81.0,145.0,143.0,,299.0,243.0,123.0,234.0,219.0,29.0,49.0,200.0,448.0,200.0,230.0,243.0,218.0,171.0,392.0,173.0,46.0,187.0,196.0,112.0,181.0,130.0,113.0,138.0
5,Man Utd,176.44736842105263,38,109.0,141.0,199.0,129.0,176.0,257.0,161.0,223.0,,152.0,,,,,,,,,,172.0,150.0,237.0,109.0,148.0,,254.0,90.0,231.0,145.0,201.0,224.0,191.0,220.0,164.0,167.0,221.0,147.0,311.0,125.0,284.0,60.0,121.0,162.0,126.0,91.0,276.0,231.0,110.0,190.0
6,Everton,171.05263157894737,38,196.0,60.0,112.0,98.0,104.0,95.0,87.0,180.0,,114.0,,,,,,,,,,39.0,203.0,240.0,204.0,193.0,,160.0,177.0,239.0,112.0,320.0,236.0,111.0,71.0,219.0,137.0,143.0,251.0,341.0,118.0,143.0,300.0,145.0,235.0,236.0,209.0,230.0,131.0,119.0,126.0
7,Southampton,168.94736842105263,38,203.0,236.0,280.0,188.0,265.0,75.0,123.0,123.0,,290.0,,,,,,,,,,126.0,157.0,255.0,128.0,238.0,,149.0,107.0,194.0,161.0,190.0,89.0,228.0,83.0,192.0,216.0,188.0,255.0,60.0,53.0,68.0,174.0,107.0,175.0,256.0,146.0,126.0,174.0,178.0,146.0
8,Wolves,161.60526315789474,38,66.0,171.0,175.0,175.0,49.0,98.0,86.0,105.0,,181.0,,,,,,,,,,102.0,178.0,231.0,156.0,238.0,,131.0,126.0,158.0,159.0,79.0,294.0,247.0,250.0,223.0,209.0,215.0,188.0,227.0,345.0,165.0,45.0,73.0,88.0,214.0,170.0,184.0,176.0,82.0,82.0
9,Arsenal,155.44736842105263,38,202.0,92.0,50.0,131.0,156.0,150.0,170.0,155.0,179.0,23.0,,,,,,,,,,142.0,,125.0,202.0,135.0,,54.0,142.0,151.0,174.0,80.0,244.0,71.0,56.0,168.0,166.0,350.0,231.0,97.0,137.0,189.0,127.0,187.0,145.0,262.0,102.0,304.0,88.0,226.0,149.0
10,Brighton,155.28947368421052,38,155.0,122.0,144.0,28.0,148.0,101.0,70.0,128.0,,152.0,,,,,,,,,,66.0,303.0,126.0,139.0,209.0,,301.0,180.0,113.0,224.0,179.0,89.0,115.0,228.0,158.0,279.0,107.0,103.0,81.0,270.0,94.0,238.0,242.0,92.0,207.0,181.0,111.0,180.0,167.0,71.0
11,West Ham,152.28947368421052,38,69.0,132.0,106.0,253.0,308.0,223.0,199.0,89.0,,95.0,,,,,,,,,,177.0,215.0,110.0,33.0,164.0,82.0,104.0,160.0,55.0,194.0,200.0,126.0,,165.0,133.0,87.0,104.0,135.0,87.0,255.0,148.0,114.0,133.0,309.0,101.0,152.0,280.0,310.0,113.0,67.0
12,Spurs,149.57894736842104,38,80.0,101.0,172.0,206.0,118.0,101.0,139.0,120.0,,103.0,,,,,,,,,,117.0,220.0,77.0,360.0,67.0,,217.0,235.0,122.0,155.0,191.0,179.0,63.0,138.0,183.0,142.0,202.0,190.0,159.0,52.0,127.0,177.0,88.0,135.0,125.0,135.0,153.0,157.0,81.0,297.0
13,Watford,148.05263157894737,38,305.0,14.0,186.0,279.0,144.0,61.0,95.0,97.0,,155.0,,,,,,,,,,177.0,174.0,106.0,75.0,118.0,,144.0,200.0,220.0,115.0,299.0,80.0,186.0,75.0,178.0,73.0,70.0,201.0,130.0,146.0,81.0,87.0,90.0,203.0,106.0,287.0,156.0,287.0,114.0,112.0
14,Aston Villa,147.10526315789474,38,128.0,94.0,131.0,189.0,75.0,102.0,85.0,138.0,115.0,219.0,,,,,,,,,,20.0,,83.0,255.0,243.0,,216.0,75.0,95.0,143.0,138.0,137.0,215.0,36.0,174.0,165.0,111.0,242.0,125.0,84.0,160.0,318.0,268.0,138.0,182.0,107.0,107.0,143.0,248.0,86.0
15,Bournemouth,141.1315789473684,38,201.0,148.0,205.0,148.0,149.0,103.0,150.0,33.0,,123.0,,,,,,,,,,125.0,145.0,153.0,109.0,180.0,,188.0,128.0,68.0,63.0,126.0,184.0,30.0,246.0,48.0,118.0,222.0,112.0,197.0,188.0,165.0,146.0,86.0,210.0,90.0,169.0,98.0,173.0,154.0,182.0
16,Sheffield Utd,136.47368421052633,38,117.0,125.0,92.0,170.0,122.0,152.0,139.0,52.0,103.0,71.0,,,,,,,,,,168.0,,234.0,294.0,124.0,,78.0,165.0,138.0,58.0,69.0,312.0,67.0,170.0,114.0,200.0,123.0,160.0,129.0,201.0,161.0,104.0,104.0,149.0,29.0,214.0,64.0,113.0,213.0,88.0
17,Crystal Palace,136.07894736842104,38,124.0,99.0,164.0,150.0,219.0,68.0,213.0,3.0,,75.0,,,,,,,,,,125.0,189.0,231.0,149.0,161.0,,58.0,48.0,107.0,199.0,55.0,205.0,206.0,122.0,38.0,112.0,97.0,154.0,31.0,112.0,190.0,84.0,182.0,228.0,170.0,174.0,251.0,111.0,88.0,179.0
18,Burnley,135.0,38,147.0,311.0,110.0,94.0,134.0,94.0,92.0,112.0,,7.0,,,,,,,,,,334.0,97.0,202.0,107.0,139.0,,65.0,138.0,166.0,205.0,96.0,33.0,37.0,126.0,84.0,64.0,195.0,198.0,213.0,44.0,158.0,164.0,126.0,173.0,225.0,36.0,60.0,157.0,227.0,160.0
19,Norwich,134.8421052631579,38,65.0,72.0,32.0,89.0,121.0,131.0,49.0,108.0,,104.0,,,,,,,,,,194.0,181.0,101.0,50.0,258.0,,138.0,182.0,75.0,150.0,58.0,205.0,142.0,148.0,179.0,101.0,189.0,199.0,171.0,84.0,109.0,91.0,349.0,181.0,120.0,112.0,108.0,115.0,238.0,125.0
20,Newcastle,124.26315789473684,38,27.0,165.0,191.0,110.0,89.0,127.0,145.0,126.0,,179.0,,,,,,,,,,246.0,251.0,80.0,107.0,162.0,,154.0,50.0,41.0,52.0,246.0,61.0,109.0,48.0,202.0,84.0,40.0,137.0,275.0,169.0,151.0,27.0,109.0,13.0,126.0,70.0,176.0,117.0,135.0,93.0
