,Name,Team,xA per fixture,xA per game,Team games,Played,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Kevin De Bruyne,Man City,52.38947368421052,56.879999999999995,38,35,133.5,83.1,0.0,62.0,89.8,23.8,56.7,27.8,21.3,34.9,,,,,,,,,,0.0,,35.6,87.1,46.4,,55.6,104.8,40.7,27.3,17.8,13.8,86.6,32.0,80.3,46.9,91.1,38.1,52.1,61.9,91.1,34.8,0.0,33.6,109.4,36.8,26.7,42.3,127.7,37.4
2,Trent Alexander-Arnold,Liverpool,36.3236842105263,36.3236842105263,38,38,0.8,30.4,48.2,15.2,28.9,9.8,15.8,13.3,,48.6,,,,,,,,,,34.5,7.9,84.0,32.3,2.1,42.1,29.7,34.9,15.2,36.3,37.1,55.3,,18.8,28.9,12.0,30.5,61.9,30.3,53.4,100.3,33.2,69.1,7.7,29.8,102.6,33.3,80.3,29.5,36.3
3,James Maddison,Leicester,32.800000000000004,40.20645161290323,38,31,0.0,0.0,0.0,0.0,0.0,0.0,16.4,33.0,,25.2,,,,,,,,,,58.5,53.1,19.8,39.1,65.8,,50.2,62.2,24.5,46.3,24.8,1.7,12.1,86.0,76.7,50.5,24.5,51.0,48.3,110.8,20.4,32.6,14.3,0.0,30.9,9.3,19.7,37.0,52.5,49.2
4,Jack Grealish,Aston Villa,31.821052631578944,33.58888888888888,38,36,12.4,36.4,28.3,41.3,4.3,26.5,39.3,49.2,15.3,46.8,,,,,,,,,,1.4,,15.8,72.0,63.8,,51.3,18.5,15.8,34.9,35.8,33.8,85.3,12.9,35.6,17.5,14.9,75.4,0.0,0.0,2.5,69.2,27.5,36.1,46.3,33.7,3.8,13.5,70.0,22.1
5,Joao Filipe Iria Santos Moutinho,Wolves,31.581578947368417,31.581578947368417,38,38,1.8,22.3,52.9,10.4,3.2,38.6,32.5,33.9,,22.2,,,,,,,,,,6.3,65.4,19.8,42.8,57.7,,17.3,17.8,26.4,36.6,20.9,76.2,30.0,68.8,22.8,54.6,48.4,43.8,30.3,56.1,31.4,4.6,16.0,7.3,17.3,58.0,0.9,36.2,38.8,29.8
6,Emiliano Buendia,Norwich,31.492105263157878,33.241666666666646,38,36,0.0,28.3,0.1,12.7,19.9,37.2,1.1,15.8,,32.6,,,,,,,,,,32.8,23.4,12.8,13.8,6.2,,0.0,52.3,29.7,62.2,31.4,72.3,114.1,61.8,72.3,1.8,38.8,0.1,5.6,44.8,25.6,56.8,38.8,45.8,15.3,40.1,5.3,41.8,62.8,40.5
7,Willian Borges Da Silva,Chelsea,30.99210526315789,32.71388888888888,38,36,0.0,2.1,103.8,37.7,64.5,26.4,35.8,40.5,,74.2,,,,,,,,,,45.8,8.8,1.6,19.9,1.7,,10.9,58.7,33.1,17.4,91.8,32.9,70.3,47.7,21.6,42.2,7.5,14.2,56.3,54.1,35.3,44.8,41.8,14.2,9.6,6.4,2.8,0.3,1.0,0.0
8,Lucas Digne,Everton,29.263157894736835,31.771428571428565,38,35,38.3,2.3,22.2,30.8,46.5,2.7,26.3,44.8,,10.3,,,,,,,,,,6.3,0.0,0.0,48.6,1.8,,39.5,66.3,41.9,14.8,0.0,27.5,16.3,18.6,19.9,19.4,53.5,55.8,58.8,57.3,42.5,49.6,26.8,26.4,19.3,40.8,36.5,53.4,29.8,16.4
9,James Ward-Prowse,Southampton,26.04999999999999,26.04999999999999,38,38,26.3,31.3,58.8,19.2,33.3,1.6,25.3,35.5,,35.4,,,,,,,,,,3.6,34.1,15.9,14.5,53.2,,24.1,26.5,5.7,32.6,55.8,15.4,15.8,8.4,45.8,35.8,4.6,41.3,27.8,1.3,6.1,45.3,25.9,19.8,38.3,30.5,18.6,31.9,29.5,15.1
10,Andrew Robertson,Liverpool,25.794736842105266,27.227777777777778,38,36,29.5,37.9,81.2,11.2,59.8,11.3,7.6,33.3,,0.0,,,,,,,,,,0.0,18.9,80.7,55.3,4.8,6.4,20.5,18.6,10.9,66.3,16.5,38.2,,11.3,3.6,26.3,5.7,23.3,29.7,24.1,32.0,33.2,16.9,17.0,16.7,33.7,5.0,49.8,18.3,24.7
11,Dwight McNeil,Burnley,24.510526315789463,24.510526315789463,38,38,71.0,45.6,7.1,10.8,33.3,10.5,3.4,35.3,,0.8,,,,,,,,,,37.1,19.3,40.0,26.1,68.8,,1.8,20.0,15.7,30.9,11.6,43.3,4.8,32.8,35.0,0.3,33.9,25.8,66.0,1.3,26.3,17.2,2.3,30.2,35.0,6.3,19.3,30.4,26.8,5.3
