,Teams,Threat av,Matches,Threat GW47 7 - average,Threat GW46 7 - average,Threat GW45 7 - average,Threat GW44 7 - average,Threat GW43 7 - average,Threat GW42 7 - average,Threat GW41 7 - average,Threat GW40 7 - average,Threat GW39* 7 - average,Threat GW39 7 - average,Threat GW38 7 - average,Threat GW37 7 - average,Threat GW36 7 - average,Threat GW35 7 - average,Threat GW34 7 - average,Threat GW33 7 - average,Threat GW32 7 - average,Threat GW31 7 - average,Threat GW30 7 - average,Threat GW29 7 - average,Threat GW28 7 - average,Threat GW27 7 - average,Threat GW26 7 - average,Threat GW25 7 - average,Threat GW24* 7 - average,Threat GW24 7 - average,Threat GW23 7 - average,Threat GW22 7 - average,Threat GW21 7 - average,Threat GW20 7 - average,Threat GW19 7 - average,Threat GW18 7 - average,Threat GW17 7 - average,Threat GW16 7 - average,Threat GW15 7 - average,Threat GW14 7 - average,Threat GW13 7 - average,Threat GW12 7 - average,Threat GW11 7 - average,Threat GW10 7 - average,Threat GW9 7 - average,Threat GW8 7 - average,Threat GW7 7 - average,Threat GW47 color,Threat GW47,Threat GW46 color,Threat GW46,Threat GW45 color,Threat GW45,Threat GW44 color,Threat GW44,Threat GW43 color,Threat GW43,Threat GW42 color,Threat GW42,Threat GW41 color,Threat GW41,Threat GW40 color,Threat GW40,Threat GW39* color,Threat GW39*,Threat GW39 color,Threat GW39,Threat GW38 color,Threat GW38,Threat GW37 color,Threat GW37,Threat GW36 color,Threat GW36,Threat GW35 color,Threat GW35,Threat GW34 color,Threat GW34,Threat GW33 color,Threat GW33,Threat GW32 color,Threat GW32,Threat GW31 color,Threat GW31,Threat GW30 color,Threat GW30,Threat GW29 color,Threat GW29,Threat GW28 color,Threat GW28,Threat GW27 color,Threat GW27,Threat GW26 color,Threat GW26,Threat GW25 color,Threat GW25,Threat GW24* color,Threat GW24*,Threat GW24 color,Threat GW24,Threat GW23 color,Threat GW23,Threat GW22 color,Threat GW22,Threat GW21 color,Threat GW21,Threat GW20 color,Threat GW20,Threat GW19 color,Threat GW19,Threat GW18 color,Threat GW18,Threat GW17 color,Threat GW17,Threat GW16 color,Threat GW16,Threat GW15 color,Threat GW15,Threat GW14 color,Threat GW14,Threat GW13 color,Threat GW13,Threat GW12 color,Threat GW12,Threat GW11 color,Threat GW11,Threat GW10 color,Threat GW10,Threat GW9 color,Threat GW9,Threat GW8 color,Threat GW8,Threat GW7 color,Threat GW7,Threat GW6 color,Threat GW6,Threat GW5 color,Threat GW5,Threat GW4 color,Threat GW4,Threat GW3 color,Threat GW3,Threat GW2 color,Threat GW2,Threat GW1 color,Threat GW1
1,Man City,286.63157894736844,38,319.85714285714283,267.85714285714283,247.28571428571428,272.57142857142856,229.42857142857142,215.71428571428572,201.71428571428572,221.71428571428572,239.71428571428572,265.0,268.42857142857144,268.42857142857144,268.42857142857144,268.42857142857144,268.42857142857144,268.42857142857144,268.42857142857144,268.42857142857144,268.42857142857144,268.42857142857144,283.7142857142857,283.7142857142857,275.7142857142857,243.28571428571428,255.28571428571428,255.28571428571428,245.0,249.0,242.71428571428572,263.85714285714283,263.57142857142856,287.57142857142856,297.42857142857144,335.85714285714283,317.85714285714283,313.85714285714283,303.14285714285717,334.42857142857144,353.0,315.57142857142856,298.7142857142857,321.57142857142856,321.14285714285717,green,476.0,green,374.0,red,111.0,green,379.0,green,336.0,green,409.0,light green,154.0,red,112.0,green,230.0,green,288.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,77.0,white,,green,240.0,green,311.0,green,294.0,white,,green,238.0,green,407.0,green,312.0,light green,184.0,light green,184.0,red,84.0,green,378.0,light green,166.0,green,435.0,green,268.0,green,332.0,light green,182.0,green,252.0,green,447.0,green,435.0,green,309.0,green,240.0,green,257.0,green,401.0,green,382.0,light green,185.0,green,317.0,green,469.0,green,237.0
2,Liverpool,222.92105263157896,38,228.57142857142858,241.28571428571428,237.42857142857142,216.85714285714286,182.57142857142858,191.14285714285714,210.28571428571428,221.85714285714286,208.57142857142858,208.57142857142858,219.28571428571428,219.28571428571428,219.28571428571428,219.28571428571428,219.28571428571428,219.28571428571428,219.28571428571428,219.28571428571428,219.28571428571428,219.28571428571428,221.42857142857142,243.85714285714286,232.57142857142858,216.71428571428572,209.42857142857142,217.28571428571428,230.42857142857142,222.71428571428572,219.85714285714286,205.85714285714286,208.14285714285714,227.71428571428572,227.71428571428572,246.14285714285714,220.85714285714286,236.14285714285714,224.14285714285714,213.85714285714286,236.71428571428572,215.85714285714286,218.57142857142858,225.14285714285714,220.0,light green,163.0,light green,154.0,green,334.0,green,338.0,green,311.0,red,119.0,light green,181.0,green,252.0,white,,pink,127.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,190.0,red,98.0,green,371.0,green,253.0,green,262.0,light green,159.0,green,202.0,green,205.0,green,255.0,green,292.0,light green,142.0,green,211.0,white,,green,214.0,green,294.0,light green,151.0,green,235.0,light green,194.0,light green,158.0,green,348.0,green,343.0,red,117.0,green,258.0,light green,151.0,pink,122.0,green,318.0,green,202.0,green,362.0,light green,163.0,green,222.0
3,Chelsea,222.52631578947367,38,197.28571428571428,223.14285714285714,233.28571428571428,227.14285714285714,243.14285714285714,245.85714285714286,236.71428571428572,229.28571428571428,230.85714285714286,230.85714285714286,234.42857142857142,234.42857142857142,234.42857142857142,234.42857142857142,234.42857142857142,234.42857142857142,234.42857142857142,234.42857142857142,234.42857142857142,234.42857142857142,242.85714285714286,241.14285714285714,238.42857142857142,222.85714285714286,223.0,223.0,227.85714285714286,223.85714285714286,232.0,229.57142857142858,222.85714285714286,241.57142857142858,257.85714285714283,242.28571428571428,249.0,220.57142857142858,235.42857142857142,231.71428571428572,227.42857142857142,213.42857142857142,219.42857142857142,205.71428571428572,206.14285714285714,pink,128.0,light green,144.0,green,283.0,light green,152.0,light green,176.0,green,301.0,light green,197.0,green,309.0,white,,green,215.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,240.0,green,264.0,light green,195.0,green,237.0,light green,145.0,white,,green,320.0,green,240.0,green,299.0,green,252.0,light green,176.0,pink,128.0,light green,146.0,green,354.0,green,212.0,green,356.0,green,235.0,pink,129.0,green,259.0,green,260.0,green,245.0,green,259.0,light green,157.0,green,339.0,red,103.0,green,229.0,light green,162.0,green,287.0,light green,163.0,light green,160.0
4,Leicester,184.31578947368422,38,198.42857142857142,197.71428571428572,171.85714285714286,168.42857142857142,167.42857142857142,162.28571428571428,155.71428571428572,147.57142857142858,173.14285714285714,173.14285714285714,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,188.0,176.14285714285714,181.14285714285714,200.85714285714286,184.28571428571428,170.85714285714286,170.85714285714286,156.71428571428572,186.0,197.0,196.42857142857142,199.85714285714286,226.85714285714286,244.28571428571428,271.7142857142857,232.42857142857142,210.42857142857142,204.28571428571428,197.57142857142858,182.42857142857142,183.85714285714286,146.42857142857142,137.85714285714286,151.0,pink,125.0,green,320.0,green,230.0,green,206.0,red,117.0,light green,191.0,green,200.0,pink,120.0,white,,pink,139.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,206.0,light green,199.0,red,81.0,light green,145.0,light green,143.0,white,,green,299.0,green,243.0,pink,123.0,green,234.0,green,219.0,red,29.0,red,49.0,green,200.0,green,448.0,green,200.0,green,230.0,green,243.0,green,218.0,light green,171.0,green,392.0,light green,173.0,red,46.0,light green,187.0,light green,196.0,red,112.0,light green,181.0,pink,130.0,red,113.0,pink,138.0
5,Man Utd,176.44736842105263,38,167.42857142857142,183.71428571428572,185.28571428571428,181.42857142857142,184.42857142857142,193.14285714285714,172.0,170.14285714285714,174.57142857142858,174.57142857142858,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,174.14285714285714,173.42857142857142,168.28571428571428,184.71428571428572,190.85714285714286,190.85714285714286,186.0,196.57142857142858,187.42857142857142,198.28571428571428,190.57142857142858,203.0,193.57142857142858,202.71428571428572,187.85714285714286,181.28571428571428,172.85714285714286,169.85714285714286,138.42857142857142,160.0,152.42857142857142,159.57142857142858,169.42857142857142,red,109.0,light green,141.0,light green,199.0,pink,129.0,light green,176.0,green,257.0,light green,161.0,green,223.0,white,,light green,152.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,172.0,light green,150.0,green,237.0,red,109.0,light green,148.0,white,,green,254.0,red,90.0,green,231.0,light green,145.0,green,201.0,green,224.0,light green,191.0,green,220.0,light green,164.0,light green,167.0,green,221.0,light green,147.0,green,311.0,pink,125.0,green,284.0,red,60.0,pink,121.0,light green,162.0,pink,126.0,red,91.0,green,276.0,green,231.0,red,110.0,light green,190.0
6,Everton,171.05263157894737,38,107.42857142857143,105.14285714285714,112.85714285714286,102.42857142857143,117.42857142857143,136.85714285714286,152.42857142857142,167.57142857142858,164.71428571428572,164.71428571428572,173.71428571428572,173.71428571428572,173.71428571428572,173.71428571428572,173.71428571428572,173.71428571428572,173.71428571428572,173.71428571428572,173.71428571428572,173.71428571428572,202.28571428571428,189.28571428571428,200.71428571428572,205.28571428571428,193.57142857142858,193.57142857142858,180.85714285714286,186.85714285714286,172.28571428571428,176.71428571428572,166.85714285714286,181.85714285714286,182.85714285714286,193.14285714285714,204.71428571428572,205.85714285714286,219.0,216.85714285714286,198.0,214.0,212.28571428571428,186.42857142857142,183.71428571428572,light green,196.0,red,60.0,red,112.0,red,98.0,red,104.0,red,95.0,red,87.0,light green,180.0,white,,red,114.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,39.0,green,203.0,green,240.0,green,204.0,light green,193.0,white,,light green,160.0,light green,177.0,green,239.0,red,112.0,green,320.0,green,236.0,red,111.0,red,71.0,green,219.0,pink,137.0,light green,143.0,green,251.0,green,341.0,red,118.0,light green,143.0,green,300.0,light green,145.0,green,235.0,green,236.0,green,209.0,green,230.0,pink,131.0,red,119.0,pink,126.0
7,Southampton,168.94736842105263,38,195.71428571428572,184.28571428571428,192.0,170.0,165.57142857142858,164.14285714285714,171.71428571428572,188.14285714285714,191.85714285714286,191.85714285714286,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,165.71428571428572,175.42857142857142,176.0,166.71428571428572,161.14285714285714,159.71428571428572,159.71428571428572,150.28571428571428,162.42857142857142,165.57142857142858,169.42857142857142,178.71428571428572,174.57142857142858,149.57142857142858,147.42857142857142,144.85714285714286,129.28571428571428,127.42857142857143,127.57142857142857,139.85714285714286,150.28571428571428,165.42857142857142,166.0,171.57142857142858,green,203.0,green,236.0,green,280.0,light green,188.0,green,265.0,red,75.0,pink,123.0,pink,123.0,white,,green,290.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,126.0,light green,157.0,green,255.0,pink,128.0,green,238.0,white,,light green,149.0,red,107.0,light green,194.0,light green,161.0,light green,190.0,red,89.0,green,228.0,red,83.0,light green,192.0,green,216.0,light green,188.0,green,255.0,red,60.0,red,53.0,red,68.0,light green,174.0,red,107.0,light green,175.0,green,256.0,light green,146.0,pink,126.0,light green,174.0,light green,178.0,light green,146.0
8,Wolves,161.60526315789474,38,117.14285714285714,122.71428571428571,124.14285714285714,113.71428571428571,114.14285714285714,140.14285714285714,148.42857142857142,170.14285714285714,173.85714285714286,173.85714285714286,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,166.0,174.0,171.28571428571428,149.57142857142858,169.28571428571428,170.57142857142858,170.57142857142858,187.57142857142858,201.42857142857142,208.71428571428572,216.71428571428572,232.28571428571428,222.71428571428572,236.71428571428572,224.57142857142858,199.14285714285714,179.71428571428572,161.57142857142858,165.28571428571428,157.14285714285714,134.14285714285714,135.71428571428572,141.0,142.28571428571428,red,66.0,light green,171.0,light green,175.0,light green,175.0,red,49.0,red,98.0,red,86.0,red,105.0,white,,light green,181.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,102.0,light green,178.0,green,231.0,light green,156.0,green,238.0,white,,pink,131.0,pink,126.0,light green,158.0,light green,159.0,red,79.0,green,294.0,green,247.0,green,250.0,green,223.0,green,209.0,green,215.0,light green,188.0,green,227.0,green,345.0,light green,165.0,red,45.0,red,73.0,red,88.0,green,214.0,light green,170.0,light green,184.0,light green,176.0,red,82.0,red,82.0
9,Arsenal,155.44736842105263,38,135.85714285714286,129.14285714285714,141.57142857142858,137.71428571428572,139.28571428571428,134.85714285714286,142.28571428571428,137.28571428571428,122.85714285714286,117.57142857142857,135.85714285714286,135.85714285714286,135.85714285714286,135.85714285714286,135.85714285714286,135.85714285714286,135.85714285714286,135.85714285714286,135.85714285714286,135.85714285714286,140.42857142857142,140.42857142857142,134.0,140.0,130.85714285714286,130.85714285714286,131.14285714285714,134.85714285714286,137.0,162.14285714285714,183.71428571428572,162.71428571428572,172.14285714285714,191.14285714285714,185.28571428571428,188.28571428571428,159.0,163.42857142857142,164.14285714285714,188.0,173.57142857142858,187.71428571428572,182.28571428571428,green,202.0,red,92.0,red,50.0,pink,131.0,light green,156.0,light green,150.0,light green,170.0,light green,155.0,light green,179.0,red,23.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,142.0,white,,pink,125.0,green,202.0,pink,135.0,white,,red,54.0,light green,142.0,light green,151.0,light green,174.0,red,80.0,green,244.0,red,71.0,red,56.0,light green,168.0,light green,166.0,green,350.0,green,231.0,red,97.0,pink,137.0,light green,189.0,pink,127.0,light green,187.0,light green,145.0,green,262.0,red,102.0,green,304.0,red,88.0,green,226.0,light green,149.0
10,Brighton,155.28947368421052,38,109.71428571428571,105.85714285714286,110.14285714285714,99.0,138.28571428571428,135.14285714285714,140.57142857142858,160.42857142857142,185.14285714285714,185.14285714285714,189.14285714285714,189.14285714285714,189.14285714285714,189.14285714285714,189.14285714285714,189.14285714285714,189.14285714285714,189.14285714285714,189.14285714285714,189.14285714285714,195.85714285714286,184.57142857142858,192.14285714285714,185.0,171.57142857142858,171.57142857142858,161.14285714285714,158.0,181.71428571428572,165.0,154.14285714285714,153.0,175.14285714285714,156.0,167.42857142857142,162.14285714285714,160.0,174.85714285714286,189.14285714285714,166.42857142857142,178.71428571428572,168.57142857142858,144.14285714285714,light green,155.0,pink,122.0,light green,144.0,red,28.0,light green,148.0,red,101.0,red,70.0,pink,128.0,white,,light green,152.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,66.0,green,303.0,pink,126.0,pink,139.0,green,209.0,white,,green,301.0,light green,180.0,red,113.0,green,224.0,light green,179.0,red,89.0,red,115.0,green,228.0,light green,158.0,green,279.0,red,107.0,red,103.0,red,81.0,green,270.0,red,94.0,green,238.0,green,242.0,red,92.0,green,207.0,light green,181.0,red,111.0,light green,180.0,light green,167.0,red,71.0
