Teams,GW24,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Liverpool,192.9681046036464,,241.76287815798463,,248.35502358610944,238.88195529033317,208.4053791386781,155.2669970849422,189.45431291726763,237.58185207333034,270.40906030007574,267.9231156565096,210.6681291539574,211.09395716463914,318.3956686147333,273.9070817068327,240.72494504188415
Man City,240.22142924708555,235.0009686627666,184.15543110718207,,188.66997205880406,204.77591429566522,232.20062284582778,202.57645154322046,187.57094492083954,262.84594057562737,230.93688244992796,,233.99206568498445,150.9243064705602,260.42952576566506,183.82952324343108,235.0009686627666
Aston Villa,182.73330616226292,,186.45241689484453,,261.2785307021156,201.3684422827599,258.8765255209394,239.96916221320032,230.8159579425499,150.95702343786826,117.11112153050597,307.64484143119495,233.59960466315457,203.55478914067325,232.59671800232724,238.78893445866916,150.02431064944608
Leeds,166.3159011809652,,182.95243802417977,185.31265495668276,208.56553341740928,170.39310890855256,136.30394656215194,209.70685258209107,218.02295722125479,106.40080918769883,137.1513587816821,184.9388341222341,166.02156470804215,216.95066633660824,240.45429440190944,185.31265495668276,279.50940647574384
Man Utd,266.74752283098985,,224.46231043743427,,130.08055992096598,101.54274461061661,162.61327402865717,201.67605625077718,158.44132646833947,207.04509930990454,229.4755950953983,226.5450007530762,130.8892808625133,199.04281608442386,161.66603054735188,200.13202472243378,174.59916735601973
Chelsea,225.40459815473818,,177.59404025664904,,177.2357897511055,203.39590433024821,227.49603155735784,131.43875111185326,267.8673229163362,202.5226877868647,159.10645958379882,163.29592088589197,200.9721744489852,101.9690187625731,159.38853639843146,162.3447008978137,199.878393337676
West Ham,187.7906346991907,,186.8670338620294,,91.6466584277553,204.46652670408517,159.29414719890298,143.25357770303881,157.58319625698422,145.91048861008565,202.58680985478824,117.40325405702596,207.11151310573325,182.80606399833786,143.00005562550254,240.75101776188964,159.61613187730384
Brighton,174.79877660317322,,177.1112798556677,,234.25683764947925,141.97460081142688,155.3105388256364,197.1220967921966,154.99723957882543,177.87493009791888,114.23633960442133,182.7250436312992,198.95110889310595,153.3324409800353,142.80646706480258,89.17451973416506,139.38935920876511
Arsenal,193.5426111821404,,86.75030511911702,,138.11501285649663,196.04628541658906,176.88339632169252,138.92426477636977,111.82172685194155,177.7576524681419,170.97739750243662,173.03938955921478,191.76332088381932,227.88855160546447,111.13081792777888,172.2964991941524,135.36007390102606
Leicester,112.29988845524508,,170.7739999548001,,136.17989144888065,135.93888798109745,178.51776310581948,196.88460019490236,87.12125865516596,139.51831971590033,228.86302730243224,173.03325735929275,151.73448273383238,192.58332125002744,151.42839726458337,111.606025131001,177.63976854705567
Everton,156.3293902470415,79.31821691708166,102.24171516522307,,138.14433814506938,101.60999791833346,179.2505717542932,208.36484141862084,157.53548161439213,123.76348058777953,161.7294092419549,123.98289850747535,155.47857527893203,127.02231944253873,162.52876595395665,136.38487597506472,79.31821691708166
Wolves,134.51762695557258,,172.31561522380588,,170.731470520248,151.39678737316217,99.55755758481126,77.23587124380455,123.68759524447333,152.22526584738077,158.261888990231,174.54469626902852,202.89462735109186,120.51431087206221,157.48351783558718,154.061106687184,134.24627208470127
Southampton,128.27717834607262,,95.56956907081974,166.44153523227888,148.8093060126583,152.86688753124338,116.40608944786453,152.1150503295413,168.59462896578734,195.9781371109971,148.1704399143091,,118.77526420694747,96.16373250253605,147.03604728957566,166.44153523227888,119.4711994901942
Fulham,154.85411665881253,175.44314291537947,159.076521955012,,154.18929906121744,100.07001746267028,77.63343307742242,173.20258795870413,152.1760830996509,133.4879495948748,121.34940027821143,,99.45171840708855,175.44314291537947,135.21003934848218,134.93728771289153,171.6102890715665
Spurs,78.81779018479206,,126.22092265480048,,178.11966158799663,156.54157416982144,123.20067773687042,137.27277140530623,174.22833464166223,136.995858735927,157.2165340658517,,161.5033553684612,175.84492526020065,135.52440986184797,154.4976450665293,125.48566935581069
Burnley,130.87123722229768,129.86928726263926,173.09728773883742,,134.3553062829008,102.9977193442465,131.43551439363293,104.90800855527031,114.76221269665392,145.65764931556808,114.53070931592978,113.30055473443075,105.52269196714263,129.86928726263926,147.00914469596185,84.93641954359623,135.0193649496187
Sheffield Utd,106.76257651369498,,131.39524266945216,,85.93441677119144,116.1106609915007,106.14067061299875,130.6801305652926,148.73649227696515,104.20793563198897,114.63182864634697,104.02351432286149,135.9339721120416,132.4089654738726,132.97987286408937,147.3691169165818,150.66055293297055
Crystal Palace,149.7538687727314,,103.39749463228654,,130.60449829117968,135.11591339027908,174.077219465872,115.17908617523555,132.17959208714223,84.88949377030465,115.41190013402044,105.50190975006217,66.26595235506241,135.78373140045423,129.89368977415697,103.58080608301684,85.41725834458927
Newcastle,79.67042661613728,,108.09779308694448,,106.93673334838103,163.37482676623583,121.90773226958937,97.04054226879705,126.80888982045295,140.54689317412488,99.59573454466526,80.16574384467337,97.21258359964564,99.01557643102552,62.191873926561904,127.43564989887395,122.57483976756566
West Brom,89.15797676404738,,115.92166942574791,,80.03806706593072,113.389163402107,101.87848130025374,102.31775048168883,65.71136969752997,89.33819369593125,81.66705545612417,100.54827624748675,88.20034632371775,80.17996503202441,66.11990238530774,82.1455640559599,114.44125322536547
