Teams,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Man City,77.12660542991395,86.91223157280392,,90.9416137268233,100.06471988583958,78.09150565084767,,87.50837952820969,104.7788265979007,113.15714633273663,,66.80318937260135,102.3421114972937,62.929939991297395,91.51236244138781,77.12660542991395
Liverpool,,99.90649979476568,,87.70327663095561,101.15639019493743,99.48876411937206,,112.58238058566465,146.5789185696881,135.72600219662792,81.51674771345093,129.61955036154728,94.53927195695556,66.54897196606005,86.8928202676867,86.53398899305009
Chelsea,,95.10176822725323,,130.39076968793714,100.50093036684198,136.53355411063862,,66.9449296220498,87.04885487952245,119.24649754985829,118.50277524418084,101.75825745098457,153.1833128401571,113.25223098613634,114.02905013720107,147.45104391287094
Brighton,,101.26171516044938,,77.87533109087495,132.6470889363318,110.62946409589831,95.39056021592438,151.6802604464552,116.91017185984079,155.13237976641162,102.63001070660447,158.82600506727235,116.42133930437565,137.8512593773574,178.19424521577454,131.74343500871646
Leicester,,184.4285739530862,,141.65343902292597,149.15093788699068,110.35004486248877,,191.59837184478283,148.22070612590363,83.73326885959492,108.87882339555345,118.95123309492025,102.56602846293767,163.08995224476956,166.8017468670743,128.3035577318827
Arsenal,,183.79490142855641,,136.81619519371466,104.8774776107729,123.07797565925193,142.18393303545855,191.83880279014812,105.85567832783319,122.0932525284991,120.58466583449948,98.38869145785725,80.32295759176682,160.00820011341727,104.44437716753936,143.07627806526503
Wolves,,177.33428787203775,,106.5065954308977,191.51428407912582,207.66713586662283,,153.91531697591333,132.16698442894892,114.58967223438376,113.53076163725704,86.95028484756082,154.88128806127003,133.2329555943797,130.5339265001414,169.35583665360332
West Ham,,128.18598637645655,,191.42280009390188,170.61672547781092,162.94050427091153,141.5236344631685,125.06407675141348,142.49437268723696,102.47204177075048,166.64889757892288,109.2301270328951,125.58919862855878,149.0142629713418,83.65653962395939,118.84223177062488
Southampton,,179.19617112482115,183.46274340638246,135.04501893397904,118.54975079228957,160.23379545493572,,117.45424554340538,89.95518006991847,116.96920826978503,,153.2230117531582,214.84385743228904,136.73451334228415,183.46274340638246,159.23444159338212
Spurs,,184.92412221982804,,136.40342529394778,135.8401357746038,176.7306239148766,,127.96412376400028,203.4753918667706,156.83216103647283,,137.6756710751365,213.06123502540567,156.17640401517195,230.09802774491524,177.94285374947916
Man Utd,,109.83186942432589,,178.61808589258158,205.17131913685975,158.72075272061636,,159.71688267562374,137.39266120240478,117.07533920636546,182.87089425043416,214.1507730854562,197.49360832324288,152.72871569885203,136.2934090351749,134.04652732659721
Sheffield Utd,,159.61025929432935,,250.78733199365004,149.16939682671654,178.85729095008836,,214.15614339182576,177.63883154215318,156.97898479141324,187.0409819374254,160.8975696982839,136.53820973975996,157.6381117070493,128.62172339583435,137.10439396872758
Aston Villa,,177.30807787710455,,212.30118128633913,155.61927563932477,127.50763710784433,,158.22775876014586,248.61508052322094,238.190520133733,104.09520013208665,156.27269337738673,202.74953372379153,135.35555300618756,159.50391883248014,207.36394815332852
Crystal Palace,,186.31332881560243,,158.98932102589495,160.2716233539482,104.59621826624583,,157.02484576439994,208.362006644631,148.58907706921158,178.1614751733931,239.3369492661078,137.84482004973444,230.38072725998657,176.94775598753552,249.81168385948934
Fulham,129.34917975477705,130.5556300172144,,128.81502134097923,236.6017218504806,226.68088787493747,202.04255082807515,218.19826802631843,148.09957823917998,167.59081519893158,,197.34389032047798,129.34917975477705,140.73173415909375,192.95244955565204,121.34632551376717
Everton,237.5865695994481,247.98469770769586,,147.50237775267394,206.83816078274668,135.57220543178244,,135.0123485053929,184.9507349353574,159.09948427754767,175.65365678934913,228.6958485071543,183.79722527386522,136.83669835808058,155.22469089844327,237.5865695994481
Burnley,178.68136322732227,117.5512590885986,,180.1224884964138,198.86408757427708,176.47357269469205,,166.99296959128534,143.9901481184535,228.95832794034342,175.7356897017919,208.08372664056796,178.68136322732227,239.74468692638004,280.75276964580746,154.91795424612124
Newcastle,,223.15140656443302,,171.27861953439626,114.56988284730886,252.3484440447718,204.07904424384168,175.55415880017088,149.59359918314485,202.80623422053662,273.63221948251714,193.82042687224367,195.14987900003737,262.1586773687326,150.98887078313183,174.14958385534896
Leeds,,172.24736409688958,163.67818559577225,253.7757160749094,203.9532976262026,229.52101101484018,175.13456646951855,151.84285739258598,263.64143565988286,275.17987163821095,224.41354139661283,205.23330660868024,176.54708563028586,150.43969419597494,163.67818559577225,115.21788521523744
West Brom,,174.67376066587556,,238.2939799952745,163.866667424247,173.95243054916145,,266.4941481040888,190.0448174252246,227.86779277029285,294.65600106003086,199.99438986092412,226.31545093177164,319.5081145005761,236.80777661091898,272.839242077705
