GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW21*,GW22,GW22*,GW23,GW23*,GW24,GW25,GW25*,GW26,GW26*,GW27,GW27*,GW28,GW28*,GW29,GW29*,GW30,GW31,GW31*,GW32,GW33,GW33*,GW34,GW35,GW36,GW37,GW38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,26.77897493510333,0.0,77.64849367926686,13.956713704997572,75.83129408040982,39.46506713492286,36.9091039151855,71.3277658474106,40.25820213658529,31.1360219930376,26.179874082501346,26.563420451079814,69.6195925403015,21.54012275349392,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.7538688706724939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,2.0090951975671048,,,20.28267477782457,0.0,,,8.896006283725027,,15.48392389868665,1.5399925930883145,2.097875466100312,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.38184122118574,10.48937733050156,6.19356955947466,27.577619479547586,0.0,7.083578786954617,0.0,1.9581929775903566,27.16004072681704,55.60030845940326,53.29756451139509,21.108328378829828,,23.59357073238652,,,,24.81193547555124,,97.44111708200457,,,47.66428572788774,110.50023586619075,,,14.233610053960044,,38.70980974671662,18.479911117059775,31.468131991504677,,,,,,,,,,
5.070668694456143,5.637678933705964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9581929775903566,3.017782302979671,42.4070149266635,17.19276274561132,0.0,,0.0,,,,0.0,,2.0090951975671048,,,10.141337388912286,30.136427963506566,,,8.896006283725027,,24.000082042964305,4.619977779264944,2.097875466100312,,,,,,,,,,
7.0989361722385995,5.637678933705964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.558402513490011,0.0,0.0,2.9836968231557783,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,6.030950965379951,0.0,0.0,0.0,0.0,0.0,0.0,0.8896006283725028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,8.456518400558947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.106693817878025,0.0,0.0,0.0,,3.9322617887310867,,,,3.101491934443905,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,3.0154754826899755,15.507459672219525,8.088671368577048,3.1156631948623312,10.545458261481572,80.768205444862,6.967765754408992,0.0,10.779948151618202,8.85447348369327,7.9565248617487425,0.9790964887951783,1.005927434326557,15.07804975170258,22.350591569294714,5.277082094707457,,3.9322617887310867,,,,0.0,,34.154618358640775,,,50.706686944561426,6.027285592701314,,,1.7792012567450055,,52.6453412555346,24.639881489413032,7.342564131351091,,,,,,,,,,
41.57948329454037,2.818839466852982,3.9322617887310867,14.323508542777384,3.101491934443905,1.011083921072131,2.0771087965748873,6.327274956888943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.035564605959342,10.366159204295522,20.631315294733582,27.893148214882274,,0.0,,,,11.630594754164644,,2.0090951975671048,,,22.310942255607028,2.0090951975671048,,,1.7792012567450055,,0.0,0.0,0.0,,,,,,,,,,
51.72082068345265,0.0,0.0,69.35593610186943,37.21790321332686,0.0,4.154217593149775,45.34547052437076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.56963967210489,,0.0,,,,0.0,,0.0,,,38.537082077866685,21.095499574454596,,,7.116805026980022,,0.0,0.0,2.097875466100312,,,,,,,,,,
