GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW22,GW23,GW24,GW25,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
0.0,0.0,0.6,24.7,13.5,2.0,2.7,22.7,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6.5,0.0,0.3,0.5,1.8,0.0,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.7,7.2,36.9,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5.3,36.2,40.3,0.0,0.0,11.3,1.3,27.8,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13.7,1.8,1.5,10.3,1.8,11.7,6.0,25.3,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,10.5,0.0,0.5,0.9,0.4,10.7,0.6,0.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,1.0,11.5,1.7,63.4,42.8,38.0,11.9,5.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12.1,7.3,0.0,21.7,18.4,6.1,3.6,0.3,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.7,2.8,0.9,0.0,0.2,0.0,0.0,0.1,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.2,0.3,0.2,0.0,0.0,0.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.9,3.4,11.3,3.3,11.4,2.5,0.7,1.5,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.8,0.0,0.0,11.3,0.3,0.0,0.0,0.0,12.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,10.3,10.3,0.3,0.1,3.1,0.3,2.2,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.8,3.9,1.4,1.1,11.8,11.1,1.3,12.8,13.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15.8,1.4,15.1,36.8,28.3,26.3,28.7,1.5,32.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14.8,22.8,1.2,1.3,7.8,4.1,1.2,4.8,36.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,26.2,11.3,12.9,0.8,6.4,25.3,19.9,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.4,23.0,21.7,15.3,24.8,26.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.3,25.1,0.0,0.0,0.0,0.0,1.4,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,24.3,1.3,0.0,0.0,18.4,17.2,53.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
