GW1,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW19*,GW2,GW20,GW20*,GW21,GW22,GW22*,GW23,GW23*,GW24,GW25,GW25*,GW26,GW27,GW27*,GW28,GW29,GW29*,GW3,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38,GW4,GW5,GW6,GW7,GW8,GW9
,,,,,,,,,,,,,,,,,,,,,,,,103.69898233204313,,87.44968976099145,111.19377132506291,,,154.96567652879784,102.0498430511034,91.8471504724108,156.29954837034236,102.89965348627749,133.98853067019797,140.01890977728166,76.55076122466646,89.8203390297806,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,135.16221598473768,,105.81409235550849,136.2877665799264,122.49884052423371,,101.38938202249962,177.46413106048513,143.88118278598446,137.34645569559808,176.9830523995489,118.96457359259315,177.98758395694315,205.24778495462763,185.45120266169602,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,284.35191146905396,,183.51516470602533,190.2808706031909,256.9255691248775,,169.71086661670358,246.58541249107108,187.25480755930923,168.5335319719166,204.03331968714247,188.8141542936372,160.4644783149296,245.19372649290466,178.87997807637203,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,159.9961618230364,150.7419586247611,151.79500562517376,229.8027167502733,219.30936913019409,,219.90549998115114,147.41550238682993,164.14202587139488,168.88161721457,125.63712234805656,254.3337433922789,167.4868859812218,220.5541390623238,256.5229289349402,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,120.95097686198467,95.12336236845802,,118.16529866618394,86.90193939313244,,146.17586267989319,111.92905375554719,170.01476641361896,83.26805754779726,97.70203508942335,106.04007287909168,167.74983678081216,99.90669836309286,108.78781207999194,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,116.2433611895741,,122.52373884860138,125.69860728403745,194.7666794047809,,112.88957379275553,175.9810218757112,167.9453029634525,136.53380087026702,193.8261322873941,100.41063004343296,96.21187029029522,196.44313960647523,168.40181504393004,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,230.71229668142814,206.6805988268357,227.63875707995962,136.52180925096263,,,164.13208244396031,135.57471694624195,143.8977876467648,132.58295959476555,150.63481572264618,198.36258761324703,117.92708625486672,153.06909474021347,112.99586031437059,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,187.61653779106112,,177.71496184484278,232.0902123905139,,,230.78033482868915,179.09545915959484,151.0317843907071,231.40764627430232,159.73463588189819,241.8225364767094,269.94034803728283,155.12606294341916,137.97824894707446,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,238.56008597567026,,,123.5848244679156,,,157.8617589143713,150.80151127631981,172.0065783237579,154.70912103967228,241.78108349376166,143.0716586676132,142.07912811376863,135.2766592230142,206.7061104782564,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,143.68506788009128,,151.6906325055075,122.11134035623022,139.65260706463872,,111.55737176054689,218.25060101116085,125.42162265131378,155.2666509495648,136.12529149865168,144.80121954407787,216.38803432991128,187.09636497530602,142.4984256910631,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,189.44015748090382,,121.52343706900236,208.65007279234516,103.57021265735366,,118.3160405000264,209.66255352541992,140.30070348954473,125.13372416609342,108.0900961105857,211.46723042315801,181.28128830007233,138.06948196677968,181.81600038452152,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,93.70260653896733,,,183.31957691992235,120.68826262770143,,180.8774011560278,130.41621250972833,89.78434875162215,119.69154260475472,157.61511701395446,127.41253606996034,108.47761767456515,117.30119745028584,107.72507624914974,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,71.90656889772373,,,127.42240854776519,,,75.52243434544495,76.0500158740179,115.13224815779058,126.80707342259724,85.2677469532781,91.43042817688692,80.1588339241509,84.6104891073432,89.3246514662473,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,130.95469057679432,,,191.03942239368345,154.88751382320788,,138.99413312763468,109.14526142654246,146.71323185799346,191.60291732864334,142.59578689795433,145.50158117514968,128.06488437200767,113.90844428059917,147.8529064274053,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,106.9710892789799,,91.16775111061024,159.14040060306874,121.53575670991466,,129.37571568216035,119.10858098117014,160.0436597134453,116.10016201522095,109.38491035918501,183.66437045441972,132.42567293957848,110.14904698574219,122.54783425174043,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,209.55143887895724,,208.93515820813997,140.0614414653783,173.39012591119584,,155.95353525484373,208.36876630949195,241.64589297625122,218.33863630056624,169.39669728705903,143.22195205017118,160.45668441306447,240.47896160605097,136.3647669996388,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,195.1176700774732,158.62400818929422,196.22513124022663,149.01165003026833,,,228.226255967756,127.69272520482825,225.18583529706942,116.65636275251633,195.64804259717613,111.77827324485334,151.41969847047514,204.45351171097582,226.27855631340253,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,105.9101111181362,,127.07309185166876,134.8742390820543,,,193.7200630785341,110.53210953341939,185.37686555707143,184.8743366588776,214.3993313468666,120.9890824292518,138.3691370376594,150.29652763137332,153.83968086377905,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,132.2204997129047,,,121.42641100752576,177.1393702664849,,137.09511057172278,203.88283229382537,105.62045171137136,204.87217984947014,115.61275354523303,176.659171983386,143.617879058724,147.00358703506683,122.2746666561116,,,,,,
