,Teams,xG av,Matches,GW38,GW37,GW36,GW35**,GW35*,GW35,GW34,GW33,GW32*,GW32,GW31,GW30,GW29,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,225.68421052631578,38,303.0,132.0,181.0,,,177.0,273.0,,,182.0,316.0,158.0,,170.0,254.0,245.0,415.0,138.0,,242.0,227.0,256.0,167.0,227.0,190.0,290.0,468.0,180.0,276.0,224.0,,233.0,112.0,362.0,127.0,213.0,222.0,339.0,76.0,232.0,195.0,193.0,248.0,147.0,186.0,
2,Liverpool,221.78947368421052,38,263.0,227.0,291.0,,259.0,234.0,,274.0,,247.0,344.0,233.0,,162.0,,156.0,84.0,239.0,,183.0,,290.0,116.0,131.0,174.0,205.0,337.0,245.0,,228.0,150.0,186.0,181.0,313.0,172.0,149.0,80.0,343.0,126.0,146.0,237.0,279.0,264.0,268.0,227.0,385.0
3,Chelsea,199.89473684210526,38,282.0,300.0,,,267.0,123.0,177.0,210.0,,108.0,342.0,221.0,,232.0,,219.0,132.0,177.0,,118.0,,258.0,138.0,255.0,268.0,194.0,140.0,278.0,,133.0,175.0,208.0,176.0,160.0,111.0,391.0,121.0,167.0,286.0,202.0,87.0,223.0,207.0,287.0,73.0,150.0
4,Aston Villa,184.89473684210526,38,87.0,248.0,204.0,,124.0,146.0,183.0,357.0,,120.0,94.0,174.0,119.0,171.0,,86.0,237.0,105.0,,164.0,,45.0,160.0,116.0,123.0,268.0,166.0,108.0,,216.0,137.0,327.0,273.0,329.0,169.0,,159.0,195.0,307.0,343.0,154.0,140.0,268.0,191.0,213.0,
5,Man Utd,182.60526315789474,38,94.0,106.0,,235.0,39.0,258.0,,155.0,,341.0,217.0,172.0,,207.0,,160.0,109.0,106.0,,218.0,,198.0,185.0,392.0,140.0,190.0,180.0,129.0,199.0,263.0,158.0,108.0,353.0,173.0,86.0,142.0,194.0,274.0,142.0,109.0,148.0,367.0,63.0,123.0,206.0,
6,Leeds,180.6315789473684,38,252.0,183.0,187.0,,,269.0,133.0,90.0,,208.0,28.0,297.0,131.0,112.0,,151.0,,150.0,143.0,266.0,,143.0,224.0,221.0,205.0,136.0,,100.0,,183.0,183.0,121.0,234.0,368.0,178.0,82.0,260.0,213.0,102.0,138.0,324.0,178.0,245.0,181.0,147.0,98.0
7,Brighton,166.60526315789474,38,45.0,266.0,97.0,,,103.0,170.0,199.0,,117.0,248.0,123.0,178.0,126.0,,112.0,,180.0,,351.0,,317.0,70.0,162.0,237.0,248.0,,105.0,44.0,222.0,176.0,168.0,303.0,109.0,120.0,147.0,129.0,101.0,284.0,108.0,77.0,245.0,176.0,206.0,139.0,123.0
8,West Ham,165.26315789473685,38,161.0,271.0,159.0,,,125.0,246.0,74.0,,247.0,78.0,114.0,208.0,101.0,,219.0,,130.0,,124.0,,172.0,80.0,242.0,132.0,264.0,186.0,225.0,,131.0,152.0,211.0,98.0,70.0,233.0,240.0,107.0,233.0,182.0,77.0,56.0,195.0,193.0,179.0,156.0,209.0
9,Leicester,165.18421052631578,38,133.0,74.0,,,166.0,339.0,269.0,150.0,,214.0,220.0,53.0,,275.0,,102.0,187.0,113.0,,195.0,,122.0,143.0,158.0,197.0,244.0,115.0,195.0,,90.0,132.0,99.0,212.0,155.0,209.0,180.0,214.0,154.0,109.0,176.0,58.0,151.0,70.0,123.0,270.0,211.0
10,Arsenal,162.28947368421052,38,178.0,116.0,,,64.0,175.0,192.0,213.0,,275.0,210.0,68.0,222.0,138.0,,209.0,,195.0,,98.0,,214.0,193.0,149.0,154.0,135.0,,229.0,118.0,321.0,135.0,201.0,175.0,110.0,245.0,139.0,175.0,82.0,125.0,59.0,171.0,120.0,127.0,68.0,137.0,232.0
11,Spurs,154.6578947368421,38,208.0,167.0,293.0,,,162.0,221.0,,177.0,139.0,137.0,186.0,144.0,81.0,,224.0,85.0,165.0,,181.0,,75.0,194.0,48.0,121.0,44.0,,171.0,188.0,254.0,,84.0,125.0,44.0,138.0,58.0,55.0,56.0,221.0,90.0,169.0,145.0,311.0,365.0,164.0,187.0
12,Wolves,144.07894736842104,38,195.0,129.0,184.0,,,227.0,245.0,99.0,,162.0,85.0,183.0,,173.0,,101.0,71.0,176.0,,131.0,,139.0,130.0,124.0,108.0,18.0,,259.0,121.0,126.0,133.0,184.0,166.0,109.0,200.0,110.0,176.0,259.0,74.0,161.0,119.0,102.0,165.0,128.0,92.0,111.0
13,Everton,139.73684210526315,38,103.0,183.0,216.0,,175.0,112.0,184.0,89.0,,188.0,57.0,164.0,,180.0,,45.0,162.0,119.0,,95.0,64.0,74.0,118.0,131.0,120.0,106.0,,,92.0,98.0,,97.0,94.0,218.0,129.0,221.0,173.0,209.0,81.0,198.0,95.0,118.0,184.0,145.0,313.0,160.0
14,Southampton,139.26315789473685,38,176.0,160.0,182.0,,206.0,125.0,77.0,,,127.0,132.0,352.0,,177.0,133.0,188.0,,106.0,139.0,31.0,,82.0,212.0,14.0,309.0,147.0,,85.0,,51.0,104.0,30.0,130.0,117.0,203.0,133.0,126.0,113.0,204.0,75.0,142.0,177.0,156.0,59.0,175.0,137.0
15,Fulham,138.60526315789474,38,133.0,125.0,131.0,,,209.0,132.0,,,69.0,156.0,155.0,212.0,78.0,,147.0,131.0,138.0,,164.0,78.0,193.0,176.0,128.0,154.0,119.0,143.0,115.0,175.0,,,128.0,130.0,127.0,139.0,53.0,141.0,168.0,167.0,177.0,160.0,156.0,104.0,174.0,143.0,39.0
16,Newcastle,129.8684210526316,38,109.0,151.0,184.0,,,191.0,44.0,124.0,,213.0,182.0,338.0,19.0,171.0,,140.0,,235.0,,103.0,,108.0,90.0,258.0,156.0,180.0,67.0,48.0,78.0,96.0,99.0,69.0,116.0,143.0,188.0,,130.0,79.0,46.0,158.0,68.0,106.0,139.0,86.0,43.0,180.0
