,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW38,GW37,GW36,GW35**,GW35*,GW35,GW34,GW33,GW32*,GW32,GW31,GW30,GW29,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Bruno Miguel Borges Fernandes,Man Utd,3,37.72728384506152,38.74694016519832,38,37,0.0,18.5310878950095,,39.63322975095356,1.1551734048668327,41.22143184093835,,28.997156599236106,,7.739524219163579,18.402412300683373,60.84160550458715,,68.43045717288491,,21.01163419319429,55.315430083811194,26.090850077279754,,35.646577163005155,,8.709651077375124,49.512743451463784,64.51354341047103,18.8077043062201,31.342391693027096,38.72789155586255,33.140413955575504,24.654773028057175,48.03417894435704,45.62263854009711,46.66900555662004,31.47044348564154,13.18370444230505,45.82852497255763,91.87422490803993,19.88837764647957,63.84617103330069,19.69362403697997,20.192320574162682,94.5793315301391,64.34370694331434,15.198012148823084,51.287964970809,69.49887369504484,
2,Mason Mount,Chelsea,3,34.94697506464614,36.88847367934871,38,36,32.0802774996424,26.915540333397207,,,73.73081626794259,0.0,17.802337247452947,39.81216412681731,,22.249925979983317,69.41022717247462,4.7238785504407454,,21.74786744942708,,24.15255778120185,48.42558447386134,21.881107970089367,,33.54308468734613,,61.48216978573366,16.832025168477518,41.47409339407744,31.03788578613023,15.443061275740835,66.3069534393562,98.58955189086515,,67.1710510428101,39.5829230439136,66.11542679425837,65.15677789455246,23.315994475138123,7.338661787365178,83.66532536426652,18.585520880789673,36.627675617032814,9.618300096272867,33.51134197988354,4.618123290169616,23.05468652552109,0.0,38.45532382468169,7.5749517612744,35.951857798165136
3,Trent Alexander-Arnold,Liverpool,2,32.23370747322972,34.02446899952026,38,36,35.54725555065431,27.367595950238222,61.63185296278159,,78.50809593288346,66.88827506975217,,30.74108489286683,,24.647583109350688,29.751870261765127,65.88465741626796,,50.164715385903236,,33.62663702296667,43.95065816589387,34.824879658918995,,32.513058551617874,,37.54313565817207,51.453686882546656,40.728678065054204,5.491332983009284,16.296663629460895,33.67091979883537,5.057944555900055,,33.839926144756284,18.150321399511796,53.88173971596475,25.530198500220553,26.00141837509491,19.25983854256605,0.30280512305374185,0.0,0.0,13.73201289791438,26.611844456121915,39.799862467336,15.6991625577812,14.746579173222717,52.615418181818185,52.49230551262235,25.926869429905224
4,Kevin De Bruyne,Man City,3,30.888690265468075,46.95080920351147,38,25,85.74158012326656,0.0,0.0,,,0.0,0.0,,,0.0,0.0,51.17418183560069,,0.0,17.513645987198423,111.49469086266643,23.820669680227695,38.861741110527234,,52.96157224880383,10.497073189522343,0.0,0.0,0.0,0.0,0.0,34.839871263052494,54.163025290398465,57.447548999165974,57.46199124162803,,28.615371575806886,51.650413589364845,61.041368143976506,37.8246288528178,35.70878173027111,29.442107596611965,47.425122247532265,43.150171640116675,40.380277128317985,20.381293571553687,0.0,60.80874310369219,49.09486970684039,72.26948936882638,
5,Pascal Groß,Brighton,3,28.764830281280325,32.14892796143096,38,34,4.153848803827752,83.5501989571899,7.70898668768611,,,48.246949606562865,52.7065964068468,33.16655205611333,,21.742375064399795,25.824657935285053,16.933118730621924,27.225482099267694,18.60206466436895,,63.303502586702436,,30.852831782566113,,37.05424643434788,,46.74061936775855,33.19218634197989,73.58524568095132,74.79985497342444,49.24272232774996,,10.063719055029003,0.0,0.0,52.615418181818185,15.312370818006658,0.0,0.0,47.131074918566775,40.568332512719515,22.724855283823203,30.786717923043916,43.32537784542086,37.628813211845106,11.293022159647407,13.031038817820907,1.672100154083205,17.8127612620828,0.0,0.4659080370942813
6,Andrew Robertson,Liverpool,2,28.726456881886076,28.726456881886076,38,38,51.68092265843257,41.57002183695077,25.243226003917734,,14.624057085537116,17.612593139668473,,41.696684296175754,,25.67101216579432,34.75363395794593,25.15386220095694,,3.6336614766449022,,20.300910896218273,32.45825991756826,23.8799174804016,,28.147019260400615,,22.17932937344319,14.393796652030733,10.559286905754796,7.603384130320547,14.465577828397874,30.798519057702492,37.71467353638519,,65.5030149351715,37.118224844046644,23.91463516160627,48.22370827819437,57.404539863325745,30.19109825591435,31.592667838607067,24.512630316930775,56.95004885993485,20.349850439077937,10.77146085128744,21.889924357034797,40.31619260400616,23.45654698898584,36.34617703349283,22.208283101494075,16.71600792191258
7,Luke Shaw,Man Utd,2,28.404482623123315,33.730323114958935,38,32,0.0,3.4355387670523228,,60.05854610724703,0.0,29.751870261765127,,59.35888527373038,,64.94817231339334,26.825406985573274,28.03239261884904,,30.624741636013315,,2.1507972008781557,29.873878106160856,51.40518675940237,,62.54502644426363,,52.25790646425074,18.021523882896762,62.039864598719845,58.038498564593304,16.914941548617797,39.24842773268866,40.30956472963877,27.287807040762313,43.89478829924188,27.454331156872595,48.74831768538035,33.090872825010614,0.0,48.47565998902305,0.0,0.0,0.0,19.507835130970726,41.07694928229665,7.609831272539928,20.60306753458096,14.465577828397874,4.399702877397831,6.914428760476399,
8,Jack Grealish,Aston Villa,3,27.77678271474244,40.59683627539279,38,26,25.7802447192169,42.75585345482157,1.5956374062637846,,10.497073189522343,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,4.902526063386155,51.11541722488038,52.062060781222634,18.10732890201871,46.11798967707782,36.545917412530514,56.747956915477495,,63.55417289804851,38.9809724368882,59.659109689751496,68.05337536728699,55.6926588141874,39.0618608739327,,70.12009809073393,42.36285341951626,29.769249760765554,36.412552108977515,14.413292544914416,57.52763556236827,73.99104666816245,26.026808841305478,33.664050336955036,
9,Heung-Min Son,Spurs,3,27.64336894498594,28.390487024580157,38,37,59.3759130101552,6.209085967672722,51.67874100117194,,,24.13586858112888,64.26019460871957,,15.63365009026752,34.55673651771957,42.88257340871786,3.0250535665853,0.0,0.0,,13.296978385531538,22.695377309618376,61.756615934356816,,52.48447101068489,,8.768634742041712,11.145400954946131,42.70823673364245,34.317682443703085,6.492815795378057,,34.74196327877871,8.120364358487308,47.58945112462867,,16.755216808973717,49.09486970684039,35.43995288310523,24.64373327451845,12.692315789473685,20.034045595054096,3.308918770581778,17.197870347698338,15.838930358632192,7.50015749073584,35.48245927482922,68.39220682108336,32.94855641442907,21.768373543410473,43.474604006163325
10,Pedro Lomba Neto,Wolves,3,27.32918090731693,33.500286273485266,38,31,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.6246434121913315,67.58563671396041,,11.227160646174559,,28.027124159633814,43.67772777167947,44.394705044751824,,12.62229169613807,,45.71358444116199,52.90694194290094,30.692327272727276,47.60318262020291,25.15903400309119,,60.893746939275225,56.944299691833585,10.182169516263551,22.10101860295459,44.58693925588459,7.659735309687666,54.82184569809376,31.907802889429266,44.908642584698235,44.07695119617225,1.1873658296405711,25.529332247557008,54.517611380679305,23.137571874152428,10.49014782854718,36.74985408392333,45.93711245401997,39.54157930845225,13.100788062164767
11,James Ward-Prowse,Southampton,3,26.15148659717415,26.15148659717415,38,38,46.67633035557892,26.01215518460886,36.54163961319289,,30.139817673871484,38.28055979358313,13.168976815481894,,,14.648686408504176,31.36950599902057,14.202425886712549,,3.771173894912427,55.92072722283205,1.4924948425251,,15.60626810477658,26.268012448719766,30.284022411128284,,3.5327264356269885,43.904155817738,0.2199106328652198,32.77017594049492,42.923104306220104,,19.98449990419621,,15.420437514022888,23.02135750569277,17.698230012087723,61.87678100987925,23.307707177033492,55.55397469398983,51.66508236030025,30.12775670253511,7.872933199397288,29.678228234336856,26.129903447289372,36.41462557781202,13.821938433797012,32.6242862389814,4.0692343832715725,21.332149582384208,15.424494927216582
