,Teams,Opponent xG av adj,Matches,GW38,GW37,GW36,GW35**,GW35*,GW35,GW34,GW33,GW32*,GW32,GW31,GW30,GW29,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,96.89053092122208,38,116.94379472693032,253.30502290317486,224.78387031408306,,,97.62355845181676,117.50194899440183,,,102.96925704526046,24.59321095571096,50.90473952525092,,89.28238086197076,151.51871693121691,139.0136907335351,78.18234703196347,124.80103503184714,,95.80465380249717,72.6641054613936,76.93785094435937,82.97895111532985,28.160753452477664,50.662605042016814,86.87535403726709,92.67233134073442,42.50070495542194,41.90007897646501,105.56043312269617,,84.29395136778115,148.1010015117158,49.429080745341615,74.7198587692751,60.66623314980065,89.37978269699433,57.446928705121664,90.13230897009967,73.8226530612245,53.76044585987261,117.3118209826496,215.19059586247087,118.13741436992194,101.30670319634704,
2,Chelsea,103.77984550757931,38,74.65271135781383,71.07454197865222,,,62.56630452407979,124.4293901585821,151.09325992025822,71.04058917197452,,111.41611909650923,56.250933029234915,224.6776397515528,,98.37284382284383,,51.09194915254238,60.08820598006645,92.096570110967,,35.31639266817838,,131.93835866261398,150.54031212484995,49.240224604389994,30.60951462225833,19.82087671232877,110.45368010195955,131.63427947598254,,157.4699626865672,117.55656846000569,196.49730014593808,94.08078025477707,120.02642009132421,146.46358757062148,72.02297494172494,56.4210906925302,96.51046605876392,114.35273709483795,33.058275792039,128.58766392851996,201.64520975056686,63.75105743313291,157.27434782608697,162.3812233032748,117.12976622966356
3,Liverpool,121.7905872242825,38,71.2511818370309,202.02279650690497,158.772198757764,,204.17635826487967,142.40480914588056,,151.4847821681864,,182.69242424242424,80.65925135212069,66.47669855683478,,190.5006484018265,,168.26294854756028,104.76674565560823,114.35273709483795,,107.86078154425613,,117.17694758642665,117.39948111007463,154.26847259516663,126.72105095541401,45.136872554024166,101.62358854589766,112.07978815391267,,58.10116213151927,120.94349544072948,97.36031055900621,96.25159651669085,45.136872554024166,159.10578127966585,121.12757990867581,122.84341336281788,147.91188465827625,53.42730876865672,73.92061305732484,237.39049219687877,133.97444444444446,229.96467406774838,66.47669855683478,57.9391850974197,86.07623834498835
4,Brighton,127.42502514174366,38,174.0125344575969,92.79479944029852,152.6412659235669,,,249.9632785388128,116.81775203962704,149.09280912364946,,85.71824644549764,64.71646892655367,149.4397175385502,23.211377912867274,201.64520975056686,,97.96761191652064,,136.3044347826087,,63.75105743313291,,38.61347139197267,344.0509443541836,93.70898789748458,124.12639952356645,136.21286310992974,,87.83289627039628,194.025489738806,138.74613698630137,131.9757986054808,202.56167993630572,88.2976830732293,145.37003037782418,200.73755775051777,151.51871693121691,57.226862838158524,167.32504269854826,48.97522339561333,92.32542113323125,116.83237267080746,36.250601285506946,208.9093032015066,106.8667747514051,52.531013171225936,119.05312006319116
5,Leicester,134.34245291077147,38,213.37430661902332,238.10624012638232,,,33.88458711629918,233.335430597771,87.72136243386242,65.0010781671159,,71.8968447204969,74.88062101910828,111.07256296641792,,11.580024009603843,,106.6547464855473,179.98394597887898,190.6317090968056,,140.7246512951893,,207.44737778832464,143.15077625570777,146.514676286311,180.05743735431236,120.34992467043315,111.11624539231175,96.83527021919878,,117.27854103343464,45.00074642338793,93.83424124513618,128.22975157393228,247.51210922787195,114.2729426630864,83.95517406962786,161.39507309663944,245.36017441860466,81.48582648401828,121.20939685314686,167.1693449002757,120.13079988613721,185.28153662420382,103.3396630130597,220.38850528025998,104.8495652173913
6,Arsenal,134.42060855069704,38,42.8523534986574,241.25400165871864,,,211.91455371248028,172.25285714285715,53.75266464032421,101.04852165725048,,78.98056768558952,127.38026410564227,166.67323801613668,199.6816560509554,83.09287901990811,,119.98929731925266,,108.53274653496894,,170.1237989738806,,125.60104166666667,137.29234272701396,136.5438173515982,121.63697939184321,167.46805555555554,,58.63927051671732,171.25284055567076,100.35601242236025,167.60031590586004,165.08699315429175,106.72540489642185,133.2909013605442,161.618237205524,59.49860473030458,193.80412785388128,187.08406905594407,263.429682607458,94.70307681222079,55.70707344272742,135.67724463619405,101.32521008403363,191.70999050783104,149.76124203821655,44.64119043098538
7,Man Utd,145.6535673315206,38,214.72616438356167,143.08073856085056,,185.2719684385382,159.43748606021987,125.27926273840023,,79.04960664335664,,143.252528432169,140.5398077250298,117.12976622966356,,96.9608041401274,,172.23277168843285,105.00174165457184,140.48268167456558,,125.83010131712258,,134.80658385093167,133.97444444444446,15.949338624338623,150.550170261067,137.51278511404564,163.68436491361305,175.25726744186048,128.55996141348498,185.34466268146883,146.45425570776257,95.08621156603473,205.52897727272727,272.1305642256903,89.27984491604478,230.40191082802548,143.5440476190476,106.34741614906832,91.96550847457628,57.678311983136055,69.05080963665088,129.49505572441743,319.0356219159435,196.16855157163164,208.75346257516068,
8,Fulham,152.0561057217399,38,133.16001013171226,92.096570110967,207.3414021164021,,,217.93974411047932,140.48268167456558,,,268.83958975190535,93.59858447488585,149.30542271562766,115.06109411421912,119.50845382462687,,111.59238253440911,87.19623107027395,50.00082935931992,,95.5351980792317,108.96987205523966,84.01787193973635,76.80063694267515,151.75375179225745,113.83667080745342,236.16408150371188,156.39040207522697,220.64511585044764,192.85754636719415,,,34.17715419501133,141.7115704154002,103.79792291897014,123.03775510204082,149.73706273320897,205.53989166799428,237.29371939736347,174.721449044586,166.26145341614907,345.0057225793075,172.25285714285715,181.6913698630137,163.8927341303729,129.11435751748252,226.80285389978923
9,West Ham,154.32495261257043,38,200.50597127739982,257.63036024844723,92.37062865266151,,,127.1621845574388,166.51575954508533,166.67436808846765,,260.21176291793313,211.3026923689661,201.5122465753425,217.02686881790177,179.84896238651103,,132.62767336829836,,97.012744869403,,185.67668027905395,,218.57295318127254,201.4576798936776,99.53694847708512,124.46842667299478,95.00157578270786,91.36890683229814,137.13062550771733,,111.26691148775895,118.48080120937263,159.98211972832095,139.68899420747763,152.50252954592577,156.34255536130536,123.3746505260124,136.43426558497012,159.22533013205285,191.15586671729636,104.4390246796393,137.08322644589552,148.74651182576144,67.23267484467102,140.94845662100457,133.9309956218583,219.89726443768996
10,Southampton,158.14144659145003,38,154.56128184713376,160.7342001748252,149.9486140117714,,223.75371138295668,167.38857380161366,258.36556476023577,,,181.5733282286881,357.98637267080744,153.04757311129165,,119.98658979624072,178.55968983208956,101.32521008403363,,135.10982109227874,125.60104166666667,93.65512111637705,,153.06121461187215,109.94863221884498,340.583542297161,105.54348847139197,131.9757986054808,,187.29102278158356,,163.09655908875177,145.9212101910828,146.514676286311,78.7349813432836,107.53583590076214,33.292569027611044,139.98435476228084,168.5541000144113,285.20039269406396,56.195967578520765,294.3204597210362,107.86078154425613,176.99230516061087,98.85816149068323,151.82319252640133,168.23743406499915,96.25159651669085
