,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW38,GW37,GW36,GW35**,GW35*,GW35,GW34,GW33,GW32*,GW32,GW31,GW30,GW29,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Bruno Miguel Borges Fernandes,Man Utd,3,37.234210526315785,38.240540540540536,38,37,0.0,17.8,,29.3,1.0,47.8,,34.0,,9.7,20.1,48.4,,64.8,,12.7,62.4,16.8,,43.6,,11.8,53.3,65.2,16.3,37.8,37.2,24.5,30.9,55.7,45.2,40.4,36.9,15.9,27.7,87.0,20.1,86.5,21.2,17.5,60.9,78.7,16.6,40.8,78.4,
2,Mason Mount,Chelsea,3,35.181578947368415,37.136111111111106,38,36,37.2,23.3,,,63.9,0.0,17.1,37.7,,17.7,78.3,6.4,,25.5,,26.0,35.8,19.9,,33.9,,75.2,20.3,45.3,38.9,15.3,57.4,94.7,,40.6,45.9,57.3,61.7,23.1,7.9,98.1,20.3,44.8,11.6,42.0,4.2,23.3,0.0,52.1,5.6,28.6
3,Trent Alexander-Arnold,Liverpool,2,32.6,34.41111111111111,38,36,40.1,34.3,83.5,,71.4,67.6,,37.6,,28.9,34.5,57.1,,49.7,,32.3,28.3,42.0,,35.0,,32.5,31.1,32.4,5.2,17.8,42.2,4.6,,34.2,22.2,73.0,28.8,28.4,18.5,0.3,0.0,0.0,8.3,25.2,48.0,16.9,17.1,45.6,33.8,30.4
4,Kevin De Bruyne,Man City,3,30.792105263157893,46.803999999999995,38,25,92.3,0.0,0.0,,,0.0,0.0,,,0.0,0.0,44.3,,0.0,17.7,101.4,23.6,36.8,,45.9,11.3,0.0,0.0,0.0,0.0,0.0,40.4,61.1,45.7,37.0,,35.0,52.2,82.7,34.4,34.3,36.9,51.8,31.9,48.7,19.3,0.0,71.3,42.5,71.6,
5,Andrew Robertson,Liverpool,2,29.718421052631573,29.718421052631573,38,38,58.3,52.1,34.2,,13.3,17.8,,51.0,,30.1,40.3,21.8,,3.6,,19.5,20.9,28.8,,30.3,,19.2,8.7,8.4,7.2,15.8,38.6,34.3,,66.2,45.4,32.4,54.4,62.7,29.0,31.3,19.5,49.3,12.3,10.2,26.4,43.4,27.2,31.5,14.3,19.6
6,Pascal Groß,Brighton,3,28.626315789473676,31.994117647058815,38,34,3.6,50.5,7.3,,,47.8,61.8,40.0,,14.0,27.8,15.4,33.3,18.8,,54.8,,41.8,,41.8,,54.2,41.6,54.4,81.7,47.3,,11.8,0.0,0.0,45.6,14.5,0.0,0.0,40.8,41.0,16.8,35.7,54.3,41.1,15.3,14.7,1.8,16.2,0.0,0.3
7,Luke Shaw,Man Utd,2,28.576315789473682,33.934374999999996,38,32,0.0,3.3,,44.4,0.0,34.5,,69.6,,81.4,29.3,22.3,,29.0,,1.3,33.7,33.1,,76.5,,70.8,19.4,62.7,50.3,20.4,37.7,29.8,34.2,50.9,27.2,42.2,38.8,0.0,29.3,0.0,0.0,0.0,21.0,35.6,4.9,25.2,15.8,3.5,7.8,
8,Heung-Min Son,Spurs,3,27.628947368421056,28.375675675675677,38,37,51.4,7.2,51.2,,,28.3,77.5,,15.8,37.2,39.0,3.7,0.0,0.0,,15.0,21.8,77.4,,49.7,,5.3,15.1,27.5,27.3,4.8,,41.9,7.8,55.8,,16.6,42.5,26.2,27.8,11.0,12.9,2.0,23.3,12.6,9.4,33.6,62.2,40.3,22.0,46.8
9,Jack Grealish,Aston Villa,3,27.094736842105256,39.59999999999999,38,26,16.6,46.7,1.8,,11.3,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,,3.9,44.3,49.3,18.3,57.8,44.7,34.3,,57.8,25.1,67.3,92.2,69.8,38.7,,66.4,33.7,25.8,36.8,16.9,49.8,54.7,25.0,40.6,
10,Pedro Lomba Neto,Wolves,3,26.507894736842108,32.49354838709677,38,31,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.6,64.0,,8.3,,32.5,26.4,54.3,,14.8,,46.2,45.8,26.6,53.7,16.2,,82.5,61.3,8.1,20.1,48.7,9.6,35.3,37.0,33.2,38.2,1.2,22.1,61.5,28.3,12.3,35.3,43.5,23.9,15.8
11,Raphael Dias Belloli,Leeds,3,26.155882352941173,29.643333333333327,34,30,60.2,21.8,11.8,,,22.2,0.0,0.0,,0.0,1.3,43.9,53.6,31.1,,17.4,,50.8,53.8,88.6,,38.3,23.6,25.0,13.3,22.7,,16.5,,46.8,4.8,20.9,57.8,36.4,52.4,22.8,23.2,21.2,2.1,0.0,0.8,4.2,,,,
