,Teams,xG av adj,Matches,GW38,GW37,GW36,GW35**,GW35*,GW35,GW34,GW33,GW32*,GW32,GW31,GW30,GW29,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19*,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,222.4967261171498,38,281.4701926040062,165.9316513761468,147.98235014917276,,,274.885741885626,242.005006616674,,,156.95189529394938,269.5029848634885,182.51739796895959,,176.98230012087723,251.3257672739209,269.3905252598942,418.8804202243429,145.73152916447714,,279.2309473684211,210.87040832049306,234.37898253606681,225.8958828808616,181.12082451032293,157.54112226653834,214.05074681684624,403.59058789872694,159.56374062637846,346.94799833194327,347.8780010303967,,190.49661649037157,110.8208107664533,267.1943805093046,139.64325186941457,221.74841132792267,177.13137903652728,310.3690432801822,102.80291676015258,192.3660019254573,205.92498686284816,222.69244976076556,211.5086716650163,169.81049051542442,187.73917629331996,
2,Liverpool,220.16568533438533,38,233.14035435965297,181.12082451032293,214.78885284035263,,284.7842695604596,231.53633677991138,,224.01748033631677,,210.65581411797996,296.6563295665856,268.8463253588517,,163.5147664490206,,162.40728716974618,130.45425038639877,198.17014853527715,,169.99684899845917,,335.0002874113815,191.91728869374313,164.67459341117598,183.74844981607987,187.68629460895974,268.88862493382743,269.3905252598942,,225.59950763170852,122.63730675345809,137.28772037218414,160.45020585208056,286.56492786636295,179.06444482818168,150.3932111166918,100.56463719766471,396.22447786932366,208.46188254665202,154.1797337537222,196.5118209324715,259.17552388289675,227.66648548133315,309.2309665071771,352.5370814013395,328.35015560899706
3,Chelsea,196.30875417241023,38,243.18920040051495,346.55202146004984,,,308.0771196172249,203.49850439077937,184.26980659644278,221.76537046768263,,135.76226021684735,303.1711071901191,163.12143119490696,,197.8629509124346,,203.43885208012327,178.55243437289658,194.62091008571952,,116.75763991465617,,210.9361676159479,114.424604593591,233.4634396355353,213.83427739544734,195.81397957475306,161.7242766813566,289.41811431531687,,220.04309824368826,150.91528393648977,240.00015311004788,185.86050096339116,161.49606562866234,103.11284283513098,333.46730089121525,110.78069096431283,136.53620151885,237.1408472012103,161.17359714134463,95.66112529637061,220.65215000820615,183.4983017203352,211.83642874632716,98.7449068880413,188.55869474562132
4,Aston Villa,186.741525291822,38,135.11333075734157,227.0546393318147,180.83890604322892,,115.1891217257319,160.53476199161045,169.99684899845917,263.5038503917728,,198.5351262349067,127.15097599282029,181.14658953548613,108.94960516324981,139.80652969894223,,86.804135275406,196.5118209324715,89.55004243881739,,189.4484383981606,,56.5676084236864,184.61550239234452,122.49896654405326,121.70499753815854,213.83427739544734,135.71861947382695,178.68161361141603,,237.50348349443738,212.76467027305512,289.87412880458754,201.502944417238,262.5055121757544,170.58021932027458,,167.9080662112454,245.12630316930773,354.23099521531105,339.38873297226326,131.34006224359882,161.7242766813566,362.51554857527486,198.84481954757385,176.61188969880348,
5,Leeds,183.26876195796126,38,186.00271792360434,181.0732890201871,149.20526071995766,,,246.28104024297645,167.18870934111757,98.9597847893489,,281.35535113304917,46.3248627881449,246.26164901664148,136.3804783284407,173.93900051519836,,159.45986162200035,,129.35595765984837,141.49442803216806,268.4872091076511,,165.0001052631579,198.56821055727096,205.29674114021572,236.81054799770072,111.19115812313534,,125.7057964970809,,167.5443507972665,135.07340230166506,96.54458046585496,257.29544045230716,300.87019256848384,187.97255211070242,127.34819680577021,241.5255778120185,245.76938755980862,90.41945302161446,159.41392987162294,279.4088685452725,179.66437301188682,405.3425493962678,150.07864805391281,153.0376359868762,132.56165582230201
6,Man Utd,181.649839540961,38,94.87893855683912,110.35366948713522,,317.87743998205076,45.05176278980648,222.49224717493922,,132.1929197906352,,272.080181312864,198.6728094153379,216.21396997497914,,218.59729374671574,,264.7135016465423,96.62470960152918,164.62083977331272,,178.23288581502575,,146.14499265426053,171.85473805855162,387.8728376825866,161.53856459330146,157.54112226653834,187.39302365739943,174.4944245007853,158.77992985706726,226.8041124302675,159.47736480830403,124.75872772561794,301.05871410383367,143.44533764269016,142.28350713501646,149.95563145909966,191.95747579189234,202.2410504407444,131.91012326656394,125.7693110047847,229.8479649665121,300.05261052346077,57.67920273348519,154.6181296914095,182.6118364946331,
7,Brighton,168.27102468659245,38,51.92311004784689,440.0861964873765,102.43448064459626,,,103.96309224845137,144.98578299618052,165.00359647916383,,181.70413446676972,230.3782434514638,135.24503921211016,145.5296040141036,124.67341211225997,,129.37942134508526,,132.85908423114594,,311.14929422143797,,273.3722571878129,55.852236633139235,219.13253309400943,216.9836674259681,258.18594370575033,,89.55004243881739,72.79621295279912,224.07579105976896,203.07705263157897,177.41229637414608,251.23663182505848,113.47688654809188,138.62080858401993,145.45231413096997,174.4944245007853,87.09967815763125,226.60050291159345,98.87863325740318,56.834163809990216,217.18398029701513,163.4942372881356,226.5079518511764,113.6439042582045,191.02229520865532
8,West Ham,164.29028343147232,38,159.3049154767766,200.0267323702253,199.8722164303586,,,116.11806625577812,196.28071731074644,114.92398248325605,,201.94276512069433,90.10352557961296,115.06594676042191,240.00015311004788,111.05486959693599,,186.77580280096197,,215.0797200878156,,113.52731966590736,,142.61617384128732,83.28578829217753,208.69427835788872,178.55243437289658,234.02681958535507,137.28772037218414,179.52504632080468,,121.69173343605547,150.39967175447234,265.23923060884067,152.19662545079856,62.052565799147175,198.71580845947096,263.89275943826374,92.27391646402518,193.19516572686015,189.47516836470388,104.15558671752301,92.6497255762898,178.53086560364466,222.94846713929874,180.67372342206596,180.0001148325359,170.87464740981827
9,Leicester,163.2634101519817,38,121.76720577069096,114.92398248325605,,,182.52582527813243,277.1603132628153,266.16784014442806,132.96978385531537,,157.9546890303624,232.32562620423894,87.68634742041712,,228.02004538577916,,128.2199124270225,149.20526071995766,130.38469856459332,,168.1627449578029,,165.0257347991923,144.33710865561696,164.4894318770506,168.01293676616214,226.6624653312789,178.59808088614116,192.9469473165928,,73.58238405207486,117.01340979267754,108.8557632682838,194.09509491268034,143.98640215716486,262.72511467889905,149.24948425251,222.78948368157486,208.31117343504602,110.0191947095262,150.10292827839868,66.92311961722488,130.21833071091405,73.9217901558942,203.49850439077937,215.4300555849656,155.74037095984332
10,Arsenal,162.71456264025585,38,223.75631776480398,102.8299661814439,,,99.39371458011334,129.1685541136141,156.97575264442636,197.86518489984593,,286.29489725436025,174.12439829459498,91.98155710118915,234.4376773515502,126.34492027334852,,166.75882080465857,,225.2588139490324,,162.13701975850714,,182.5115150657802,166.4379988556716,150.3932111166918,169.33118730621925,133.57865583456424,,187.22628831027936,104.6028966328481,236.93203354554362,169.7028252710592,312.15838485316846,162.56529275808936,108.84186771705235,195.48282821598733,127.26046317388003,176.6363217813494,69.93431885698119,107.79663138320699,64.87363669523984,197.5346522322284,198.5351262349067,105.30380277815982,91.98155710118915,144.6755035908215,241.5287860473148
