,Teams,Threat av adj,Matches,Threat GW47 adj 7 - average,Threat GW46 adj 7 - average,Threat GW45 adj 7 - average,Threat GW44 adj 7 - average,Threat GW43 adj 7 - average,Threat GW42 adj 7 - average,Threat GW41 adj 7 - average,Threat GW40 adj 7 - average,Threat GW39 adj* 7 - average,Threat GW39 adj 7 - average,Threat GW38 adj 7 - average,Threat GW37 adj 7 - average,Threat GW36 adj 7 - average,Threat GW35 adj 7 - average,Threat GW34 adj 7 - average,Threat GW33 adj 7 - average,Threat GW32 adj 7 - average,Threat GW31 adj 7 - average,Threat GW30 adj 7 - average,Threat GW29 adj 7 - average,Threat GW28 adj 7 - average,Threat GW27 adj 7 - average,Threat GW26 adj 7 - average,Threat GW25 adj 7 - average,Threat GW24 adj* 7 - average,Threat GW24 adj 7 - average,Threat GW23 adj 7 - average,Threat GW22 adj 7 - average,Threat GW21 adj 7 - average,Threat GW20 adj 7 - average,Threat GW19 adj 7 - average,Threat GW18 adj 7 - average,Threat GW17 adj 7 - average,Threat GW16 adj 7 - average,Threat GW15 adj 7 - average,Threat GW14 adj 7 - average,Threat GW13 adj 7 - average,Threat GW12 adj 7 - average,Threat GW11 adj 7 - average,Threat GW10 adj 7 - average,Threat GW9 adj 7 - average,Threat GW8 adj 7 - average,Threat GW7 adj 7 - average,Threat GW47 adj color,Threat GW47 adj,Threat GW46 adj color,Threat GW46 adj,Threat GW45 adj color,Threat GW45 adj,Threat GW44 adj color,Threat GW44 adj,Threat GW43 adj color,Threat GW43 adj,Threat GW42 adj color,Threat GW42 adj,Threat GW41 adj color,Threat GW41 adj,Threat GW40 adj color,Threat GW40 adj,Threat GW39 adj* color,Threat GW39 adj*,Threat GW39 adj color,Threat GW39 adj,Threat GW38 adj color,Threat GW38 adj,Threat GW37 adj color,Threat GW37 adj,Threat GW36 adj color,Threat GW36 adj,Threat GW35 adj color,Threat GW35 adj,Threat GW34 adj color,Threat GW34 adj,Threat GW33 adj color,Threat GW33 adj,Threat GW32 adj color,Threat GW32 adj,Threat GW31 adj color,Threat GW31 adj,Threat GW30 adj color,Threat GW30 adj,Threat GW29 adj color,Threat GW29 adj,Threat GW28 adj color,Threat GW28 adj,Threat GW27 adj color,Threat GW27 adj,Threat GW26 adj color,Threat GW26 adj,Threat GW25 adj color,Threat GW25 adj,Threat GW24 adj* color,Threat GW24 adj*,Threat GW24 adj color,Threat GW24 adj,Threat GW23 adj color,Threat GW23 adj,Threat GW22 adj color,Threat GW22 adj,Threat GW21 adj color,Threat GW21 adj,Threat GW20 adj color,Threat GW20 adj,Threat GW19 adj color,Threat GW19 adj,Threat GW18 adj color,Threat GW18 adj,Threat GW17 adj color,Threat GW17 adj,Threat GW16 adj color,Threat GW16 adj,Threat GW15 adj color,Threat GW15 adj,Threat GW14 adj color,Threat GW14 adj,Threat GW13 adj color,Threat GW13 adj,Threat GW12 adj color,Threat GW12 adj,Threat GW11 adj color,Threat GW11 adj,Threat GW10 adj color,Threat GW10 adj,Threat GW9 adj color,Threat GW9 adj,Threat GW8 adj color,Threat GW8 adj,Threat GW7 adj color,Threat GW7 adj,Threat GW6 adj color,Threat GW6 adj,Threat GW5 adj color,Threat GW5 adj,Threat GW4 adj color,Threat GW4 adj,Threat GW3 adj color,Threat GW3 adj,Threat GW2 adj color,Threat GW2 adj,Threat GW1 adj color,Threat GW1 adj
1,Man City,267.3151270983637,38,314.5627341983322,289.2722340676112,272.1619522304989,299.8087828356085,239.37516613248408,241.0241422916888,219.21340331563724,214.08932113219637,243.19396583414803,237.162247999906,240.42917878262674,240.42917878262674,240.42917878262674,240.42917878262674,240.42917878262674,240.42917878262674,240.42917878262674,240.42917878262674,240.42917878262674,240.42917878262674,256.64187594602276,256.64187594602276,232.96006838745166,248.43252407305582,260.1485049597566,260.1485049597566,240.93047689634565,249.8336120190136,245.97305997960171,246.17266993889913,253.6422154417107,242.0892604328861,229.68405597835627,241.9444915830555,253.81869269742677,249.844213006503,270.4217302222272,332.323487191799,328.3655940916473,311.88570877146,315.03774351817134,307.0544342575807,310.1476019790947,green,268.0417500274188,green,395.78373368485535,red,70.72948994150723,green,509.02128890948455,green,265.6711330074728,green,328.70662407692816,green,363.9851197406583,red,91.00824911237193,green,276.0117608250691,green,264.25730417727476,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,85.98597198761321,white,,green,277.21396612190597,light green,176.03145124456725,green,328.11654445657246,white,,green,294.74076202603345,green,233.78973598537485,green,287.12581965632006,light green,199.47485213138512,red,111.44131321190827,green,284.3386410437963,green,410.1284106634782,light green,160.21456558215672,green,296.1116818440504,green,260.10195538043706,green,200.87212184646688,light green,163.72813173158931,green,203.46795598202442,green,323.29197948176903,green,246.03761481505165,green,379.23108964464905,green,232.2805975439705,green,344.9147423565366,green,597.0404305185918,light green,175.76270428096257,green,207.93278224045756,green,268.10185804203127,green,323.3479248205138,green,253.93277159456883
2,Chelsea,206.77940098953593,38,214.92083332952416,286.7494351272135,247.6827141483414,247.1794701050047,254.60810821131608,245.3481900642341,228.616940804439,223.82418147514565,173.9394711701394,173.9394711701394,185.33739254398216,185.33739254398216,185.33739254398216,185.33739254398216,185.33739254398216,185.33739254398216,185.33739254398216,185.33739254398216,185.33739254398216,185.33739254398216,195.1828232788345,191.78420996118112,185.4538944602497,178.12355266078742,186.43569435430942,186.43569435430942,165.5496546542487,161.82718411601195,141.21778727706385,150.94299298532843,147.885739291039,181.31361092125718,187.98866880993822,177.49905986431506,184.28436353141134,192.40972676511524,216.28381195989596,223.29637562489077,240.95784486570787,246.59836529368923,252.67059377037094,245.89026539470817,238.70432369672108,light green,166.35397187323085,green,359.7440136384557,green,228.66033423150253,pink,122.40920665443497,green,250.55370739423793,green,251.01825949907646,pink,125.70634001573058,green,669.1541844570563,white,,red,86.276966786351,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,225.1376259281456,light green,174.40967339861476,light green,185.73428036466385,pink,133.89951468051075,red,92.15702471067713,white,,green,319.96121232201284,light green,166.06241640325038,green,294.0556410721116,light green,150.61938017504127,light green,141.42207185814388,red,82.58712208427472,light green,150.34201656533128,light green,173.7589344215877,light green,140.00512263559324,light green,149.78986319947492,green,218.69582013289343,pink,120.02129599811748,green,316.58222349580234,light green,197.06742178609852,red,100.33167180222533,light green,187.50224830526736,green,206.66740583540215,green,385.8144164963586,light green,169.10924165308114,green,440.2125081815221,green,236.5510647819679,light green,142.83727113899758,light green,140.03994967562798,light green,156.36581394949252
3,Liverpool,201.3938112919086,38,158.89855876586765,187.40263371080408,170.52004262515888,163.26342540574188,133.8571799359306,128.92271919148263,140.08304963733443,175.96145492780877,170.51976502172118,170.51976502172118,193.0147941763562,193.0147941763562,193.0147941763562,193.0147941763562,193.0147941763562,193.0147941763562,193.0147941763562,193.0147941763562,193.0147941763562,193.0147941763562,210.70628934915996,233.15864201412856,255.27093630984237,262.96256791507074,271.40391629955354,262.60114494228964,267.17057396538934,264.6449869565052,257.4196045464729,229.61215218092389,226.8780836894088,191.3513325110914,191.3513325110914,202.03182063848945,185.51690968418038,208.3748533776936,219.3842580722798,215.73608970090285,221.77014607946464,213.2088625480181,219.34523298462184,219.2260292549309,182.00996164124538,red,45.92843664825302,light green,191.32044758909913,green,212.7193277427529,green,224.37206518726276,green,235.68459400762896,red,82.0081487791871,pink,120.25689140688985,green,245.45696126280794,white,,red,73.1423099895829,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,161.92300720683372,red,18.52834689858353,green,201.14336879649335,light green,160.13046190014978,green,371.4057284402103,green,207.36513192019459,green,230.60751407202815,green,285.76347341645993,light green,175.69481555336358,green,355.9294288664903,green,213.97188313674846,green,430.49516713158954,white,,light green,145.74573241934777,green,262.5935172337257,green,268.08436435427086,pink,125.11713868313761,light green,161.2772623076472,light green,194.8334036961431,light green,181.80790888336756,green,220.50914931113402,light green,146.98914055356224,green,428.0899702088635,green,202.1829715452408,pink,135.7400837080085,green,237.07179834607567,pink,121.87892416324182,green,263.4637423673602,light green,146.15471444572555,light green,167.577496913065
4,Man Utd,172.70374164694786,38,159.19529875851336,177.83509575136986,192.1151978846047,202.8031743965038,201.20721028709025,202.4060739957056,183.09860795387854,191.94259078063882,170.84124930782357,170.84124930782357,173.17590069987574,173.17590069987574,173.17590069987574,173.17590069987574,173.17590069987574,173.17590069987574,173.17590069987574,173.17590069987574,173.17590069987574,173.17590069987574,170.39536283455814,161.02649826217421,159.79842522325558,170.01629491346372,165.2698873868494,165.2698873868494,168.27727429340192,174.59240781427224,162.2684354038973,172.58754226304038,161.14260696251444,185.10034608178964,173.24884721194414,198.00570709288135,179.37466664876666,169.37138990762244,164.70079891306725,159.76387504465671,130.75574506772782,149.0430257751634,131.43277755956024,139.3559644431403,172.82609252199046,light green,161.040154832134,red,78.49528890462919,light green,179.55555339525193,light green,144.36881094658884,green,216.8299786791296,green,225.00346956550158,red,109.07383498635843,green,291.51873378212935,white,,light green,178.45600383727304,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,254.37138897854558,pink,133.19706218069402,green,225.2220246394371,red,89.85120727271217,light green,170.98171477368055,white,,light green,143.8093434724226,light green,194.79856358163832,green,234.9076239213222,red,67.61501017400651,green,216.62551336700662,light green,161.37629510416923,pink,137.7568620873803,light green,164.8610518182903,green,239.00449822773027,light green,148.63981704869795,pink,139.8487581880078,pink,136.5109662633251,green,329.0804689390956,red,54.79636999846185,green,338.159070984851,red,108.58721511892726,red,78.61687986068834,red,107.15462122612162,red,101.95249918445123,pink,126.02355910059345,light green,182.80733495051066,green,214.88733347562905,light green,164.0495233039877,green,312.9077764126395
5,Leicester,154.91900934472346,38,169.88817148049583,161.0591556706508,157.0256956913215,138.2730471248188,133.26689590747523,134.8503883381088,115.94286938298872,118.57662613961705,146.59225120848163,146.59225120848163,167.626479462724,167.626479462724,167.626479462724,167.626479462724,167.626479462724,167.626479462724,167.626479462724,167.626479462724,167.626479462724,167.626479462724,152.24968245411065,167.6027985751545,182.42809569312854,173.9828927247863,163.92756026334672,163.92756026334672,140.78985322364105,150.59110883760806,169.2744585528564,174.86892894531232,190.08975691197875,206.22035056683438,198.24770388333678,247.37268341411556,215.10807035619058,187.64609469747853,172.4936011927651,145.85141561441512,136.6917976265906,151.00311014760322,100.80595896660624,106.57721935953118,115.79922408347885,red,107.47627943657625,pink,122.92449627289311,green,313.82403100081973,light green,141.94961596288442,red,94.7173144892334,green,208.0608824512641,green,200.2645807497997,red,45.673168767661124,white,,red,94.69027641758795,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,182.55549103530092,red,106.90655744147969,red,105.80176150366788,red,75.70824976542366,green,218.70087804619814,white,,green,241.78254424971303,green,241.92987419728462,red,74.91791197500775,green,214.37837028878644,green,209.57884132948615,red,16.59182898702811,light green,148.31355081612085,red,79.81859497177335,green,310.5386634950538,green,205.70135998174607,green,253.53966303597807,green,316.12463709615093,pink,129.50598457101754,red,92.50502403163777,green,423.6934516872247,red,84.68637208957887,red,13.467530370761844,light green,147.47220850298442,pink,129.62933804770077,red,65.38865865624602,light green,192.68421167872597,red,72.31339342024576,pink,125.08519484005343,red,78.02156343839552
6,Southampton,152.40072352961687,38,187.11729354054222,172.93220418622235,165.70670777306495,139.32166524654855,111.51650455330774,107.22638585734252,104.15182723107377,101.01509598514187,106.2036194814655,106.2036194814655,102.14611733453644,102.14611733453644,102.14611733453644,102.14611733453644,102.14611733453644,102.14611733453644,102.14611733453644,102.14611733453644,102.14611733453644,102.14611733453644,138.0904223554505,149.91612320964185,137.16014772614494,145.56949919624645,161.15177799438018,161.15177799438018,155.32562471599218,161.68302918227477,143.41288129049659,146.945616995915,168.7744500056128,162.06720879824408,151.68220678017366,149.741609055937,155.477556134101,157.69216300049973,149.13614859220343,133.93516607966777,145.27396797686285,141.7023905706709,161.1693234172262,174.8944974988046,166.74876676744478,light green,169.56971617323154,light green,191.90042639522812,green,212.89606093389853,green,264.02804738262375,green,259.2669902884329,red,91.97746924946703,pink,120.18234436091338,red,70.2740906929926,white,,light green,141.32195150312648,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,28.20076324828386,red,69.39192252993801,green,229.23615941667623,red,70.4555588655858,red,98.2252256393901,white,,red,106.59375516725795,red,112.91943647462311,green,279.81089839468234,light green,152.1718285092773,pink,139.94433103219808,pink,129.3210191562964,green,207.30117722632616,red,65.81068221854171,light green,157.42126773860116,light green,151.91986315223525,light green,176.9009784472062,green,292.7461621000828,red,82.37033070471527,pink,134.6061630998331,red,52.22649814888523,light green,197.57289728574918,light green,167.42211121702633,red,117.0088775891321,light green,186.3392845123332,light green,161.74194398508087,red,109.60512125648954,light green,188.49502807477222,green,293.649115856798,red,110.40199609750776
7,Everton,146.1274306102077,38,80.92927878870955,66.61033930603188,69.9758747413017,68.16094976133289,112.06957921598254,139.53512556312734,171.8976514026972,190.75871714857416,207.44953568719149,207.44953568719149,217.19929096169795,217.19929096169795,217.19929096169795,217.19929096169795,217.19929096169795,217.19929096169795,217.19929096169795,217.19929096169795,217.19929096169795,217.19929096169795,234.86895600017505,203.15416209453252,199.58376161374284,182.81009212495678,151.3204645844851,151.3204645844851,133.29628846373785,149.44966551543652,157.9520106432125,160.2744815300144,135.7233527460378,143.19826880599322,153.24229591682754,161.06711492688882,148.83431798887935,133.65244888567187,162.636946418263,172.48022926116263,162.1122806297362,176.0102444285337,176.09278702571524,160.60037405869937,157.9315113082371,light green,149.31251384274984,red,64.09954467984247,red,71.46916847489702,red,41.11730762713347,red,65.49615764727915,red,40.63776438044679,pink,134.37249486861816,red,49.079937464006015,white,,red,87.65829272673119,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,58.76469361511541,green,348.47771380968106,green,257.7549820772927,green,267.17544525743597,green,266.39995508975693,white,,light green,165.91566723432717,light green,155.9065796482765,light green,182.45234888445498,pink,126.47415647018344,green,232.7621787117649,light green,149.75975883593358,red,45.9725623064552,red,39.746434389096315,green,268.98021901016745,green,241.96876477888665,light green,142.7314526777969,red,60.904277223928354,green,202.08417125562164,red,116.28075208229549,red,94.52016745952528,light green,183.35064044410106,pink,135.69568105643452,green,345.6229354059346,pink,129.8072571242259,pink,129.50853083563672,green,213.56649867387776,red,95.09796563979607,red,74.90374967498987,red,117.01364180319896
8,Wolves,145.20322023456393,38,114.33132802750804,119.96331643929487,111.51685303209715,104.5490967537791,96.94244125066072,131.7431195616352,137.12257837179052,160.8910449065338,188.4888493921542,188.4888493921542,206.23135964253126,206.23135964253126,206.23135964253126,206.23135964253126,206.23135964253126,206.23135964253126,206.23135964253126,206.23135964253126,206.23135964253126,206.23135964253126,218.55601901365551,195.69378326246274,163.22812290563766,194.57981538559957,182.661925457134,182.661925457134,156.69194134625303,151.2258370127532,147.97216388925315,151.00021357548601,159.45991857536998,132.1735151822958,133.16613864573407,145.1249316275457,132.89722642557723,137.05783382360582,133.14467507883975,141.2061219465907,147.08938711506548,158.37324272688355,155.3633896855577,149.44082031717434,137.77834499297037,red,21.686244401818715,light green,144.01452791002436,pink,130.62738728873748,green,324.12293133576907,red,33.537497270733446,red,93.0903186628292,red,53.240389322644084,red,61.11016328432649,white,,red,84.88928405964006,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,81.85309334051138,green,270.8763428139404,green,277.14224544755484,pink,130.7465303339163,green,219.6196550658471,white,,green,254.29479468366924,green,209.08685581227923,light green,168.12570893838128,red,110.84069255559112,red,49.88262294977931,green,350.2083776936496,pink,136.1944255665884,red,72.50490590750256,light green,170.82412547778011,light green,145.3499970738809,pink,132.03704035922132,red,109.10055794896695,light green,159.20355394213024,light green,143.14278981065624,light green,156.21645678018396,red,85.23018906400077,light green,174.47424886008113,red,104.64492914585891,light green,165.53068602322367,green,200.38641012145368,green,222.1297790933829,pink,135.14748549090305,red,43.7722034853172,red,92.83692159065336
9,Arsenal,136.80064586014532,38,135.01804065374236,141.60061542938342,142.60955692111176,127.22682083635455,135.03885145734017,135.1641786763478,143.77479777411693,146.34658409419984,125.37058002937694,134.4019589816925,146.7799682201434,146.7799682201434,146.7799682201434,146.7799682201434,146.7799682201434,146.7799682201434,146.7799682201434,146.7799682201434,146.7799682201434,146.7799682201434,168.6336310532982,168.6336310532982,162.2420495701143,145.05839750479413,137.703664566545,137.703664566545,132.893960005315,135.3008349330732,124.9655343863565,107.02658003837284,114.44072481703549,113.60884097315453,120.63864885776373,135.92101931346548,129.42396832772693,132.15368293167703,145.3818552235755,150.92969320945969,146.96748242725988,153.60628637305373,151.74557926360032,154.75417289723586,152.68533174473967,light green,175.61660162319936,red,55.78215376858072,light green,180.34642045884405,red,69.71806463949177,light green,147.34127562804503,light green,184.05325650191702,pink,132.26851195611846,green,221.69462505268694,red,62.84474421067904,red,72.6672678655435,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,124.40227898639128,white,,light green,148.21856616109824,green,244.3275901863011,light green,150.27101619669875,white,,red,74.8625965989268,pink,126.06439687688797,light green,159.31333253469953,green,277.37791881847505,red,103.47749577881075,pink,124.04202572906014,red,98.78788562895477,red,41.19466467031681,light green,142.91252137119537,red,86.96622870768267,light green,151.8052383825894,light green,155.37650922944928,red,118.21883882189339,light green,147.996540821219,light green,148.17125786022922,red,97.43316447102549,red,106.07423093533335,green,244.40244442587874,light green,194.21137513063863,red,90.48336334649473,light green,194.46816844177604,pink,135.14630809405514,red,118.49331990647453,red,91.59234286785993
10,West Ham,130.54174402183693,38,181.5051272949751,185.00594807358644,167.79859561373314,179.12065174128483,174.77247971552418,157.6597016971041,135.2832946946364,112.48474321676562,117.74240426567157,117.74240426567157,127.64653177626859,127.64653177626859,127.64653177626859,127.64653177626859,127.64653177626859,127.64653177626859,127.64653177626859,127.64653177626859,127.64653177626859,127.64653177626859,132.3116999908332,107.33875833322823,123.26324259999262,134.15026584539706,128.04614885767202,123.23132951596968,111.31002546033184,94.89785618674762,102.72937057613123,83.81243191332543,77.93145947419364,85.7589914068795,85.7589914068795,110.4304510670345,110.66429997668071,117.01900826386625,111.83041376427533,112.77239293701858,111.68081932282541,116.8730576924939,125.73404013672017,131.43538376730416,139.8745694633741,red,59.136634178628995,light green,183.88208191005927,red,75.00105721837222,green,298.06797434623246,green,207.31002341764938,light green,169.740210651359,green,277.3979093425242,red,83.64237962890844,white,,red,63.43061469108634,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,154.25545011123418,green,267.63077016590773,red,87.52057728870888,red,13.105361634085053,red,117.8080489974287,pink,120.44600697125007,pink,132.75950726526546,light green,186.9116276131865,red,92.8201785626728,light green,198.9919671560598,red,89.3145243519161,red,75.07923008335348,white,,red,86.74227157933356,red,49.31037887580066,red,72.02644269809689,light green,147.6407792883581,red,66.57339651641918,red,48.14771727799375,pink,129.87195361215439,green,259.44248920041855,red,50.947321243324154,red,116.50940070839572,red,111.32061779122162,red,73.16725072562191,red,40.50670197864169,light green,166.21762219983367,green,321.4693663100025,red,90.85672665741205,light green,175.5837005808852
