,Name,Team,xG per fixture adj,xG per game adj,Team games,Played,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Mohamed Salah,Liverpool,54.20984081654496,60.58746914790319,38,34,15.921072700176516,33.6225732780691,80.54718812576382,116.6366206321489,168.77284383347603,5.11291566646623,31.20614667777783,48.987932342659306,,0.0,,,,,,,,,,11.828893863907147,5.297453382587391,19.951196063391887,30.371217852411778,136.05952136666326,81.7402723063726,77.93333267170235,114.21851369326573,9.752261322423854,82.34850159232602,66.97820470266407,36.15360944593861,,88.87265084339637,106.876713342497,0.0,20.12645247141966,0.0,48.44358387538386,22.758511996992343,107.0598369362537,0.0,108.62519015307777,75.59397573909277,13.499777750158987,44.760513347177636,25.504721894259358,151.34538061684964,39.731807603154756,33.33456293880244
2,Gabriel Fernando de Jesus,Man City,52.47911504908822,58.653128584275066,38,34,70.6365045422824,45.26727721803047,37.19317182257739,164.80086440906254,52.10234512042063,146.10834847736726,20.9557060062359,0.0,33.99311497721059,15.99096194120866,,,,,,,,,,6.502658207139412,,55.24837243271091,86.44788241208323,2.3004246050111057,,91.29886869727423,5.749385079014629,109.30175508455024,146.96459694552468,0.0,0.0,178.2491123919609,46.1708845569384,72.84298190325967,82.0977505884166,72.4503329901535,0.0,0.0,58.51919981352788,77.80576995830275,140.31758165444757,4.679619659393508,88.70535129849074,0.0,14.539779724757084,0.0,0.0,50.496114009780044,16.469655338219685
3,Raheem Sterling,Man City,52.14339497458308,60.04390936467143,38,33,77.04623521619871,157.0557777258447,0.0,122.98080140754297,42.0773629030577,11.927653051936415,90.00982967293376,41.688282117337174,0.0,23.608595760816712,,,,,,,,,,69.20022841867961,,0.0,0.0,54.03517260307102,,78.55769277234377,38.748165102886205,0.0,0.0,1.53712701744713,271.77594076835345,18.99776045108266,71.69539634134387,13.035043545438324,82.11716793334496,62.178529262346174,0.0,48.74144916930792,7.738315622522732,46.77560929268712,116.10877167310693,21.373425666383696,82.15183824837376,0.0,61.06266852153971,0.0,53.88262246438458,88.58551002724566,126.75603627659945
4,Marcus Rashford,Man Utd,50.413686683107485,61.79742238574466,38,31,12.125311856166066,1.2587867195491018,54.95439438712371,93.92878989156483,51.34076568580308,78.3085960193188,3.194434369466909,71.45200451242414,,38.62080012242025,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,112.0781178470828,17.619161642835664,95.54613470551168,40.02100601960724,35.01009613053113,24.294530726301648,141.15272049505353,111.2563702056785,40.28716056514472,52.97848202922674,154.22432615948256,7.636304190662409,110.55268024160654,81.91491118393974,0.0,25.83117189262174,0.0,92.99182696047032,94.55683299982589,85.95688264032655,14.901991882766106,171.72550187557158
5,Tammy Abraham,Chelsea,50.30623713147301,56.224617970469836,38,34,31.211953597749954,95.88034015316477,0.0,83.36822272598616,58.46140501506339,0.0,8.420650067695133,309.41220532144945,,8.507856401205494,,,,,,,,,,0.0,0.0,62.53642646909853,0.0,0.0,,41.2283867980671,89.13401781239745,69.2151681765929,18.945768123494258,63.07712537324153,25.832171658451564,17.895227154462162,28.252034906416867,69.11919632331876,58.70592965166529,0.0,12.993001128286574,83.7393645609072,78.84911707481943,7.4513932580895705,72.8363011630019,21.334358617419735,109.03443007966568,64.61002581547494,137.62147473629,131.10166727398257,20.93978048650851,18.262556648988692,13.659454423018909
6,Jamie Vardy,Leicester,47.35340110462402,51.41226405644894,38,35,22.90882697163405,55.08396697266268,80.5488217747893,105.95321431741087,53.33122742919527,105.53795047945904,0.0,6.375978585626893,,15.91061644091721,,,,,,,,,,63.45854346026284,0.0,67.05154933198381,0.0,32.929696680736065,,8.86098869359615,111.47716160935961,0.0,0.0,0.0,8.395627518262645,64.33257838496695,34.03487987171695,123.25648923603192,79.65348478162923,117.44464901639239,159.0963732072136,63.22770129876978,22.476070349892787,190.19918532675675,12.02202008574604,0.0,65.21178677792004,26.5689634391077,0.0,56.91159534246077,40.71960102145473,6.449693569756834,0.0
7,Roberto Firmino,Liverpool,45.106776036844536,45.106776036844536,38,38,0.0,53.37658246821296,0.0,26.82177637866829,17.399599436030517,4.516008022191547,24.654681771469342,5.300908292197821,,5.605643132074209,,,,,,,,,,81.49180974019359,0.0,73.11746456908428,51.33443142475384,113.00219560888686,52.480844361155306,123.36287717764792,46.927952105736786,67.18752768475024,101.4969850285855,36.367654182808245,150.84255736454693,,19.520562394442134,29.900293195078394,0.0,18.953964663571544,91.89882654045876,36.732079910479534,7.408704062870012,64.16177398569548,43.60698080974287,73.27376601596623,0.0,94.26657193136971,8.418551947322376,43.19154511945536,34.22574172370916,42.881679710083496,70.32894864085326
8,Chris Wood,Burnley,44.42036586985558,52.7491844704535,38,32,42.87867581898193,36.34514047841537,177.13487503041145,0.0,44.5317802384855,0.0,0.0,0.0,,0.0,,,,,,,,,,148.93458359077718,8.732554603446497,0.0,0.0,9.165101367185581,,74.48745590044291,119.74132951647034,19.44782897764083,75.0897393384303,0.0,51.89801297790043,0.0,76.04794392888212,27.489065641536126,0.0,118.19984401206801,53.6634487535321,127.35645449705281,0.0,0.0,168.86810750231223,15.414603982515475,59.446282700744504,135.79244537911586,10.631719247443925,7.471330259453247,76.97127247904936,0.0,2.2343068322184076
9,Danny Ings,Southampton,43.100065675857095,43.100065675857095,38,38,84.14705016647557,73.64798253693583,54.858382261208725,13.5354484848283,110.39153967392306,48.87271358184929,10.74422149402615,19.88853683988085,,42.22056016717124,,,,,,,,,,1.790572243739337,4.903610182150796,35.09216349390034,4.313828432256304,39.26257337451054,,0.0,18.871380696773066,188.79616249836076,52.50538435976995,60.645430511347236,0.0,60.74976125392934,4.7167671633917605,14.858418360153781,61.53765082846123,79.01896686707651,39.83195912559199,73.71190653404307,3.1762032455713727,2.1271682375752534,128.30239644876954,128.02711570521203,52.24656624640413,12.012526408080618,0.0,6.435607695107013,1.682894587217484,104.8790459768773,0.0
10,Dominic Calvert-Lewin,Everton,42.94754431212611,45.333518996133115,38,36,0.0,51.923386609109095,45.97270879460688,14.211383999271993,3.9556254302517244,13.613459020639887,6.297007393935803,27.10087075377294,,21.516526174729762,,,,,,,,,,47.00255371709952,88.56660550755066,139.12094718017704,142.8192415931083,47.419159966507195,,44.12775739056892,98.83550036400027,81.25328708913631,3.067610768801682,110.88688107214956,37.67280168101915,5.375420441259353,15.75536147622534,144.40520719241664,30.956414263566415,8.984545908392919,0.0,13.14509154057001,48.21430266126742,28.27001707251178,0.0,0.0,197.759835035557,0.0,73.90352400922383,3.720430937179519,30.56967892174597,0.0,5.583539894439637
