,Team,xG adjusted,xG,xA adjusted,xA,Opponent xG adjusted,Opponent xG
1,Man City,267.3151270983637,273.33858270737295,200.9054842303468,206.56814058311284,101.6921036412095,98.79012150738977
2,Chelsea,206.77940098953593,203.29918718259586,139.7046536621317,138.44274599840375,116.48718268262355,109.66016385753296
3,Liverpool,201.3938112919086,200.46635473049,153.45213916714266,151.7273497890289,106.44887547843332,105.38472297454351
4,Man Utd,172.70374164694786,174.6162180886849,106.91709281335937,109.46014828881935,105.84348421422398,101.47290733446808
5,Leicester,154.91900934472346,162.10039698420778,114.52373973942863,119.2637619954583,121.89429931218056,126.54623082152715
6,Southampton,152.40072352961687,151.13716107597085,100.17190724789533,99.90879878107654,148.44455996535356,150.48019579415651
7,Everton,146.1274306102077,143.07525661210283,107.05707595513088,106.23592741934485,131.15780554829112,130.22803535537892
8,Wolves,145.20322023456393,145.06874431757942,103.14824078760661,101.87536149628852,99.47494204565938,100.71603796248765
9,Arsenal,136.80064586014532,135.56868310429547,92.20615447095109,91.11775033126928,153.22602766592686,152.936662471314
10,West Ham,130.54174402183693,130.95312730017068,99.40510560100226,100.45034256273587,187.48122007156144,181.18805856394926
11,Burnley,130.25395160850795,131.9215896833492,87.16803041917836,89.42871164089362,143.19133510215133,142.35306843674104
12,Watford,129.5551176234113,128.9585756481086,83.18299274621356,82.69856556955921,152.46037771025223,160.6952594078489
13,Spurs,127.1916915593533,132.44190084208785,88.04517142146744,90.96144796104024,142.1136578343437,143.58287169598043
14,Brighton,126.96759754376781,126.04874170532352,90.35947078861972,89.60288041516354,154.12987344707227,160.41803901622953
15,Bournemouth,126.6228389200614,119.75409688035909,86.46655110324596,82.2111930526597,173.47231081559462,169.08318205785594
16,Sheffield Utd,125.82112649281798,123.02559055633058,97.95614441041862,95.2327170752381,141.66392751547818,140.86484967142735
17,Aston Villa,123.15637091451883,121.870120470167,88.93103709104537,89.51988315062695,191.78679889147037,190.9676813410203
18,Norwich,101.23236370343932,98.7947225080509,77.65152374771328,74.68663614096218,191.4921555684044,192.83495647587665
19,Newcastle,95.29010580161503,96.92496395375775,73.41172466544806,73.59352556277851,182.30639988224087,178.77688108894387
20,Crystal Palace,89.98358415853241,90.8955886028707,67.25369010274824,67.89633312605713,145.49226556140437,153.27967711920408
