,Teams,Threat av,Matches,Threat GW47 7 - average,Threat GW46 7 - average,Threat GW45 7 - average,Threat GW44 7 - average,Threat GW43 7 - average,Threat GW42 7 - average,Threat GW41 7 - average,Threat GW40 7 - average,Threat GW39* 7 - average,Threat GW39 7 - average,Threat GW38 7 - average,Threat GW37 7 - average,Threat GW36 7 - average,Threat GW35 7 - average,Threat GW34 7 - average,Threat GW33 7 - average,Threat GW32 7 - average,Threat GW31 7 - average,Threat GW30 7 - average,Threat GW29 7 - average,Threat GW28 7 - average,Threat GW27 7 - average,Threat GW26 7 - average,Threat GW25 7 - average,Threat GW24* 7 - average,Threat GW24 7 - average,Threat GW23 7 - average,Threat GW22 7 - average,Threat GW21 7 - average,Threat GW20 7 - average,Threat GW19 7 - average,Threat GW18 7 - average,Threat GW17 7 - average,Threat GW16 7 - average,Threat GW15 7 - average,Threat GW14 7 - average,Threat GW13 7 - average,Threat GW12 7 - average,Threat GW11 7 - average,Threat GW10 7 - average,Threat GW9 7 - average,Threat GW8 7 - average,Threat GW7 7 - average,Threat GW47 color,Threat GW47,Threat GW46 color,Threat GW46,Threat GW45 color,Threat GW45,Threat GW44 color,Threat GW44,Threat GW43 color,Threat GW43,Threat GW42 color,Threat GW42,Threat GW41 color,Threat GW41,Threat GW40 color,Threat GW40,Threat GW39* color,Threat GW39*,Threat GW39 color,Threat GW39,Threat GW38 color,Threat GW38,Threat GW37 color,Threat GW37,Threat GW36 color,Threat GW36,Threat GW35 color,Threat GW35,Threat GW34 color,Threat GW34,Threat GW33 color,Threat GW33,Threat GW32 color,Threat GW32,Threat GW31 color,Threat GW31,Threat GW30 color,Threat GW30,Threat GW29 color,Threat GW29,Threat GW28 color,Threat GW28,Threat GW27 color,Threat GW27,Threat GW26 color,Threat GW26,Threat GW25 color,Threat GW25,Threat GW24* color,Threat GW24*,Threat GW24 color,Threat GW24,Threat GW23 color,Threat GW23,Threat GW22 color,Threat GW22,Threat GW21 color,Threat GW21,Threat GW20 color,Threat GW20,Threat GW19 color,Threat GW19,Threat GW18 color,Threat GW18,Threat GW17 color,Threat GW17,Threat GW16 color,Threat GW16,Threat GW15 color,Threat GW15,Threat GW14 color,Threat GW14,Threat GW13 color,Threat GW13,Threat GW12 color,Threat GW12,Threat GW11 color,Threat GW11,Threat GW10 color,Threat GW10,Threat GW9 color,Threat GW9,Threat GW8 color,Threat GW8,Threat GW7 color,Threat GW7,Threat GW6 color,Threat GW6,Threat GW5 color,Threat GW5,Threat GW4 color,Threat GW4,Threat GW3 color,Threat GW3,Threat GW2 color,Threat GW2,Threat GW1 color,Threat GW1
1,Man City,273.33858270737295,38,340.27780512613907,299.04785604615296,275.0169463056539,303.14636503213217,231.05106126250965,218.77784440293908,201.4101111330092,210.06325839885645,241.24052070879512,237.82421282625623,252.07614258729987,252.07614258729987,252.07614258729987,252.07614258729987,252.07614258729987,252.07614258729987,252.07614258729987,252.07614258729987,252.07614258729987,252.07614258729987,269.13044012284706,269.13044012284706,249.97030388829964,246.7502910776862,251.4837154320308,251.4837154320308,234.66275267835175,228.9411687691297,211.3397438611303,221.15999207432782,223.39042930730753,216.27782334440522,213.06391120223063,235.2888568304479,263.0482077731618,249.57247316571218,258.475556583809,335.56908926527416,347.87720683962107,332.75956216135194,331.1247929930687,319.55767053046395,341.91374874540736,green,357.669042237103,green,440.1028176769614,red,82.75496922433376,green,565.0440320372581,green,328.66152580827475,green,342.279545404017,green,265.43270349502563,red,69.05939867720008,green,271.8864494934678,green,279.6609003096819,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,60.37690564990044,white,,green,242.74900779128075,green,220.70541251450777,green,326.0047343559563,white,,green,287.30023484677076,green,247.9722943156958,green,379.4244086369872,light green,179.75698839873078,red,108.62805414944887,light green,198.16532284021375,green,359.13870483636856,light green,169.55349557101727,green,207.92120695114136,green,256.21443428099155,green,248.49872589111328,pink,124.24111478030682,light green,148.37708109989762,green,336.64131984114647,green,325.1281149685383,green,402.2366635501385,light green,161.88429202884436,green,310.820309817791,green,663.8958435505629,green,234.53390412032604,green,230.81780709326267,green,313.68473079055553,green,321.2668063119054,green,318.37683953344816
2,Chelsea,203.29918718259586,38,215.02924554848246,263.8150858958917,242.62528303744537,228.0200948539589,240.1263608730265,228.5243086250765,202.08054335255707,191.09352873638272,174.11826342078191,174.11826342078191,187.1788881053882,187.1788881053882,187.1788881053882,187.1788881053882,187.1788881053882,187.1788881053882,187.1788881053882,187.1788881053882,187.1788881053882,187.1788881053882,199.5756905792015,194.3090584262141,189.3271612269538,188.18099948444538,197.99169937946968,197.99169937946968,178.66166473499365,167.3373939735549,154.23456708501493,169.52039661950297,159.86066002930914,195.5449431602444,205.51069352243627,190.58648574032955,205.69978468120098,208.1655333616904,230.17692345061474,236.0731927811035,231.93203109715665,233.56700999928373,246.67655668620552,231.058049281793,216.00012563701188,red,115.9377720206976,green,262.339917011559,green,305.1193432882428,red,119.31907068938017,green,265.75323082506657,green,279.12679044529796,light green,157.60859455913302,green,457.43865445256233,white,,red,114.01129700243473,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,202.88302600383759,green,204.06293282285333,light green,184.5388650894165,red,94.02043353766203,red,80.69949224591255,white,,green,338.6117972433567,green,205.4356697946787,green,289.66064332053065,light green,167.19650775194168,light green,149.66558469459414,red,85.99730134010315,light green,149.37439151108265,green,203.30155473202467,pink,126.16577446460724,light green,197.94085510075092,green,274.19731449335814,red,82.04742856323719,green,335.78728325664997,green,219.13464404642582,red,98.83210025727749,green,231.95886705070734,green,215.20109586417675,green,428.2770451158285,pink,123.32131387665868,green,306.79915146902204,green,230.57949636131525,light green,190.5989270657301,pink,122.62931521981955,red,109.79563035070896
3,Liverpool,200.46635473049,38,157.1909906741764,186.26660043373704,174.9428007219519,169.84773025448834,141.21695119621498,139.86928786284156,154.91276563012175,198.41752186683672,198.36663360308324,198.36663360308324,211.91034612378903,211.91034612378903,211.91034612378903,211.91034612378903,211.91034612378903,211.91034612378903,211.91034612378903,211.91034612378903,211.91034612378903,211.91034612378903,213.51059105779444,235.50500550440378,249.04127746288265,239.81981184333563,238.4243208382811,224.43503136081355,245.36668777998005,251.2137647452099,246.11711913187588,220.99093444911497,218.7145351964448,199.18281863044416,199.18281863044416,207.32908500358462,178.18219056352973,197.2225682942995,205.53564048771347,195.81308638943094,218.68334151804447,201.51276728138328,210.04579073882527,217.0426655427686,195.43474706422006,red,56.81802872568369,light green,145.17887327820063,green,225.1187678426504,green,221.01856814697385,green,261.6239756345749,red,108.3702377974987,red,82.20848329365253,green,260.34729704260826,white,,red,65.9122752957046,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,189.45327457040548,red,20.603114739060402,green,252.19033230096102,green,213.6745821684599,green,386.74177695065737,green,259.9910791963339,light green,160.71826294064522,green,200.65498910844326,light green,174.56401586532593,green,346.94423601031303,light green,149.1243228316307,green,376.9733399152756,white,,light green,162.06605285406113,green,307.2398578748107,green,241.58452786505222,pink,138.88749657198787,light green,171.06094323098662,pink,133.18952806293964,green,240.2513239532709,green,219.08991746604443,red,103.21159679442644,green,374.8671719804406,light green,197.07900192588568,red,103.0030645430088,green,293.2813139632344,pink,120.05730429664254,green,278.8210816681385,light green,152.1897204220295,green,223.61174263060093
4,Man Utd,174.6162180886849,38,178.72594183843051,199.17464180450355,210.44482715161783,208.07940757700376,203.75092322272914,198.5952750247504,170.72708682556237,170.45344868674874,150.0963635343526,150.0963635343526,145.0603029690683,145.0603029690683,145.0603029690683,145.0603029690683,145.0603029690683,145.0603029690683,145.0603029690683,145.0603029690683,145.0603029690683,145.0603029690683,164.99822628019112,158.07331423940403,152.77986473270826,171.55944582607066,176.41938871570997,176.41938871570997,177.40578510399376,180.4529565253428,156.77117906244737,172.9494382095124,161.47473016753793,185.14051611668296,172.41627098992467,215.6544619772051,203.62603200067366,196.42227850854397,186.2217880253281,185.47344066734826,149.0529484248587,167.08764966045106,135.18638415262103,140.20717331607426,160.2336862390595,light green,141.01864472031593,red,98.4161352738738,light green,190.4480637051165,light green,150.33007357269526,green,286.53148133307695,green,263.2587229833007,pink,121.07847128063439,green,284.15954448282713,white,,light green,177.30743270367384,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,173.89012668281794,pink,120.03068309277296,green,250.4419439472258,red,68.18140558898449,red,119.16300430893898,white,,light green,141.65994841605425,light green,142.0550087466836,green,313.4555898606777,red,71.55629880726337,green,213.38779740035534,light green,199.6384732425213,light green,153.18260453641415,light green,148.56472313404083,light green,163.38520869612694,light green,147.68314762040973,light green,184.80411283671856,pink,133.064841106534,green,365.2989748865366,red,64.11288864910603,green,451.2320600450039,red,79.18619886040688,red,97.25687317550182,red,113.40067945420742,pink,127.8264096006751,red,110.3555291891098,light green,190.35579729825258,green,227.9232014901936,red,114.33172300457954,green,237.44246363639832
5,Leicester,162.10039698420778,38,167.28222316929273,163.74410265790564,161.3384130277804,152.10090755884136,148.75373278877564,144.76636869034596,120.77794524707964,118.70468731171319,154.76799217451895,154.76799217451895,173.77091336197086,173.77091336197086,173.77091336197086,173.77091336197086,173.77091336197086,173.77091336197086,173.77091336197086,173.77091336197086,173.77091336197086,173.77091336197086,150.45265527442098,167.96030164031046,195.16597891758596,189.3568026168006,180.13285568782263,180.13285568782263,152.0421565776425,176.62065916561656,198.15265612144555,192.90555038356356,205.49849826576454,223.34928008328592,222.8819236558463,270.6934056910021,223.98728621857506,192.7138112751501,186.13669499754906,154.40495147236757,141.3848301395774,159.57451545234238,106.61727716880185,108.25973767787218,114.6247129222112,red,75.46678874641657,pink,122.1333347260952,green,305.9017598628998,light green,166.08399283140898,red,100.2384003251791,green,220.68263245746493,light green,180.4686532355845,red,50.69994516670704,white,,red,105.29350731521845,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,241.23922158032656,light green,142.65376944094896,red,72.32685163617134,red,52.76366835460067,light green,165.95584768801928,white,,green,303.14307920634747,green,238.3139556273818,red,78.01141496747732,green,265.20729400217533,green,262.7665925770998,red,12.09943424910307,red,101.38821918517351,red,106.50818543508649,green,410.3634737432003,green,228.73539365828037,green,228.47755383700132,green,350.91722775250673,pink,137.05490697175264,red,98.11672419309616,green,441.18855968117714,red,83.42063743621111,red,9.821069054305553,light green,182.43773989379406,pink,128.79502307623625,red,45.91405764222145,green,225.44452138245106,red,70.48789169639349,red,94.91786099970341,red,54.37589576467872
6,Southampton,151.13716107597085,38,177.3845984201346,164.39621725252695,159.26042316215378,130.4832512512803,116.42746406474284,126.32560317537614,127.2578967202987,118.39928089507988,123.92638844570943,123.92638844570943,108.22931690407651,108.22931690407651,108.22931690407651,108.22931690407651,108.22931690407651,108.22931690407651,108.22931690407651,108.22931690407651,108.22931690407651,108.22931690407651,138.24873602549945,147.41872832445162,125.34846570342779,129.45269332932574,158.3540882383074,158.3540882383074,153.99012371365512,170.56845163128204,164.5249467210046,171.0274575145117,194.08124339367663,190.66638671127814,164.67755371704698,159.42341050665294,151.27335285235728,140.46273319316762,128.9692743149187,115.856481064111,127.77516158031565,125.62428321689367,148.98247790655918,159.9032678508333,157.29008366220765,light green,165.2890456840396,green,224.52747635543346,green,236.32734287530184,light green,185.39299070835114,green,233.6387412622571,red,62.87646517157554,pink,133.6401268839836,red,74.37037751078606,white,,light green,188.57691772282124,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,34.88713949918747,red,87.00248040258884,green,302.92571503669024,red,69.40251998603344,red,71.62981610745192,white,,red,113.06013036519289,red,78.69741693139076,green,245.02307334914804,light green,151.19242649525404,light green,148.43387668952346,red,98.13211336731909,green,273.93958047032356,red,82.51237869262695,light green,194.74571235477924,green,202.71853897720575,light green,196.71000204980373,green,309.81037784367794,red,74.22811659052968,red,92.01774951070547,red,45.73337621986866,pink,137.6953087747097,pink,127.0442013628781,red,116.25578990206122,green,218.02082508802414,light green,157.65888020396233,red,76.96160096675158,green,209.2407390475273,green,214.1408383846283,red,108.75191204249859
7,Wolves,145.06874431757942,38,113.07544846619878,120.9388881788722,114.32200775348714,108.9201235611524,105.6414369759815,153.80167665758304,156.08378304168582,168.0631826897817,184.3405990462218,184.3405990462218,200.2388312747436,200.2388312747436,200.2388312747436,200.2388312747436,200.2388312747436,200.2388312747436,200.2388312747436,200.2388312747436,200.2388312747436,200.2388312747436,216.97116625894392,196.13109133871538,148.49736085161567,166.34217170732362,170.2741973634277,170.2741973634277,154.07365174697978,150.06001349538565,146.38134632259607,147.16012362124664,160.19919268520815,156.05285765071,151.73167824479086,169.04839094994324,154.637608637235,145.64251794612832,143.87951881757803,150.72558759046453,142.3938328134162,149.34896108295237,140.75929108741028,132.47158989044172,127.04630389011332,red,16.45607966929674,light green,152.75098690763116,pink,128.67501163855195,green,292.08374582231045,red,32.69086629152298,red,98.51656667888165,red,70.35488225519657,red,71.50015765801072,white,,red,106.43282392993571,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,90.86182229220867,green,269.1329397261143,green,369.81254406273365,red,114.49131136760116,light green,154.21067979186773,white,,light green,185.44207215309143,green,217.72044952958822,green,207.98816718161106,pink,123.25241528451443,red,36.37643065303564,green,239.40498735755682,light green,181.73485938459635,red,72.03825283795595,light green,189.62498176842928,light green,182.23749697208405,pink,128.70385637506843,pink,127.64991410076618,green,210.3806421160698,light green,151.48660354316235,light green,193.25524177402258,red,88.74950557947157,red,119.27186213433744,red,116.36286247521639,light green,175.57239551097155,light green,152.0583586767316,green,200.17250142991546,pink,133.127551805228,red,30.7355972006917,red,81.2948601320386
8,Everton,143.07525661210283,38,83.78898915169495,68.1879117153585,68.39399520041687,61.272385330604656,92.13454082076039,121.36010345337647,156.0754023226244,181.5846058273954,201.55073905895864,201.55073905895864,220.34348059179527,220.34348059179527,220.34348059179527,220.34348059179527,220.34348059179527,220.34348059179527,220.34348059179527,220.34348059179527,220.34348059179527,220.34348059179527,242.90645834324616,220.30181613351618,222.4690061860851,203.06016656437092,167.6917967785682,167.6917967785682,142.35675249780928,143.59045720526152,139.86480395708764,145.36873868533544,115.84294535485762,124.82968575454184,134.38397735091192,145.3860080002674,149.06786380867874,142.95559558751327,158.8533315674535,165.3191927820444,156.90477200384652,161.66326426235693,164.6268122762974,143.68527364651007,142.32021254221243,light green,174.6987359598279,red,62.48139590024948,red,94.44342907518148,red,28.656057827174664,red,68.20061849430203,red,40.376213286072016,red,117.66647351905704,red,65.49119390547276,white,,red,63.92398029565811,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,44.59215998649597,green,244.69114625826478,green,272.7795569226146,green,283.38330537080765,green,296.230898052454,white,,green,205.25412652641535,light green,195.4731710255146,green,202.53300424665213,red,86.45865079015493,green,287.94988729059696,light green,147.52142801880836,red,48.65230955183506,red,27.908816561102867,green,204.1091039776802,light green,176.45343150943518,pink,124.9861938878894,red,81.26933397725224,green,210.42861081659794,red,115.53235072642565,red,104.92303110659122,green,229.8820946365595,pink,133.667553961277,green,236.27034574747086,pink,126.53036247938871,light green,151.52766536921263,light green,148.84179653599858,pink,125.6678672041744,red,83.29132422804834,pink,124.11212623119354
9,Arsenal,135.56868310429547,38,129.08184230327606,134.16284434497356,133.5982307658664,121.9067952329559,134.29311460682325,134.94231936388783,159.7972392104566,155.7299303290035,130.8669081889093,138.45556085663182,155.49870410135813,155.49870410135813,155.49870410135813,155.49870410135813,155.49870410135813,155.49870410135813,155.49870410135813,155.49870410135813,155.49870410135813,155.49870410135813,161.0406051389873,161.0406051389873,153.17689873544234,130.7303692214191,122.3014793225697,122.3014793225697,118.20909490010568,126.25187216326594,115.90327699003475,117.01737630314061,128.9132216013968,122.96885003202728,124.98614085572106,143.41455628829343,131.384856639696,135.32361961635095,130.9017430325704,144.4516958801874,144.03660620695777,156.90413334273867,148.53188854509168,151.63885573191303,150.09596406349115,light green,195.28180323541162,red,73.71371453627944,pink,131.51592016220096,red,69.26934812217951,pink,129.0228950791061,pink,128.27300876379013,light green,176.4962062239647,green,230.84881752729416,red,69.76141948252916,red,49.675871431827545,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,155.9735837392509,white,,pink,133.56732837855816,green,302.25744768977165,light green,148.02504405379295,white,,red,56.807662546634674,pink,122.88198815658687,light green,168.97787414491177,light green,194.76689100265503,red,78.52138355374336,light green,145.131741091609,red,89.02281476184724,red,28.160971589386463,light green,179.18142899870872,red,96.53770793229342,green,202.56558619439602,light green,161.79230064153668,red,103.52114010602236,red,103.14385052770376,light green,157.15987961739302,red,94.97353145852685,pink,124.10904876887797,light green,171.6124501079321,green,256.6419705748558,red,100.61551239341499,light green,193.21654047816992,red,98.55416603386402,red,116.72230176627636,red,113.30880708992481
10,Spurs,132.44190084208785,38,98.55140092383537,126.13637230492064,122.82109043693968,110.53687705259237,112.29463449812361,109.24612839839288,163.9801826061947,155.48100963767087,156.7429845620479,156.7429845620479,174.344677105546,174.344677105546,174.344677105546,174.344677105546,174.344677105546,174.344677105546,174.344677105546,174.344677105546,174.344677105546,174.344677105546,173.90404686863934,161.6289290732571,183.85762649455242,136.5508968542729,134.49909695025002,134.49909695025002,115.3507648301976,124.34889448008367,116.29851891526154,143.27262585450495,148.85053117094296,155.68847936977232,155.21312756463885,160.71037242987327,139.2071893438697,138.29559737018175,112.86211742886475,100.36218294075557,93.77713834068605,119.25732025078365,117.64625570337687,105.97375435754657,136.02377635293774,red,31.030242890119553,red,76.69221200048923,light green,199.65806119143963,light green,181.8455507978797,red,47.92740223929287,red,51.182807609438896,red,101.52352973818779,green,224.12504255771637,white,,red,53.485238924622536,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,113.66856750100851,light green,194.14985291659832,red,26.58785954117775,green,434.3211870640516,red,42.02931895852088,white,,green,232.9588670283556,light green,176.6970867291093,red,110.58415584266186,red,108.22402834892273,light green,182.18874149024487,red,103.17407958209515,red,27.666719630360603,red,98.92054218798876,green,239.68399427831173,red,54.231526888906956,green,297.04277692362666,green,221.23407870531082,light green,151.03971697390077,red,24.339256994426247,pink,137.40125624462962,red,89.1617126762867,red,47.85038307309151,red,119.00841733440757,pink,133.73453728854656,red,104.94440477341413,green,202.70053036510944,pink,126.12380441278219,red,7.454203255474567,green,258.20053704082966
