,Name,Team,Creativity per fixture,Creativity per game,Team games,Played,Creativity GW47 7 - average,Creativity GW46 7 - average,Creativity GW45 7 - average,Creativity GW44 7 - average,Creativity GW43 7 - average,Creativity GW42 7 - average,Creativity GW41 7 - average,Creativity GW40 7 - average,Creativity GW39* 7 - average,Creativity GW39 7 - average,Creativity GW38 7 - average,Creativity GW37 7 - average,Creativity GW36 7 - average,Creativity GW35 7 - average,Creativity GW34 7 - average,Creativity GW33 7 - average,Creativity GW32 7 - average,Creativity GW31 7 - average,Creativity GW30 7 - average,Creativity GW29 7 - average,Creativity GW28 7 - average,Creativity GW27 7 - average,Creativity GW26 7 - average,Creativity GW25 7 - average,Creativity GW24* 7 - average,Creativity GW24 7 - average,Creativity GW23 7 - average,Creativity GW22 7 - average,Creativity GW21 7 - average,Creativity GW20 7 - average,Creativity GW19 7 - average,Creativity GW18 7 - average,Creativity GW17 7 - average,Creativity GW16 7 - average,Creativity GW15 7 - average,Creativity GW14 7 - average,Creativity GW13 7 - average,Creativity GW12 7 - average,Creativity GW11 7 - average,Creativity GW10 7 - average,Creativity GW9 7 - average,Creativity GW8 7 - average,Creativity GW7 7 - average,Creativity GW47 color,Creativity GW47,Creativity GW46 color,Creativity GW46,Creativity GW45 color,Creativity GW45,Creativity GW44 color,Creativity GW44,Creativity GW43 color,Creativity GW43,Creativity GW42 color,Creativity GW42,Creativity GW41 color,Creativity GW41,Creativity GW40 color,Creativity GW40,Creativity GW39* color,Creativity GW39*,Creativity GW39 color,Creativity GW39,Creativity GW38 color,Creativity GW38,Creativity GW37 color,Creativity GW37,Creativity GW36 color,Creativity GW36,Creativity GW35 color,Creativity GW35,Creativity GW34 color,Creativity GW34,Creativity GW33 color,Creativity GW33,Creativity GW32 color,Creativity GW32,Creativity GW31 color,Creativity GW31,Creativity GW30 color,Creativity GW30,Creativity GW29 color,Creativity GW29,Creativity GW28 color,Creativity GW28,Creativity GW27 color,Creativity GW27,Creativity GW26 color,Creativity GW26,Creativity GW25 color,Creativity GW25,Creativity GW24* color,Creativity GW24*,Creativity GW24 color,Creativity GW24,Creativity GW23 color,Creativity GW23,Creativity GW22 color,Creativity GW22,Creativity GW21 color,Creativity GW21,Creativity GW20 color,Creativity GW20,Creativity GW19 color,Creativity GW19,Creativity GW18 color,Creativity GW18,Creativity GW17 color,Creativity GW17,Creativity GW16 color,Creativity GW16,Creativity GW15 color,Creativity GW15,Creativity GW14 color,Creativity GW14,Creativity GW13 color,Creativity GW13,Creativity GW12 color,Creativity GW12,Creativity GW11 color,Creativity GW11,Creativity GW10 color,Creativity GW10,Creativity GW9 color,Creativity GW9,Creativity GW8 color,Creativity GW8,Creativity GW7 color,Creativity GW7,Creativity GW6 color,Creativity GW6,Creativity GW5 color,Creativity GW5,Creativity GW4 color,Creativity GW4,Creativity GW3 color,Creativity GW3,Creativity GW2 color,Creativity GW2,Creativity GW1 color,Creativity GW1
1,Kevin De Bruyne,Man City,54.26501824863647,58.916305527091026,38,35,74.44908464593547,58.52303276104586,46.5433804584401,53.56076471507549,44.9240755289793,27.089513785072732,42.354325311524526,29.460066769804275,39.96287594948496,48.12209191066878,47.823064774274826,47.823064774274826,47.823064774274826,47.823064774274826,47.823064774274826,47.823064774274826,47.823064774274826,47.823064774274826,47.823064774274826,47.823064774274826,49.611266063792364,49.611266063792364,53.54014251913343,42.3059914793287,55.486839371068136,55.486839371068136,53.86190776314054,50.53923704794475,54.2089690055166,59.712048939296174,56.86825407402856,55.52064691271101,49.809159551348,41.654959959643236,36.27394671951022,25.885857641696933,28.530038893222816,54.92953998701913,52.85018075789724,45.15335868511881,51.26765657748495,70.17202238951411,82.09905486021724,green,121.06565237045288,green,95.9610641002655,red,0.0,green,60.45682430267334,green,130.1237940788269,red,5.877227708697318,green,107.65902996063231,red,9.583289176225662,pink,12.103497982025145,light green,49.121689796447754,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,white,,red,5.281861871480941,green,112.73090839385986,pink,17.399220168590546,white,,green,83.10295343399049,green,69.21800971031189,light green,47.02849984169006,pink,12.517409026622774,light green,32.78399705886841,light green,34.091851115226746,green,109.6651554107666,green,71.72843217849731,light green,45.95931470394135,green,72.71662354469301,green,51.03896856307984,pink,12.877433001995088,pink,24.65860098600388,green,69.6847438812256,pink,14.649035036563873,red,8.292222023010254,red,0.0,green,69.548237323761,green,197.6739406585693,pink,10.10308638215065,pink,15.80698937177658,green,57.44912028312683,green,140.62278270721436,green,83.48922729492188
2,Trent Alexander-Arnold,Liverpool,29.386753814392968,29.386753814392968,38,38,16.4347166461604,16.4347166461604,13.190857533897672,11.099443371806826,9.800307665552412,24.77793065564973,33.34152496286801,31.749438175133296,33.88479415859495,33.88479415859495,32.20663709299905,32.20663709299905,32.20663709299905,32.20663709299905,32.20663709299905,32.20663709299905,32.20663709299905,32.20663709299905,32.20663709299905,32.20663709299905,28.918310786996567,29.64139309312616,24.088282084890775,21.850251566086495,34.64161865413189,33.44861125307424,34.5192271151713,34.584539223994526,34.89554354122707,29.096206171172007,24.891127433095658,17.909629004342214,17.909629004342214,23.424469998904637,23.083844355174474,37.12598628231457,36.09189965895244,36.37366529021944,37.10424431732723,33.56573475258691,33.17583480051586,35.471838286944795,34.95180138519832,red,0.0,light green,41.81966483592986,light green,48.11641275882721,red,9.0939499437809,red,4.868381470441818,red,0.0,pink,11.14460751414299,red,0.0,white,,pink,19.11265105009079,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,33.476513624191284,red,0.0,green,109.71174240112305,green,59.945160150527954,red,0.0,pink,14.947491884231567,red,7.365551590919495,pink,10.45822948217392,red,5.0615761429071435,green,70.83996534347534,light green,44.27894651889801,green,89.53956961631775,white,,red,6.596440076828003,pink,14.859862625598907,pink,10.915414243936539,red,7.238606363534927,light green,30.244603753089905,pink,14.843395352363586,light green,40.66908061504364,light green,45.20032703876496,pink,12.475483119487762,green,109.21040773391724,red,0.0,light green,32.21696317195892,pink,19.957448542118076,pink,15.89951366186142,light green,42.47102737426758,light green,28.54750752449036,green,105.57014942169191
3,Riyad Mahrez,Man City,29.10486605312479,33.514694242992185,38,33,27.78114112360137,33.2091891339847,33.2091891339847,33.2091891339847,20.732377895287105,30.318775134427206,29.136310943535396,27.0734004676342,29.80164811015129,29.80164811015129,37.69968588437353,37.69968588437353,37.69968588437353,37.69968588437353,37.69968588437353,37.69968588437353,37.69968588437353,37.69968588437353,37.69968588437353,37.69968588437353,42.328560458762304,42.328560458762304,31.47371719990457,31.47371719990457,40.766102501324234,40.766102501324234,31.381758196013312,36.79623901844025,29.536225966044835,18.742733342306956,17.16991016375167,17.16991016375167,6.453989579209261,6.453989579209261,1.0395087567823276,0.40148403495550156,20.93432197081191,30.549148150852748,31.838052506957734,37.37939415233476,38.962324070078985,38.962324070078985,55.923210616622654,red,8.596340566873549,red,0.0,red,0.0,green,130.4900050163269,pink,22.699272632598877,red,8.277249336242676,pink,24.405120313167572,light green,46.59267663955689,red,0.0,red,0.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,light green,43.152326345443726,white,,green,89.80405330657959,red,0.0,red,9.964746981859207,white,,green,65.6904101371765,red,0.0,green,55.28626441955566,green,75.55444836616515,pink,13.8201504945755,red,0.0,green,75.01144409179688,red,0.0,light green,37.90136575698853,red,4.466173052787782,red,0.0,red,2.810388244688511,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,green,143.72986555099487,green,70.11417150497437,red,9.022330492734907,light green,38.78939151763915,pink,11.080509424209595,red,0.0,green,118.72620582580566
4,Mohamed Salah,Liverpool,22.96326979994774,25.664830952882767,38,34,16.731146829468862,20.179052650928497,19.129796219723566,28.56360131076404,23.75870868563652,22.401582449674606,16.678906232118607,28.782008375440324,34.02707832200186,34.02707832200186,34.82137471437454,34.82137471437454,34.82137471437454,34.82137471437454,34.82137471437454,34.82137471437454,34.82137471437454,34.82137471437454,34.82137471437454,34.82137471437454,32.38373930965151,40.66296837159565,49.73409516470773,52.1971623812403,47.51524478197098,37.77309975453785,46.0586096559252,39.06243996960776,32.576035601752146,22.933247259684972,19.902725304876054,10.872630987848554,10.872630987848554,11.376810606036868,2.29700431227684,5.263596240963254,3.470771546874727,4.143818574292319,11.695601046085358,14.573707112244197,15.32740837761334,15.87948745914868,17.28594782096999,red,7.344184815883636,red,7.3447950184345245,red,0.0,light green,33.63424837589264,pink,13.501514494419098,light green,44.030916690826416,pink,11.26236841082573,light green,31.479525566101074,white,,red,0.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,66.03663563728333,red,0.0,red,4.0016308426857,red,3.9721831679344177,green,95.98408341407776,green,68.19501519203186,red,5.560074746608733,light green,48.97318780422211,green,57.95460343360901,green,67.49951839447021,pink,21.213653683662415,green,63.2106602191925,white,,red,0.0,green,63.55864405632019,red,0.0,pink,12.54977285861969,red,0.0,red,0.0,red,0.0,red,3.5292573273181915,red,0.0,pink,20.766143500804898,red,0.0,red,4.7113291919231415,green,52.86247730255127,pink,20.14674246311188,red,8.805166184902191,red,3.864553570747376,light green,30.611366033554077
5,Willian Borges Da Silva,Chelsea,22.840597995213773,24.10952010605898,38,36,25.196875844682967,34.18474197387695,38.19409395967211,44.91625172751291,43.928855125393184,28.848004660436086,28.616446735603468,27.28643656841346,18.298570439219475,18.298570439219475,15.489357550229345,15.489357550229345,15.489357550229345,15.489357550229345,15.489357550229345,15.489357550229345,15.489357550229345,15.489357550229345,15.489357550229345,15.489357550229345,2.96803457396371,3.694843500852585,13.365703076124193,13.808779684560642,18.937872616308077,18.937872616308077,26.207902229257993,33.27620630817754,34.58980822137424,33.86299929448536,24.631732808692114,38.26772943139076,36.84736266732216,31.978794825928553,25.56321908320699,34.5456841800894,34.82976143381425,34.39016834433589,19.431996159255505,15.723269991576672,13.321808220020362,11.468940787017345,0.28407725372484754,red,0.0,red,0.0,light green,46.81573212146759,red,6.911776214838027,green,105.5659532546997,red,7.774598151445389,red,9.310071170330046,green,62.91506290435791,white,,light green,28.0654639005661,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,93.87083649635315,red,0.0,red,0.0,red,6.153692677617072,red,0.0,white,,red,0.0,red,8.400973677635193,red,6.221575662493706,red,5.087662488222122,green,67.69601702690126,red,9.25522893667221,light green,35.903650522232056,green,50.89020729064941,green,57.87910223007202,pink,15.416789054870605,red,0.0,red,3.0771516263484955,green,104.70720529556273,light green,25.961083173751828,pink,16.810232400894165,pink,12.970072031021118,green,78.29404473304749,red,1.9885407760739329,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0
6,Andrew Robertson,Liverpool,20.78287693622865,21.937481210463577,38,36,25.736416716660774,26.20062721627099,15.869717725685664,5.51877851997103,6.041871437004635,6.121749324457986,9.183713155133384,9.183713155133384,8.144992589950562,8.144992589950562,9.658680749791008,9.658680749791008,9.658680749791008,9.658680749791008,9.658680749791008,9.658680749791008,9.658680749791008,9.658680749791008,9.658680749791008,9.658680749791008,15.40621742606163,14.883124509028027,21.271666139364243,19.10588624221938,27.208610624074936,29.264182597398758,27.75049443755831,24.17941348893302,24.17941348893302,19.20134765761239,21.8220910855702,14.882587215730123,14.882587215730123,19.54609059861728,28.435912196125305,26.506051660648414,27.797591180673667,28.907024354806968,27.659407391079835,26.496186879064357,28.072405739554338,19.547844624945096,19.95451208204031,red,4.021570459008217,green,72.3163664340973,green,72.45657444000244,red,0.0,light green,31.360405683517453,red,0.0,red,0.0,red,7.271043956279755,white,,red,0.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,red,3.6616504192352295,light green,31.91955089569092,pink,21.433746814727787,red,0.0,red,0.0,pink,10.595817118883133,light green,40.232756733894355,red,0.0,green,76.63934230804443,red,6.273287534713745,green,56.71907067298889,white,,pink,14.389003813266756,red,0.0,pink,15.235190093517305,red,0.0,light green,41.79288148880005,pink,24.6184915304184,red,8.142543584108353,light green,47.03352749347687,green,62.22875118255615,red,1.726166345179081,red,9.040776640176773,light green,49.55891370773315,pink,15.88517278432846,red,0.0,green,58.06705951690674,red,2.556823380291462,red,4.572838544845581
7,David Silva,Man City,20.134177735369455,28.33699088681627,38,27,32.59417233722551,31.010953230517252,39.96199050119945,37.02613285609654,27.408879143851145,12.279212474822998,11.743309029511042,11.743309029511042,11.743309029511042,4.054068454674312,14.943529239722661,14.943529239722661,14.943529239722661,14.943529239722661,14.943529239722661,14.943529239722661,14.943529239722661,14.943529239722661,14.943529239722661,14.943529239722661,14.943529239722661,14.943529239722661,14.943529239722661,12.686792016029358,12.686792016029358,12.686792016029358,12.686792016029358,15.475514105388097,7.007769388811929,14.570949120180947,15.427386654274803,15.427386654274803,15.427386654274803,17.51286185213498,22.086709418467112,19.715794974139758,12.15261524277074,11.79436067385333,11.79436067385333,21.125481437359536,32.92953696634088,24.305170614804542,25.551984246288026,pink,11.082533746957779,red,0.0,pink,24.29974526166916,green,67.32077598571777,green,105.90766668319702,pink,19.548484683036804,red,0.0,red,0.0,green,62.65726089477539,red,3.748741745948792,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,white,,red,0.0,pink,15.797160565853119,red,0.0,white,,red,0.0,red,8.832576870918274,green,79.97496724128723,red,0.0,red,0.0,red,0.0,red,0.0,red,0.0,light green,28.353631496429443,pink,20.70075422525406,green,52.94225811958313,red,5.995062738656997,red,0.0,red,0.0,pink,14.598326385021211,green,60.370564460754395,red,4.104353114962579,red,0.0,red,3.4872807562351227,red,0.0,green,65.31784534454346,green,97.22671508789062,red,0.0,pink,12.832048535346985
8,Jack Grealish,Aston Villa,20.09998770724786,21.21665369098385,38,36,14.952907551612173,17.24746653011867,12.817233534795898,9.487903064915113,8.42097992343562,12.770715728402138,25.070503087980406,27.694108390382357,27.866695768066815,32.17795704092298,30.892515288931982,30.892515288931982,30.892515288931982,30.892515288931982,30.892515288931982,30.892515288931982,30.892515288931982,30.892515288931982,30.892515288931982,30.892515288931982,35.699294401066645,35.699294401066645,32.79235320431845,21.589789433138712,19.983585817473276,19.983585817473276,17.291465348431043,14.14378173649311,13.609095210475582,9.079272300004959,16.640543511935643,14.065260333674294,11.718563948358808,11.406295054725238,14.313998445868492,14.781755980636392,15.389144580279078,17.04621416117464,27.939673140645027,27.939673140645027,28.43452080019883,28.056969227535383,29.26431931555271,red,3.760701045393944,light green,35.59814989566803,light green,38.191559910774224,red,7.468461990356445,red,0.0,pink,10.346417129039763,red,9.305062890052797,pink,19.822613894939426,red,4.586518928408624,pink,14.886246621608734,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,0.0,white,,light green,30.448150634765625,green,96.44492864608765,light green,27.67030000686645,white,,pink,21.03072553873062,light green,34.7653478384018,red,5.888154357671738,light green,33.64745378494263,pink,10.099562257528305,pink,18.02698224782944,pink,16.426874697208405,red,2.18588225543499,pink,12.731562554836273,red,2.1453486755490303,red,1.9386934116482732,green,63.02846074104309,red,0.0,red,0.0,red,0.0,light green,33.08548629283905,red,5.419651418924332,red,6.190413609147072,green,74.62794780731201,green,76.25421285629271,red,0.0,red,3.463933616876602,light green,30.442625284194946,pink,13.871102035045626
9,Dwight McNeil,Burnley,19.901131578770123,19.901131578770123,38,38,7.8505205788782675,7.836071561489787,5.168709212115833,6.489500775933266,7.236250809260777,16.654434800148007,18.759392840521674,38.42715791293552,35.81513954060417,35.81513954060417,36.500263320548186,36.500263320548186,36.500263320548186,36.500263320548186,36.500263320548186,36.500263320548186,36.500263320548186,36.500263320548186,36.500263320548186,36.500263320548186,39.67473017317907,41.94909813148634,30.712190190596235,29.401782713830467,9.734017641416617,9.734017641416617,11.6983972755926,20.938146779579775,16.442888363131456,14.639144098120076,19.445862088884628,27.15016497032983,27.15016497032983,26.94733323795455,17.858324306351797,17.858324306351797,18.072707312447683,29.68031338282994,21.18145993777684,22.027318286044256,21.187180706432887,22.275440927062714,22.275440927062714,pink,18.38527172803879,pink,18.67153644561768,red,0.0,red,3.53872962296009,pink,14.358106255531313,red,0.0,red,0.0,pink,18.284128606319424,white,,red,0.0,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,9.245540946722029,red,8.76597985625267,green,80.28539419174193,pink,14.734706282615662,green,137.67435550689694,white,,red,0.0,red,4.795866459608078,light green,31.466808915138245,pink,24.68655556440353,red,1.6270386055111885,red,5.56185394525528,red,0.0,pink,13.750657439231873,green,69.47411298751831,red,0.0,pink,12.060345709323885,light green,35.27406454086304,green,59.491974115371704,red,0.0,pink,12.330835312604904,red,5.851050466299058,red,0.0,pink,13.561026751995088,green,116.52730703353882,red,0.0,red,5.921008437871933,red,6.449872255325317,pink,13.468872010707855,red,0.0
10,Adama Traore,Wolves,19.871135090330714,20.408192795474786,38,37,9.482979135853904,11.627078907830375,19.796516639845713,18.74492040702275,19.194969588092395,19.194969588092395,17.929721144693236,19.06810408192021,25.88705447103296,25.88705447103296,24.9764973031623,24.9764973031623,24.9764973031623,24.9764973031623,24.9764973031623,24.9764973031623,24.9764973031623,24.9764973031623,24.9764973031623,24.9764973031623,32.30076756860529,33.03357831069401,33.03357831069401,42.291174616132466,44.15583461523056,44.15583461523056,35.64972478364195,26.38750102903162,19.582834680165565,20.079148507543973,27.83000453242234,18.586335703730583,15.255888391818319,19.791411395583832,19.791411395583832,21.872983127832413,22.015333494969777,21.850514731236867,20.67357674241066,19.634983582156046,14.642520248889923,14.916606646563325,10.395470447838306,red,0.0,pink,14.023402333259584,pink,20.800897479057312,red,0.0,red,0.0,pink,21.994571387767788,red,9.561982750892641,pink,15.008698403835295,white,,green,71.20946645736693,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,13.43972384929657,red,3.1503442674875264,red,0.0,pink,13.137832283973696,pink,17.530663311481472,white,,green,62.74135112762451,green,64.83556628227235,green,64.70961570739746,red,8.280019462108612,red,0.0,green,77.94100642204285,light green,30.58328330516815,red,3.1985823065042496,red,0.0,pink,17.076951265335087,pink,11.754216253757475,green,54.25599217414856,pink,13.235324621200562,red,7.270152121782303,light green,34.94724333286285,red,0.0,light green,31.64795339107513,pink,12.750668823719025,green,53.10226082801819,red,4.996758699417113,red,0.0,red,0.0,red,1.9186047837138176,red,0.0
