,Teams,xG av,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,273.33858270737295,38,357.669042237103,440.1028176769614,82.75496922433376,565.0440320372581,328.66152580827475,342.279545404017,265.43270349502563,69.05939867720008,271.8864494934678,279.6609003096819,,,,,,,,,,60.37690564990044,,242.74900779128075,220.70541251450777,326.0047343559563,,287.30023484677076,247.9722943156958,379.4244086369872,179.75698839873078,108.62805414944887,198.16532284021375,359.13870483636856,169.55349557101727,207.92120695114136,256.21443428099155,248.49872589111328,124.24111478030682,148.37708109989762,336.64131984114647,325.1281149685383,402.2366635501385,161.88429202884436,310.820309817791,663.8958435505629,234.53390412032604,230.81780709326267,313.68473079055553,321.2668063119054,318.37683953344816
2,Chelsea,203.29918718259586,38,115.9377720206976,262.339917011559,305.1193432882428,119.31907068938017,265.75323082506657,279.12679044529796,157.60859455913302,457.43865445256233,,114.01129700243473,,,,,,,,,,202.88302600383759,204.06293282285333,184.5388650894165,94.02043353766203,80.69949224591255,,338.6117972433567,205.4356697946787,289.66064332053065,167.19650775194168,149.66558469459414,85.99730134010315,149.37439151108265,203.30155473202467,126.16577446460724,197.94085510075092,274.19731449335814,82.04742856323719,335.78728325664997,219.13464404642582,98.83210025727749,231.95886705070734,215.20109586417675,428.2770451158285,123.32131387665868,306.79915146902204,230.57949636131525,190.5989270657301,122.62931521981955,109.79563035070896
3,Liverpool,200.46635473049,38,56.81802872568369,145.17887327820063,225.1187678426504,221.01856814697385,261.6239756345749,108.3702377974987,82.20848329365253,260.34729704260826,,65.9122752957046,,,,,,,,,,189.45327457040548,20.603114739060402,252.19033230096102,213.6745821684599,386.74177695065737,259.9910791963339,160.71826294064522,200.65498910844326,174.56401586532593,346.94423601031303,149.1243228316307,376.9733399152756,,162.06605285406113,307.2398578748107,241.58452786505222,138.88749657198787,171.06094323098662,133.18952806293964,240.2513239532709,219.08991746604443,103.21159679442644,374.8671719804406,197.07900192588568,103.0030645430088,293.2813139632344,120.05730429664254,278.8210816681385,152.1897204220295,223.61174263060093
4,Man Utd,174.6162180886849,38,141.01864472031593,98.4161352738738,190.4480637051165,150.33007357269526,286.53148133307695,263.2587229833007,121.07847128063439,284.15954448282713,,177.30743270367384,,,,,,,,,,173.89012668281794,120.03068309277296,250.4419439472258,68.18140558898449,119.16300430893898,,141.65994841605425,142.0550087466836,313.4555898606777,71.55629880726337,213.38779740035534,199.6384732425213,153.18260453641415,148.56472313404083,163.38520869612694,147.68314762040973,184.80411283671856,133.064841106534,365.2989748865366,64.11288864910603,451.2320600450039,79.18619886040688,97.25687317550182,113.40067945420742,127.8264096006751,110.3555291891098,190.35579729825258,227.9232014901936,114.33172300457954,237.44246363639832
5,Leicester,162.10039698420778,38,75.46678874641657,122.1333347260952,305.9017598628998,166.08399283140898,100.2384003251791,220.68263245746493,180.4686532355845,50.69994516670704,,105.29350731521845,,,,,,,,,,241.23922158032656,142.65376944094896,72.32685163617134,52.76366835460067,165.95584768801928,,303.14307920634747,238.3139556273818,78.01141496747732,265.20729400217533,262.7665925770998,12.09943424910307,101.38821918517351,106.50818543508649,410.3634737432003,228.73539365828037,228.47755383700132,350.91722775250673,137.05490697175264,98.11672419309616,441.18855968117714,83.42063743621111,9.821069054305553,182.43773989379406,128.79502307623625,45.91405764222145,225.44452138245106,70.48789169639349,94.91786099970341,54.37589576467872
6,Southampton,151.13716107597085,38,165.2890456840396,224.52747635543346,236.32734287530184,185.39299070835114,233.6387412622571,62.87646517157554,133.6401268839836,74.37037751078606,,188.57691772282124,,,,,,,,,,34.88713949918747,87.00248040258884,302.92571503669024,69.40251998603344,71.62981610745192,,113.06013036519289,78.69741693139076,245.02307334914804,151.19242649525404,148.43387668952346,98.13211336731909,273.93958047032356,82.51237869262695,194.74571235477924,202.71853897720575,196.71000204980373,309.81037784367794,74.22811659052968,92.01774951070547,45.73337621986866,137.6953087747097,127.0442013628781,116.25578990206122,218.02082508802414,157.65888020396233,76.96160096675158,209.2407390475273,214.1408383846283,108.75191204249859
7,Wolves,145.06874431757942,38,16.45607966929674,152.75098690763116,128.67501163855195,292.08374582231045,32.69086629152298,98.51656667888165,70.35488225519657,71.50015765801072,,106.43282392993571,,,,,,,,,,90.86182229220867,269.1329397261143,369.81254406273365,114.49131136760116,154.21067979186773,,185.44207215309143,217.72044952958822,207.98816718161106,123.25241528451443,36.37643065303564,239.40498735755682,181.73485938459635,72.03825283795595,189.62498176842928,182.23749697208405,128.70385637506843,127.64991410076618,210.3806421160698,151.48660354316235,193.25524177402258,88.74950557947157,119.27186213433744,116.36286247521639,175.57239551097155,152.0583586767316,200.17250142991546,133.127551805228,30.7355972006917,81.2948601320386
8,Everton,143.07525661210283,38,174.6987359598279,62.48139590024948,94.44342907518148,28.656057827174664,68.20061849430203,40.376213286072016,117.66647351905704,65.49119390547276,,63.92398029565811,,,,,,,,,,44.59215998649597,244.69114625826478,272.7795569226146,283.38330537080765,296.230898052454,,205.25412652641535,195.4731710255146,202.53300424665213,86.45865079015493,287.94988729059696,147.52142801880836,48.65230955183506,27.908816561102867,204.1091039776802,176.45343150943518,124.9861938878894,81.26933397725224,210.42861081659794,115.53235072642565,104.92303110659122,229.8820946365595,133.667553961277,236.27034574747086,126.53036247938871,151.52766536921263,148.84179653599858,125.6678672041744,83.29132422804834,124.11212623119354
9,Arsenal,135.56868310429547,38,195.28180323541162,73.71371453627944,131.51592016220096,69.26934812217951,129.0228950791061,128.27300876379013,176.4962062239647,230.84881752729416,69.76141948252916,49.675871431827545,,,,,,,,,,155.9735837392509,,133.56732837855816,302.25744768977165,148.02504405379295,,56.807662546634674,122.88198815658687,168.97787414491177,194.76689100265503,78.52138355374336,145.131741091609,89.02281476184724,28.160971589386463,179.18142899870872,96.53770793229342,202.56558619439602,161.79230064153668,103.52114010602236,103.14385052770376,157.15987961739302,94.97353145852685,124.10904876887797,171.6124501079321,256.6419705748558,100.61551239341499,193.21654047816992,98.55416603386402,116.72230176627636,113.30880708992481
10,Spurs,132.44190084208785,38,31.030242890119553,76.69221200048923,199.65806119143963,181.8455507978797,47.92740223929287,51.182807609438896,101.52352973818779,224.12504255771637,,53.485238924622536,,,,,,,,,,113.66856750100851,194.14985291659832,26.58785954117775,434.3211870640516,42.02931895852088,,232.9588670283556,176.6970867291093,110.58415584266186,108.22402834892273,182.18874149024487,103.17407958209515,27.666719630360603,98.92054218798876,239.68399427831173,54.231526888906956,297.04277692362666,221.23407870531082,151.03971697390077,24.339256994426247,137.40125624462962,89.1617126762867,47.85038307309151,119.00841733440757,133.73453728854656,104.94440477341413,202.70053036510944,126.12380441278219,7.454203255474567,258.20053704082966
