,Teams,Threat allowed av,Matches,Threat allowed GW47 7 - average,Threat allowed GW46 7 - average,Threat allowed GW45 7 - average,Threat allowed GW44 7 - average,Threat allowed GW43 7 - average,Threat allowed GW42 7 - average,Threat allowed GW41 7 - average,Threat allowed GW40 7 - average,Threat allowed GW39* 7 - average,Threat allowed GW39 7 - average,Threat allowed GW38 7 - average,Threat allowed GW37 7 - average,Threat allowed GW36 7 - average,Threat allowed GW35 7 - average,Threat allowed GW34 7 - average,Threat allowed GW33 7 - average,Threat allowed GW32 7 - average,Threat allowed GW31 7 - average,Threat allowed GW30 7 - average,Threat allowed GW29 7 - average,Threat allowed GW28 7 - average,Threat allowed GW27 7 - average,Threat allowed GW26 7 - average,Threat allowed GW25 7 - average,Threat allowed GW24* 7 - average,Threat allowed GW24 7 - average,Threat allowed GW23 7 - average,Threat allowed GW22 7 - average,Threat allowed GW21 7 - average,Threat allowed GW20 7 - average,Threat allowed GW19 7 - average,Threat allowed GW18 7 - average,Threat allowed GW17 7 - average,Threat allowed GW16 7 - average,Threat allowed GW15 7 - average,Threat allowed GW14 7 - average,Threat allowed GW13 7 - average,Threat allowed GW12 7 - average,Threat allowed GW11 7 - average,Threat allowed GW10 7 - average,Threat allowed GW9 7 - average,Threat allowed GW8 7 - average,Threat allowed GW7 7 - average,Threat allowed GW47 color,Threat allowed GW47,Threat allowed GW46 color,Threat allowed GW46,Threat allowed GW45 color,Threat allowed GW45,Threat allowed GW44 color,Threat allowed GW44,Threat allowed GW43 color,Threat allowed GW43,Threat allowed GW42 color,Threat allowed GW42,Threat allowed GW41 color,Threat allowed GW41,Threat allowed GW40 color,Threat allowed GW40,Threat allowed GW39* color,Threat allowed GW39*,Threat allowed GW39 color,Threat allowed GW39,Threat allowed GW38 color,Threat allowed GW38,Threat allowed GW37 color,Threat allowed GW37,Threat allowed GW36 color,Threat allowed GW36,Threat allowed GW35 color,Threat allowed GW35,Threat allowed GW34 color,Threat allowed GW34,Threat allowed GW33 color,Threat allowed GW33,Threat allowed GW32 color,Threat allowed GW32,Threat allowed GW31 color,Threat allowed GW31,Threat allowed GW30 color,Threat allowed GW30,Threat allowed GW29 color,Threat allowed GW29,Threat allowed GW28 color,Threat allowed GW28,Threat allowed GW27 color,Threat allowed GW27,Threat allowed GW26 color,Threat allowed GW26,Threat allowed GW25 color,Threat allowed GW25,Threat allowed GW24* color,Threat allowed GW24*,Threat allowed GW24 color,Threat allowed GW24,Threat allowed GW23 color,Threat allowed GW23,Threat allowed GW22 color,Threat allowed GW22,Threat allowed GW21 color,Threat allowed GW21,Threat allowed GW20 color,Threat allowed GW20,Threat allowed GW19 color,Threat allowed GW19,Threat allowed GW18 color,Threat allowed GW18,Threat allowed GW17 color,Threat allowed GW17,Threat allowed GW16 color,Threat allowed GW16,Threat allowed GW15 color,Threat allowed GW15,Threat allowed GW14 color,Threat allowed GW14,Threat allowed GW13 color,Threat allowed GW13,Threat allowed GW12 color,Threat allowed GW12,Threat allowed GW11 color,Threat allowed GW11,Threat allowed GW10 color,Threat allowed GW10,Threat allowed GW9 color,Threat allowed GW9,Threat allowed GW8 color,Threat allowed GW8,Threat allowed GW7 color,Threat allowed GW7,Threat allowed GW6 color,Threat allowed GW6,Threat allowed GW5 color,Threat allowed GW5,Threat allowed GW4 color,Threat allowed GW4,Threat allowed GW3 color,Threat allowed GW3,Threat allowed GW2 color,Threat allowed GW2,Threat allowed GW1 color,Threat allowed GW1
1,Norwich,192.83495647587665,38,226.0249042617423,184.285211642938,185.17765660903282,158.70169864169188,122.26146877344165,164.73184211977892,182.35612157732248,171.26615946846348,195.19011277173246,195.19011277173246,176.226236751037,176.226236751037,176.226236751037,176.226236751037,176.226236751037,176.226236751037,176.226236751037,176.226236751037,176.226236751037,176.226236751037,203.89308708586864,202.0705498222794,175.267149454781,154.08783395375525,165.92617508556162,165.92617508556162,147.8617920008089,150.0703839452139,134.25080524757504,144.63217347594244,130.21511525980063,140.30055905293142,152.26648411314403,201.5127519145608,200.97925122827291,231.72943043921674,228.57675368764572,251.15430058379258,265.22807542766844,258.98533553949426,221.7520308281694,225.2775797886508,197.5121439567634,red,357.669042237103,red,182.3298029601574,red,305.1193432882428,red,397.7353785187006,green,72.5199306383729,green,90.30462596565485,pink,176.4962062239647,green,65.49119390547276,white,,red,188.57691772282124,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,119.7876375168562,light green,142.65376944094896,red,369.81254406273365,red,213.6745821684599,green,98.86647146195173,white,,red,232.9588670283556,green,55.82978557795286,red,313.4555898606777,light green,129.89600859582424,red,182.18874149024487,green,65.41937366127968,red,181.73485938459635,green,106.50818543508649,green,71.28992918878794,red,202.71853897720575,red,202.56558619439602,green,81.26933397725224,light green,136.01748021319509,red,265.49633480608463,red,451.2320600450039,green,67.55542438477278,red,417.96979345381266,red,180.49684893339872,red,239.31216225028038,red,234.53390412032604,red,221.79715558886528,red,190.5989270657301,green,92.23426710814238,red,223.61174263060093
2,Aston Villa,190.9676813410203,38,115.68043824019176,113.97104617208242,119.72784366724747,109.60605226989303,130.03982582262583,132.3818592088563,178.94628053264958,208.320730392422,225.1198705951018,227.4080315737852,278.241391479969,278.241391479969,278.241391479969,278.241391479969,278.241391479969,278.241391479969,278.241391479969,278.241391479969,278.241391479969,278.241391479969,277.69907458818386,277.69907458818386,281.155416715358,239.8441812821797,239.553259738854,239.553259738854,240.2711176446506,280.31898191464796,254.39275998089994,246.87291848074113,210.11062200580324,219.43035101784128,214.6177429439766,234.09322247441327,194.38096250274353,192.77935822361283,190.2243354224733,216.91832627568925,194.51078635507398,180.41727751759547,151.9229564084006,156.26576939996863,166.47589967053915,green,78.14651597291231,green,73.71371453627944,green,94.44342907518148,green,98.20280671119689,red,286.53148133307695,green,108.3702377974987,green,70.35488225519657,green,66.18077149614692,green,114.01129700243473,green,23.590889293700457,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,241.23922158032656,white,,red,302.92571503669024,red,434.3211870640516,red,275.97603127360344,white,,red,183.77475291490555,light green,130.02842385321856,red,379.4244086369872,red,237.4430033378303,red,327.1201099269092,light green,145.1425390318036,red,273.93958047032356,red,188.79975825548172,red,410.3634737432003,red,197.94085510075092,red,184.80411283671856,green,69.78403460234404,red,210.3806421160698,red,240.2513239532709,red,325.1281149685383,light green,132.3776539415121,red,186.72962514683604,pink,166.91895322874188,red,256.6419705748558,green,53.527862671762705,light green,141.5967620909214,light green,125.6678672041744,pink,162.77734488248825,red,258.20053704082966
3,West Ham,181.18805856394926,38,111.92307086395365,129.5426185908062,130.6878598273865,137.12524751733457,140.79344748918498,161.779130675963,172.00546714344196,178.5155084516321,183.6392279714346,183.6392279714346,211.740693010922,211.740693010922,211.740693010922,211.740693010922,211.740693010922,211.740693010922,211.740693010922,211.740693010922,211.740693010922,211.740693010922,217.38349119467395,233.94119265888418,208.20984763226338,214.21858764120512,215.79229296850306,190.43819289654493,172.72938572402512,170.8385751449636,181.02299283657754,202.33201592096262,199.30540678490485,196.30496380850673,196.30496380850673,202.4285799557609,209.6715321897396,213.18332936082567,207.14894871094398,193.8049959817103,179.3652864838285,168.44366529424275,183.29650895403964,184.82267812692695,200.75935846460717,green,100.7882084697485,green,98.4161352738738,green,110.91186990961432,green,61.32508059963584,green,105.29054999351501,light green,149.12105724215508,pink,157.60859455913302,red,224.12504255771637,white,,green,106.43282392993571,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,155.9735837392509,green,87.00248040258884,red,252.19033230096102,red,220.70541251450777,red,203.17888371646404,red,259.9910791963339,red,303.14307920634747,red,195.4731710255146,red,202.9063906520605,green,72.07091711461544,red,262.7665925770998,red,214.19482100754976,white,,green,82.51237869262695,pink,179.18142899870872,red,182.23749697208405,red,274.19731449335814,red,221.23407870531082,red,241.58032862469554,red,193.19172017276287,light green,125.3776917234063,red,229.8820946365595,red,206.82007716968656,red,231.95664994418624,light green,127.8264096006751,light green,140.50236213952303,green,116.7403718456626,red,229.3475973419845,red,240.56527884677052,red,318.37683953344816
4,Newcastle,178.77688108894387,38,189.3836347253195,198.8361298505749,194.76719767387425,171.22849457498108,135.35794948360748,113.48517153944287,126.66688323287028,142.38554312448417,154.1382048279047,154.1382048279047,175.32800805888004,175.32800805888004,175.32800805888004,175.32800805888004,175.32800805888004,175.32800805888004,175.32800805888004,175.32800805888004,175.32800805888004,175.32800805888004,200.05672629922628,229.1204476196851,245.17727720418148,230.51742371171713,210.0014893071992,210.0014893071992,201.19409465364046,199.666957876512,185.5508308591587,183.16389255757844,180.57821204087563,179.5180579913514,188.39343983147825,195.486708091838,200.80287304839916,199.1002437791654,189.66296006526267,168.78906445843833,183.22676718235016,176.1954501271248,166.60524478980474,163.4071166494063,165.70025006575244,green,56.81802872568369,green,85.58957241475582,red,199.65806119143963,red,312.85506039857864,red,328.66152580827475,red,209.9854658357799,light green,132.11772870272398,light green,122.98549460247159,white,,green,57.1070471778512,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,34.88713949918747,green,61.761244758963585,pink,175.55208019912243,red,302.25744768977165,red,242.14834794402122,white,,red,205.25412652641535,red,205.4356697946787,red,207.98816718161106,red,265.20729400217533,red,287.94988729059696,red,199.6384732425213,green,98.53680711239576,light green,143.60236395150423,red,194.74571235477924,green,109.17527806013823,red,248.49872589111328,red,269.85012367367744,red,192.2173948958516,pink,160.66447999328375,red,193.25524177402258,red,231.95886705070734,green,97.25687317550182,red,182.43773989379406,light green,123.73285442590714,red,293.2813139632344,green,111.44526060670614,light green,126.12380441278219,red,209.5719700679183,green,113.30880708992481
5,Bournemouth,169.08318205785594,38,168.95826657169633,154.21561252857958,133.40386907969202,148.64648412913084,154.07204698505146,191.50175090347017,184.28161067089863,173.1085475800293,192.71244423996126,192.71244423996126,206.60635971331172,206.60635971331172,206.60635971331172,206.60635971331172,206.60635971331172,206.60635971331172,206.60635971331172,206.60635971331172,206.60635971331172,206.60635971331172,213.1333526356944,217.24218023674828,188.1491260070886,178.4939831122756,159.80636889913254,159.80636889913254,159.03124324977398,177.76512572807925,149.65570068785124,158.8297079583364,161.88198853550213,175.05266409633415,182.1499588633222,162.74834885927183,124.61227257070797,136.85981528833508,113.03190860365119,125.94203874468803,113.6850666520851,136.73244275684868,171.90307791211777,189.72908120070184,200.73032392455,pink,174.6987359598279,red,224.52747635543346,green,82.75496922433376,pink,166.08399283140898,green,47.92740223929287,red,263.2587229833007,red,223.45656640827656,green,71.50015765801072,white,,green,78.8452722132206,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,189.45327457040548,red,204.06293282285333,red,309.93532966822386,red,212.71774135529995,light green,145.24512477219105,white,,red,208.72743427753448,pink,176.1026805266738,red,235.14222502708435,red,232.82472603023052,green,106.283950060606,light green,145.131741091609,green,14.431825280189512,red,203.30155473202467,red,307.2398578748107,green,38.37624974548817,red,297.04277692362666,light green,127.64991410076618,red,237.32647001743317,green,64.11288864910603,green,67.49028470367193,green,40.287323854863644,light green,124.10904876887797,light green,130.24743013083935,red,218.02082508802414,pink,151.52766536921263,red,225.44452138245106,red,313.68473079055553,pink,165.06934687495232,red,201.11774783581495
6,Watford,160.6952594078489,38,199.4841770668115,186.71917846160275,138.88927698135376,139.20515453709024,120.57810834209833,140.09185247123241,111.10245576128364,134.32970878535085,134.91491780483298,134.91491780483298,145.11542914967453,145.11542914967453,145.11542914967453,145.11542914967453,145.11542914967453,145.11542914967453,145.11542914967453,145.11542914967453,145.11542914967453,145.11542914967453,137.46315272791045,152.12733852011817,125.07844797468611,143.46642905314053,123.03095855084914,123.03095855084914,130.46564093923993,108.23386044108442,136.33252581847566,146.82646678494555,179.89691756665707,159.49632711708546,168.91804704708713,158.62081269068378,168.3475397527218,140.72424887812562,129.246086081756,182.2893686459533,187.78976357675023,171.3956847254719,209.60732204839587,208.76869512721896,215.93716211084808,red,195.28180323541162,red,440.1028176769614,green,83.39952807873487,pink,150.99243810400367,green,113.84573504328728,red,279.12679044529796,light green,133.6401268839836,green,105.92681299895048,white,,green,105.29350731521845,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,85.61067096889019,green,20.603114739060402,red,250.4419439472258,green,76.20101347565651,red,296.230898052454,white,,green,110.02327613532543,pink,176.6970867291093,green,32.04473601654172,light green,123.25241528451443,green,61.09971012920141,red,204.9168810248375,pink,153.18260453641415,pink,162.06605285406113,green,21.074623242020607,red,228.73539365828037,red,196.71000204980373,red,292.592865601182,green,62.11274787783623,red,219.13464404642582,green,89.98541235923767,green,89.1617126762867,green,35.3723575361073,green,116.36286247521639,red,663.8958435505629,green,100.61551239341499,green,104.37609208747745,red,357.46687361970544,green,83.29132422804834,green,85.55162642151117
7,Brighton,160.41803901622953,38,211.19486229228121,197.45568883206164,194.14887324507748,173.36808459034987,123.67025246577603,110.00536528549024,106.21934115354505,107.60441246841636,127.83510658357825,127.83510658357825,132.44710705642188,132.44710705642188,132.44710705642188,132.44710705642188,132.44710705642188,132.44710705642188,132.44710705642188,132.44710705642188,132.44710705642188,132.44710705642188,148.40013304991382,141.2626045622996,124.70586017838546,135.44433478798186,140.46712177140373,140.46712177140373,119.92012928905231,132.43149485705155,117.28930966928601,113.24516521500689,156.2229756531971,193.6693892681173,176.46578010171652,184.5282336031752,202.00198735775692,195.0466552350138,236.38801931270532,201.943684968033,154.74285849237017,181.21565733371037,196.11818703955836,165.96320632046886,168.72079627854484,light green,146.87415938824415,green,92.90912859141827,red,236.32734287530184,red,565.0440320372581,red,261.6239756345749,green,54.506926238536835,light green,121.07847128063439,green,50.69994516670704,white,,green,69.76141948252916,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,90.86182229220867,red,217.15920716524124,pink,165.96976537257433,green,28.004757314920425,light green,130.77397048473358,white,,red,192.3148039728403,green,102.04542279243469,red,202.53300424665213,pink,167.19650775194168,green,50.07255468517542,green,103.17407958209515,pink,165.93347936868668,green,48.48585659638047,red,189.62498176842928,green,96.53770793229342,light green,138.88749657198787,red,350.91722775250673,red,365.2989748865366,green,45.508215203881264,green,104.92303110659122,red,311.94125805050135,green,47.85038307309151,red,428.2770451158285,green,109.8068873398006,green,34.89318955689669,red,230.81780709326267,red,209.2407390475273,green,100.85639301687479,green,67.15351277962327
8,Crystal Palace,153.27967711920408,38,152.34648568023528,185.10606484487653,168.47930897825532,147.6890295211758,148.96652662594403,113.35170346179179,122.30894244941217,129.607664514333,108.56664070327368,108.56664070327368,138.79644048533268,138.79644048533268,138.79644048533268,138.79644048533268,138.79644048533268,138.79644048533268,138.79644048533268,138.79644048533268,138.79644048533268,138.79644048533268,156.5195500052401,155.6373244018427,174.49223983234592,145.38516999621476,143.15017932759864,143.15017932759864,163.41690169647336,150.43975717521138,131.19718502940876,134.43647986277938,137.66891794013125,174.26227033138275,178.07369297370315,164.10693478371417,199.12184633846795,211.87862160482578,194.16452875094754,194.80902193380254,161.83146786476885,152.15107814541884,162.2601241272475,131.26755766570568,131.34396198604787,green,31.030242890119553,pink,152.75098690763116,red,190.4480637051165,pink,169.76959705352783,red,265.75323082506657,red,220.68263245746493,green,35.99064592272043,red,260.34729704260826,white,,green,36.363695841282606,white,,white,,white,,white,,white,,white,,white,,white,,white,,green,44.91610750555992,pink,178.71207678690553,green,16.449468676000834,red,283.38330537080765,green,87.08170037716627,white,,green,113.06013036519289,red,247.9722943156958,pink,168.97787414491177,pink,172.5364975631237,light green,148.43387668952346,green,79.6338165178895,green,71.4367656968534,red,254.92718694731593,pink,157.132282666862,green,34.27986912429333,red,195.21156139671803,pink,171.06094323098662,red,335.78728325664997,green,98.11672419309616,pink,157.15987961739302,red,402.2366635501385,light green,123.57729598879813,green,71.21291141957045,pink,175.57239551097155,green,104.94440477341413,green,30.35399615764618,red,227.9232014901936,red,185.2886983193457,light green,124.11212623119354
9,Arsenal,152.936662471314,38,153.96446074758256,107.55496945764337,108.93915398046374,116.73088719003967,114.07395456252354,138.72269121930003,141.31491257409965,171.22635419613547,208.9751284436456,216.4395619849009,181.02889710239,181.02889710239,181.02889710239,181.02889710239,181.02889710239,181.02889710239,181.02889710239,181.02889710239,181.02889710239,181.02889710239,167.93022230267525,167.93022230267525,150.34251198438662,155.88546742552094,130.72619812030877,130.72619812030877,106.57501216711742,96.98020384779998,114.46269898276243,115.87008577106255,138.7479133637888,136.11821375255073,150.8088271798832,151.9999949261546,157.34106956848078,145.08864170472538,149.6590235802744,129.90692762125815,150.92042958629983,158.236704846578,172.65519225703818,179.8561912562166,175.5216707076345,red,399.23681654036045,green,57.408019714057446,red,225.1187678426504,red,181.8455507978797,green,100.2384003251791,green,98.51656667888165,green,15.387103334069252,green,74.37037751078606,green,67.09731137380004,red,279.6609003096819,white,,white,,white,,white,,white,,white,,white,,white,,white,,pink,163.24702240526676,white,,red,272.7795569226146,green,116.66211616247892,red,224.76719468832016,white,,red,338.6117972433567,green,119.3483461625874,green,31.78624613210559,green,71.55629880726337,light green,149.66558469459414,pink,155.46280425041914,green,48.65230955183506,pink,169.55349557101727,green,52.1846879273653,pink,154.16371207684278,green,81.40800632536411,red,309.81037784367794,light green,137.05490697175264,pink,151.48660354316235,pink,177.8916697949171,green,89.57221042364836,green,68.39671703055501,green,113.40067945420742,pink,171.5457061305642,red,284.14942072704434,red,202.70053036510944,red,278.8210816681385,light green,139.97920341789722,green,38.05507319048047
10,Southampton,150.48019579415651,38,123.5406469553709,136.36884045388018,137.39476595073938,174.00036635143417,192.33632061098302,189.34123653120227,153.19699508004956,203.22658120255386,179.8851689456829,179.8851689456829,201.63191950746946,201.63191950746946,201.63191950746946,201.63191950746946,201.63191950746946,201.63191950746946,201.63191950746946,201.63191950746946,201.63191950746946,201.63191950746946,166.44560167832034,142.09449810108967,137.31573753591096,136.84822983507598,94.75731288215944,94.75731288215944,98.02375475742987,82.91074308965888,84.64181569537946,76.38130903776202,97.52539398946932,115.3012953432543,150.23500413766928,200.35850911268167,197.04710021615028,214.91455345281534,224.71568710835916,220.14145756672536,216.94225601053662,196.04432421869464,147.37547028011508,156.43835811476623,138.6844946869782,light green,141.05146303772926,green,58.31171711906791,green,68.07643696665764,pink,150.33007357269526,green,68.20061849430203,red,342.279545404017,green,36.53467409312725,red,230.84881752729416,white,,green,65.49319559708238,white,,white,,white,,white,,white,,white,,white,,white,,white,,red,324.3156397715211,red,278.68175338953733,green,47.23502993583679,green,89.26985524594785,red,386.74177695065737,white,,green,67.4589317291975,red,217.72044952958822,green,78.01141496747732,green,108.22402834892273,green,13.783705979585648,green,85.99730134010315,green,92.10535828024149,green,90.32402485609055,green,111.92936785519123,green,90.12892320752144,green,50.4004817456007,pink,161.79230064153668,red,210.42861081659794,red,336.64131984114647,red,441.18855968117714,green,88.74950557947157,red,215.20109586417675,green,119.00841733440757,light green,129.77269385010004,red,188.0341999232769,red,190.35579729825258,green,100.50658211112022,pink,152.1897204220295,green,90.92405186966062
