,Teams,xA av adj,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,200.9054842303468,38,195.40244969803985,179.89081446503332,60.06112539412843,492.20321828615283,257.13107766936656,251.69365450581049,241.21204032773122,85.42205427845502,193.96612022759638,155.79009145954464,,,,,,,,,,85.98597039599782,,174.84829493893628,145.25934609515934,171.25626983064137,,211.6886736724751,205.00886791545807,213.03791483923695,197.301821280757,91.91665981983529,70.65026910918964,316.58363232313275,122.79584351069894,251.2595015305026,200.71292999102585,105.81385929830947,72.76019286651511,166.6567048630614,233.6531875576736,139.4627921481403,374.73276967846743,184.43133326487705,316.3997822568393,437.72187715072334,150.11656692745504,200.9759114633457,252.46502827165415,239.80310890599551,188.33664453521263
2,Liverpool,153.45213916714266,38,30.71328813905504,173.09664111593156,177.43438984523814,168.68006914352134,189.58865606577623,80.98999926635939,87.77231779142188,151.67484810728732,,52.73887730626331,,,,,,,,,,150.91574483579888,14.513200283934301,138.66968906484743,89.93886423604296,317.69137247938164,101.10018551695654,106.96897145603293,280.4439366728377,158.9876951739642,276.0053748521109,203.4580620090712,294.65467136530856,,88.19669830599683,244.81746403333682,266.175796125178,61.9876414718277,92.99400345262613,168.39643247771983,152.8188520800734,123.97015762531616,142.5322988759132,257.4840217116333,120.46461551444702,135.74008468986514,174.20014160975273,101.66273979778104,163.22345686385455,136.48646002042247,153.99356896853385
3,Chelsea,139.7046536621317,38,138.3907930882417,262.88222899521304,179.04512722462297,108.27620447268822,234.9442568658403,104.27181167368076,56.04782718811576,190.86541164185368,,78.96423541736716,,,,,,,,,,206.73353428081603,108.56880080548372,64.05604740429031,91.22779943621192,68.34604817876524,,195.28646579064616,126.7349559781634,188.21011618945883,59.462287608254876,131.88907687118098,76.88437557812742,61.1197652292186,128.88643238601503,128.62048150800013,126.60727982526859,105.63398103584073,101.59624656664921,183.92311610065832,145.49402345083337,71.78163864869984,132.55808224293287,189.6897249302129,261.1062568557503,159.7623963554546,339.34774180547134,137.0045306194627,131.0305886207592,124.87830351446189,108.64884477629484
4,Leicester,114.52373973942863,38,87.01754487390168,75.71554520746254,270.3368856454294,49.09422964918615,90.20368214204315,183.61198752933544,136.50276216805614,30.663142578952083,,86.05645430454727,,,,,,,,,,119.09694334642097,65.76211056788406,77.23402123062604,57.30733186511784,203.53401105302586,,164.80236510163613,146.26309376878692,74.91791018622487,136.86578909244528,133.2470228088887,14.039208809486949,148.3135529959048,62.457958361813226,284.9871842908924,117.21240721350374,225.79960750986928,208.86742574518783,106.791058741064,78.47853322114058,231.30255992971877,65.61432283660366,9.280539122697489,138.52557768691312,71.41868630553873,34.443164750557685,181.19816246586726,60.47731195318158,71.31804550811539,53.14396953026087
5,Everton,107.05707595513088,38,144.7201666877407,64.099543533312,70.48030692797585,41.117307359870765,44.69773028299721,21.341326886206048,45.90994058510338,42.46778765389122,,61.79883597411126,,,,,,,,,,49.12148209684871,215.8651248199181,245.5567982246266,127.10621289817303,163.03394068760971,,152.86939279540286,144.4099075458921,146.86097978480703,30.486320983878016,167.90390269021302,129.66383113936104,30.25950475213216,17.354373367243852,151.67027710831866,129.79286235806939,142.73145374134654,41.817463686407336,173.5978797278865,68.06644717137479,86.09395847680166,110.7670290100395,118.31254617995316,315.28971481738824,103.23619549204588,97.6133593292926,181.75331130915356,88.07703975541673,66.13813192632095,36.08649852784416
6,Man Utd,106.91709281335937,38,31.209883484678496,66.85467919968346,114.26419408641831,109.81317062177779,142.32311629245527,137.01118193810012,93.9571892587595,262.775822621374,,64.40908240407815,,,,,,,,,,80.1887224605471,53.46577327672571,110.91879755668981,77.5418276098216,86.67441955924342,,107.20361337075117,174.74925200861895,116.40107131087885,59.594043041731815,150.89737145410675,104.93090163456858,124.20706603180115,79.45193402786066,127.65856469411369,57.37089890703836,76.61679996018978,126.19123381544766,237.9569770184834,50.84690836309408,175.05933397810236,108.58721052132042,73.27148680641095,84.59883001210524,97.26249158265706,24.11170264306191,163.9743895052912,73.32225433928757,30.176098432200984,207.0012330781804
7,Wolves,103.14824078760661,38,19.796069228715318,118.09029918890867,111.01433037468662,211.9357886939911,24.27323840693707,86.42638476243289,28.82253520063796,54.28796666822385,,84.18099408632105,,,,,,,,,,45.30854816236057,112.5745931784462,147.94836479718526,104.18940572467106,169.94864535499087,,246.81095433601797,120.54188495674147,79.34480228137157,100.21730761131656,30.38523568687332,342.86477630308315,102.9035387718692,51.943133571118565,148.3080880971585,142.2696328723156,78.98381323852882,99.57031278755966,66.34394034399703,108.1048404674962,115.75623854255652,5.503995553310843,152.129148997551,104.64492613072628,159.21132380616257,29.223644899650964,146.0386250430846,41.95722178348051,34.941677789788564,92.83692222878315
8,Southampton,100.17190724789533,38,35.48164374799137,117.94672138584305,136.5066490185516,243.20441642316638,141.52344140988023,71.87860500324476,90.61449397786717,45.24606444268774,,115.49980790579288,,,,,,,,,,25.4539780795436,63.284791096432215,135.4437472772415,59.36008865180091,61.36280456117794,,106.59375472822975,88.1976261184777,205.65065278272905,141.46572243451214,87.03340296143296,66.20748093383828,101.00787742151294,35.65786220373637,100.27329775255009,143.28240121999585,158.38993824250167,152.5877235251354,3.187806055215814,7.605637306166752,45.07885778118037,98.62613485450446,31.611776647915633,54.67045407441459,68.55510580677088,154.57797911058955,100.91204786386196,178.01415248207596,246.5006077011328,88.03692243032059
9,West Ham,99.40510560100226,38,11.309711104381549,52.96137092705356,36.398490675623336,271.1675414022884,148.8543341760264,154.09399100364672,207.38338997154375,83.64237925396623,,60.96410630625993,,,,,,,,,,144.65437994053755,260.64421220263364,66.77890954818218,13.105361634085051,105.86807818946781,100.82351806009618,28.33757278614858,175.96971672587426,45.680099834495614,126.28348364179965,75.05279169519962,72.92974864273823,,80.4552391722978,30.917503875773576,70.48384676456915,147.64078321578467,62.474409714042515,44.04396850944431,62.702738445791184,256.632313997656,39.80131087956969,104.11818878171354,91.18157473747512,46.40667100836575,37.76967831865897,122.7555925781617,168.823893374379,88.21212159267556,80.07099014967939
10,Sheffield Utd,97.95614441041862,38,135.45813899430132,43.63673581760327,65.95414371239707,117.05621873066451,55.18420326423642,117.83565094691876,161.0299223824504,15.39255951265989,46.162061840715246,15.373706668478462,,,,,,,,,,63.29368835728582,,137.0408883188073,99.19048318626038,56.26559881173747,,98.57795790549733,92.98703320891862,149.42185165694357,81.27829027155738,174.4693574248996,105.46965050559358,58.277420420683086,131.09415549466317,41.03329954529963,64.27108812760542,195.45133711601738,164.99278609603266,73.28460199801168,250.03690936271713,90.64069497051874,81.51052397490218,17.02036247733506,133.28399585017635,56.37355372666226,177.08223062573737,133.9568643884362,61.00978302470001,103.17146372279585,58.76427515568693
