,Teams,xG av adj,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,267.3151270983637,38,268.0417500274188,395.78373368485535,70.72948994150723,509.02128890948455,265.6711330074728,328.70662407692816,363.9851197406583,91.00824911237193,276.0117608250691,264.25730417727476,,,,,,,,,,85.98597198761321,,277.21396612190597,176.03145124456725,328.11654445657246,,294.74076202603345,233.78973598537485,287.12581965632006,199.47485213138512,111.44131321190827,284.3386410437963,410.1284106634782,160.21456558215672,296.1116818440504,260.10195538043706,200.87212184646688,163.72813173158931,203.46795598202442,323.29197948176903,246.03761481505165,379.23108964464905,232.2805975439705,344.9147423565366,597.0404305185918,175.76270428096257,207.93278224045756,268.10185804203127,323.3479248205138,253.93277159456883
2,Chelsea,206.77940098953593,38,166.35397187323085,359.7440136384557,228.66033423150253,122.40920665443497,250.55370739423793,251.01825949907646,125.70634001573058,669.1541844570563,,86.276966786351,,,,,,,,,,225.1376259281456,174.40967339861476,185.73428036466385,133.89951468051075,92.15702471067713,,319.96121232201284,166.06241640325038,294.0556410721116,150.61938017504127,141.42207185814388,82.58712208427472,150.34201656533128,173.7589344215877,140.00512263559324,149.78986319947492,218.69582013289343,120.02129599811748,316.58222349580234,197.06742178609852,100.33167180222533,187.50224830526736,206.66740583540215,385.8144164963586,169.10924165308114,440.2125081815221,236.5510647819679,142.83727113899758,140.03994967562798,156.36581394949252
3,Liverpool,201.3938112919086,38,45.92843664825302,191.32044758909913,212.7193277427529,224.37206518726276,235.68459400762896,82.0081487791871,120.25689140688985,245.45696126280794,,73.1423099895829,,,,,,,,,,161.92300720683372,18.52834689858353,201.14336879649335,160.13046190014978,371.4057284402103,207.36513192019459,230.60751407202815,285.76347341645993,175.69481555336358,355.9294288664903,213.97188313674846,430.49516713158954,,145.74573241934777,262.5935172337257,268.08436435427086,125.11713868313761,161.2772623076472,194.8334036961431,181.80790888336756,220.50914931113402,146.98914055356224,428.0899702088635,202.1829715452408,135.7400837080085,237.07179834607567,121.87892416324182,263.4637423673602,146.15471444572555,167.577496913065
4,Man Utd,172.70374164694786,38,161.040154832134,78.49528890462919,179.55555339525193,144.36881094658884,216.8299786791296,225.00346956550158,109.07383498635843,291.51873378212935,,178.45600383727304,,,,,,,,,,254.37138897854558,133.19706218069402,225.2220246394371,89.85120727271217,170.98171477368055,,143.8093434724226,194.79856358163832,234.9076239213222,67.61501017400651,216.62551336700662,161.37629510416923,137.7568620873803,164.8610518182903,239.00449822773027,148.63981704869795,139.8487581880078,136.5109662633251,329.0804689390956,54.79636999846185,338.159070984851,108.58721511892726,78.61687986068834,107.15462122612162,101.95249918445123,126.02355910059345,182.80733495051066,214.88733347562905,164.0495233039877,312.9077764126395
5,Leicester,154.91900934472346,38,107.47627943657625,122.92449627289311,313.82403100081973,141.94961596288442,94.7173144892334,208.0608824512641,200.2645807497997,45.673168767661124,,94.69027641758795,,,,,,,,,,182.55549103530092,106.90655744147969,105.80176150366788,75.70824976542366,218.70087804619814,,241.78254424971303,241.92987419728462,74.91791197500775,214.37837028878644,209.57884132948615,16.59182898702811,148.31355081612085,79.81859497177335,310.5386634950538,205.70135998174607,253.53966303597807,316.12463709615093,129.50598457101754,92.50502403163777,423.6934516872247,84.68637208957887,13.467530370761844,147.47220850298442,129.62933804770077,65.38865865624602,192.68421167872597,72.31339342024576,125.08519484005343,78.02156343839552
6,Southampton,152.40072352961687,38,169.56971617323154,191.90042639522812,212.89606093389853,264.02804738262375,259.2669902884329,91.97746924946703,120.18234436091338,70.2740906929926,,141.32195150312648,,,,,,,,,,28.20076324828386,69.39192252993801,229.23615941667623,70.4555588655858,98.2252256393901,,106.59375516725795,112.91943647462311,279.81089839468234,152.1718285092773,139.94433103219808,129.3210191562964,207.30117722632616,65.81068221854171,157.42126773860116,151.91986315223525,176.9009784472062,292.7461621000828,82.37033070471527,134.6061630998331,52.22649814888523,197.57289728574918,167.42211121702633,117.0088775891321,186.3392845123332,161.74194398508087,109.60512125648954,188.49502807477222,293.649115856798,110.40199609750776
7,Everton,146.1274306102077,38,149.31251384274984,64.09954467984247,71.46916847489702,41.11730762713347,65.49615764727915,40.63776438044679,134.37249486861816,49.079937464006015,,87.65829272673119,,,,,,,,,,58.76469361511541,348.47771380968106,257.7549820772927,267.17544525743597,266.39995508975693,,165.91566723432717,155.9065796482765,182.45234888445498,126.47415647018344,232.7621787117649,149.75975883593358,45.9725623064552,39.746434389096315,268.98021901016745,241.96876477888665,142.7314526777969,60.904277223928354,202.08417125562164,116.28075208229549,94.52016745952528,183.35064044410106,135.69568105643452,345.6229354059346,129.8072571242259,129.50853083563672,213.56649867387776,95.09796563979607,74.90374967498987,117.01364180319896
8,Wolves,145.20322023456393,38,21.686244401818715,144.01452791002436,130.62738728873748,324.12293133576907,33.537497270733446,93.0903186628292,53.240389322644084,61.11016328432649,,84.88928405964006,,,,,,,,,,81.85309334051138,270.8763428139404,277.14224544755484,130.7465303339163,219.6196550658471,,254.29479468366924,209.08685581227923,168.12570893838128,110.84069255559112,49.88262294977931,350.2083776936496,136.1944255665884,72.50490590750256,170.82412547778011,145.3499970738809,132.03704035922132,109.10055794896695,159.20355394213024,143.14278981065624,156.21645678018396,85.23018906400077,174.47424886008113,104.64492914585891,165.53068602322367,200.38641012145368,222.1297790933829,135.14748549090305,43.7722034853172,92.83692159065336
9,Arsenal,136.80064586014532,38,175.61660162319936,55.78215376858072,180.34642045884405,69.71806463949177,147.34127562804503,184.05325650191702,132.26851195611846,221.69462505268694,62.84474421067904,72.6672678655435,,,,,,,,,,124.40227898639128,,148.21856616109824,244.3275901863011,150.27101619669875,,74.8625965989268,126.06439687688797,159.31333253469953,277.37791881847505,103.47749577881075,124.04202572906014,98.78788562895477,41.19466467031681,142.91252137119537,86.96622870768267,151.8052383825894,155.37650922944928,118.21883882189339,147.996540821219,148.17125786022922,97.43316447102549,106.07423093533335,244.40244442587874,194.21137513063863,90.48336334649473,194.46816844177604,135.14630809405514,118.49331990647453,91.59234286785993
10,West Ham,130.54174402183693,38,59.136634178628995,183.88208191005927,75.00105721837222,298.06797434623246,207.31002341764938,169.740210651359,277.3979093425242,83.64237962890844,,63.43061469108634,,,,,,,,,,154.25545011123418,267.63077016590773,87.52057728870888,13.105361634085053,117.8080489974287,120.44600697125007,132.75950726526546,186.9116276131865,92.8201785626728,198.9919671560598,89.3145243519161,75.07923008335348,,86.74227157933356,49.31037887580066,72.02644269809689,147.6407792883581,66.57339651641918,48.14771727799375,129.87195361215439,259.44248920041855,50.947321243324154,116.50940070839572,111.32061779122162,73.16725072562191,40.50670197864169,166.21762219983367,321.4693663100025,90.85672665741205,175.5837005808852
