,Teams,Opponent xG av adj,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Wolves,99.47494204565938,38,82.41308378349113,69.97363732736076,168.0795008223529,28.944014597275604,55.95590556078447,136.7359654493775,47.8371465616632,7.469880280772807,,48.78447982817323,,,,,,,,,,35.41191201248403,211.84514614953287,52.75382758128488,47.038965353001295,98.61971049728707,,115.85921823609009,75.24819289786834,27.507865009538715,119.9657813435216,107.50133274922075,104.76918802285383,185.09117774328405,107.93640274354257,111.06990172030629,55.395530344658,173.0228397886639,106.1738917549103,56.114785610814835,109.94888260587128,90.17953988615515,131.66026992784285,85.58755682593511,122.29717112488437,156.719132137732,218.08478577806954,150.33746643047664,134.6161128795644,94.62132554274511,48.47627082566386
2,Man City,101.6921036412095,38,116.49900136040617,14.77735528369719,201.08643460657197,17.15008864234659,32.269209908269865,60.12065661687027,59.26277718851892,325.1652114590949,3.3236657609369304,52.9532931770407,,,,,,,,,,143.9120644133479,,64.4796007233807,9.886592973544506,45.85997405394887,,91.02933227448091,93.28071199611864,133.47901077435756,87.32744977077427,144.88955092636905,238.48781726215725,90.38789527297969,30.01892350835876,135.21815830840174,53.29868316234951,31.04985063161791,58.32250772591122,96.01419475461151,87.98470947586323,127.46787807599898,100.69655468061192,118.8149268533324,238.64456086255746,38.62968239744189,254.71045808837346,98.71641744032567,228.49202713666963,8.133597601862151,132.45911321645988
3,Man Utd,105.84348421422398,38,67.27886388201493,142.4864746861543,90.96345800571268,177.26741322268433,71.01411562493773,185.21275761709086,35.55589954797002,12.695958061145102,,58.36001463105238,,,,,,,,,,31.92102073970361,247.1499796600458,33.05319206665194,66.83338597464345,153.61989250102027,,78.57459523120022,144.648963645538,40.445044810929076,207.61685669869073,42.35669135660688,156.578979799282,178.5038542272334,28.189264511157383,109.92708367330074,59.17432110869563,158.78515533805316,209.16524373099563,131.29515142349797,230.7453330368114,130.8220188590361,74.40358487396668,96.95766441607338,182.93477540432704,56.69581021750176,40.93251727937984,73.58845589968654,107.63375021462507,30.617847896770062,78.04701026632472
4,Liverpool,106.44887547843332,38,50.58796833118738,186.48143037083724,140.19283159138124,49.550440818148004,273.9410805007483,81.79320063723013,140.33317444903346,10.259257987039604,,64.5663346281678,,,,,,,,,,156.32743423529809,319.180261580732,70.43231408289314,56.09610712402219,68.49035749663105,96.92910234178562,184.73163614720437,117.56521177468004,120.66306672081242,74.54465747792047,36.23707109022706,10.78668118011644,,113.36859939414713,18.657339137032448,178.22656305869174,99.46911136194747,163.03911842748693,78.44635017485908,87.94031764266914,149.92434335130255,65.53476938822125,8.755511915324039,140.21370009183167,87.6615929016895,43.39827216663464,67.63169431311317,105.05638849178318,204.7552733290581,123.28870246857879
5,Chelsea,116.48718268262355,38,16.3930357689721,104.65712144126779,9.231616367249552,240.55556060593918,205.7370686255018,68.24219263962121,232.29304117732687,36.51141895593317,,225.6650564994102,,,,,,,,,,45.04025422328799,191.91712145667725,29.01114219604189,56.427164785567264,147.95012577710642,,60.55561226867585,133.14251622746772,88.82937635494687,186.62677480001557,83.7019205530073,93.83108727160882,30.188332236798807,146.30567027180305,206.1601397022757,102.08032490410984,123.63440555110824,65.6857644315631,76.23286453419018,165.22315588665919,245.2485758242698,29.384535251489282,121.4759892188565,70.65365233655544,74.25325731825397,151.47581701428263,122.9271182386676,158.13638314010458,84.61955194130725,196.5081961417755
6,Leicester,121.89429931218056,38,116.70751335692945,83.68212808666836,77.55259967283611,306.88978304924404,137.53532636162385,80.69217133627905,118.84887124689747,126.63185125123702,,112.91838499257477,,,,,,,,,,79.73854067581303,86.55382332037112,128.34039818436315,114.05269056805777,57.36434209344889,,128.2918216350271,170.30103329332,234.28397280026712,116.31385379282621,86.30886980228499,271.75403503808144,189.8751504753692,170.27753498076535,147.20543057135353,22.382381255748875,126.24214545374075,89.96530447607788,110.3510642904093,70.41728081514249,43.728931010069495,199.26062950756892,270.23573235150985,8.071262468177169,145.9234306466488,91.33061392266795,66.94138565669826,76.85997585085461,87.16969330512,80.98341626678845
7,Everton,131.15780554829112,38,176.74149108897288,55.028127606428974,180.2656304883744,290.9647612933022,223.3986038734242,55.847734085190375,160.88833456006796,56.098896572616525,,47.51510219310009,,,,,,,,,,144.21715657359303,99.33780443057277,142.37958378264636,137.95900942919735,103.01235200526432,,88.64216811717027,185.87669153823825,175.78383665037416,95.03677760590914,243.34362897355888,61.920323791064995,94.89619555036474,122.95267369731499,89.68354627087788,174.154411728036,203.68841049202922,265.1183425330319,70.97477723467296,26.557596504439367,132.1658194604687,50.66522418307163,61.22579430070141,164.32941452061925,59.673902922357115,170.80566150997143,199.40563255947438,101.49530225786367,133.37359471767093,138.57229573303007
8,Sheffield Utd,141.66392751547818,38,158.0446027139684,63.1092541026353,272.71231762941676,84.8166425687108,32.56562627340042,144.56171867806052,110.77663295599712,235.17141225546618,320.7812902896692,119.61951234571316,,,,,,,,,,398.8395796111403,,121.56732624725737,136.63069997078853,154.22829802815534,,151.8944479904894,130.98926616643752,99.84565293912537,250.10653562450102,57.431203737482726,66.85716247949232,49.11211678355783,115.32801924026832,85.68916046398033,79.5847291781106,128.21078674634964,110.12491824452503,164.80584680362944,78.50108108725554,279.0794537943825,101.2395175046706,161.72473471063304,142.07109183549727,127.80183096675039,150.7488592667843,163.90488639878146,62.84016253437114,38.461033872895115,233.45183354782014
9,Spurs,142.1136578343437,38,165.42633058437747,108.88222672498037,157.66853323829412,73.83947163020751,115.88984773415032,40.781942644830444,187.93763950948912,91.70924979191693,,146.7402385804217,,,,,,,,,,371.862330690749,268.10188065450393,131.1774125451487,203.14186970927602,172.35735708219767,,208.4017825377122,268.0224296444369,125.84039946834368,144.5658233424638,39.20959563084622,124.97459589760255,106.18113517407568,71.7622714060022,121.34317304008916,122.22307878285315,124.23363150997841,72.9940525091239,109.00269541116269,116.69330324676156,157.93840784852065,94.89948656025703,310.4098696959428,111.16042235123156,114.82114146056763,91.78742015849663,205.9642200466512,76.67800954211197,169.85243408673404,75.84328723255328
10,Burnley,143.19133510215133,38,159.34010063007634,84.34302782730262,128.18205251517406,159.32874119368324,225.35710723081425,191.87245996516168,169.75796695313292,55.53120109029036,,143.74524331290692,,,,,,,,,,124.02859921404827,167.0579550481481,212.0477377264587,66.36068139390348,157.79116358495844,,117.23825849197645,212.45759158661028,205.9020666922352,207.30499228063707,176.60047197801444,149.00382989659528,16.717280013346286,162.10783931410694,261.52938070679215,135.45951357493004,148.9290207400311,101.1225698153548,52.33914938920416,303.52170802517645,70.25370607904492,74.36974335665322,135.0107421045352,108.41319210661148,117.22963799610059,193.44246299677613,86.54738524941864,132.617534822135,124.42318750685394,103.98543147255147
