,Teams,Opponent xG av,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,98.79012150738977,38,79.64327149093151,13.186820223927498,166.6350271552801,14.958843775093555,21.642983239144087,62.87646517157554,82.20848329365253,457.43865445256233,3.0340753495693207,49.675871431827545,,,,,,,,,,173.89012668281794,,72.32685163617134,8.958920277655126,42.02931895852088,,77.49433545395732,58.671582397073514,112.5649966299534,86.45865079015493,123.34616966545582,239.40498735755682,101.38821918517351,28.160971589386463,163.38520869612694,48.65477830171585,20.825158059597015,82.04742856323719,133.18952806293964,92.01774951070547,107.49571174383163,63.335989601910114,119.27186213433744,236.27034574747086,34.471843391656876,174.13002625107765,86.10354717820881,189.34531919658184,7.454203255474567,120.03029137849808
2,Wolves,100.71603796248765,38,115.9377720206976,44.011928513646126,153.4347635693848,28.656057827174664,47.635916993021965,128.27300876379013,40.34183509647846,6.190092861652374,,44.20696459710598,,,,,,,,,,30.887377355247736,194.14985291659832,36.06457877904177,52.76366835460067,119.16300430893898,,160.71826294064522,78.69741693139076,18.44954565167427,107.05347210168839,149.1243228316307,198.16532284021375,126.535564661026,98.92054218798876,96.87864258885384,50.19769109785557,147.29636758565903,87.98350505530833,47.3225012421608,103.14385052770376,60.48348490148783,137.6953087747097,161.88429202884436,109.13392677903175,98.57299840077758,306.79915146902204,148.84179653599858,122.88703471422195,114.33172300457954,54.37589576467872
3,Man Utd,101.47290733446808,38,75.46678874641657,129.11677164956924,57.2140789590776,185.39299070835114,59.887345880270004,153.48092950880527,31.012967787683014,10.808217618614435,,53.485238924622536,,,,,,,,,,60.37690564990044,244.69114625826478,29.495568946003914,94.02043353766203,154.21067979186773,,71.7284046113491,200.65498910844326,27.64981370419264,194.76689100265503,38.6661603115499,105.01763895154,159.29090082645416,27.908816561102867,207.92120695114136,54.231526888906956,133.9060753583908,178.06481886655092,114.51973803341389,191.21257439255717,89.43504616618156,103.21159679442644,65.02957809716463,171.6124501079321,51.375963911414146,45.91405764222145,76.96160096675158,67.69933793693781,30.7355972006917,109.79563035070896
4,Liverpool,105.38472297454351,38,33.92938822507858,262.339917011559,131.51592016220096,45.233119651675224,238.93997939303517,68.97752163931727,265.43270349502563,6.452854909002781,,63.92398029565811,,,,,,,,,,129.54442352056503,284.8258465528488,63.82355261594057,38.349491730332375,71.62981610745192,87.83411057665944,185.44207215309143,142.0550087466836,110.58415584266186,63.46073895692825,36.37643065303564,12.09943424910307,,101.16636641323566,15.460845082998278,176.45343150943518,86.760070361197,102.54813525825739,148.37708109989762,74.1614842787385,137.40125624462962,79.18619886040688,9.821069054305553,119.36556315049529,123.32131387665868,29.10725362598896,61.738956719636924,98.55416603386402,214.1408383846283,84.28497659042478
5,Chelsea,109.66016385753296,38,16.45607966929674,145.17887327820063,6.311093829572202,204.78776283562183,129.4042371213436,60.897062346339226,210.49666376784444,69.05939867720008,,190.30697168782353,,,,,,,,,,44.59215998649597,159.03665907680988,26.58785954117775,68.18140558898449,165.95584768801928,,56.807662546634674,89.29878529161215,81.0896884649992,162.78171073645353,78.52138355374336,98.13211336731909,27.666719630360603,121.23965192586184,204.1091039776802,86.08597982674837,112.03361824154854,124.24111478030682,47.948849201202385,147.4396474659443,223.88011068105698,19.708229787647724,127.0442013628781,61.626325640827424,103.0030645430088,152.0583586767316,104.649293795228,108.10821335762739,94.91786099970341,237.44246363639832
6,Leicester,126.54623082152715,38,141.01864472031593,76.69221200048923,66.02143533527851,254.31147273629904,129.0228950791061,50.75365826487541,117.66647351905704,110.4522617533803,,100.76461005955935,,,,,,,,,,67.24479384720325,59.17157717049122,242.74900779128075,114.49131136760116,80.69949224591255,,116.25402253121136,155.4627343080938,245.02307334914804,78.01178880035879,78.21038914844394,376.9733399152756,359.13870483636856,116.40837937593459,124.14070721715687,19.973292388021946,124.9861938878894,78.47055271267891,103.52114010602236,44.29097082465887,45.73337621986866,181.89908601343635,374.8671719804406,5.4134017787873745,133.73453728854656,110.3555291891098,55.47256153076887,65.43179657310247,122.62931521981955,81.2948601320386
7,Everton,130.22803535537892,38,146.4610142633319,46.8460887670517,152.02090553939342,292.08374582231045,233.6387412622571,51.182807609438896,180.4686532355845,38.35139870643616,,65.9122752957046,,,,,,,,,,202.88302600383759,120.03068309277296,133.56732837855816,86.77328051999211,91.92479578778148,,59.45236850529909,168.43562442809343,153.32416091114285,179.75698839873078,163.21075409650803,56.52521690353751,89.02281476184724,148.56472313404083,126.16577446460724,241.58452786505222,228.47755383700132,181.24526292085648,74.22811659052968,24.339256994426247,115.27916193008424,45.911236107349396,55.89120164513588,310.820309817791,50.80109164118767,141.54214877635243,200.17250142991546,85.59262081980705,119.01815868914129,87.15902455151081
8,Sheffield Utd,140.86484967142735,38,165.2890456840396,62.48139590024948,305.9017598628998,119.31907068938017,32.69086629152298,131.96608163416386,101.52352973818779,284.15954448282713,215.14825150370598,100.87705869227648,,,,,,,,,,272.66232799738646,,106.03482462465763,113.22225909680128,97.00631676241755,,287.30023484677076,122.88198815658687,90.47699719667435,346.94423601031303,108.62805414944887,59.6611075103283,42.83712450414896,97.25797353312373,58.58045984059572,53.37753742933273,128.70385637506843,133.064841106534,151.03971697390077,71.6612957417965,252.8930425643921,94.97353145852685,144.31777279824018,197.07900192588568,126.53036247938871,157.65888020396233,230.57949636131525,70.48789169639349,24.191171675920486,193.4553800150752
9,Burnley,142.35306843674104,38,138.98141998797655,57.66019094735384,128.67501163855195,221.01856814697385,204.2115380987525,163.34326975047588,106.77414797246456,49.55419637262821,,271.8864494934678,,,,,,,,,,113.66856750100851,112.04589549452066,175.7183700799942,69.40251998603344,148.02504405379295,,141.65994841605425,238.3139556273818,289.66064332053065,174.82363423332572,213.38779740035534,147.52142801880836,13.85316923260689,108.72584916651249,239.68399427831173,256.21443428099155,93.67318414151669,90.23841703310609,47.4280945956707,258.3915807306766,98.83210025727749,83.42063743621111,133.667553961277,91.42658859491348,80.14276325702667,168.72656717896461,120.05730429664254,133.127551805228,116.72230176627636,108.75191204249859
10,Spurs,143.58287169598043,38,104.04964089393616,122.1333347260952,105.74840325862169,69.26934812217951,96.03486163541675,40.376213286072016,159.99351106584072,83.10404401272535,,177.30743270367384,,,,,,,,,,339.46203142404556,269.1329397261143,184.5388650894165,171.31280601024628,326.0047343559563,,142.47160535305738,239.1742993146181,174.56401586532593,151.19242649525404,26.80521234869957,109.00675179436803,149.37439151108265,72.03825283795595,110.77056378126144,147.68314762040973,102.94913528487086,66.14491958171129,92.79526975005865,115.53235072642565,219.08991746604443,84.68514457345009,270.7491980865598,116.25578990206122,128.79502307623625,57.73233361542225,193.21654047816992,51.42799839377403,321.2668063119054,63.95986396819353
