,Teams,xA av,Matches,GW47,GW46,GW45,GW44,GW43,GW42,GW41,GW40,GW39*,GW39,GW38,GW37,GW36,GW35,GW34,GW33,GW32,GW31,GW30,GW29,GW28,GW27,GW26,GW25,GW24*,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Man City,206.56814058311284,38,260.7407503761351,200.0346340239048,70.27276158332825,546.3749691843987,318.096630834043,262.0865639299154,175.90159736573696,64.82045045122504,191.06707479804754,164.87111821770668,,,,,,,,,,60.37690453231335,,153.11007127165794,182.12384022772312,170.15403732657433,,206.3447391614318,217.44547132402658,281.5204322338104,177.79875919222832,89.59628716111183,49.23858866095543,277.22399309277534,129.9536308273673,176.42728071659803,197.71304577589035,130.90223260223866,55.212304554879665,121.53282463550569,243.3011718094349,184.294075332582,397.4654586985707,128.53650338947773,285.12402130290866,486.7371119558811,200.31225997954607,223.0952650308609,295.3893158584833,238.2596980780363,236.1334666609764
2,Liverpool,151.7273497890289,38,37.99538183957338,131.35018050670624,187.7770658582449,166.15895265713334,210.45473143458366,107.024797052145,60.00179313123226,160.87601073086262,,47.52569887787104,,,,,,,,,,176.57454945147038,16.138359904289246,173.86183384805918,120.01245114952326,330.8094531297684,126.75779238343239,74.5503343641758,196.9197615981102,157.9644251614809,269.03780959546566,141.7968813329935,258.0213764682412,,98.07279109954834,286.4415071904659,239.864619448781,68.8099842518568,98.63536693155766,115.117022767663,201.94353349506855,123.17226603627205,100.08212924003601,225.47201234847307,117.42356941103935,103.00306528806686,215.50284251570702,100.14327391982079,172.73777555674314,142.12224539369345,205.48564661294222
3,Chelsea,138.44274599840375,38,96.44927643239498,191.7043773457408,238.9138974249363,105.54284639656544,249.19685274362564,115.94796404242516,70.27186751365662,130.47697991132736,,104.34783734381199,,,,,,,,,,186.2981580197811,127.02774722129107,63.64377252757549,64.05756790190935,59.84884388744831,,206.66974186897278,156.7837029695511,185.39710082113743,66.0066906362772,139.57691006362438,80.05907759070396,60.72638873010874,150.79979728907347,115.90649224817753,167.3060692846775,132.4421925470233,69.45193111896515,195.08057907223701,161.78615801036358,70.70877999067307,163.98748736828566,197.52237424254417,289.84353970736265,116.50521541014314,236.5030463784933,133.54594577103853,174.84434843063354,109.35265887528658,76.29013080149889
4,Leicester,119.2637619954583,38,61.10124681144953,75.22822795435786,263.5124174878001,57.441266253590584,95.46166770160198,194.75057628005743,123.00961837172508,34.037919621914625,,95.69288678467274,,,,,,,,,,157.38148298114538,87.75152042508125,52.797737158834934,39.93943938985467,154.4468391686678,,206.62656426429749,144.07702460885048,78.01141310483219,169.31654773652554,167.06298179924488,10.237960144877434,101.38822067528963,83.34253206849098,376.59829407930374,130.33762201666832,203.47957145422697,231.85531720519066,113.015924859792,83.23933407664299,240.853482298553,64.6336417645216,6.767745316028595,171.36987075209618,70.95902431756258,24.18501134961843,212.00560573488474,58.95060393959284,54.11796607077122,37.03784979879856
5,Man Utd,109.46014828881935,38,27.32967734336853,83.82132537662983,121.19588674977422,114.34756517410278,188.07387053966522,160.30592266470194,104.29809167981148,256.14222828298807,,63.994535338133566,,,,,,,,,,54.81759235262871,48.180742003023624,123.33926633000374,58.84073190391064,60.40636710822582,,105.60133280232549,127.4342380464077,155.3230408579111,63.06778835132718,148.64203771576288,129.80992645025253,138.1155289709568,71.59820012748241,87.26832084357738,57.00165070593357,101.2458024546504,123.0056231841445,264.1464564949274,59.491936676204205,233.59534218907356,79.1861955076456,90.64409211277963,89.5301079377532,121.94615323096514,21.11398633569479,170.7452037371695,77.77025606483221,21.03075496852398,157.077856361866
6,Everton,106.23592741934485,38,169.32559460401535,62.48139478266239,93.13669111579657,28.65605764091015,46.54338452965021,21.203970722854137,40.20213223993778,56.66808597743511,,45.066216215491295,,,,,,,,,,37.27464322000742,151.57435536384583,259.87033918499947,134.81695037335157,181.29016067832708,,189.11459185183048,181.0588277876377,163.02445884793997,20.84067016839981,207.71377086639404,127.72585693746805,32.02333562076092,12.185747735202312,115.09130476042627,94.65021640062332,124.98619481921196,55.80030791461468,180.7660661637783,67.62836072593927,95.56943587958813,138.87792583554983,116.54422990977764,215.5343361198902,100.63006896525621,114.20965362340212,126.67009830474854,116.39001592993736,73.54414984583853,38.27564027160406
7,Wolves,101.87536149628852,38,15.021766163408756,125.254097674042,109.3550942838192,190.98617546260357,23.660477250814438,91.46419111639261,38.08773932978511,63.51804621517658,,105.54478131234644,,,,,,,,,,50.29519451782107,111.85004524886608,197.41905853152275,91.23593308031559,119.33310851454735,,179.98455241322517,125.51928851753473,98.15738536417484,111.43944459035993,22.158145532011986,234.384848177433,137.3122289776802,51.6088193282485,164.63083550333977,178.37538570165634,76.98992136865854,116.49932973086834,87.67066076397896,114.40628711134195,143.20194125175476,5.731265991926193,103.9965897798538,116.36285912245512,168.86967718601227,22.175652906298634,131.6028719767928,41.330123133957386,24.53505303710699,81.29486069083214
8,West Ham,100.45034256273587,38,14.945296291261911,37.18796940520406,40.47432206571102,361.84002980589867,146.62953596562147,190.62954122200608,157.36784683540463,83.10404364019632,,42.48797055333852,,,,,,,,,,153.0863044783473,271.4067071676254,48.69788773357869,8.958920277655125,117.51988977193832,73.52459626272321,24.81447011232376,158.57530906796455,44.52693723142147,147.754293307662,65.72176348417997,77.35393950715661,,83.77738893032074,32.71968960762024,49.12260323762894,112.03362122178078,62.072314508259296,43.38568104431033,77.5695027783513,250.15380829572675,35.8669962733984,110.4343868792057,106.68433234095573,32.585445418953896,49.91100374609232,163.80237489938736,187.72846087813377,97.92072344571352,54.73710969090462
9,Southampton,99.90879878107654,38,34.58593413233757,138.0001086741686,151.5305332839489,170.77122889459133,127.53400914371014,49.13673577830195,100.7613267749548,47.88346402347088,,154.1204147040844,,,,,,,,,,31.489093974232674,79.34545688331127,178.98308057338,58.472884260118015,44.74824443459511,,113.0601298995316,61.46794185042381,180.0828890874982,140.5552266165614,92.31317415833472,50.23993831127882,133.4775611758232,44.70725618302822,124.0480087697506,191.1928988993168,176.12613197416067,161.48208379745483,2.872695028781891,5.1992688328027725,39.47437480092049,68.73592622578144,23.98782866075635,54.318586364388466,80.21089471876621,150.67576467990875,70.85757190361619,197.60634116828442,179.75823506712914,86.72110997140409
10,Sheffield Utd,95.2327170752381,38,141.05146303772926,39.323293790221214,57.75431580841541,88.82526755332947,38.4597584605217,116.07446242123842,159.993508271873,10.80821780487895,57.10704624652863,20.315691456198692,,,,,,,,,,84.45771187543869,,152.12357081472874,116.05492122471333,59.678880125284195,,67.388607095927,98.4072607010603,187.34272299334407,59.271423891186714,119.26851831376553,117.27993451058865,64.69141729176044,173.23528230190277,54.75393645465375,79.5097067952156,136.21672093868256,115.85324499756098,72.8129306808114,246.29982188344005,113.64385075867177,86.26178409904242,18.926269188523293,97.19609245657921,50.80109164118767,184.39429253339767,101.64991188794374,53.42466868460179,109.43022994324565,68.75541992485523
11,Arsenal,91.11775033126928,38,110.87702699005604,58.013599272817366,66.86728000640869,30.765882693231106,119.99643817543983,99.03515689074993,84.77560319006443,81.35361205786467,44.15573477745056,12.439501192420723,,,,,,,,,,155.9735824353993,,133.5673276335001,291.44867956638336,144.36940625309944,,56.807662546634674,35.155896842479706,53.31730954349042,72.53712341189384,74.18857961893082,79.04194677248597,82.85180246457458,11.478901654481888,113.38068749755621,84.34777315706015,38.325196504592896,52.69674509763718,90.1152579113841,83.51751640439034,69.66622434556484,87.98517696559429,116.69597029685974,145.32162100076675,148.26527126133442,93.46867185086012,166.3055032491684,46.66409008204937,113.3919458836317,113.30880708992481
12,Spurs,90.96144796104024,38,19.76523995399475,76.6922116279602,108.87171365320683,157.44208879768848,23.98793576285243,22.265820391476154,93.96117180585863,102.62633357197046,,39.079705253243446,,,,,,,,,,30.438745580613613,64.6423939615488,21.991565451025963,209.42286178469658,42.02931672334671,,129.53768484294417,150.73069874197245,96.03160247206688,83.85219164192677,93.80499012768269,82.18123447149992,22.45263122022152,98.92054293304682,238.79570215940475,23.006853088736534,276.22021241113544,193.37269738316536,106.65405355393887,24.339256994426247,66.32380587980151,29.265888780355453,41.43099104985595,119.00841519236565,133.73453821986914,96.40696495771408,54.0772408246994,101.75558719784021,7.454203255474567,173.95993079990149
13,Brighton,89.60288041516354,38,113.42766489833593,80.4199630394578,33.63679274916649,14.9588443338871,201.76829593256116,87.16440964490175,14.047394692897797,23.170989379286766,,47.25457653403282,,,,,,,,,,28.953248541802164,125.90026818215847,95.61096876859665,50.2851877361536,168.9033403992653,,105.09778261184694,67.3039136454463,41.968172788619995,134.50747318565845,91.34232737123966,90.9271514043212,32.0369727909565,84.42806405946612,64.54426422715187,117.17502493411303,79.84659373760223,78.47055122256279,114.51973840594292,208.7548829615116,24.446656368672848,120.48580218106508,86.40927765518427,59.65896500274539,108.85168667882681,113.88984899967909,78.66417430341244,100.50658546388149,231.73006922006607,83.84153172373772
14,Aston Villa,89.51988315062695,38,65.35067353397608,51.698544062674046,138.88414483517408,116.74681268632412,27.283918485045433,68.97752089425921,25.888349860906605,118.3814724907279,117.00034039095044,97.8187270462513,,,,,,,,,,65.64873643219471,,47.23502993583679,149.40874706953764,87.74119913578033,,62.13491018861532,78.53344529867172,22.564007714390755,124.51993897557259,58.415793254971504,65.41937477886677,75.49616731703281,21.141088008880615,120.01576647162437,78.63626647740602,58.62385332584382,260.6839530169964,31.900923512876034,65.05758091807365,28.02101112902164,195.0142916291952,206.75961561501026,76.66478604078293,147.3724216222763,131.99510369449854,17.28012030944228,85.59262063354254,147.88844026625156,63.95986266434193
