id,name,team_name,country,team_fan,2020/21,2019/20,2018/19,2017/18,2016/17,2015/16,2014/15,2013/14,2012/13,2011/12,2010/11,2009/10,2008/09,2007/08,2006/07,predict,probability
22336.0,Suzanne Brannigan,Walnut Wanderers,Ireland,Liverpool,8639.0,1353.0,17757.0,5453.0,6418.0,69359.0,917.0,138474.0,1675.0,7945.0,,,,,,1,0.7792685009529252
248233.0,Scott Taylor,Taylor¢??s Swift,England,Sheffield Utd,12753.0,15840.0,1658.0,12252.0,142140.0,,,,,,,,,,,1,0.7789270218504046
160077.0,MW Chan,RonaldO,Australia,,12296.0,11501.0,2420.0,13071.0,16995.0,166907.0,,,,,,,,,,1,0.7787443157159426
9110.0,Mohit Bhandari,Mohit Mavericks,India,,97119.0,82.0,2945.0,582.0,52710.0,,,,,,,,,,,1,0.7778590261929428
543135.0,Mark Campbell,Mark's Marauders,England,Aston Villa,2943.0,12975.0,12385.0,10613.0,80805.0,8245.0,1036.0,13839.0,21396.0,,,,,,,1,0.7768585899431112
3344122.0,Matthew Davies,FC Poor toe,England,Liverpool,3819.0,41138.0,1109.0,1487.0,9229.0,1052922.0,,,,,,,,,,1,0.7765757527813986
33241.0,Timothy Leichtfried,Onomah-topoeia,England,Sheffield Utd,14420.0,10202.0,54954.0,6040.0,11260.0,6135.0,,,,,,,,,,1,0.7751141066091843
2020058.0,Petteri Ylimaa,*Proper Eleven*,Finland,Man Utd,53930.0,7885.0,10473.0,1296.0,3230.0,937.0,486.0,80811.0,31386.0,14423.0,,,,,,1,0.7738917614508766
250152.0,Maximus T.,Arteta Pavarot!,Czech Republic,Arsenal,6194.0,1516.0,4214.0,70567.0,13858.0,228413.0,,,,,,,,,,1,0.7737057136901822
1560.0,Ahmed Shahin,Pr?ñfe?ñ??r B??r,England,Fulham,24090.0,22290.0,9637.0,6773.0,2568.0,,,,,,,,,,,1,0.7731906231091504
5377.0,Chrome Dome,La R?sistance,Malaysia,Man Utd,8822.0,23349.0,42622.0,2036.0,18369.0,,,,,,,,,,,1,0.7729991825595055
805615.0,Atul Tanawade,Ruddy Son of a Gunn,USA,Arsenal,23778.0,6644.0,23793.0,3570.0,57423.0,,,,,,,,,,,1,0.7725836282098992
592118.0,Mauro Zeraschi,The Divine Ponytail,Wales,Man Utd,7016.0,826.0,16234.0,,,,,,,,,,,,,1,0.7712767060258788
7336.0,Gareth Parry,Parry Saint Germain,England,,11430.0,4269.0,74007.0,5181.0,53782.0,,,,,,,,,,,1,0.7706146244020318
2610616.0,Henning Stien,Gabbes gjeng,Norway,Man Utd,5041.0,4807.0,91672.0,5186.0,,,,,,,,,,,,1,0.7700000318029654
252570.0,Alan Bilham,True Blue,England,Chelsea,8228.0,14858.0,7776.0,4920.0,83125.0,124221.0,,,,,,,,,,1,0.7696482554457729
4652.0,Konstantinos Anastasiou,InSane In De Bruyne,Greece,Leicester,4740.0,7314.0,38896.0,15310.0,100652.0,,,,,,,,,,,1,0.7693291140553787
14230.0,Mark Hurst,Alex Vagrants,England,,4938.0,6044.0,4078.0,2413.0,7857.0,587.0,37217.0,181435.0,65.0,15809.0,39288.0,25276.0,30428.0,21297.0,,1,0.769239554164936
277277.0,Dan Sherwood,Gold Striving,England,Man Utd,121756.0,5164.0,6753.0,9400.0,10166.0,7362.0,,,,,,,,,,1,0.7663079459661676
1253026.0,MÃ¥ns Axelsson,Maans Goaldiggers,Sweden,,98153.0,16248.0,1813.0,2092.0,15577.0,38229.0,,,,,,,,,,1,0.7653605504749864
