GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW20,GW21,GW21*,GW22,GW22*,GW23,GW23*,GW24,GW25,GW25*,GW26,GW26*,GW27,GW27*,GW28,GW28*,GW29,GW29*,GW30,GW31,GW31*,GW32,GW33,GW33*,GW34,GW35,GW36,GW37,GW38
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.404825701944176,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,8.394508548743097,,0.0,0.0,0.0,,,,,,,,,,
14.496806335875807,19.779738250155017,0.0,7.659070371561605,21.814184761689862,59.46212588576054,6.065549526759664,13.414133496887754,16.412524707077978,8.116795113397773,13.08212831356187,0.0,39.866945133331924,1.4104731213665909,0.0,0.0,14.090797553820032,27.78668810864303,49.654677590731715,,0.0,,,,15.148777187100752,,0.0,,,13.61082485664776,0.0,,,0.0,,16.045194190330882,6.834878732734784,70.1808063324013,,,,,,,,,,
0.0,3.014261749057902,24.45720838728355,31.598622874813206,6.198798797855323,63.25414759854518,11.220969755087712,0.0,70.8761972445474,14.073673992843723,0.0,24.87622995447972,47.001024105846895,2.5953929803081772,1.6036923474515035,57.8612758074144,23.075421821165243,63.70961012224142,17.914370815620433,,20.76930413252894,,,,15.579382749456528,,2.9493703007431744,,,36.79445250103926,31.313255527598415,,,6.202971167122128,,26.51933156948203,2.5443286996313,20.024050777120465,,,,,,,,,,
0.0,0.0,0.0,1.682295417253902,0.0,3.1173928733859104,7.023491874056546,5.944059912098985,0.0,9.347876557121257,10.25254953831275,0.0,0.0,3.963469922258755,3.9928863955404283,60.559987052080444,8.247201729957933,2.901415753496671,0.0,,0.0,,,,3.3520970806494224,,101.96535664286027,,,0.0,7.703493831995373,,,3.320761905905858,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
13.264381416122617,0.0,0.0,0.0,0.0,0.0,0.0,53.084383660078785,0.0,0.0,0.0,0.0,29.71968068426502,24.37386060793164,11.045021855852857,3.889435045524495,106.6552994388826,78.60480464615937,7.944020550747475,,144.9319413026565,,,,8.143808185787114,,0.0,,,0.0,58.15923037332251,,,12.818926095498552,,14.979209644856669,6.411447181568792,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.904204674808119,0.0,0.0,0.0,0.0,0.0,1.6295402370061933,0.0,0.0,0.0,0.0,0.0,,0.0,,,,1.5191149298585025,,10.824926849497043,,,10.317774052721303,5.020883453048244,,,10.954074323790364,,14.175247386254625,0.0,0.0,,,,,,,,,,
