Teams,GW24,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
Liverpool,175.76605094960976,,208.70864165058796,,244.35348657532919,242.48465776394843,202.95395352708087,140.51594325999895,173.1945021287526,184.55045790749793,265.1730278406433,218.3959273143855,182.90468682097062,198.4184168980938,310.54922100783267,209.12764966363864,233.9867663711164
Man City,210.24184230547806,218.89687891825784,181.6490954181758,,190.389443218363,191.83328858831223,254.3216914753021,212.86127224945216,184.34617593395984,278.1176079177342,193.5593989755278,,245.4089704275964,147.37531313803234,229.0570552301949,193.8524696328865,218.89687891825784
Aston Villa,167.33445347180879,,159.12857162947333,,240.07255625855436,183.7429501137153,197.7232336703961,221.22372939107186,219.53179822593302,162.9074167367309,95.40517252572806,281.15357711364544,188.95291697773337,165.59148596051352,211.83829136327137,181.48184465082036,127.21513182623733
Leeds,149.4825023724825,,175.16759750874357,171.25301964068268,159.2837181488134,156.67510114524288,121.27795376622034,209.2861666159812,210.8991347171471,90.95257723301097,155.30446631268487,157.86326901606034,159.52489157790794,173.01201868841832,180.49605502925962,171.25301964068268,268.0320339012038
Man Utd,272.61835168680204,,191.72077626321501,,123.35315063080108,92.50887412983455,159.35598145825685,205.40733078512443,162.25453488524136,175.97244131732478,183.58453760860735,232.78446336817993,157.9618935823494,162.0092347181179,154.29776618622566,212.8672791205572,178.16490442098745
Chelsea,175.32163355677275,,159.28429346691019,,146.8303409911173,167.5449741282147,212.87287262135163,144.45037080674598,249.29950570232165,187.83748678517105,148.3758341819988,145.72521315033333,194.65933652889206,84.59597987791126,139.03529891633087,141.09966039773647,148.15151615632593
Leicester,136.19019324733475,,139.67969415744406,,131.08477411213235,139.8911848936369,184.94248487995978,158.281298654504,79.75848579117893,137.3921356457058,235.0436877970175,177.09628214517153,150.17586031361432,165.29612919083073,138.43406841028647,106.35153226571322,151.71836856157853
Brighton,132.67057492036318,,168.20960061650158,,223.24920869516941,126.35559562065528,142.64004404612697,157.00157867713523,131.48745460349932,150.03753332603674,101.01481832749107,175.66208133709034,190.62893940163065,145.90057376229646,130.4978059667442,75.75620943704216,124.50694748199878
West Ham,175.78150151628546,,144.2031161777979,,75.80771070605397,190.75853448515602,131.57684358984824,124.59159091708825,145.99976120520242,126.44149582038234,157.10831290524428,101.08349113162849,150.44095658980302,150.13953319407545,132.96178293190215,223.40097998413864,142.73701488633753
Arsenal,175.37862842323196,,69.69571434072567,,116.24715073749972,138.31165508063665,132.57674052631253,120.05798434659332,119.00768564520874,161.6091186761625,160.37312330979083,138.03453394495565,144.44145582044078,205.38927688749322,92.93363507296415,154.75283625005224,122.24173972734648
Everton,159.56645780701882,69.3451498116486,118.40908537732416,,130.56877181452907,92.466185441047,137.61595720756267,204.35618330619286,153.9744403949194,121.62687239545318,131.90988886909344,113.97023412193808,121.44299407028704,119.45410115029449,160.79623620384433,133.553371008619,69.3451498116486
Spurs,73.36371171886235,,126.37648435729415,,145.59082271670277,162.89728247596196,120.5748264062238,138.1352518655594,152.0432271238168,127.33487836656946,145.29911704582156,,170.114402382549,184.60858402843226,141.2928090338155,128.48063392245248,122.36509139072939
Southampton,112.93683943137027,,78.19225122601281,147.5595973683408,116.13912387711483,135.97424439515115,102.85142527311109,111.54706037077328,116.3722873108296,172.8098758313613,130.20552397957718,,97.8077141568637,100.1303655720622,134.9343059474014,147.5595973683408,101.01406306066833
Wolves,107.49161053115733,,143.65539387734123,,118.3142690455283,99.97875325720378,97.4810677304202,57.08885618045649,98.34138392169605,131.36414854841897,132.37657179966143,113.29325281576783,168.2375882097311,100.13013231238826,108.59569407351235,113.0662585334205,99.08716976701147
Fulham,114.91253589957688,115.14323680856226,134.5381704188538,,128.83037558004764,99.07285197546297,58.02106941889649,146.00116622076428,101.61132261635304,111.74407195695548,95.3588662456975,,77.36643411900644,115.14323680856226,109.24685856137947,100.70518031401525,120.24624203079809
Sheffield Utd,88.39210398868106,,118.07392794189322,,87.61882670489834,96.61659453100968,85.58639637588188,89.86381930120216,129.12165771687347,84.33422284468665,98.8250997207696,89.99988321096194,97.60897701940077,113.93601907282141,101.62725073967859,106.34431564583538,101.83127982092537
Burnley,98.72284815775421,102.30824768545673,131.0258014439983,,84.57585490117124,73.07359642850857,88.0575934204865,74.1585749839585,83.71597909970735,92.14481786689402,77.17048234996777,85.62959627080517,76.58965383757716,102.30824768545673,111.88084253244877,75.91962747987257,103.09673716219132
Newcastle,67.18433291169359,,87.45149543459169,,97.03757213000465,148.48167236832518,88.23838146338275,88.37198427779845,95.84344639993759,99.98937707762306,86.79328622748507,86.03399582035594,82.80880318301628,84.0383276630923,50.38498785837133,116.83176733784455,115.9382316001493
Crystal Palace,96.90220500923625,,85.6434992180451,,112.35863864022632,92.88427994334373,143.89730065804835,84.75143046834292,96.70805181884532,65.11001659869999,91.93993306381167,81.44364425353339,48.829351332486986,113.22458646156346,85.51402139059279,80.25208134240827,83.37769615542132
West Brom,70.38590492278655,,80.47710051497177,,71.12676635549806,84.04374563960977,90.04345693507621,80.31585665249305,54.07374733986311,76.35594292009046,67.63879464117954,71.01923526130525,78.1013211030682,66.64920386603269,69.24502113823986,69.85614096117013,102.04464330620426
