GW1,GW2,GW3,GW4,GW5,GW6,GW7,GW8,GW9,GW10,GW11,GW12,GW13,GW14,GW15,GW16,GW17,GW18,GW19,GW19*,GW20,GW21,GW22,GW23,GW24,GW24*,GW25,GW25*,GW26,GW27,GW28,GW29,GW30,GW31,GW32,GW33,GW34,GW35,GW36,GW37,GW38
95.35886624569748,124.59159091708824,173.1945021287526,84.33422284468665,181.64909541817576,131.08477411213235,152.04030954682696,156.80043779175188,149.48250237248246,93.82675388708046,120.57482640622382,73.07359642850857,96.37673638469468,113.97023412193808,139.03529891633087,124.50694748199876,66.64920386603268,80.25208134240826,82.80880318301628,,96.37673638469468,152.04030954682696,93.82675388708046,156.80043779175188,149.48250237248246,,181.64909541817576,,131.08477411213235,73.07359642850857,120.57482640622382,124.59159091708824,173.1945021287526,84.33422284468665,95.35886624569748,113.97023412193808,82.80880318301628,66.64920386603268,139.03529891633087,80.25208134240826,124.50694748199876
,89.86381930120216,101.61132261635302,184.55045790749796,139.67969415744406,159.28371814881336,102.69593210414527,122.05693183149451,132.67057492036318,132.76076822622812,,99.97875325720378,77.86486012011893,71.01923526130525,85.51402139059279,148.15151615632593,162.00923471811788,,193.5593989755278,88.23838146338275,77.86486012011893,102.69593210414527,132.76076822622812,122.05693183149451,132.67057492036318,,139.67969415744406,,159.28371814881336,99.97875325720378,88.23838146338275,89.86381930120216,101.61132261635302,184.55045790749796,193.5593989755278,71.01923526130525,121.44299407028704,162.00923471811788,85.51402139059279,128.48063392245248,148.15151615632593
148.3758341819988,88.37198427779845,162.25453488524136,121.62687239545319,85.6434992180451,71.12676635549806,128.6751680243396,77.98275625877883,167.33445347180879,184.82988801681356,102.85142527311109,139.8911848936369,101.76517356480542,89.99988321096195,132.96178293190215,122.24173972734648,100.13013231238826,193.8524696328865,159.52489157790794,,101.76517356480542,128.6751680243396,184.82988801681356,77.98275625877883,167.33445347180879,,85.6434992180451,,71.12676635549806,139.8911848936369,102.85142527311109,88.37198427779845,162.25453488524136,121.62687239545319,148.3758341819988,89.99988321096195,159.52489157790794,100.13013231238826,132.96178293190215,193.8524696328865,122.24173972734648
,158.28129865450404,116.3722873108296,99.98937707762308,80.47710051497177,145.5908227167028,167.88134106611864,150.33875194460848,96.90220500923625,219.33634105826877,137.6159572075627,138.31165508063668,189.33226296780273,113.29325281576784,180.49605502925962,101.83127982092539,,183.58453760860735,150.44095658980302,209.1276496636387,189.33226296780273,167.88134106611864,219.33634105826877,150.33875194460848,96.90220500923625,115.14323680856228,80.47710051497177,,145.5908227167028,138.31165508063668,137.6159572075627,158.28129865450404,116.3722873108296,99.98937707762308,183.58453760860735,113.29325281576784,150.44095658980302,115.14323680856228,180.49605502925962,209.1276496636387,101.83127982092539
101.01481832749107,140.51594325999895,54.07374733986311,65.11001659869999,78.19225122601281,123.35315063080107,59.285977345396034,68.4219344521144,67.18433291169359,97.82461485576486,121.27795376622034,92.466185441047,76.12340266820824,101.08349113162848,92.93363507296415,127.21513182623733,147.37531313803234,,77.36643411900644,106.35153226571322,76.12340266820824,59.285977345396034,97.82461485576486,68.4219344521144,67.18433291169359,,78.19225122601281,,123.35315063080107,92.466185441047,121.27795376622034,140.51594325999895,54.07374733986311,65.11001659869999,101.01481832749107,101.08349113162848,77.36643411900644,147.37531313803234,92.93363507296415,106.35153226571322,127.21513182623733
130.20552397957718,205.4073307851244,153.9744403949194,187.83748678517105,168.20960061650158,128.83037558004762,126.76048299048078,201.95171861285814,98.7228481577542,111.87516835524012,90.0434569350762,162.89728247596196,168.32395438309172,233.9867663711164,211.83829136327137,177.0962821451715,113.9360190728214,154.75283625005224,245.40897042759636,,168.32395438309172,126.76048299048078,111.87516835524012,201.95171861285814,98.7228481577542,,168.20960061650158,,128.83037558004762,162.89728247596196,90.0434569350762,205.4073307851244,153.9744403949194,187.83748678517105,130.20552397957718,177.0962821451715,245.40897042759636,113.9360190728214,211.83829136327137,154.75283625005224,233.9867663711164
145.29911704582156,80.31585665249305,96.70805181884532,150.0375333260367,208.70864165058796,116.13912387711481,99.78903843142847,183.21670775706002,114.91253589957687,180.1344132592548,88.05759342048648,167.5449741282147,157.96416635488234,138.03453394495563,101.62725073967857,,150.13953319407543,113.06625853342048,,,157.96416635488234,99.78903843142847,180.1344132592548,183.21670775706002,114.91253589957687,218.8968789182578,208.70864165058796,,116.13912387711481,167.5449741282147,88.05759342048648,80.31585665249305,96.70805181884532,150.0375333260367,145.29911704582156,138.03453394495563,188.95291697773334,150.13953319407543,101.62725073967857,113.06625853342048,218.8968789182578
160.37312330979083,209.28616661598116,219.53179822593302,131.36414854841897,118.07392794189322,112.3586386402263,93.3136398156576,174.437114991888,159.56645780701882,183.5280346544441,254.32169147530206,242.48465776394843,174.31860814474584,115.93823160014928,134.93430594740138,,,168.81335814185093,194.65933652889206,212.8672791205572,174.31860814474584,93.3136398156576,183.5280346544441,174.437114991888,159.56645780701882,102.30824768545673,118.07392794189322,,112.3586386402263,242.48465776394843,254.32169147530206,209.28616661598116,219.53179822593302,131.36414854841897,160.37312330979083,,194.65933652889206,102.30824768545673,134.93430594740138,212.8672791205572,115.93823160014928
67.63879464117954,74.1585749839585,184.34617593395984,126.44149582038233,159.12857162947333,116.24715073749972,151.70198132816535,95.21987015438442,175.7660509496098,96.77473093561764,85.58639637588189,126.3555956206553,115.66243576556306,122.3650913907294,154.29776618622566,81.44364425353339,84.0383276630923,,97.8077141568637,141.09966039773647,115.66243576556306,151.70198132816535,96.77473093561764,95.21987015438442,175.7660509496098,,159.12857162947333,,116.24715073749972,126.3555956206553,85.58639637588189,74.1585749839585,184.34617593395984,126.44149582038233,67.63879464117954,81.44364425353339,97.8077141568637,84.0383276630923,154.29776618622566,141.09966039773647,122.3650913907294
265.1730278406433,146.00116622076428,129.12165771687347,278.1176079177342,143.65539387734125,240.07255625855439,200.70005703345163,122.87161046405478,175.37862842323196,174.496486287737,212.87287262135163,190.75853448515602,126.78613236565837,232.78446336817993,111.88084253244878,102.04464330620426,184.6085840284323,,190.62893940163067,,126.78613236565837,200.70005703345163,174.496486287737,122.87161046405478,175.37862842323196,,143.65539387734125,147.55959736834083,240.07255625855439,190.75853448515602,212.87287262135163,146.00116622076428,129.12165771687347,278.1176079177342,265.1730278406433,232.78446336817993,190.62893940163067,184.6085840284323,111.88084253244878,147.55959736834083,102.04464330620426
