,Teams,Creativity av adj,Matches,Creativity GW6 adj,Creativity GW5 adj,Creativity GW4 adj,Creativity GW3 adj,Creativity GW2 adj,Creativity GW1 adj
1,Liverpool,193.45085134359263,6,172.45916195121953,193.0698727634195,137.1721568627451,264.04526785714296,237.97590974729243,155.9827388797364
2,Man City,192.63976498570182,5,200.61263859649125,215.8600484693878,186.00057578253706,189.73520976692566,170.99035231316725,
3,Man Utd,170.7266419310128,5,221.55981949458484,220.65927702702706,91.94317602996256,130.75832619439865,188.7126109090909,
4,Aston Villa,161.9270560895946,5,99.7975205930807,137.8544883462819,195.99307604562736,128.2372061946903,247.75298926829265,
5,Leeds,160.4987846932315,6,225.94026315789475,197.01800355871887,156.24508647798743,213.78235024390247,96.49448761061946,73.51251711026616
6,Everton,159.06484141816793,6,93.8686101468625,170.9649657794677,228.51274794069198,85.77057545454547,172.5684113597246,202.7037378277154
7,Chelsea,153.42260977269103,6,68.71049600912201,193.46868224299064,181.6879227272727,212.30347848537008,58.64074144486691,205.72433772652388
8,West Ham,150.92789093564767,6,85.62230738993712,162.80611610486892,184.86477469478362,191.5861459074733,171.32522448979594,109.36277702702702
9,Fulham,149.9853970180449,6,209.61322636363636,168.73635219512195,146.66015658362988,180.24355779153768,110.09159555189456,84.56749362244899
10,Spurs,149.50854021897064,6,131.0236574074074,141.4776561403509,190.81212941847207,167.3744662162162,120.23333511348464,146.12999701789266
11,Brighton,131.20821368827887,6,64.11794922547334,178.7392881818182,116.63847912524852,180.569007981756,81.64608108108106,165.53847653429602
12,Wolves,125.18942473829587,6,124.11636711711714,68.9152957166392,105.69649911504423,172.49562807017543,165.99477987421386,113.91797853658537
13,Arsenal,123.83926431594637,6,170.04171143174253,138.24565251572326,108.5199043902439,66.1370836501901,144.60176842105264,115.48946548672569
14,Sheffield Utd,122.20782481830285,6,188.7385513307985,98.1829300884956,97.83059693877553,139.95227100494233,31.667734778121776,176.8748647686833
15,Burnley,119.61632817284871,5,161.37694756554308,81.76885714285714,73.98280855855856,118.32284779706278,162.63017980022198,
16,Newcastle,116.61815303503833,6,74.3485516014235,89.01544469783353,116.5963333333333,92.77685767790263,122.90025370675454,204.0714771929825
17,Southampton,116.14360317429161,6,168.5094125248509,138.21659205776172,110.74918502581757,74.00137654320989,113.02341198501874,92.3616409090909
18,West Brom,104.34286219164177,6,153.8610593080725,164.88370370370367,62.02715487316422,121.68570397111914,61.44856461232606,62.15098668146505
19,Leicester,97.52168836677386,6,79.9436594387755,85.56851651186791,90.82240701754387,69.49781446540881,185.98489197530864,73.3128407917384
20,Crystal Palace,93.40119762085799,6,117.43117433628318,30.01783690280066,90.00150180505416,89.23317793240557,113.4901596351197,120.23333511348466
