,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW6,GW5,GW4,GW3,GW2,GW1
207,Tyrick Mitchell,Crystal Palace,Defender,3.6,3.6,5,5,5.160760724399005,2.0,4.0,2.0,8.0,2.0
208,Serge Aurier,Nott'm Forest,Defender,3.5,3.5,4,4,2.2412633883602724,3.520351341741934,0.0,0.0,10.0,4.0
209,Joe Worrall,Nott'm Forest,Defender,3.5,3.5,4,4,1.9059004788269125,2.993596978699411,0.0,0.0,12.0,2.0
210,Jakub Kiwior,Arsenal,Defender,3.5,7.0,4,2,6.311727874212973,6.580687496498348,0.0,14.0,0.0,0.0
211,Malo Gusto,Chelsea,Defender,3.5,3.5,4,4,2.8535014340550484,3.8155369932976737,6.0,3.0,5.0,0.0
212,Josko Gvardiol,Man City,Defender,3.4,4.25,5,4,3.0589109776103536,15.0,0.0,0.0,0.0,2.0
213,Dan Burn,Newcastle,Defender,3.4,3.4,5,5,5.170481103785403,2.0,4.0,2.0,0.0,9.0
214,Harvey Elliott,Liverpool,Midfielder,3.4,3.4,5,5,4.293785721977873,11.0,2.0,0.0,0.0,4.0
215,Pau Torres,Aston Villa,Defender,3.4,3.4,5,5,2.9916490853099833,0.0,17.0,0.0,0.0,0.0
216,Jan Paul van Hecke,Brighton,Defender,3.4,5.666666666666667,5,3,5.520082605916802,0.0,0.0,0.0,0.0,17.0
217,Joel Veltman,Brighton,Defender,3.4,3.4,5,5,3.135117206359496,0.0,0.0,17.0,0.0,0.0
218,Mikkel Damsgaard,Brentford,Midfielder,3.4,8.5,5,2,11.359064609300408,0.0,0.0,0.0,0.0,17.0
219,Rico Henry,Brentford,Defender,3.4,3.4,5,5,4.379740516161096,0.0,3.0,6.0,2.0,6.0
220,Aymeric Laporte,Man City,Defender,3.4,17.0,5,1,11.894653780561487,0.0,0.0,0.0,0.0,17.0
221,Matheus Luiz Nunes,Man City,Midfielder,3.2,5.333333333333333,5,3,5.577466301147251,2.0,0.0,0.0,12.0,2.0
222,Hugo Bueno Lopez,Wolves,Defender,3.2,3.2,5,5,4.036544228053567,0.0,0.0,0.0,10.0,6.0
223,Danilo dos Santos de Oliveira,Nott'm Forest,Midfielder,3.0,3.0,4,4,1.9132566266924558,3.005151276665017,0.0,7.0,3.0,2.0
224,Kieran Trippier,Newcastle,Defender,3.0,3.0,5,5,5.117983718943415,7.0,0.0,4.0,2.0,2.0
225,Facundo Pellistri Rebollo,Man Utd,Midfielder,3.0,5.0,5,3,5.22522285643221,2.0,0.0,0.0,6.0,7.0
226,Jesurun Rak-Sakyi,Crystal Palace,Midfielder,3.0,7.5,5,2,14.322119466339323,0.0,0.0,0.0,15.0,0.0
227,Joel Matip,Liverpool,Defender,2.8,4.666666666666667,5,3,6.65921326576345,0.0,10.0,4.0,0.0,0.0
228,Rayan Ait-Nouri,Wolves,Defender,2.8,2.8,5,5,3.9837132528114916,2.0,2.0,2.0,8.0,0.0
229,Scott McKenna,Nott'm Forest,Defender,2.75,2.75,4,4,1.6297315716490983,2.5598186070988738,2.0,2.0,7.0,0.0
230,Nelson Cabral Semedo,Wolves,Defender,2.6,2.6,5,5,3.471555724685496,9.0,1.0,0.0,1.0,2.0
231,Kenny Tete,Fulham,Defender,2.6,2.6,5,5,2.3302339461072807,9.0,4.0,0.0,0.0,0.0
232,Leandro Trossard,Arsenal,Midfielder,2.5,5.0,4,2,4.508377053009267,4.700491068927392,0.0,10.0,0.0,0.0
233,Cauley Woodrow,Luton,Forward,2.5,3.3333333333333335,4,3,3.46359808679245,4.0,2.0,0.0,,4.0
234,Philippe Coutinho Correia,Aston Villa,Midfielder,2.4,6.0,5,2,5.506336891955741,0.0,0.0,0.0,8.0,4.0
235,Elliot Anderson,Newcastle,Midfielder,2.4,2.4,5,5,4.76954029861193,4.0,2.0,2.0,4.0,0.0
236,Jadon Sancho,Man Utd,Midfielder,2.4,4.0,5,3,3.719196305016274,0.0,0.0,4.0,0.0,8.0
237,Willian Borges da Silva,Fulham,Midfielder,2.4,3.0,5,4,1.7931275396483617,11.0,0.0,0.0,1.0,0.0
238,Takehiro Tomiyasu,Arsenal,Defender,2.25,3.0,4,3,3.463850284393895,3.611454218326145,0.0,0.0,0.0,9.0
239,William Saliba,Arsenal,Defender,2.25,2.25,4,4,2.155240349285559,2.247080910512278,0.0,7.0,0.0,2.0
240,Diogo Dalot Teixeira,Man Utd,Defender,2.2,2.75,5,4,4.298159520200047,2.0,7.0,0.0,2.0,0.0
241,Emerson Leite de Souza Junior,Spurs,Defender,2.2,2.75,5,4,2.393665304272233,0.0,0.0,0.0,0.0,11.0
242,Luke Shaw,Man Utd,Defender,2.0,5.0,5,2,4.605642006691358,0.0,0.0,0.0,2.0,8.0
243,Adam Lallana,Brighton,Midfielder,2.0,2.5,5,4,2.420203958271137,2.0,0.0,6.0,2.0,0.0
244,Chris Basham,Sheffield Utd,Defender,2.0,2.0,5,5,1.532587024013971,4.0,0.0,0.0,4.0,2.0
245,Micky van de Ven,Spurs,Defender,2.0,2.0,5,5,1.6072683943240365,0.0,2.0,0.0,0.0,8.0
246,Aaron Wan-Bissaka,Man Utd,Defender,2.0,2.0,5,5,1.940510197600108,0.0,0.0,2.0,2.0,6.0
247,Johann Berg Gudmundsson,Burnley,Midfielder,2.0,3.0,3,2,3.609063286285942,3.362765466692947,4.0,2.0,,0.0
248,Ben Davies,Spurs,Defender,2.0,5.0,5,2,3.0184811545097947,0.0,0.0,4.0,6.0,0.0
249,Milos Kerkez,Bournemouth,Defender,2.0,2.0,4,4,2.1570367114807483,1.6187444327073957,0.0,4.0,2.0,2.0
250,Benjamin White,Arsenal,Defender,2.0,2.0,4,4,1.9608627812623727,2.044420393933933,2.0,4.0,0.0,2.0
251,Alfie Doughty,Luton,Defender,2.0,2.0,4,4,2.146685007651072,0.0,6.0,2.0,,0.0
252,Sander Berge,Burnley,Midfielder,2.0,2.0,3,3,3.1461372173727247,2.9314314404682955,0.0,4.0,,2.0
253,Sasa Lukic,Fulham,Midfielder,1.8,3.0,5,3,3.049354014354465,0.0,0.0,4.0,4.0,1.0
254,Matt Doherty,Wolves,Defender,1.8,9.0,5,1,12.256306516240299,9.0,0.0,0.0,0.0,0.0
255,Boubacar Kamara,Aston Villa,Midfielder,1.8,1.8,5,5,1.7096032561030636,0.0,0.0,0.0,2.0,7.0
256,Youssef Ramalho Chermiti,Everton,Forward,1.75,7.0,4,1,5.059821750359246,4.200125958913125,0.0,7.0,0.0,0.0
257,Ashley Young,Everton,Defender,1.75,1.75,4,4,1.0514608489670587,0.8728109851327908,7.0,0.0,0.0,0.0
258,Jay Rodriguez,Burnley,Forward,1.6666666666666667,5.0,3,1,6.020939721058991,5.610045201466409,0.0,5.0,,0.0
259,Victor Lindelof,Man Utd,Defender,1.6,2.0,5,4,2.19897685616413,4.0,0.0,2.0,0.0,2.0
260,Joel Ward,Crystal Palace,Defender,1.6,1.6,5,5,2.0326399003804374,7.0,1.0,0.0,0.0,0.0
261,Joe Gomez,Liverpool,Defender,1.6,2.0,5,4,2.902884129700796,0.0,4.0,4.0,0.0,0.0
262,Youri Tielemans,Aston Villa,Midfielder,1.6,1.6,5,5,1.650834658017713,6.0,0.0,0.0,0.0,2.0
263,Tom Lockyer,Luton,Defender,1.5,2.0,4,3,2.413971082105069,4.0,0.0,2.0,,0.0
264,Idrissa Gueye,Everton,Midfielder,1.5,1.5,4,4,1.0920079807414238,0.9064689021755977,0.0,0.0,0.0,6.0
265,Neco Williams,Nott'm Forest,Defender,1.5,3.0,4,2,1.3461750593944735,2.114436527705904,0.0,0.0,6.0,0.0
266,Danny Ings,West Ham,Forward,1.4,1.75,5,4,1.1583386873969055,0.0,0.0,0.0,0.0,7.0
267,Tariq Lamptey,Brighton,Defender,1.4,3.5,5,2,4.711721774492786,3.0,4.0,0.0,0.0,0.0
268,Hannibal Mejbri,Man Utd,Midfielder,1.4,7.0,5,1,8.597672057510033,7.0,0.0,0.0,0.0,0.0
269,Michael Olakigbe,Brentford,Midfielder,1.4,7.0,5,1,5.884262739726066,0.0,7.0,0.0,0.0,0.0
270,Josh Cullen,Burnley,Midfielder,1.3333333333333333,1.3333333333333333,3,3,1.60441707683258,1.4949248356620763,2.0,2.0,,0.0
271,Nathan Redmond,Burnley,Midfielder,1.3333333333333333,1.3333333333333333,3,3,1.603250228049429,1.4938376175997765,4.0,0.0,,0.0
272,Moises Caicedo Corozo,Chelsea,Midfielder,1.25,1.6666666666666667,4,3,1.3578177629645243,1.8155953394372426,2.0,2.0,1.0,0.0
273,Antonee Robinson,Fulham,Defender,1.2,1.5,5,4,1.2680214097991498,0.0,0.0,0.0,0.0,6.0
274,Issa Diop,Fulham,Defender,1.2,1.2,5,5,1.025248533107118,0.0,0.0,0.0,6.0,0.0
275,George Baldock,Sheffield Utd,Defender,1.2,2.0,5,3,1.633539540976297,0.0,4.0,0.0,0.0,2.0
276,Ibrahima Konate,Liverpool,Defender,1.2,2.0,5,3,2.4981914763658417,0.0,0.0,0.0,4.0,2.0
277,Edson Alvarez Velazquez,West Ham,Midfielder,1.0,1.25,5,4,0.8959921777513192,0.0,5.0,0.0,0.0,0.0
278,Tom Cairney,Fulham,Midfielder,1.0,1.25,5,4,1.2446631206712708,0.0,0.0,2.0,0.0,3.0
279,Dominic Calvert-Lewin,Everton,Forward,1.0,4.0,4,1,4.145497545522027,3.4411512327131857,0.0,0.0,4.0,0.0
280,Oleksandr Zinchenko,Arsenal,Defender,1.0,1.3333333333333333,4,3,1.2022338808024713,1.2534642850473046,0.0,4.0,0.0,0.0
281,Tyrone Mings,Aston Villa,Defender,1.0,5.0,5,1,4.82903986211454,0.0,0.0,0.0,0.0,5.0
282,Ben Osborn,Sheffield Utd,Midfielder,1.0,1.6666666666666667,5,3,1.5146824888460806,0.0,0.0,0.0,0.0,5.0
283,Mahmoud Dahoud,Brighton,Midfielder,1.0,1.25,5,4,1.2176652807169417,0.0,0.0,0.0,0.0,5.0
284,Cole Palmer,Chelsea,Midfielder,1.0,2.0,4,2,1.9268170601316061,2.576428273176534,4.0,0.0,0.0,0.0
285,Illia Zabarnyi,Bournemouth,Defender,1.0,1.0,4,4,1.1957050584556683,0.8973147727311914,2.0,2.0,0.0,0.0
286,Ian Maatsen,Chelsea,Midfielder,1.0,1.3333333333333333,4,3,1.346053572734215,1.7998649450227746,2.0,0.0,0.0,2.0
287,Reiss Nelson,Arsenal,Midfielder,1.0,4.0,4,1,3.8550319194256284,4.01930515008611,4.0,0.0,0.0,0.0
288,Manuel Akanji,Man City,Defender,1.0,1.25,5,4,1.0916322485135432,0.0,4.0,0.0,1.0,0.0
289,Harrison Reed,Fulham,Midfielder,0.8,0.8,5,5,0.6798885536488127,0.0,0.0,0.0,2.0,2.0
290,Nick Pope,Newcastle,Goalkeeper,0.8,0.8,5,5,1.196592008802045,0.0,0.0,4.0,0.0,0.0
291,Rodrigo Muniz Carvalho,Fulham,Forward,0.8,2.0,5,2,3.2408927094028552,0.0,4.0,0.0,0.0,0.0
292,Ezri Konsa Ngoyo,Aston Villa,Defender,0.8,0.8,5,5,0.7789759177271759,2.0,0.0,0.0,2.0,0.0
293,Will Hughes,Crystal Palace,Midfielder,0.8,2.0,5,2,2.640662492580758,4.0,0.0,0.0,0.0,0.0
294,Ben Mee,Brentford,Defender,0.8,2.0,5,2,1.681217925636019,0.0,4.0,0.0,0.0,0.0
295,Oliver Skipp,Spurs,Midfielder,0.8,1.3333333333333333,5,3,1.1605649960107798,0.0,0.0,0.0,0.0,4.0
296,Anis Slimane,Sheffield Utd,Midfielder,0.8,4.0,5,1,3.635237973230592,0.0,0.0,0.0,0.0,4.0
297,Sergio Gomez,Man City,Defender,0.8,2.0,5,2,1.5105779164521402,2.0,2.0,0.0,0.0,0.0
298,Davinson Sanchez,Spurs,Defender,0.8,4.0,5,1,3.481694988032339,0.0,0.0,0.0,0.0,4.0
299,Giovani Lo Celso,Spurs,Midfielder,0.8,4.0,5,1,2.161436248570477,0.0,0.0,4.0,0.0,0.0
300,Marc Guehi,Crystal Palace,Defender,0.8,1.0,5,4,0.7654578617734096,0.0,0.0,0.0,0.0,4.0
301,Reece James,Chelsea,Defender,0.75,3.0,4,1,3.167015487106559,4.234749842837685,0.0,0.0,0.0,3.0
302,Joe Rothwell,Bournemouth,Midfielder,0.75,1.0,4,3,1.0471928232463599,0.7858640252059124,0.0,2.0,0.0,1.0
303,Cheikhou Kouyate,Nott'm Forest,Midfielder,0.75,0.75,4,4,0.5704305504051904,0.8959749951381918,0.0,2.0,0.0,1.0
304,Ryan Yates,Nott'm Forest,Midfielder,0.75,0.75,4,4,0.5675153138456465,0.891396034455934,1.0,2.0,0.0,0.0
305,Victor da Silva,Burnley,Defender,0.6666666666666666,2.0,3,1,4.62165987527098,4.306258160231758,0.0,0.0,,2.0
306,Anass Zaroury,Burnley,Midfielder,0.6666666666666666,2.0,3,1,4.62165987527098,4.306258160231758,0.0,0.0,,2.0
307,Manuel Benson Hedilazio,Burnley,Midfielder,0.6666666666666666,1.0,3,2,1.2041879442117982,1.1220090402932819,0.0,2.0,,0.0
308,Jack Cork,Burnley,Midfielder,0.6666666666666666,2.0,3,1,2.4048753420741438,2.2407564263996647,2.0,0.0,,0.0
309,Lesley Ugochukwu,Chelsea,Midfielder,0.5,1.0,4,2,0.7285180839977793,0.9741322245735533,0.0,2.0,0.0,0.0
310,Max Aarons,Bournemouth,Defender,0.5,0.5,4,4,0.586247476611208,0.439948394898527,0.0,0.0,2.0,0.0
311,Mason Burstow,Chelsea,Forward,0.5,1.0,4,2,0.7285180839977793,0.9741322245735533,0.0,2.0,0.0,0.0
312,Marvelous Nakamba,Luton,Midfielder,0.5,0.5,4,4,0.6449272586866027,0.0,0.0,0.0,,2.0
313,Lloyd Kelly,Bournemouth,Defender,0.5,1.0,4,2,1.1878328232500348,0.8914070675705619,0.0,2.0,0.0,0.0
314,Olu Aina,Nott'm Forest,Defender,0.5,0.6666666666666666,4,3,0.746300559243252,1.1722139346580098,0.0,0.0,0.0,2.0
315,Marcus Tavernier,Bournemouth,Midfielder,0.5,2.0,4,1,2.4071545873226037,1.8064449557836422,2.0,0.0,0.0,0.0
316,Dwight McNeil,Everton,Midfielder,0.5,2.0,4,1,1.2016695416766385,0.9974982687231895,2.0,0.0,0.0,0.0
317,Oscar Bobb,Man City,Midfielder,0.4,1.0,5,2,0.7881597246231952,0.0,2.0,0.0,0.0,0.0
318,Boubacar Traore,Wolves,Midfielder,0.4,1.0,5,2,1.630898366135832,0.0,2.0,0.0,0.0,0.0
319,Mads Roerslev Rasmussen,Brentford,Defender,0.4,0.6666666666666666,5,3,0.8909070281804242,0.0,0.0,0.0,0.0,2.0
320,Jacob Murphy,Newcastle,Midfielder,0.4,2.0,5,1,3.0350241271289127,0.0,0.0,0.0,0.0,2.0
321,Rico Lewis,Man City,Defender,0.4,0.6666666666666666,5,3,0.5254398164154633,0.0,2.0,0.0,0.0,0.0
322,Vladimir Coufal,West Ham,Defender,0.4,0.4,5,5,0.80889573142242,2.0,0.0,0.0,0.0,0.0
323,Pierre-Emile Højbjerg,Spurs,Midfielder,0.4,0.5,5,4,0.2493745671807973,2.0,0.0,0.0,0.0,0.0
324,Jaden Philogene-Bidace,Aston Villa,Midfielder,0.4,2.0,5,1,1.9316159448458161,0.0,0.0,0.0,0.0,2.0
325,Jean-Philippe Mateta,Crystal Palace,Forward,0.4,0.6666666666666666,5,3,0.613920518579689,0.0,2.0,0.0,0.0,0.0
326,Lisandro Martinez,Man Utd,Defender,0.4,0.4,5,5,0.43742189378400365,0.0,0.0,2.0,0.0,0.0
327,Mason Mount,Man Utd,Midfielder,0.4,1.0,5,2,0.8479212471510983,0.0,0.0,0.0,0.0,2.0
328,Josh Dasilva,Brentford,Midfielder,0.4,2.0,5,1,1.880196427570957,0.0,0.0,0.0,2.0,0.0
329,Curtis Jones,Liverpool,Midfielder,0.4,0.6666666666666666,5,3,0.9295670309430183,0.0,2.0,0.0,0.0,0.0
330,Andre Brooks,Sheffield Utd,Midfielder,0.4,1.0,5,2,0.908809493307648,0.0,0.0,0.0,0.0,2.0
331,James Milner,Brighton,Midfielder,0.4,0.4,5,5,0.36883731839523476,0.0,0.0,2.0,0.0,0.0
332,Max Lowe,Sheffield Utd,Defender,0.4,1.0,5,2,0.692539607338856,0.0,0.0,0.0,2.0,0.0
333,Lewis Cook,Bournemouth,Midfielder,0.25,0.5,4,2,0.5939164116250174,0.44570353378528094,0.0,1.0,0.0,0.0
334,Orel Mangala,Nott'm Forest,Midfielder,0.25,0.3333333333333333,4,3,0.36926329754223397,0.5800016864193277,1.0,0.0,0.0,0.0
335,Kevin De Bruyne,Man City,Midfielder,0.2,1.0,5,1,0.699685516503617,0.0,0.0,0.0,0.0,1.0
336,Allan Saint-Maximin,Newcastle,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
337,Scott McTominay,Man Utd,Midfielder,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0
338,Santiago Bueno,Wolves,Defender,0.0,0.0,2,0,0.0,0.0,0.0,,,
339,Tyrell Malacia,Man Utd,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
340,Matt Ritchie,Newcastle,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
341,Javier Manquillo Gaitan,Newcastle,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
342,Toti Antonio Gomes,Wolves,Defender,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0
343,Enso Gonzalez,Wolves,Midfielder,0.0,0.0,2,0,0.0,0.0,0.0,,,
344,Nathan Fraser,Wolves,Forward,0.0,0.0,2,0,0.0,0.0,0.0,,,
345,Lewis Hall,Newcastle,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
346,Jamal Lewis,Newcastle,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
347,Mark Gillespie,Newcastle,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
348,Daniel Castelo Podence,Wolves,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
349,Tom King,Wolves,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
350,Sofyan Amrabat,Man Utd,Midfielder,0.0,0.0,1,0,0.0,0.0,,,,
351,Harrison Ashby,Newcastle,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
352,Jonny Evans,Man Utd,Defender,0.0,0.0,2,1,0.0,0.0,0.0,,,
353,Altay Bayindir,Man Utd,Goalkeeper,0.0,0.0,2,0,0.0,0.0,0.0,,,
354,Daniel Gore,Man Utd,Midfielder,0.0,0.0,3,0,0.0,0.0,0.0,0.0,,
355,Karl Darlow,Newcastle,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
356,Martin Dubravka,Newcastle,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
357,Jose Malheiro de Sa,Wolves,Goalkeeper,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
358,Ryan Fraser,Newcastle,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
359,Radek Vitek,Man Utd,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,
360,Jamaal Lascelles,Newcastle,Defender,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
361,Omari Forson,Man Utd,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
362,Isaac Hayden,Newcastle,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
363,Bruno Cavaco Jordao,Wolves,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
364,Jeff Hendrick,Newcastle,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
365,Andre Onana,Man Utd,Goalkeeper,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
366,Matija Sarkic,Wolves,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
367,Sergio Reguilon,Man Utd,Defender,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
368,Donny van de Beek,Man Utd,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
369,Jonathan Castro Otto,Wolves,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
370,Emil Krafth,Newcastle,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
371,Garang Kuol,Newcastle,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
372,Shola Shoretire,Man Utd,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
373,Japhet Tanganga,Spurs,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
374,Matt Targett,Newcastle,Defender,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0
375,Lukasz Fabianski,West Ham,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
376,Daniel Jebbison,Sheffield Utd,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
377,Aaron Cresswell,West Ham,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
378,Wes Foderingham,Sheffield Utd,Goalkeeper,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
379,John Fleck,Sheffield Utd,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
380,Flynn Downes,West Ham,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
381,Kobbie Mainoo,Man Utd,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
382,Adam Davies,Sheffield Utd,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
383,Ismaila Coulibaly,Sheffield Utd,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
384,Rhian Brewster,Sheffield Utd,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
385,Jordan Amissah,Sheffield Utd,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
386,Iliman Ndiaye,Sheffield Utd,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
387,Ben Johnson,West Ham,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
388,Auston Trusty,Sheffield Utd,Defender,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
389,Murillo Santiago Costa dos Santos,Nott'm Forest,Defender,0.0,0.0,1,0,0.0,0.0,0.0,,,
390,Gonzalo Montiel,Nott'm Forest,Defender,0.0,0.0,2,1,0.0,0.0,0.0,0.0,,
391,Josh Powell,Nott'm Forest,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
392,George Shelvey,Nott'm Forest,Goalkeeper,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
393,Thilo Kehrer,West Ham,Defender,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.0
394,Divin Mubama,West Ham,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
395,Hwang Ui-jo,Nott'm Forest,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
396,Conor Coventry,West Ham,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
397,Rhys Norrington-Davies,Sheffield Utd,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
398,Ki-Jana Hoever,Wolves,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
399,Alphonse Areola,West Ham,Goalkeeper,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
400,Ryan Sessegnon,Spurs,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
401,Guglielmo Vicario,Spurs,Goalkeeper,0.0,0.0,5,5,0.0,0.0,0.0,0.0,0.0,0.0
402,Alfie Whiteman,Spurs,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
403,Joe Rodon,Spurs,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
404,Dane Scarlett,Spurs,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
405,Tanguy Ndombele Alvaro,Spurs,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
406,Alejo Veliz,Spurs,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
407,Hugo Lloris,Spurs,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
408,Ashley Phillips,Spurs,Defender,0.0,0.0,2,0,0.0,0.0,0.0,,,
409,Harry Kane,Spurs,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
410,Femi Seriki,Sheffield Utd,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
411,Fraser Forster,Spurs,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
412,Eric Dier,Spurs,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
413,Bryan Gil Salvatierra,Spurs,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
414,Rodrigo Bentancur,Spurs,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
415,Brandon Austin,Spurs,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
416,Tom Davies,Sheffield Utd,Midfielder,0.0,0.0,4,1,0.0,0.0,0.0,0.0,0.0,
417,Antwoine Hackford,Sheffield Utd,Forward,0.0,0.0,5,2,0.0,0.0,0.0,0.0,0.0,0.0
418,Maxwel Cornet,West Ham,Midfielder,0.0,0.0,5,1,0.0,0.0,0.0,0.0,0.0,0.0
419,Louie Marsh,Sheffield Utd,Forward,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
420,Harry Toffolo,Nott'm Forest,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
421,Sam Surridge,Nott'm Forest,Forward,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
422,Jonjo Shelvey,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
423,Lewis Miley,Newcastle,Midfielder,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
424,Giulian Biancone,Nott'm Forest,Defender,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
425,Harry Arter,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
426,Brandon Aguilera Zamora,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
427,Daniel Bentley,Wolves,Goalkeeper,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
428,Bendeguz Bolla,Wolves,Defender,0.0,0.0,5,0,0.0,0.0,0.0,0.0,0.0,0.0
429,Callum Hudson-Odoi,Nott'm Forest,Midfielder,0.0,0.0,4,0,0.0,0.0,0.0,0.0,0.0,0.0
