,Name,Team,Position,xG per fixture,xG per game,Team games,Played,GW6,GW5,GW4,GW3,GW2,GW1
43,Carlton Morris,Luton,Forward,21.0,21.0,4,4,26.23841169624717,6.0,16.0,12.0,,50.0
44,Hannes Delcroix,Burnley,Defender,21.0,21.0,2,2,25.269568960113133,23.5450661616777,21.0,21.0,,
45,Pascal Groß,Brighton,Midfielder,20.8,20.8,5,5,21.082709275538015,26.0,6.0,38.0,0.0,34.0
46,Alexander Isak,Newcastle,Forward,20.4,25.5,5,4,39.368540164137784,0.0,20.0,19.0,2.0,61.0
47,Jeremy Doku,Man City,Midfielder,20.0,30.0,3,2,21.67254575486836,60.0,0.0,0.0,,
48,Neal Maupay,Brentford,Forward,19.8,33.0,5,3,34.39155728106722,5.0,0.0,0.0,19.0,75.0
49,James Ward-Prowse,West Ham,Midfielder,19.25,19.25,4,4,26.28791632054795,24.0,2.0,49.0,2.0,
50,Bobby De Cordova-Reid,Fulham,Midfielder,19.2,19.2,5,5,22.130203154364978,0.0,36.0,4.0,10.0,46.0
51,Bruno Borges Fernandes,Man Utd,Midfielder,18.8,18.8,5,5,21.66440506757667,9.0,4.0,49.0,26.0,6.0
52,Darwin Nunez Ribeiro,Liverpool,Forward,18.8,18.8,5,5,25.973158216525785,24.0,26.0,36.0,0.0,8.0
53,Fabio Silva,Wolves,Forward,18.6,18.6,5,5,22.382976558319175,0.0,11.0,4.0,21.0,57.0
54,Pervis Estupinan,Brighton,Defender,18.2,22.75,5,4,23.087294822710415,0.0,7.0,20.0,29.0,35.0
55,Carlos Henrique Casimiro,Man Utd,Midfielder,18.0,18.0,5,5,20.86494904285583,0.0,2.0,50.0,38.0,0.0
56,Yves Bissouma,Spurs,Midfielder,17.8,17.8,5,5,9.927116795635998,43.0,12.0,19.0,7.0,8.0
57,Hwang Hee-chan,Wolves,Midfielder,17.4,17.4,5,5,23.281521247653696,19.0,21.0,0.0,21.0,26.0
58,Ben Chilwell,Chelsea,Defender,17.25,17.25,4,4,15.104785945433454,20.197245693598024,14.0,15.0,17.0,23.0
59,Oliver McBurnie,Sheffield Utd,Forward,17.2,28.666666666666668,5,3,23.020106755179356,26.0,56.0,4.0,0.0,0.0
60,Anssumane Fati Vieira,Brighton,Midfielder,17.0,34.0,2,1,36.55923561951455,34.0,0.0,,,
61,Danny Welbeck,Brighton,Forward,16.8,21.0,5,4,21.00038595534865,22.0,0.0,10.0,19.0,33.0
62,Luke Thomas,Sheffield Utd,Defender,16.5,16.5,2,2,12.717373499793581,0.0,33.0,,,
63,Antoine Semenyo,Bournemouth,Forward,16.5,16.5,4,4,19.25052767816523,14.446524873616049,22.0,10.0,31.0,3.0
64,Said Benrahma,West Ham,Midfielder,16.0,16.0,5,5,13.268137680943049,0.0,34.0,16.0,6.0,24.0
65,Axel Disasi,Chelsea,Defender,16.0,16.0,4,4,15.132783366083927,20.23468222435771,8.0,17.0,2.0,37.0
66,Philip Billing,Bournemouth,Midfielder,16.0,16.0,4,4,17.529316722633354,13.154845118258734,7.0,36.0,7.0,14.0
67,Jeffrey Schlupp,Crystal Palace,Midfielder,15.6,15.6,5,5,14.235833980903884,2.0,52.0,4.0,0.0,20.0
68,Enzo Fernandez,Chelsea,Midfielder,15.25,15.25,4,4,12.336618917732578,16.495812930408533,12.0,18.0,22.0,9.0
69,Gustavo Hamer,Sheffield Utd,Midfielder,15.0,15.0,4,4,12.35878334411577,17.0,24.0,6.0,13.0,
70,Michail Antonio,West Ham,Forward,14.8,14.8,5,5,17.791467418884018,2.0,2.0,46.0,22.0,2.0
71,David Brooks,Bournemouth,Midfielder,14.75,14.75,4,4,15.978693794389956,11.991182850035516,39.0,2.0,2.0,16.0
72,Gabriel Fernando de Jesus,Arsenal,Forward,14.5,29.0,4,2,26.862536453881113,28.00722104774344,23.0,35.0,0.0,0.0
73,Anthony Elanga,Nott'm Forest,Midfielder,14.25,14.25,4,4,14.342790253347907,22.5282138524721,45.0,6.0,4.0,2.0
74,Declan Rice,Arsenal,Midfielder,14.25,14.25,4,4,15.48842103785069,16.148424123401433,24.0,0.0,2.0,31.0
75,Raul Jimenez,Fulham,Forward,14.0,14.0,5,5,16.14645839035855,8.0,26.0,9.0,21.0,6.0
76,Joachim Andersen,Crystal Palace,Defender,13.8,13.8,5,5,13.139407711748227,2.0,6.0,19.0,0.0,42.0
77,Kai Havertz,Arsenal,Midfielder,13.75,13.75,4,4,14.59276710627858,15.214603979987675,21.0,13.0,6.0,15.0
78,Anthony Gordon,Newcastle,Midfielder,13.6,13.6,5,5,24.689501029387053,4.0,6.0,38.0,15.0,5.0
79,Dominik Szoboszlai,Liverpool,Midfielder,13.4,13.4,5,5,16.200897040942134,18.0,12.0,5.0,22.0,10.0
80,Cody Gakpo,Liverpool,Forward,13.2,13.2,5,5,13.799916081487428,45.0,4.0,4.0,11.0,2.0
81,Craig Dawson,Wolves,Defender,13.2,13.2,5,5,17.189770046133944,9.0,4.0,0.0,34.0,19.0
82,Ryan Christie,Bournemouth,Midfielder,13.0,13.0,4,4,14.626334700721417,10.976307330186625,34.0,9.0,0.0,9.0
83,John McGinn,Aston Villa,Midfielder,12.8,12.8,5,5,11.164630239414375,2.0,25.0,4.0,33.0,0.0
84,Miguel Almiron Rejala,Newcastle,Midfielder,12.8,12.8,5,5,22.899565496870874,0.0,2.0,36.0,13.0,13.0
