,Name,Team,Threat per fixture,Threat per game,Team games,Played,Threat GW5,Threat GW4*,Threat GW4,Threat GW3,Threat GW2,Threat GW1
271,Mamadou Sakho,Crystal Palace,1.2,2.0,5,3,0.0,,4.0,2.0,0.0,0.0
272,Jamal Lewis,Newcastle,1.2,1.2,5,5,2.0,,4.0,0.0,0.0,0.0
273,Christian Benteke,Crystal Palace,1.2,3.0,5,2,2.0,,0.0,4.0,0.0,0.0
274,Olivier Giroud,Chelsea,1.2,6.0,5,1,0.0,,0.0,6.0,0.0,0.0
275,Shane Long,Southampton,1.2,1.5,5,4,0.0,,0.0,0.0,4.0,2.0
276,Ryan Fredericks,West Ham,1.2,2.0,5,3,0.0,,0.0,0.0,4.0,2.0
277,Liam Cooper,Leeds,1.2,2.0,5,3,0.0,,2.0,4.0,0.0,0.0
278,Islam Slimani,Leicester,1.2,6.0,5,1,6.0,,,,,
279,Liam Delap,Man City,1.0,4.0,4,1,0.0,,0.0,4.0,0.0,
280,Fabio Henrique Tavares,Liverpool,1.0,1.0,5,5,3.0,,0.0,0.0,0.0,2.0
281,Victor Lindelof,Man Utd,1.0,1.3333333333333333,4,3,0.0,,0.0,0.0,4.0,
282,Joel Veltman,Brighton,0.8,4.0,5,1,0.0,,4.0,0.0,0.0,0.0
283,Jamaal Lascelles,Newcastle,0.8,1.0,5,4,0.0,,0.0,0.0,4.0,0.0
284,Eric Dier,Spurs,0.8,1.0,5,4,0.0,,0.0,4.0,0.0,0.0
285,Sead Kolasinac,Arsenal,0.8,4.0,5,1,0.0,,0.0,0.0,4.0,0.0
286,Federico Fernandez,Newcastle,0.8,0.8,5,5,0.0,,0.0,2.0,0.0,2.0
287,Cengiz Under,Leicester,0.8,4.0,5,1,0.0,,4.0,0.0,,
288,Joel Ward,Crystal Palace,0.8,0.8,5,5,0.0,,4.0,0.0,0.0,0.0
289,Kenny Tete,Fulham,0.8,2.0,5,2,0.0,,0.0,2.0,2.0,0.0
290,Ethan Ampadu,Sheffield Utd,0.6,1.5,5,2,0.0,,0.0,2.0,1.0,0.0
291,Conor Gallagher,West Brom,0.6,3.0,5,1,3.0,,0.0,0.0,,
292,Filip Krovinovic,West Brom,0.6,1.5,5,2,3.0,,0.0,,,
293,Nathan Tella,Southampton,0.6,1.0,5,3,0.0,,0.0,0.0,3.0,0.0
294,Ahmed El Mohamady,Aston Villa,0.5,2.0,4,1,0.0,,2.0,0.0,0.0,
295,Odion Ighalo,Man Utd,0.5,2.0,4,1,0.0,,0.0,0.0,2.0,
296,Tyrick Mitchell,Crystal Palace,0.4,0.4,5,5,0.0,,0.0,2.0,0.0,0.0
297,Oluwasemilogo Adesewo Ibidapo Ajayi,West Brom,0.4,0.5,5,4,0.0,,2.0,0.0,0.0,0.0
298,Marc Albrighton,Leicester,0.4,1.0,5,2,0.0,,0.0,0.0,2.0,0.0
299,Thiago Thiago,Chelsea,0.4,1.0,5,2,0.0,,2.0,0.0,0.0,0.0
300,Ki-Jana Hoever,Wolves,0.4,1.0,5,2,0.0,,0.0,2.0,,
301,Curtis Jones,Liverpool,0.4,1.0,5,2,0.0,,0.0,0.0,0.0,2.0
302,Emil Krafth,Newcastle,0.4,1.0,5,2,2.0,,0.0,0.0,0.0,0.0
303,Romaine Sawyers,West Brom,0.4,0.4,5,5,1.0,,0.0,1.0,0.0,0.0
304,Felipe Anderson Pereira Gomes,West Ham,0.4,1.0,5,2,0.0,,0.0,0.0,2.0,0.0
305,Aaron Ramsdale,Sheffield Utd,0.4,0.4,5,5,0.0,,2.0,0.0,0.0,0.0
306,Josh Onomah,Fulham,0.4,1.0,5,2,0.0,,0.0,0.0,2.0,0.0
307,Kieran Gibbs,West Brom,0.4,1.0,5,2,0.0,,0.0,0.0,2.0,0.0
308,Pascal Struijk,Leeds,0.4,1.0,5,2,2.0,,0.0,0.0,0.0,0.0
309,Toby Alderweireld,Spurs,0.4,1.0,5,2,0.0,,0.0,0.0,0.0,2.0
310,Mateo Kovacic,Chelsea,0.2,0.3333333333333333,5,3,0.0,,0.0,1.0,0.0,0.0
311,Fabian Schar,Newcastle,0.2,0.5,5,2,1.0,,0.0,0.0,0.0,0.0
312,Sean Longstaff,Newcastle,0.2,0.5,5,2,0.0,,1.0,0.0,0.0,0.0
313,Aaron Cresswell,West Ham,0.2,0.2,5,5,1.0,,0.0,0.0,0.0,0.0
314,Maxime Le Marchand,Fulham,0.2,0.5,5,2,0.0,,1.0,0.0,0.0,0.0
315,Mark Gillespie,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
316,Wes Foderingham,Sheffield Utd,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
317,Simon Moore,Sheffield Utd,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
318,Matthew Longstaff,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
319,DeAndre Yedlin,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
320,Jack O'Connell,Sheffield Utd,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
321,Rhian Brewster,Sheffield Utd,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
322,Oliver Norwood,Sheffield Utd,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
323,Yoshinori Muto,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
324,Kelland Watts,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
325,Jacob Murphy,Newcastle,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
326,Rolando Aarons,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
327,Mesut Ozil,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
328,Lys Mousset,Sheffield Utd,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
329,Luke Freeman,Sheffield Utd,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
330,Craig Dawson,West Ham,0.0,0.0,5,0,0.0,,,,,
331,Ben Johnson,West Ham,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
332,Issa Diop,West Ham,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
333,Albian Ajeti,West Ham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
334,Jordan Hugill,West Ham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
335,Jack Wilshere,West Ham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
336,Roberto Jimenez Gago,West Ham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
337,Lukasz Fabianski,West Ham,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
338,Darren Randolph,West Ham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
339,David Martin,West Ham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
340,Robert Snodgrass,West Ham,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
341,Mark Noble,West Ham,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
342,Cedric Kipre,West Brom,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
343,Rekeem Harper,West Brom,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
344,Sam Field,West Brom,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
345,Said Benrahma,West Ham,0.0,0.0,5,0,,,,,,
346,John Ruddy,Wolves,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
347,Rui Pedro dos Santos Patricio,Wolves,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
348,Morgan Gibbs-White,Wolves,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
349,Rayan Ait Nouri,Wolves,0.0,0.0,5,0,0.0,,,,,
350,Meritan Shabani,Wolves,0.0,0.0,5,0,0.0,,0.0,0.0,,
351,Vitor Ferreira,Wolves,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
352,Fernando Marcal,Wolves,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
353,Leonardo Campana,Wolves,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
354,Bruno Andre Cavaco Jordao,Wolves,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
355,Matija Sarkic,Wolves,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
356,Ryan Bennett,Wolves,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
357,Ruben Goncalo Silva Nascimento Vinagre,Wolves,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
358,Max Kilman,Wolves,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
359,Oskar Buur,Wolves,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
360,Leo Bonatini,Wolves,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
361,Jonathan Castro Otto,Wolves,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
362,Conor Coady,Wolves,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
363,Jonathan Leko,West Brom,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
364,Sam Johnstone,West Brom,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
365,Kenneth Zohore,West Brom,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
366,Josh Sims,Southampton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
367,Fraser Forster,Southampton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
368,Mohammed Salisu,Southampton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
369,Michael Obafemi,Southampton,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
370,Jake Vokins,Southampton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
371,William Smallbone,Southampton,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
372,Yan Valery,Southampton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
373,Sofiane Boufal,Southampton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
374,Hugo Lloris,Spurs,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
375,Angus Gunn,Southampton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
376,Alex McCarthy,Southampton,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
377,Michael Verrips,Sheffield Utd,0.0,0.0,5,0,0.0,,,,,
378,Phil Jagielka,Sheffield Utd,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
379,Max Lowe,Sheffield Utd,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
380,Jayden Bogle,Sheffield Utd,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
381,Ibrahima Diallo,Southampton,0.0,0.0,5,1,0.0,,,,,
382,Danny Rose,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
383,Charlie Austin,West Brom,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
384,Joe Hart,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
385,Ahmed El-Sayed Hegazy,West Brom,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
386,Kamil Grosicki,West Brom,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
387,David Button,West Brom,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
388,Joe Rodon,Spurs,0.0,0.0,5,0,,,,,,
389,Carlos Vinicius Alves Morais,Spurs,0.0,0.0,5,0,0.0,,,,,
390,Cameron Carter-Vickers,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
391,Juan Foyth,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
392,Moussa Sissoko,Spurs,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
393,Paul Dummett,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
394,Japhet Tanganga,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
395,Gedson Carvalho Fernandes,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
396,Ryan Sessegnon,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
397,Harry Winks,Spurs,0.0,0.0,5,4,0.0,,0.0,0.0,0.0,0.0
398,Paulo Gazzaniga,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
399,Oliver Skipp,Spurs,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
400,Elia Caprile,Leeds,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,
401,Christian Atsu,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
402,Will Norris,Burnley,0.0,0.0,4,0,0.0,,,,,
403,Gary Cahill,Crystal Palace,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
404,Edouard Mendy,Chelsea,0.0,0.0,5,1,0.0,,0.0,0.0,,
405,Billy Gilmour,Chelsea,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
406,Fikayo Tomori,Chelsea,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
407,Hakim Ziyech,Chelsea,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
408,Kepa Arrizabalaga,Chelsea,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
409,Emerson Palmieri dos Santos,Chelsea,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
410,Antonio Rudiger,Chelsea,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
411,Willy Caballero,Chelsea,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
412,Mace Goodridge,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,,
413,Vicente Guaita,Crystal Palace,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
414,Anthony Driscoll-Glennon,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
415,Josh Benson,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
416,Bobby Thomas,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
417,Bailey Peacock-Farrell,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
418,Nick Pope,Burnley,0.0,0.0,4,4,0.0,,0.0,0.0,0.0,
419,Ben Gibson,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
420,Matthew Lowton,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
421,Ben Mee,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
422,Jack Cork,Burnley,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
423,Wayne Hennessey,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
424,James Tomkins,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
425,Dwight Gayle,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
426,Stephen Henderson,Crystal Palace,0.0,0.0,5,0,0.0,,,,,
427,Tom Davies,Everton,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
428,Jean-Philippe Gbamin,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
429,Jonjoe Kenny,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
430,Jordan Pickford,Everton,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
431,Bernard Anicio Caldeira Duarte,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
432,Cenk Tosun,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
433,Jonas Lossl,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
434,Fabian Delph,Everton,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
435,Jack Butland,Crystal Palace,0.0,0.0,5,0,,,,,,
436,Nathaniel Clyne,Crystal Palace,0.0,0.0,5,0,0.0,,,,,
437,Martin Kelly,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
438,Ryan Inniss,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,
439,Sam Woods,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
440,Brandon Pierrick,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
441,Nathan Ferguson,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
442,Jairo Riedewald,Crystal Palace,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
443,Max Meyer,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
444,Patrick van Aanholt,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
445,Luka Milivojevic,Crystal Palace,0.0,0.0,5,4,0.0,,0.0,0.0,0.0,0.0
446,Connor Wickham,Crystal Palace,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
447,Danny Welbeck,Brighton,0.0,0.0,5,0,,,,,,
448,Andi Zeqiri,Brighton,0.0,0.0,5,0,0.0,,,,,
449,Jayson Molumby,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,,
450,Matteo Guendouzi,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
451,Neil Taylor,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
452,Henri Lansbury,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
453,Tom Heaton,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
454,Emiliano Martinez,Aston Villa,0.0,0.0,4,4,0.0,,0.0,0.0,0.0,
455,Thomas Partey,Arsenal,0.0,0.0,5,1,0.0,,,,,
456,Runar Alex Runarsson,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,,
457,Matt Macey,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
458,William Saliba,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
459,Gabriel Teodoro Martinelli Silva,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
460,Emile Smith Rowe,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
461,Jason Steele,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
462,Reiss Nelson,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
463,Joseph Willock,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
464,Lucas Torreira,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
465,Rob Holding,Arsenal,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
466,Calum Chambers,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
467,Pablo Mari,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
468,Bernd Leno,Arsenal,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
469,Shkodran Mustafi,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
470,Cedric Soares,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
471,Jed Steer,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
472,Jose Ignacio Peleteiro Romallo,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
473,Ørjan Nyland,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
474,Bjorn Engels,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
475,Christian Walton,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
476,Bernardo Fernandes da Silva Junior,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
477,Matthew Clarke,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
478,Jose Izquierdo,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
479,Mathew Ryan,Brighton,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
480,Florin Andone,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
481,Martin Montoya,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
482,Aaron Mooy,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
483,Davy Propper,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
484,Shane Duffy,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
485,Glenn Murray,Brighton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
486,Jacob Ramsey,Aston Villa,0.0,0.0,4,1,0.0,,0.0,0.0,,
487,Indiana Vassilev,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
488,Mbwana Samatta,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
489,Wesley Moraes,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
490,Frederic Guilbert,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
491,Anwar El Ghazi,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
492,James Bree,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
493,Kortney Hause,Aston Villa,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
494,Mason Holgate,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
495,Joao Virginia,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
496,Anthony Gordon,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
497,Claudio Bravo,Man City,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
498,Zack Steffen,Man City,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
499,Adrian Bernabe,Man City,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
500,Eric Garcia,Man City,0.0,0.0,4,1,0.0,,0.0,0.0,0.0,
501,Tommy Doyle,Man City,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
502,Oleksandr Zinchenko,Man City,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
503,Ederson Santana de Moraes,Man City,0.0,0.0,4,4,0.0,,0.0,0.0,0.0,
504,John Stones,Man City,0.0,0.0,4,1,0.0,,0.0,0.0,0.0,
505,Ilkay Gundogan,Man City,0.0,0.0,4,1,0.0,,0.0,0.0,0.0,
506,Nicolas Otamendi,Man City,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
507,Caoimhin Kelleher,Liverpool,0.0,0.0,5,0,0.0,,0.0,,,
508,Diego Llorente,Leeds,0.0,0.0,5,0,0.0,,0.0,0.0,,
509,Harvey Elliott,Liverpool,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
510,Neco Williams,Liverpool,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
511,Joseph Gomez,Liverpool,0.0,0.0,5,4,0.0,,0.0,0.0,0.0,0.0
512,Harry Wilson,Liverpool,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
513,Divock Origi,Liverpool,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
514,Alisson Ramses Becker,Liverpool,0.0,0.0,5,3,0.0,,0.0,0.0,0.0,0.0
515,Alex Oxlade-Chamberlain,Liverpool,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
516,Xherdan Shaqiri,Liverpool,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
517,Adrian San Miguel del Castillo,Liverpool,0.0,0.0,5,2,0.0,,0.0,0.0,0.0,0.0
518,Cole Palmer,Man City,0.0,0.0,4,0,0.0,,0.0,0.0,,
519,Sergio Romero,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
520,David de Gea,Man Utd,0.0,0.0,4,4,0.0,,0.0,0.0,0.0,
521,Chris Smalling,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
522,Florian Lejeune,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
523,Martin Dubravka,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
524,Karl Darlow,Newcastle,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
525,Ciaran Clark,Newcastle,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
526,Facundo Pellistri,Man Utd,0.0,0.0,4,0,0.0,,,,,
527,Edinson Cavani,Man Utd,0.0,0.0,4,0,0.0,,,,,
528,Alex Nicolao Telles,Man Utd,0.0,0.0,4,0,0.0,,,,,
529,Teden Mengi,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
530,Brandon Williams,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
531,James Garner,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
532,Tahith Chong,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
533,Jose Diogo Dalot Teixeira,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
534,Eric Bailly,Man Utd,0.0,0.0,4,2,0.0,,0.0,0.0,0.0,
535,Axel Tuanzebe,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
536,Dean Henderson,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
537,Andreas Pereira,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
538,Jesse Lingard,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
539,Phil Jones,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
540,Marcos Rojo,Man Utd,0.0,0.0,4,0,0.0,,0.0,0.0,0.0,
541,Konstantinos Tsimikas,Liverpool,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
542,Mateusz Bogusz,Leeds,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,
543,Jarrad Branthwaite,Everton,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
544,Alfie Mawson,Fulham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
545,Kasper Schmeichel,Leicester,0.0,0.0,5,5,0.0,,0.0,0.0,0.0,0.0
546,Wes Morgan,Leicester,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
547,Terence Kongolo,Fulham,0.0,0.0,5,0,,,,,,
548,Joachim Andersen,Fulham,0.0,0.0,5,0,0.0,,,,,
549,Ola Aina,Fulham,0.0,0.0,5,2,0.0,,0.0,,,
550,Alphonse Areola,Fulham,0.0,0.0,5,4,0.0,,0.0,0.0,0.0,0.0
551,Zeze Steven Sessegnon,Fulham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
552,Jean Michael Seri,Fulham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
553,Marek Rodak,Fulham,0.0,0.0,5,1,0.0,,0.0,0.0,0.0,0.0
554,Marcus Bettinelli,Fulham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
555,Sokratis Papastathopoulos,Arsenal,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
556,Cyrus Christie,Fulham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
557,Anthony Knockaert,Fulham,0.0,0.0,5,0,0.0,,0.0,0.0,0.0,0.0
