,Name,Team,Threat per fixture,Threat per game,Team games,Played,Threat GW5,Threat GW4*,Threat GW4,Threat GW3,Threat GW2,Threat GW1
55,Grady Diangana,West Brom,16.4,16.4,5,5,19.0,,6.0,12.0,36.0,9.0
56,Matej Vydra,Burnley,16.25,21.666666666666668,4,3,0.0,,2.0,27.0,36.0,
57,Matheus Pereira,West Brom,16.2,16.2,5,5,34.0,,10.0,0.0,11.0,26.0
58,John McGinn,Aston Villa,16.0,16.0,4,4,3.0,,11.0,31.0,19.0,
59,Harry Maguire,Man Utd,15.5,15.5,4,4,38.0,,2.0,18.0,4.0,
60,Anthony Martial,Man Utd,15.5,20.666666666666668,4,3,0.0,,6.0,28.0,28.0,
61,Ruben Diogo da Silva Neves,Wolves,15.4,15.4,5,5,26.0,,9.0,16.0,26.0,0.0
62,Michael Keane,Everton,15.2,15.2,5,5,33.0,,0.0,2.0,41.0,0.0
63,Jorge Luiz Frello Filho,Chelsea,15.2,19.0,5,4,0.0,,40.0,0.0,19.0,17.0
64,Adam Webster,Brighton,14.8,14.8,5,5,36.0,,20.0,17.0,0.0,1.0
65,Kurt Zouma,Chelsea,14.8,18.5,5,4,19.0,,21.0,0.0,17.0,17.0
66,Georginio Wijnaldum,Liverpool,14.6,14.6,5,5,0.0,,0.0,9.0,29.0,35.0
67,Andy Carroll,Newcastle,14.4,24.0,5,3,0.0,,0.0,22.0,2.0,48.0
68,Jonjo Shelvey,Newcastle,14.4,14.4,5,5,28.0,,2.0,8.0,12.0,22.0
69,Stuart Dallas,Leeds,14.2,14.2,5,5,0.0,,33.0,32.0,4.0,2.0
70,Erik Lamela,Spurs,14.0,23.333333333333332,5,3,0.0,,28.0,7.0,35.0,0.0
71,Jordan Ayew,Crystal Palace,14.0,17.5,5,4,0.0,,8.0,2.0,41.0,19.0
72,Dennis Praet,Leicester,14.0,17.5,5,4,2.0,,0.0,0.0,35.0,33.0
73,Jack Harrison,Leeds,13.8,17.25,5,4,28.0,,0.0,10.0,12.0,19.0
74,Aaron Connolly,Brighton,13.8,13.8,5,5,2.0,,4.0,8.0,23.0,32.0
75,Kai Havertz,Chelsea,13.4,13.4,5,5,25.0,,10.0,32.0,0.0,0.0
76,Tariq Lamptey,Brighton,13.4,13.4,5,5,24.0,,0.0,2.0,21.0,20.0
77,Virgil van Dijk,Liverpool,13.2,13.2,5,5,0.0,,0.0,25.0,4.0,37.0
78,Cheikhou Kouyate,Crystal Palace,13.0,13.0,5,5,0.0,,4.0,42.0,2.0,17.0
79,Josh Brownhill,Burnley,12.75,12.75,4,4,0.0,,6.0,36.0,9.0,
80,Mateusz Klich,Leeds,12.4,12.4,5,5,6.0,,4.0,10.0,19.0,23.0
81,Billy Sharp,Sheffield Utd,12.2,15.25,5,4,17.0,,2.0,19.0,0.0,23.0
82,Nicolas Pepe,Arsenal,12.2,12.2,5,5,28.0,,19.0,0.0,8.0,6.0
83,Romain Saiss,Wolves,12.0,12.0,5,5,2.0,,18.0,0.0,2.0,38.0
84,Mason Greenwood,Man Utd,12.0,16.0,4,3,0.0,,16.0,6.0,26.0,
85,Serge Aurier,Spurs,12.0,30.0,5,2,4.0,,56.0,0.0,0.0,0.0
86,John Lundstram,Sheffield Utd,12.0,12.0,5,5,7.0,,3.0,31.0,17.0,2.0
87,Bertrand Traore,Aston Villa,11.75,15.666666666666666,4,3,19.0,,26.0,2.0,,
88,George Baldock,Sheffield Utd,11.4,11.4,5,5,0.0,,0.0,29.0,2.0,26.0
89,Branislav Ivanovic,West Brom,11.4,57.0,5,1,57.0,,0.0,0.0,0.0,
90,Gabriel Magalhaes,Arsenal,11.4,14.25,5,4,22.0,,0.0,0.0,2.0,33.0
91,Gabriel Fernando de Jesus,Man City,11.25,45.0,4,1,0.0,,0.0,0.0,45.0,
92,Luke Ayling,Leeds,11.0,11.0,5,5,22.0,,23.0,10.0,0.0,0.0
93,Tyrone Mings,Aston Villa,11.0,11.0,4,4,2.0,,2.0,34.0,6.0,
94,Aaron Wan-Bissaka,Man Utd,11.0,14.666666666666666,4,3,42.0,,2.0,0.0,0.0,
95,Callum Robinson,West Brom,10.8,10.8,5,5,0.0,,4.0,35.0,13.0,2.0
96,Yves Bissouma,Brighton,10.8,13.5,5,4,32.0,,15.0,0.0,2.0,5.0
97,Ezri Konsa Ngoyo,Aston Villa,10.5,10.5,4,4,9.0,,0.0,0.0,33.0,
98,Ferran Torres,Man City,10.25,13.666666666666666,4,3,0.0,,40.0,1.0,0.0,
99,Scott McTominay,Man Utd,10.0,13.333333333333334,4,3,10.0,,2.0,0.0,28.0,
100,David McGoldrick,Sheffield Utd,10.0,10.0,5,5,9.0,,28.0,5.0,0.0,8.0
101,Tanguy Ndombele,Spurs,9.8,9.8,5,5,2.0,,43.0,4.0,0.0,0.0
102,Callum Hudson-Odoi,Chelsea,9.8,16.333333333333332,5,3,0.0,,18.0,31.0,0.0,0.0
103,Youri Tielemans,Leicester,9.8,9.8,5,5,14.0,,0.0,17.0,9.0,9.0
104,Benjamin Chilwell,Chelsea,9.6,24.0,5,2,21.0,,27.0,0.0,0.0,0.0
105,Trent Alexander-Arnold,Liverpool,9.6,9.6,5,5,8.0,,18.0,11.0,11.0,0.0
106,Jimmy Dunne,Burnley,9.5,19.0,4,2,0.0,,0.0,8.0,30.0,
107,Abdoulaye Doucoure,Everton,9.4,9.4,5,5,8.0,,2.0,33.0,0.0,4.0
108,Neeskens Kebano,Fulham,9.4,11.75,5,4,0.0,,15.0,10.0,4.0,18.0
109,Bobby Decordova-Reid,Fulham,9.4,11.75,5,4,0.0,,0.0,28.0,17.0,2.0
110,Kyle Walker,Man City,9.25,9.25,4,4,0.0,,8.0,17.0,12.0,
111,Moussa Djenepo,Southampton,9.2,11.5,5,4,0.0,,21.0,8.0,17.0,0.0
112,Oliver Burke,Sheffield Utd,9.2,15.333333333333334,5,3,0.0,,8.0,36.0,2.0,0.0
113,Ademola Lookman,Fulham,9.2,23.0,5,2,44.0,,2.0,,,
114,Ivan Ricardo Neves Abreu Cavaleiro,Fulham,9.0,9.0,5,5,2.0,,2.0,41.0,0.0,0.0
115,Sebastien Haller,West Ham,9.0,11.25,5,4,0.0,,0.0,17.0,0.0,28.0
116,Caglar Soyuncu,Leicester,8.8,11.0,5,4,0.0,,0.0,2.0,36.0,6.0
117,Enda Stevens,Sheffield Utd,8.8,8.8,5,5,19.0,,10.0,9.0,0.0,6.0
118,Douglas Luiz Soares de Paulo,Aston Villa,8.75,8.75,4,4,9.0,,0.0,0.0,26.0,
119,Ian Carlo Poveda-Ocampo,Leeds,8.6,14.333333333333334,5,3,18.0,,0.0,25.0,0.0,0.0
120,Matt Doherty,Spurs,8.6,14.333333333333334,5,3,0.0,,0.0,8.0,0.0,35.0
121,Sander Berge,Sheffield Utd,8.6,8.6,5,5,11.0,,2.0,4.0,26.0,0.0
122,Giovani Lo Celso,Spurs,8.6,21.5,5,2,0.0,,0.0,35.0,8.0,0.0
123,Edward Nketiah,Arsenal,8.4,8.4,5,5,0.0,,19.0,2.0,21.0,0.0
124,Andros Townsend,Crystal Palace,8.4,8.4,5,5,0.0,,0.0,0.0,40.0,2.0
125,Willian Borges Da Silva,Arsenal,8.4,8.4,5,5,0.0,,0.0,0.0,4.0,38.0
126,Ben Davies,Spurs,8.4,10.5,5,4,0.0,,4.0,2.0,0.0,36.0
127,James Tarkowski,Burnley,8.25,16.5,4,2,4.0,,29.0,0.0,0.0,
128,Allan Saint-Maximin,Newcastle,8.2,10.25,5,4,13.0,,23.0,0.0,0.0,5.0
129,Robin Koch,Leeds,8.2,8.2,5,5,2.0,,0.0,0.0,21.0,18.0
130,Andre-Frank Zambo Anguissa,Fulham,8.0,8.0,5,5,12.0,,2.0,18.0,8.0,0.0
131,Fabio Silva,Wolves,8.0,20.0,5,2,0.0,,0.0,40.0,0.0,0.0
132,Yerry Mina,Everton,8.0,8.0,5,5,4.0,,33.0,0.0,2.0,1.0
133,Leander Dendoncker,Wolves,7.8,9.75,5,4,4.0,,31.0,0.0,0.0,4.0
134,Darnell Furlong,West Brom,7.8,9.75,5,4,21.0,,0.0,4.0,2.0,12.0
135,Donny van de Beek,Man Utd,7.75,7.75,4,4,0.0,,6.0,2.0,23.0,
136,Miguel Almiron,Newcastle,7.6,9.5,5,4,2.0,,0.0,14.0,2.0,20.0
137,Lewis Dunk,Brighton,7.6,7.6,5,5,28.0,,1.0,2.0,0.0,7.0
138,Jordan Henderson,Liverpool,7.6,12.666666666666666,5,3,31.0,,0.0,0.0,0.0,7.0
139,Fernando Luiz Rosa,Man City,7.5,7.5,4,4,0.0,,1.0,25.0,4.0,
140,James Ward-Prowse,Southampton,7.4,7.4,5,5,2.0,,0.0,0.0,31.0,4.0
141,Kyle Edwards,West Brom,7.4,12.333333333333334,5,3,0.0,,17.0,0.0,0.0,20.0
142,James Justin,Leicester,7.4,7.4,5,5,0.0,,2.0,2.0,31.0,2.0
143,Arthur Masuaku,West Ham,7.2,9.0,5,4,24.0,,7.0,2.0,3.0,0.0
144,Kyle Bartley,West Brom,7.0,8.75,5,4,0.0,,2.0,33.0,0.0,0.0
145,Nathan Redmond,Southampton,7.0,11.666666666666666,5,3,8.0,,4.0,0.0,0.0,23.0
146,Eberechi Eze,Crystal Palace,7.0,8.75,5,4,0.0,,0.0,29.0,2.0,4.0
147,Luke Shaw,Man Utd,6.75,6.75,4,4,23.0,,0.0,2.0,2.0,
148,Cesar Azpilicueta,Chelsea,6.6,8.25,5,4,2.0,,18.0,11.0,0.0,2.0
149,Ruben Loftus-Cheek,Fulham,6.6,16.5,5,2,33.0,,0.0,0.0,0.0,0.0
150,Angelo Ogbonna,West Ham,6.6,6.6,5,5,2.0,,2.0,4.0,19.0,6.0
151,Ryan Bertrand,Southampton,6.6,6.6,5,5,2.0,,23.0,2.0,4.0,2.0
152,Kyle Walker-Peters,Southampton,6.4,6.4,5,5,17.0,,11.0,0.0,0.0,4.0
153,Aboubakar Kamara,Fulham,6.4,8.0,5,4,0.0,,25.0,0.0,2.0,5.0
154,Daniel Castelo Podence,Wolves,6.2,7.75,5,4,24.0,,0.0,0.0,7.0,0.0
155,Joelinton Cassio Apolinario de Lira,Newcastle,6.2,6.2,5,5,2.0,,21.0,0.0,0.0,8.0
156,Jeff Hendrick,Newcastle,6.0,6.0,5,5,1.0,,4.0,1.0,1.0,23.0
157,Takumi Minamino,Liverpool,6.0,10.0,5,3,0.0,,28.0,0.0,2.0,0.0
158,Declan Rice,West Ham,6.0,6.0,5,5,4.0,,6.0,2.0,10.0,8.0
159,Kelechi Iheanacho,Leicester,5.8,9.666666666666666,5,3,7.0,,22.0,0.0,0.0,0.0
160,Conor Hourihane,Aston Villa,5.75,11.5,4,2,0.0,,0.0,20.0,3.0,
161,Alireza Jahanbakhsh,Brighton,5.6,9.333333333333334,5,3,0.0,,0.0,10.0,18.0,0.0
