,Name,Team,Position,xA per fixture,xA per game,Team games,Played,GW30,GW29*,GW29,GW28*,GW28,GW27*,GW27,GW26*,GW26,GW25*,GW25,GW24,GW23*,GW23,GW22*,GW22,GW21*,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7,GW6,GW5,GW4,GW3,GW2,GW1
71,Emile Smith Rowe,Arsenal,Midfielder,13.444000000000003,16.00476190476191,25,21,14.63527893865785,10.544128811038979,18.7185575844509,,0.0,,,0.0,10.5,,,0.2,,29.6,,,,1.0,,0.8,10.3,12.6,0.0,0.0,12.3,31.6,6.1,3.4,27.2,50.9,18.5,25.0,25.7,3.9,24.3,0.5,6.4,35.3
72,Kieran Trippier,Newcastle,Defender,13.424999999999999,26.849999999999998,8,4,,26.32620907221847,18.17809604944547,0.0,0.0,,0.0,,0.0,,0.8,61.6,,13.7,,31.3,,,,,,,,,,,,,,,,,,,,,,
73,Emerson Aparecido Leite de Souza Junior,Spurs,Defender,13.4,16.080000000000002,24,20,17.440766643363183,15.81774126332975,0.0,,0.0,,0.0,42.3,4.3,,10.5,3.5,,0.0,,1.3,,91.5,3.8,56.5,25.8,,,0.0,2.3,,6.5,3.8,17.7,2.6,2.7,16.0,13.5,15.3,1.7,,,
74,Bryan Mbeumo,Brentford,Midfielder,13.16896551724138,14.68846153846154,29,26,18.115834472801616,,15.7,,2.8,,16.5,,11.6,,39.0,0.3,,22.5,26.5,1.9,21.4,0.0,0.0,0.5,,,2.3,11.8,10.7,1.9,24.0,39.8,0.0,1.3,8.3,6.4,22.8,16.1,23.4,0.8,40.3,13.3
75,Matthew Cash,Aston Villa,Defender,13.166666666666663,13.166666666666663,27,27,11.99455652413788,,13.654413257561453,31.7,21.4,,3.4,,29.7,,15.7,18.7,,1.2,,35.2,,12.8,,36.5,,27.7,2.0,25.9,0.7,3.9,2.6,1.2,0.9,12.2,25.3,6.0,11.7,1.8,10.3,1.5,1.8,13.7
76,Josh Brownhill,Burnley,Midfielder,13.133333333333335,14.775,27,24,,,2.4,,13.3,35.6,17.7,61.7,11.8,,1.3,2.7,0.0,1.0,,,,0.0,0.0,,,,0.5,16.0,22.7,,12.0,1.3,12.3,23.5,2.4,54.8,12.8,14.5,2.4,5.5,15.9,10.5
77,Solomon March,Brighton,Midfielder,12.892857142857142,16.40909090909091,28,22,,17.681246754265313,15.9,,12.5,,30.9,,27.0,0.0,0.0,,,20.8,14.3,16.8,,0.0,23.2,0.0,,31.0,,0.5,18.8,0.0,0.8,13.1,25.8,11.3,11.5,14.3,0.0,15.0,0.4,0.0,11.8,45.3
78,Cristiano Ronaldo dos Santos Aveiro,Man Utd,Forward,12.773076923076925,13.8375,26,24,,,6.3,,0.0,,25.2,,12.3,34.6,13.1,0.8,,28.4,3.7,0.0,,16.3,22.7,5.2,,,4.4,20.8,2.9,0.9,22.3,2.7,29.0,12.0,15.2,12.6,13.0,7.1,20.6,,,
79,Mateusz Klich,Leeds,Midfielder,12.725,15.491304347826087,28,23,14.304868206239831,,18.44931865181706,0.7,2.2,,1.7,3.3,25.3,,1.2,1.2,,3.3,,17.8,,79.2,,,37.5,0.9,1.1,1.7,0.6,0.0,14.4,0.0,0.0,5.9,13.0,40.5,34.3,30.9,0.0,0.0,34.4,5.2
80,Said Benrahma,West Ham,Midfielder,12.692857142857145,14.808333333333335,28,24,14.9489076041048,,13.988443211955573,,1.4,,0.0,,33.7,,0.3,0.8,,0.0,,0.0,0.0,15.5,27.8,8.0,,1.8,13.8,1.3,12.4,1.1,2.2,26.9,22.3,2.1,15.3,20.8,36.3,15.9,32.3,17.9,30.5,15.0
81,Ivan Toney,Brentford,Forward,12.551724137931032,15.166666666666664,29,24,18.91225984970281,,14.0,,12.2,,11.5,,0.0,,0.0,0.0,,15.1,32.3,7.2,2.4,13.2,1.2,34.8,,,0.0,0.0,12.0,6.2,11.4,3.4,0.4,32.8,1.5,28.7,26.3,28.3,36.8,15.1,1.4,15.8
82,Kieran Tierney,Arsenal,Defender,12.404000000000003,16.32105263157895,25,19,16.226841083174673,11.690785211159344,20.754169462860535,,26.6,,,31.2,5.8,,,1.4,,26.7,,,,15.3,,2.9,2.1,4.3,14.4,12.8,0.0,0.0,0.0,0.0,0.0,0.0,19.5,1.1,11.3,3.1,28.2,14.3,2.1,87.0
83,Emmanuel Dennis,Watford,Forward,12.385714285714286,13.338461538461539,28,26,,,13.709852004943222,2.3,11.5,,2.8,15.1,14.7,,1.9,16.0,0.0,13.2,,22.2,,0.6,7.2,,,,15.4,11.8,27.5,22.3,23.6,1.0,0.0,40.8,5.5,21.2,11.3,3.2,4.2,2.0,16.1,33.4
84,Callum Hudson-Odoi,Chelsea,Midfielder,12.107407407407406,21.793333333333333,27,15,,,24.264749575365347,0.0,0.0,,,,0.0,,,,,25.2,28.4,1.6,,10.3,1.4,17.6,0.0,0.0,11.0,23.1,0.0,51.8,15.0,58.7,42.2,14.5,0.0,12.6,0.0,0.0,13.5,0.0,0.0,0.0
85,Alexis Mac Allister,Brighton,Midfielder,12.089285714285714,14.717391304347826,28,23,,16.62812717379429,33.7,,1.3,,3.5,,32.2,15.2,5.8,,,17.8,19.1,35.2,,36.1,57.6,20.9,,1.6,,0.0,0.0,0.0,0.2,1.5,1.6,1.3,0.8,1.4,0.0,0.0,12.8,2.2,36.3,0.4
86,Frederico Rodrigues de Paula Santos,Man Utd,Midfielder,11.91379310344828,15.021739130434787,29,23,,,33.1,,1.6,,18.8,,4.0,16.6,0.0,0.0,,14.0,30.8,33.5,,0.0,0.0,21.8,,,17.8,17.9,23.8,2.8,0.0,12.7,13.2,13.4,0.0,19.5,0.8,14.9,0.0,3.0,24.3,7.2
87,Paul Pogba,Man Utd,Midfielder,11.758620689655174,21.312500000000004,29,16,,,4.8,,15.3,,38.3,,25.2,12.7,13.2,17.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,18.2,11.8,16.8,25.3,42.8,19.4,19.4,60.0
88,Ollie Watkins,Aston Villa,Forward,11.722222222222221,13.1875,27,24,12.895222841523521,,14.679717534547507,1.2,32.7,,0.9,,17.8,,1.9,35.1,,3.1,,3.9,,0.0,,9.3,,37.8,22.9,23.8,13.4,13.5,3.8,23.3,2.7,3.2,22.7,2.7,2.0,13.5,24.7,0.6,0.0,0.0
89,Ruben Diogo da Silva Neves,Wolves,Midfielder,11.592857142857145,12.484615384615388,28,26,13.931767576472515,,12.824194855748948,17.8,4.6,,18.2,6.3,1.5,,2.0,7.8,,13.5,,0.0,,5.3,,,4.8,15.1,0.4,7.4,0.0,4.9,18.3,5.2,3.6,0.0,6.8,13.7,0.0,34.6,14.6,13.6,73.4,31.2
90,Kyle Walker-Peters,Southampton,Defender,11.500000000000002,14.636363636363638,28,22,,,16.905253143820097,29.5,2.0,,29.3,,25.8,,13.0,18.1,,1.1,,0.0,,0.0,15.3,33.0,,21.5,1.5,3.3,1.8,0.0,21.4,5.3,28.7,0.0,0.0,17.0,3.4,23.1,0.0,27.3,0.6,0.0
91,Jordan Ayew,Crystal Palace,Forward,11.435714285714285,13.341666666666667,28,24,,,7.2516120392136,,0.0,,0.0,14.4,2.8,,8.8,7.1,,0.0,,0.0,,42.2,28.8,6.7,,11.7,37.8,10.9,17.7,0.6,19.9,0.0,10.8,0.0,12.8,12.6,15.7,16.3,29.1,0.9,0.7,11.9
92,Tyrick Mitchell,Crystal Palace,Defender,11.39642857142857,11.39642857142857,28,28,,,5.870736727557911,,5.8,,12.2,20.8,1.4,,3.0,3.5,,0.8,,12.3,,69.2,16.7,5.9,,8.6,6.3,4.7,1.7,16.9,2.2,23.0,1.1,17.4,16.1,17.5,18.9,2.0,12.4,15.1,1.7,1.9
93,Harvey Barnes,Leicester,Midfielder,11.395999999999999,14.245,25,20,14.118246436520971,,13.100836235305815,,2.8,,27.7,,0.0,,26.8,10.1,,14.6,,11.4,,,0.0,0.0,,,11.2,17.4,26.1,26.2,2.1,0.7,5.9,0.0,0.0,12.3,14.8,49.6,4.3,7.1,12.3,1.5
94,Anthony Gordon,Everton,Midfielder,11.376,12.927272727272726,25,22,,15.139197065921943,12.695964260276195,,33.4,,1.8,,12.3,,32.4,12.6,,57.4,,17.3,,17.8,,,,14.6,0.8,0.5,0.5,5.7,1.6,18.0,4.8,23.4,0.3,26.7,2.0,0.0,0.0,0.0,0.0,0.5
95,Neal Maupay,Brighton,Forward,11.367857142857146,12.242307692307694,28,26,,12.563940133725147,18.1,,4.1,,24.8,,4.5,1.4,3.8,,,38.1,0.8,3.0,,24.3,23.8,24.1,,0.0,,3.1,17.3,8.9,0.0,1.5,0.0,1.3,23.8,28.0,2.3,3.3,4.9,32.8,13.8,6.5
96,Ademola Lookman,Leicester,Midfielder,11.21818181818182,12.989473684210529,22,19,13.735215368159711,,12.745407724959481,,12.3,,11.1,,25.9,,0.5,15.8,,22.8,,4.5,,,1.5,21.4,,,0.0,12.3,10.8,16.3,0.3,15.4,2.8,0.0,0.0,2.0,47.9,22.7,0.5,,,
97,Declan Rice,West Ham,Midfielder,11.157142857142858,12.015384615384617,28,26,11.532691583039776,,10.79171840262442,,0.0,,13.7,,28.6,,3.3,4.6,,2.2,,7.3,14.9,12.0,0.0,6.6,,3.5,23.2,0.8,16.4,3.1,3.1,1.8,25.2,2.3,25.7,1.9,11.6,2.3,15.8,24.3,32.9,25.3
98,Gabriel Teodoro Martinelli Silva,Arsenal,Midfielder,11.044,16.241176470588236,25,17,14.776926501766035,10.646180173192207,18.89972516436864,,11.3,,,23.5,0.0,,,6.7,,33.1,,,,1.3,,3.6,57.3,12.9,39.9,1.6,33.1,11.8,0.0,0.5,0.0,0.0,1.1,0.0,0.0,0.0,0.0,0.0,16.0,22.4
99,Tino Livramento,Southampton,Defender,10.989285714285714,13.378260869565217,28,23,,,14.53692694057165,5.8,38.9,,24.2,,27.1,,0.7,0.0,,0.0,,0.0,,0.0,0.0,6.3,,0.9,2.1,22.6,4.0,17.4,8.0,2.4,2.0,42.8,12.3,1.3,25.3,1.2,12.1,34.8,5.3,10.2
100,Tariq Lamptey,Brighton,Defender,10.875000000000004,14.500000000000005,28,21,,14.199509770450632,0.0,,20.1,,12.2,,32.3,15.0,19.3,,,16.8,16.9,14.3,,0.3,1.8,1.6,,5.3,,11.3,15.3,63.5,5.8,34.9,0.5,11.2,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,Mateo Kovacic,Chelsea,Midfielder,10.825925925925926,15.38421052631579,27,19,,,18.562329333303843,20.4,2.3,,,,0.3,,,,,23.8,12.3,16.6,,5.3,7.9,11.8,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.3,10.5,23.3,5.2,15.8,17.5,1.2,14.8,28.5
102,Christian Eriksen,Brentford,Midfielder,10.816666666666668,21.633333333333336,6,3,20.993092368379003,,27.1,,19.3,,18.5,,0.0,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
103,Rodrigo Bentancur,Spurs,Midfielder,10.814285714285715,12.616666666666667,7,6,13.21769016382045,11.987661287225032,34.1,,4.8,,0.0,3.5,0.7,,30.7,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Jorge Luiz Frello Filho,Chelsea,Midfielder,10.748148148148148,12.617391304347825,27,23,,,13.675019094328542,5.8,27.5,,,,1.4,,,,,13.6,3.9,0.0,,0.9,2.6,13.7,0.0,22.5,12.8,16.8,0.0,15.2,30.5,18.4,7.8,29.2,0.0,1.3,0.3,16.0,11.8,0.6,16.2,21.4
105,Kiernan Dewsbury-Hall,Leicester,Midfielder,10.74,16.78125,25,16,17.81952391220429,,16.53538671495463,,4.3,,36.7,,35.1,,30.3,2.6,,4.1,,53.6,,,16.6,18.5,,,24.3,14.4,5.1,0.0,11.4,11.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
106,Tom Cleverley,Watford,Midfielder,10.685714285714285,13.008695652173913,28,23,,,12.572929251242373,1.2,2.9,,20.2,14.3,11.9,,0.8,2.8,4.4,32.0,,0.1,,0.0,0.0,,,,30.0,10.4,25.8,57.0,2.8,0.0,15.4,0.0,1.3,0.0,0.8,46.8,0.0,0.9,5.4,12.0
107,Joelinton Cassio Apolinario de Lira,Newcastle,Forward,10.551851851851852,11.396,27,25,,11.347821192216449,7.835605309452948,0.0,13.5,,14.5,,25.8,,1.8,21.2,,11.4,,3.0,,,,32.7,2.4,1.8,24.8,12.8,3.3,0.4,29.1,2.0,0.0,1.0,17.5,4.2,24.2,22.9,2.3,10.8,0.7,0.8
108,Michael Olise,Crystal Palace,Midfielder,10.382142857142856,13.842857142857142,28,21,,,7.8582627111659855,,19.8,,30.3,3.8,40.3,,5.8,37.6,,31.1,,3.6,,19.3,0.0,0.0,,1.8,0.0,0.3,0.0,11.1,4.7,0.0,10.6,32.3,10.1,27.1,0.0,0.7,0.4,0.0,0.0,0.0
109,Pierre-Emile Højbjerg,Spurs,Midfielder,10.359259259259261,11.188000000000002,27,25,12.20448420236628,11.068743554279846,5.4,,13.3,,13.6,5.1,0.4,,0.0,11.3,,17.5,,7.8,,38.6,6.3,7.9,0.0,,,24.5,14.0,,3.6,3.4,5.3,5.0,22.6,3.8,8.3,2.5,13.2,21.4,3.1,21.8
110,Jakub Moder,Brighton,Midfielder,10.192857142857145,10.976923076923079,28,26,,12.127545849842551,0.0,,19.7,,15.7,,2.9,12.9,17.5,,,6.9,5.5,12.3,,0.3,4.4,27.3,,21.6,,10.1,16.3,28.3,6.3,0.0,1.3,34.1,9.6,14.2,1.1,0.2,2.3,3.8,0.0,10.8
111,Vladimir Coufal,West Ham,Defender,10.085714285714287,12.836363636363638,28,22,12.944418366769776,,12.112742016388765,,0.0,,0.0,,0.0,,0.6,16.9,,1.4,,5.1,26.7,13.0,11.6,6.9,,3.0,3.4,11.8,34.3,11.0,0.0,0.0,0.6,0.0,0.0,16.1,32.6,12.2,8.2,24.7,18.4,23.9
112,Pierre Lees-Melou,Norwich,Midfielder,10.075,12.265217391304347,28,23,,,16.198677820539785,6.9,5.2,,15.5,,0.0,,24.8,1.8,,2.8,,15.1,,1.1,31.6,3.3,,0.0,1.2,16.9,3.0,0.0,0.0,41.8,0.0,1.5,17.4,4.0,30.2,0.0,14.9,11.3,1.7,30.1
113,Christian Nørgaard,Brentford,Midfielder,9.993103448275862,10.35,29,28,13.363433819711636,,0.0,,10.7,,19.6,,1.0,,4.8,10.9,,13.3,23.4,19.0,6.6,12.8,0.0,33.1,,,13.0,13.7,16.3,0.4,12.0,5.1,15.1,13.8,12.8,1.3,11.1,11.8,1.1,1.4,3.9,1.8
114,Konstantinos Tsimikas,Liverpool,Defender,9.921428571428573,27.78,28,10,,24.80012042953751,0.0,,0.0,,,0.0,27.9,,0.0,0.0,,0.0,,0.0,,20.3,54.0,,0.6,0.0,0.0,0.0,0.0,0.0,31.3,0.0,0.0,0.0,0.7,0.0,0.0,67.1,0.0,14.3,58.7,2.9
115,Hassane Kamara,Watford,Defender,9.920000000000002,9.920000000000002,10,10,,,9.322672997528336,1.4,16.1,,0.8,22.1,1.4,,0.8,14.9,23.6,3.0,,15.1,,,,,,,,,,,,,,,,,,,,,,
116,Adama Traore,Wolves,Midfielder,9.682142857142859,13.555000000000001,28,20,14.915197188869108,,13.729442011722591,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,1.3,,0.5,,1.8,,,0.0,35.8,2.5,4.6,32.1,1.1,1.1,1.9,0.0,14.4,3.5,0.0,0.1,22.3,28.3,47.7,58.7,13.4
117,Thomas Partey,Arsenal,Midfielder,9.68,12.1,25,20,11.712015596963356,8.438035353400945,14.979696615324684,,15.6,,,37.8,26.9,,,1.7,,0.0,,,,12.1,,13.6,7.5,6.9,25.9,6.3,5.1,3.9,2.0,0.0,1.9,6.8,13.7,15.7,22.6,15.3,0.7,0.0,0.0,0.0
118,Juan Camilo Hernandez Suarez,Watford,Forward,9.660714285714286,12.880952380952381,28,21,,,15.520076817815422,6.7,22.8,,0.0,1.3,0.0,,0.0,0.0,10.0,2.2,,0.5,,0.0,2.3,,,,11.6,57.5,0.0,15.3,43.6,18.6,2.0,61.5,10.8,0.0,0.0,0.0,0.7,1.6,1.2,0.3
119,Scott McTominay,Man Utd,Midfielder,9.63103448275862,11.637500000000001,29,24,,,0.0,,1.3,,0.0,,1.2,27.8,2.3,1.4,,33.8,13.8,0.0,,15.4,12.8,3.3,,,27.3,12.8,13.3,1.6,0.5,1.6,2.5,34.2,0.3,20.1,11.9,27.4,0.0,0.0,0.3,12.4
120,Mohamed Elyounoussi,Southampton,Midfielder,9.6,12.8,28,21,,,13.891209347295101,3.0,2.8,,21.0,,23.0,,47.0,38.3,,0.0,,0.0,,0.0,0.0,2.3,,0.0,10.5,0.3,0.6,0.0,27.1,2.7,14.3,13.3,12.8,0.0,2.8,11.3,12.1,23.6,0.0,0.0
121,Alex Nicolao Telles,Man Utd,Defender,9.389655172413793,20.946153846153848,29,13,,,31.1,,1.3,,68.1,,0.0,1.0,0.0,0.0,,22.5,12.7,16.8,,0.0,0.0,48.8,,,18.2,24.1,26.3,1.3,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,Hakim Ziyech,Chelsea,Midfielder,9.385185185185186,18.1,27,14,,,21.067229876371503,0.0,0.0,,,,4.0,,,,,29.7,5.3,9.3,,0.0,0.0,0.0,17.3,38.8,0.0,14.3,1.5,37.3,25.7,0.0,24.1,15.1,0.0,0.0,0.0,0.0,24.7,0.0,6.3,0.0
123,Daniel James,Leeds,Midfielder,9.289285714285713,10.003846153846153,28,26,9.673831188289661,,12.476563335186155,1.5,24.9,,11.9,0.4,21.7,,0.8,0.6,,0.6,,6.4,,28.2,,,0.0,2.1,22.3,25.3,13.1,11.3,12.3,3.8,11.8,16.9,5.4,1.3,0.5,11.8,1.4,11.0,0.0,12.8
124,Nelson Cabral Semedo,Wolves,Defender,9.275000000000002,11.291304347826088,28,23,12.51691098907156,,11.521819082526068,0.0,0.0,,0.0,1.3,20.8,,21.9,30.3,,14.5,,3.2,,32.9,,,0.0,1.8,0.7,5.5,21.8,4.6,3.5,1.3,13.4,10.7,14.5,4.8,3.3,5.8,4.9,13.0,25.2,0.0
125,Manuel Lanzini,West Ham,Midfielder,9.257142857142856,12.342857142857142,28,21,12.28284624550441,,11.493675774625894,,11.2,,7.2,,0.0,,6.5,11.8,,3.9,,27.7,16.2,9.6,37.9,49.8,,23.5,25.1,5.5,2.7,2.3,3.2,0.0,13.3,0.7,0.3,0.0,0.0,0.3,0.0,0.5,0.0,0.0
126,Rayan Ait Nouri,Wolves,Defender,9.217857142857143,16.13125,28,16,18.2141502853233,,16.766129000410984,22.7,0.0,,0.0,11.3,19.2,,16.4,1.0,,7.0,,28.9,,0.0,,,0.0,0.0,14.3,1.5,14.0,21.1,58.6,6.3,34.3,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
127,Chris Wood,Newcastle,Forward,9.208,9.208,25,25,,9.242833082446904,6.382123118478805,1.0,16.8,,23.7,,23.3,,13.4,1.5,,24.2,,1.2,,0.8,12.3,,,,2.2,13.0,10.5,,0.7,0.5,3.6,2.3,2.4,13.0,2.3,11.8,2.6,34.3,0.8,12.0
128,Mason Greenwood,Man Utd,Midfielder,9.175862068965518,14.783333333333335,29,18,,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,5.1,13.9,2.3,,13.1,31.1,1.2,,,0.8,11.2,0.0,0.0,0.0,2.2,0.0,21.4,2.8,8.7,39.1,19.2,29.2,26.4,14.7,23.7
129,Francisco Femenia Far,Watford,Defender,9.175,12.845000000000002,28,20,,,12.705632583543274,0.7,26.7,,0.0,29.8,2.3,,26.3,6.4,35.0,13.2,,15.0,,0.0,0.4,,,,1.5,10.9,19.3,14.9,13.5,1.6,0.0,0.0,0.2,1.3,1.4,36.5,0.0,0.0,0.0,0.0
130,Alex Iwobi,Everton,Midfielder,9.136000000000001,14.275000000000002,25,16,,17.96886991671662,15.068971575362315,,0.0,,24.8,,12.8,,53.3,0.0,,0.0,,0.0,,0.0,,,,1.5,0.0,0.3,0.0,7.5,9.2,0.0,23.3,0.7,1.6,0.0,26.4,3.0,1.2,22.9,28.9,11.0
131,Tomas Soucek,West Ham,Midfielder,9.125000000000002,9.826923076923078,28,26,10.161735504831391,,9.50884598451961,,14.4,,22.0,,11.3,,1.6,24.2,,12.2,,0.0,0.0,11.6,12.8,13.3,,1.8,13.0,11.5,11.6,1.1,2.0,0.5,3.4,21.7,18.9,22.6,3.8,3.2,5.6,1.1,6.5,3.8
132,Takehiro Tomiyasu,Arsenal,Defender,9.036363636363639,12.425000000000004,22,16,11.704539994685321,8.43264948315617,14.970135301713487,,0.0,,,0.0,0.0,,,0.0,,0.0,,,,1.1,,0.0,0.3,21.3,20.0,17.4,18.4,43.1,15.0,30.8,1.5,3.2,14.9,1.3,2.3,2.9,5.3,,,
133,Richarlison de Andrade,Everton,Forward,9.004,12.505555555555555,25,18,,14.678605174775967,12.309704793337534,,1.7,,1.0,,6.1,,34.5,15.2,,2.4,,1.1,,0.0,,,,0.0,1.3,46.3,11.3,0.0,1.3,2.2,11.3,14.5,0.0,0.0,0.0,0.0,2.3,11.7,31.6,29.3
134,Granit Xhaka,Arsenal,Midfielder,8.996000000000002,16.06428571428572,25,14,15.113885939380687,10.888945871693473,19.330697109833483,,12.9,,,24.3,45.3,,,1.8,,0.0,,,,2.4,,38.9,30.1,8.7,4.3,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.3,26.0,24.7
135,Brandon Williams,Norwich,Defender,8.817857142857143,11.222727272727273,28,22,,,14.241540235153652,12.3,11.2,,1.5,,24.1,,10.9,10.8,,0.6,,13.6,,15.5,1.8,1.4,,1.8,0.0,38.3,30.2,4.3,13.8,22.1,0.0,11.6,0.0,0.0,3.9,2.3,11.8,3.1,0.0,0.0
136,Matthew Lowton,Burnley,Defender,8.729629629629628,13.094444444444441,27,18,,,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,24.9,19.7,,,,16.2,11.2,1.7,,1.3,1.5,15.7,14.8,15.0,7.2,25.4,25.8,15.5,11.1,12.8,15.9
137,Vitaly Janelt,Brentford,Midfielder,8.634482758620692,10.886956521739133,29,23,13.740497963247265,,0.8,,4.8,,3.8,,4.7,,2.8,0.0,,25.5,1.4,1.7,3.3,0.3,0.0,0.0,,,30.7,30.9,11.3,11.6,1.6,1.4,0.9,0.0,0.0,0.0,26.7,24.8,15.3,21.7,23.0,1.4
138,Ismaila Sarr,Watford,Midfielder,8.62142857142857,15.087499999999999,28,16,,,15.543965597826706,0.0,0.0,,22.7,3.8,46.8,,1.2,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,0.0,0.0,11.5,4.9,5.0,16.2,8.7,1.5,1.0,3.8,13.3,26.1,28.8,46.1
139,N'Golo Kante,Chelsea,Midfielder,8.614814814814814,12.92222222222222,27,18,,,16.258843167183212,11.0,35.5,,,,16.7,,,,,1.4,17.3,2.2,,39.0,1.0,6.5,11.3,0.0,0.0,0.0,0.0,0.0,12.4,16.3,7.8,0.0,23.2,0.0,0.9,18.0,0.0,11.3,0.8,0.0
140,Cesar Azpilicueta,Chelsea,Defender,8.522222222222224,12.783333333333337,27,18,,,17.334847446467677,14.4,0.0,,,,0.0,,,,,23.8,19.3,13.3,,19.4,2.8,0.0,17.7,5.2,11.8,0.0,2.2,0.0,0.0,0.0,0.0,0.0,4.1,29.9,12.2,25.5,10.4,5.4,4.1,8.6
141,Max Aarons,Norwich,Defender,8.49642857142857,8.81111111111111,28,27,,,10.127589803449641,1.6,0.7,,1.9,,11.1,,0.7,0.3,,1.0,,2.4,,1.2,0.0,1.5,,4.3,12.3,3.7,35.7,12.7,15.6,0.8,4.8,2.2,14.6,11.7,1.9,16.4,20.0,42.8,3.6,12.4
142,Allan Marques Loureiro,Everton,Midfielder,8.476,9.631818181818183,25,22,,11.979536826506845,10.046224429322558,,5.2,,15.8,,1.6,,13.2,3.4,,14.6,,0.0,,12.8,,,,0.0,0.0,0.9,1.7,14.3,1.1,38.6,3.2,12.3,5.3,0.9,1.5,1.2,3.1,36.9,22.3,2.0
143,Che Adams,Southampton,Forward,8.471428571428573,10.781818181818183,28,22,,,12.456588789193782,18.5,3.0,,1.3,,32.2,,12.8,20.9,,0.9,,1.0,,0.6,0.0,1.3,,0.0,0.0,11.7,1.6,4.9,10.6,13.2,11.4,1.3,0.0,0.0,22.5,10.7,0.0,12.9,25.6,18.3
144,Odsonne Edouard,Crystal Palace,Forward,8.448,9.600000000000001,25,22,,,5.0217961091255034,,0.0,,0.0,0.0,0.0,,24.7,0.1,,1.9,,0.4,,24.9,34.3,12.3,,11.2,11.9,0.5,2.1,0.3,0.0,11.8,0.3,5.6,32.8,22.9,2.6,10.3,0.3,,,
145,Thiago Alcantara do Nascimento,Liverpool,Midfielder,8.314285714285715,14.55,28,16,,13.005213281671754,10.9,,0.0,,,4.1,24.3,,2.5,6.3,,0.0,,0.0,,0.0,0.0,,0.0,39.0,27.3,20.3,2.3,1.9,26.1,4.5,0.0,0.0,0.0,0.0,0.0,23.8,25.2,12.3,2.0,0.0
146,Jacob Ramsey,Aston Villa,Midfielder,8.277777777777779,8.940000000000001,27,25,7.938076180708248,,9.03658025399035,25.1,1.3,,2.2,,8.9,,13.8,2.6,,2.8,,13.5,,4.3,,4.0,,24.7,0.6,22.8,0.0,1.5,3.3,11.3,0.5,10.8,0.3,3.6,6.1,18.4,21.7,0.0,7.3,12.1
147,Teemu Pukki,Norwich,Forward,8.228571428571431,8.533333333333337,28,27,,,9.730802724086379,1.2,10.8,,17.8,,1.8,,2.2,0.3,,24.3,,1.6,,28.9,0.0,11.8,,0.8,12.3,14.0,11.4,13.6,1.5,1.6,1.3,16.3,2.5,12.4,15.8,11.3,1.1,11.0,0.3,2.5
148,Hector Junior Firpo Adames,Leeds,Defender,8.189285714285715,12.06842105263158,28,19,12.512642444800758,,16.137843726493266,1.6,12.6,,18.3,11.0,49.8,,0.0,0.0,,0.0,,0.5,,1.3,,,0.0,10.6,12.3,14.4,12.6,1.5,0.5,0.0,0.0,0.0,0.0,27.3,12.1,37.8,1.8,0.0,2.5,0.8
149,Joel Veltman,Brighton,Defender,8.157142857142858,9.516666666666667,28,24,,9.525273661038534,0.0,,14.3,,1.8,,3.3,20.4,23.8,,,4.1,1.9,12.7,,9.3,14.4,0.0,,11.3,,0.5,2.0,2.8,0.0,27.9,1.0,0.3,2.5,16.3,16.7,15.0,3.5,22.6,0.0,0.0
150,Sergi Canos,Brentford,Midfielder,8.086206896551724,8.375,29,28,10.184544429220697,,0.0,,12.5,,0.7,,2.5,,14.6,10.0,,2.3,0.8,1.3,1.2,0.4,0.0,30.4,,,0.0,11.9,1.2,1.0,25.3,7.1,16.8,36.5,4.8,1.2,4.1,7.8,1.3,1.2,22.8,14.8
151,Aaron Wan-Bissaka,Man Utd,Defender,8.03793103448276,12.950000000000003,29,18,,,0.0,,1.3,,45.7,,1.3,0.0,0.0,0.0,,0.0,0.0,0.0,,18.6,23.6,0.0,,,0.0,0.0,0.0,1.0,2.1,1.7,16.9,1.8,2.8,34.6,23.1,5.6,15.3,3.1,32.3,2.3
