,Teams,Threat av adj,Matches,Threat GW6 adj,Threat GW5 adj,Threat GW4 adj,Threat GW3 adj,Threat GW2 adj,Threat GW1 adj
1,Liverpool,265.1605277496793,6,220.5764780487805,264.5702087475149,216.5876160990712,326.1019897959184,260.591083032491,302.53579077429987
2,Spurs,209.53017696720883,6,165.86515432098767,161.7843859649123,281.9124572405929,261.4106981981982,208.87994659546064,177.3284194831014
3,Man City,202.68421115925315,5,217.5721052631579,234.84210459183674,194.88019769357496,155.64216426193119,210.4844839857651,
4,Leeds,197.4220109383551,6,265.8120743034056,201.43138790035587,306.24036949685535,168.45714146341464,124.1005221238938,118.49057034220533
5,Aston Villa,190.55325247037024,5,121.01431630971993,148.23063263041067,324.03543726235745,161.24625663716813,198.2396195121951,
6,Everton,187.68628225136456,6,120.9975300400534,142.67231939163497,289.1770675453048,125.75059090909092,256.96438037865755,190.5558052434457
7,Chelsea,183.6722025885101,6,78.86297035347776,284.02578104138854,179.5198090909091,235.61909638554218,88.26338403041825,235.74217462932452
8,Man Utd,175.94727499128575,5,169.90079422382672,262.8430855855856,75.03134831460673,193.30858319604613,178.65256363636362,
9,West Ham,174.77537824724058,6,69.99779874213837,232.23988764044944,204.34651498335185,202.56302491103202,189.8205612244898,149.684481981982
10,Arsenal,146.69720795159392,6,181.0531298557159,149.99528301886792,118.19920975609756,82.21794676806084,152.858350877193,195.85932743362832
11,Brighton,145.0121035485929,6,63.214879518072294,212.47513636363635,166.89733598409546,186.7330102622577,99.55092342342343,141.2013357400722
12,Leicester,144.08678207989306,6,70.5743112244898,123.8815531475748,78.10280701754385,153.74516509433963,264.9916666666667,173.22518932874354
13,Southampton,141.8430501450265,6,134.6558051689861,203.19216606498196,128.07170395869193,57.905586419753085,208.42041198501872,118.81262727272728
14,Burnley,137.18863466012198,5,145.29880149812735,96.87475043029261,95.25376126126126,157.9336181575434,190.58224195338516,
15,Crystal Palace,119.73201139692225,6,233.00506194690266,45.576820428336084,58.546895306859206,131.81096421471173,151.3806442417332,98.07168224299066
16,Sheffield Utd,119.62297446585744,6,198.29034220532318,100.4623274336283,85.17589285714286,143.01691927512354,45.94282765737874,144.84953736654805
17,Fulham,117.36926799956689,6,138.75927272727273,145.18958048780488,117.69024911032028,142.75092879256965,112.37043657331137,47.45514030612245
18,Newcastle,113.38297143602705,6,76.95131672597864,96.08591790193843,136.42163580246913,102.42374531835206,67.5794233937397,200.83578947368423
19,Wolves,110.96613485521891,6,85.22704954954955,80.15233937397034,139.29650442477876,142.81656140350879,114.99638364779875,103.30797073170731
20,West Brom,108.2997729780834,6,122.58593080724876,169.79095679012346,84.06144192256342,120.53772563176896,78.70726640159047,74.11531631520533
