,Teams,Threat av,Matches,Threat GW6,Threat GW5,Threat GW4,Threat GW3,Threat GW2,Threat GW1
1,Liverpool,276.6666666666667,6,237.0,279.0,264.0,268.0,227.0,385.0
2,Spurs,223.5,6,169.0,145.0,311.0,365.0,164.0,187.0
3,Leeds,195.5,6,324.0,178.0,245.0,181.0,147.0,98.0
4,Man City,193.8,5,195.0,193.0,248.0,147.0,186.0,
5,Aston Villa,193.2,5,154.0,140.0,268.0,191.0,213.0,
6,Man Utd,181.4,5,148.0,367.0,63.0,123.0,206.0,
7,Chelsea,171.16666666666666,6,87.0,223.0,207.0,287.0,73.0,150.0
8,Everton,169.16666666666666,6,95.0,118.0,184.0,145.0,313.0,160.0
9,West Ham,164.66666666666666,6,56.0,195.0,193.0,179.0,156.0,209.0
10,Brighton,161.0,6,77.0,245.0,176.0,206.0,139.0,123.0
11,Leicester,147.16666666666666,6,58.0,151.0,70.0,123.0,270.0,211.0
12,Arsenal,142.5,6,171.0,120.0,127.0,68.0,137.0,232.0
13,Southampton,141.0,6,142.0,177.0,156.0,59.0,175.0,137.0
14,Burnley,135.4,5,122.0,118.0,133.0,124.0,180.0,
15,Fulham,129.33333333333334,6,160.0,156.0,104.0,174.0,143.0,39.0
16,Crystal Palace,123.16666666666667,6,276.0,29.0,51.0,139.0,167.0,77.0
17,Sheffield Utd,119.83333333333333,6,164.0,119.0,70.0,182.0,56.0,128.0
18,Wolves,119.5,6,119.0,102.0,165.0,128.0,92.0,111.0
19,Newcastle,103.66666666666667,6,68.0,106.0,139.0,86.0,43.0,180.0
20,West Brom,95.83333333333333,6,78.0,173.0,66.0,105.0,83.0,70.0
