,Teams,Threat allowed av adj,Matches,Threat allowed GW6 adj,Threat allowed GW5 adj,Threat allowed GW4 adj,Threat allowed GW3 adj,Threat allowed GW2 adj,Threat allowed GW1 adj
1,Brighton,108.8119506561809,6,129.4081043478261,37.43589986468201,172.93643349753697,107.80807607497245,65.94969453376206,139.33349561830576
2,Arsenal,111.07701204627598,6,62.66167610419027,158.33867389060887,92.87607788595271,154.01443373493976,150.62684210526317,47.94436855670103
3,Southampton,127.9340202258985,6,89.28783251231528,207.14246348588122,109.49916521739131,145.60841949778435,116.66747203579419,99.39876860622462
4,Man City,128.5011814398408,5,54.07117408906883,133.8905263157895,199.25204603580565,132.88596828992075,122.40619246861925,
5,Liverpool,128.73890401600912,6,217.59538247566064,110.9048866995074,220.55207039337478,75.87129824561403,67.80896786757546,79.70081841432226
6,Chelsea,136.87821234727775,6,129.72028665931643,199.5894680851064,65.83554803788904,174.20321739130438,130.45252409638553,121.4682298136646
7,Spurs,144.3958893702712,6,143.25989660265878,188.28355263157897,55.21877067254685,131.8993890675241,197.33421985815602,150.37950738916257
8,Wolves,145.3613182128928,6,104.29254019292604,144.76271099744247,127.85164948453607,172.83464574898787,152.59582043343653,169.83054242002783
9,West Ham,156.33131265888701,6,159.9794891640867,103.15111856823268,75.62616081540205,170.3042677824268,152.858350877193,276.06848874598074
10,Sheffield Utd,156.6425658983454,6,136.19933132530122,191.77747422680412,141.70080701754387,147.20253196930946,175.28951863354038,147.68573221757322
11,Leicester,156.7437781349976,6,190.794,115.21376811594203,186.35243927125507,120.59992260061918,211.36706056129987,116.13547826086956
12,Everton,157.40562575711118,6,160.12262411347518,160.33592168674699,173.808198757764,179.4341407307172,137.70349565217393,133.02937360178973
13,Aston Villa,173.31186301195015,5,263.50066496163686,163.13643261608155,151.71571084337347,213.9056443298969,74.30086230876218,
14,Man Utd,176.72844029532513,5,80.81342745861734,162.5736655948553,221.24136465324383,203.43459627329193,215.57914749661705,
15,Crystal Palace,183.70775494834788,6,196.69484536082473,241.94891304347826,192.28022395326195,136.2814285714286,180.55661521499448,154.48450354609932
16,Leeds,184.07222518097888,6,126.73514492753624,135.71121338912133,203.4610939112487,241.47780250347705,175.7960180412371,221.252078313253
17,Burnley,195.73237937030476,5,120.2244071588367,287.0205391304348,213.18622186495176,66.52982269503546,291.700906002265,
18,West Brom,196.54058143160083,6,76.04108695652174,138.56285081240767,175.90936170212765,266.59142161635833,294.1799113300493,227.95885617214043
19,Newcastle,205.81739302487043,6,158.3297489539749,321.6712513781698,156.17677252584932,259.6562639821029,137.2689751552795,201.80134615384617
20,Fulham,211.54990265887065,6,356.2864952638701,157.88933240611962,219.5328451882845,157.18449792960664,119.55122762148338,258.8550175438597
