,Name,Team,Position,xA per fixture adj,xA per game adj,Team games,Played,GW38,GW37*,GW37,GW36,GW35*,GW35,GW34*,GW34,GW33,GW32,GW31,GW30,GW29,GW28*,GW28,GW27,GW26,GW25*,GW25,GW24,GW23,GW22,GW21,GW20,GW19,GW18,GW17,GW16,GW15,GW14,GW13,GW12,GW11,GW10,GW9,GW8,GW7*,GW7,GW6,GW5,GW4,GW3,GW2,GW1
1,Bruno Borges Fernandes,Man Utd,Midfielder,43.69528539973051,47.440595576850264,38,35,16.224218452154023,69.15339307571254,0.0,0.0,,101.56631616391577,,88.75027792140642,14.04492574257426,22.03924449932645,43.956756008991874,65.3778307254623,,,64.19732903687792,61.351530238240684,28.976531138790037,,22.367478530198508,113.8686322446668,30.114654951622082,47.030560245587104,25.058319749810465,37.6769588313413,56.45227581649991,27.046674018212865,0.0,73.39606355796872,66.91631160297425,19.347075537681416,39.81859649122808,36.50692031535971,14.538747330960856,53.899225717776424,48.555937176835585,24.92025337837838,,59.68584975864844,24.54384746727376,32.88108272969882,82.01743329956095,52.53244545627015,58.50526156178924,37.101886415963165
2,Pascal Groß,Brighton,Midfielder,43.57778887065056,45.99877714124225,38,36,49.33676798454222,38.36404374891925,61.6129944046162,24.530495563526525,,36.51680693069307,,15.597846670739157,50.21800369948777,40.24219858156029,108.15591749644382,39.237498877413564,,,55.43895370897363,13.12525800711744,88.37290547798068,,97.40526370217168,8.065982752084913,48.27364139179405,22.52724623398564,60.791353798925556,27.611828400682985,49.14872156937074,92.55300985518906,98.30594224924012,75.08479652817303,23.104202524893314,34.43933339097355,86.11876304306583,26.625083376421923,24.073998388829217,36.8516859430605,9.532017409896152,27.38981252806466,,0.0,0.0,1.7710634661117721,34.62630442385033,72.50123363688105,19.770254029163468,58.63474728987752
3,Martin Ødegaard,Arsenal,Midfielder,39.146877161758695,42.50232377562372,38,35,94.56916666666667,,13.409480529131988,31.714348450974136,,28.82244503411676,107.24271053086635,34.227796623177284,33.10010100056636,22.497582920320244,20.929569196114315,51.126275198533904,,,42.87897848506401,43.93505493795244,29.36786850848051,,38.753443369379625,71.12871585088219,50.7030017961383,61.57491557579207,45.991199718423175,43.11142437722421,74.27743312464429,48.6646901661428,55.378665650019066,21.316893524636587,57.516373363367585,77.16495625479662,23.60866109530583,0.0,0.0,0.0,29.239092166695492,56.15224801466096,,43.76580086234431,32.15638457164519,38.3965037593985,4.554163198573129,12.519476868327404,22.596172566371685,25.189738190096755
4,Bukayo Saka,Arsenal,Midfielder,33.693542820981655,36.581560777065796,38,35,0.0,,37.192332788347215,59.35113781539445,,14.841408263836243,53.376060868061565,38.58247812739831,47.13282990371909,41.64216069386199,0.0,2.253022296884545,,,38.74241820768137,26.771778050672186,29.46708428046862,,3.1487172737620948,37.784607285145135,3.439650875617423,51.6712578258395,64.13661102172165,18.880178825622778,49.4913766363119,47.90032330489448,46.401264773160506,13.282888427411743,20.610033788540054,53.47548887183423,68.2027987197724,35.36251707455891,27.2843372967302,10.928753231644261,42.484989624762235,0.0,,3.7151093899712557,60.548643858984086,26.613449695667743,57.51739447086803,63.80894661921709,34.57899135156879,49.73358565737052
5,Andreas Hoelgebaum Pereira,Fulham,Midfielder,32.06603408600902,32.93268365590115,38,37,0.0,,2.253022296884545,29.863947368421055,,30.812962590506842,,13.249025594970814,35.76619877632328,28.17727924462319,108.61728988806678,69.82666494312308,46.56760708870357,,8.360988488104374,17.63031738467404,58.02341260404281,,66.84292240891071,2.084085755349729,66.44600811041548,47.33537235947011,36.00921753415183,14.755472813238772,25.371478760779308,12.594869095048379,5.45686745934604,54.4970297381901,58.45311041548093,51.84955208801078,19.508973138910207,29.45801868982443,63.08359393579073,13.628343499809379,30.97337376800607,14.96285677352637,,28.74850337195228,14.037016291230895,47.69065958045896,33.62202504581551,19.737840256670047,11.400763691322902,0.8126244181883281
6,Morgan Gibbs-White,Nott'm Forest,Midfielder,30.231625246991133,31.048696199612515,38,37,30.114654951622082,,28.15979681826042,54.277029472595665,,36.741594379963345,,36.669676870748305,8.448082118188795,34.19976686884004,54.31837544483986,76.91828439259857,42.418325355483596,,54.8378583682806,18.599593623709026,24.209135359637532,,23.73648406374502,32.24512589613569,17.578810284254235,21.845764944275583,0.0,14.421516795481573,47.325923238328386,15.222887256467585,16.992336997725552,16.63488334612433,2.524088078291815,36.97441102756893,68.79068623713306,23.1713296812749,4.499042854445913,15.159942748091604,49.128568914543145,65.62019810941271,,11.400763691322902,25.129864080635308,20.022612407512806,3.5322393221511335,34.99958754458978,47.82246380558429,34.11005403579872
7,Phil Foden,Man City,Midfielder,29.9223695349918,32.48714406656253,38,35,54.25482071713148,21.831926648976502,32.308327402135234,16.63488334612433,,0.0,,43.37274399542509,0.0,0.0,48.52539078723806,35.45146065518406,,,5.223173551863493,39.04773260998811,47.84335994889812,60.43413673541963,37.57910167733011,17.26826888650197,44.39235419630157,13.160023477518498,51.29455411785278,62.56527856773527,42.45962585034014,,22.938538817377317,26.281787272983244,21.959613932414577,19.143265731614864,8.025852043107319,19.623551789728516,3.080822420951773,10.036026307966708,38.07283263438811,55.76418946301926,,38.75666538756715,22.929120660216277,22.363966277746158,21.000412811387903,16.06306683040331,90.88164714110859,26.481519635742742
8,Dwight McNeil,Everton,Midfielder,29.6298235755777,32.16952273919865,38,35,12.072659574468085,,27.725293433298862,9.985481486695761,,54.683309032716934,92.61578468792098,40.58346708404478,63.08971900397718,10.414987905520775,31.054536632278374,21.02208240178857,,,77.42077437574316,41.74068796243598,28.121978650400305,,91.75415526950927,39.3412354917532,36.24314916603488,21.909084519572957,0.3213602038889938,15.2413852647736,43.15404245571167,39.254449393479916,12.675605435401252,21.487789209752727,57.445931981115585,3.552398975526465,13.91549866230678,15.520603378921964,16.981348646587875,39.07638873079112,17.83522676246071,74.0303505269882,,26.521438828663946,26.33273737553343,1.3414066193853427,1.4669467425025855,0.0,0.0,0.0
9,Alfie Doughty,Luton,Defender,28.57513526458673,29.347436217683672,38,37,38.063248220640574,,15.985795389869097,91.9281373075546,,25.518433614735226,,2.8249679943100996,1.3864752596212584,1.631023634621527,10.347993920972645,35.06013836239576,1.6147268070574843,35.70129511338231,36.519066773934036,50.667792146498016,,1.7835226762460707,41.40915056480381,99.09225245604965,15.477660430145132,22.605744376667936,17.923467558338075,61.91230589659347,14.889509436401243,34.62630442385033,,2.253022296884545,55.189300911854104,0.0,23.737393403057123,12.987798751486327,24.3323450830714,22.495214272229564,11.303087649402391,30.97337376800607,80.97854937393284,82.78611260293592,67.41046968534152,0.3028905693950178,13.321496158224246,0.49058879474321293,,0.3244843690430804
10,James Ward-Prowse,West Ham,Midfielder,28.088844135260807,28.088844135260807,37,37,32.23554978619426,,2.636167112487681,29.729680961438707,,13.63120902559497,,23.509149235720038,45.53454893238435,5.312711435149654,30.328095147839274,7.441182899108237,14.99680951481971,,1.6954631474103588,40.6312209094164,27.139871088193456,,29.28037943464238,4.982367443431274,46.216322829964334,59.53236266368574,40.04764607032058,11.46511437285551,36.21797872340425,35.08392390011891,16.025227935533383,2.019270462633452,16.992336997725552,13.35228378921963,31.971590779738193,76.86099601593627,12.611464260312944,41.44384532760473,59.451637719463854,16.37060237803812,,65.20578270423992,55.16180848675348,50.43303756872328,17.81409897226524,1.2979374761723217,24.62755749610929,
